Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,9.97,9.97,9.97,9.97,000,9.97
2012-05-14,9.97,9.97,9.97,9.97,53000,9.97
2012-05-07,10.02,10.02,9.94,9.97,6500,9.97
2012-04-30,10.02,10.03,9.99,9.99,2900,9.99
2012-04-23,9.99,9.99,9.95,9.98,6900,9.98
2012-04-16,9.92,9.92,9.92,9.92,000,9.92
2012-04-09,9.92,9.92,9.90,9.92,2100,9.92
2012-04-02,9.92,9.92,9.92,9.92,1100,9.92
2012-03-26,9.91,9.91,9.91,9.91,000,9.91
2012-03-19,9.94,9.99,9.92,9.99,100,9.99
2012-03-12,9.95,9.95,9.89,9.94,000,9.94
2012-03-05,9.91,9.95,9.85,9.95,700,9.95
2012-02-27,9.75,9.78,9.75,9.78,100,9.78
2012-02-21,9.90,9.90,9.75,9.75,200,9.75
2012-02-13,9.85,9.85,9.85,9.85,000,9.85
2012-02-06,9.85,9.85,9.85,9.85,000,9.85
2012-01-30,9.85,9.85,9.85,9.85,000,9.85
2012-01-23,9.85,9.85,9.85,9.85,000,9.85
2012-01-17,9.85,9.85,9.85,9.85,000,9.85
2012-01-09,9.90,9.90,9.85,9.85,1600,9.85
2012-01-03,9.74,9.90,9.74,9.90,1100,9.90
2011-12-27,9.84,9.86,9.79,9.86,1400,9.86
2011-12-19,9.83,9.84,9.83,9.84,2400,9.84
2011-12-12,9.83,9.83,9.83,9.83,000,9.83
2011-12-05,9.83,9.83,9.83,9.83,000,9.83
2011-11-28,9.82,9.83,9.82,9.83,000,9.83
2011-11-21,9.82,9.82,9.82,9.82,000,9.82
2011-11-14,9.82,9.82,9.82,9.82,100,9.82
2011-11-07,9.75,9.82,9.70,9.82,35200,9.82
2011-10-31,9.80,9.80,9.77,9.78,40500,9.78
2011-10-24,9.77,9.80,9.74,9.80,100,9.80
2011-10-17,9.77,9.77,9.70,9.77,200,9.77
2011-10-10,9.72,9.77,9.69,9.77,100,9.77
2011-10-03,9.78,9.78,9.69,9.72,2100,9.72
2011-09-26,9.78,9.78,9.70,9.78,1300,9.78
2011-09-19,9.70,9.78,9.60,9.69,37600,9.69
2011-09-12,9.68,9.75,9.68,9.75,600,9.75
2011-09-06,9.67,9.75,9.66,9.66,600,9.66
2011-08-29,9.74,9.75,9.66,9.75,100,9.75
2011-08-22,9.74,9.74,9.74,9.74,000,9.74
2011-08-15,9.75,9.75,9.66,9.74,200,9.74
2011-08-08,9.65,9.75,9.65,9.75,100,9.75
2011-08-01,9.67,9.70,9.65,9.65,000,9.65
2011-07-25,9.69,9.69,9.67,9.67,000,9.67
2011-07-18,9.66,9.67,9.65,9.65,68400,9.65
2011-07-11,9.67,9.67,9.65,9.66,10700,9.66
2011-07-05,9.70,9.70,9.65,9.65,000,9.65
2011-06-27,9.67,9.70,9.65,9.70,5700,9.70
2011-06-20,9.67,9.67,9.64,9.66,5300,9.66
2011-06-13,9.62,9.66,9.62,9.65,2700,9.65
2011-06-06,9.62,9.65,9.60,9.62,3200,9.62
2011-05-31,9.74,9.75,9.62,9.64,35200,9.64
2011-05-23,9.60,9.67,9.60,9.67,33500,9.67
2011-05-16,9.64,9.66,9.59,9.66,17000,9.66
2011-05-09,9.63,9.67,9.63,9.65,5800,9.65
2011-05-02,9.66,9.66,9.66,9.66,1700,9.66
2011-04-25,9.70,9.70,9.65,9.66,3100,9.66
2011-04-18,9.63,9.70,9.63,9.70,12600,9.70
2011-04-11,9.63,9.68,9.62,9.65,8100,9.65
2011-04-04,9.64,9.64,9.62,9.62,5600,9.62
2011-03-28,9.64,9.65,9.64,9.64,5000,9.64
2011-03-21,9.65,9.65,9.64,9.64,8000,9.64
2011-03-15,9.63,9.64,9.63,9.64,5000,9.64
