Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,83.11,83.33,83.04,83.24,214300,83.24
2012-05-14,83.24,83.28,82.97,83.05,400600,83.05
2012-05-07,83.13,83.29,83.13,83.29,289200,83.29
2012-04-30,83.28,83.28,82.97,83.14,502400,83.14
2012-04-23,83.01,83.23,82.97,83.10,321700,83.10
2012-04-16,83.06,83.36,82.89,83.05,410300,83.05
2012-04-09,82.87,83.20,82.83,83.17,400900,83.17
2012-04-02,82.78,83.04,82.78,82.97,420200,82.97
2012-03-26,83.57,83.58,82.80,82.80,658200,82.80
2012-03-19,84.28,84.54,82.94,83.11,1872100,83.11
2012-03-12,71.75,74.74,71.06,74.25,131300,74.25
2012-03-05,69.62,71.58,67.50,71.57,223900,71.57
2012-02-27,70.94,73.64,68.51,69.49,280500,69.49
2012-02-21,70.27,73.51,69.77,70.98,152800,70.98
2012-02-13,70.13,70.93,68.93,70.19,124400,70.19
2012-02-06,68.60,70.33,67.18,69.42,112000,69.42
2012-01-30,66.58,69.90,66.01,68.77,90800,68.77
2012-01-23,65.79,67.03,65.29,66.93,79700,66.93
2012-01-17,65.64,67.00,64.92,65.89,98000,65.89
2012-01-09,64.95,67.56,64.50,65.05,182800,65.05
2012-01-03,66.33,66.48,64.18,64.79,138700,64.79
2011-12-27,64.75,65.09,64.06,65.01,104200,65.01
2011-12-19,66.03,66.58,63.99,64.97,127500,64.97
2011-12-12,64.78,66.59,63.79,65.74,187800,65.74
2011-12-05,61.53,66.03,61.18,65.82,196700,65.82
2011-11-28,55.58,61.03,55.20,60.84,238300,60.84
2011-11-21,56.51,57.34,53.05,53.87,135600,53.87
2011-11-14,60.82,60.97,56.53,57.46,104800,57.46
2011-11-07,60.19,61.31,59.00,60.83,171600,60.83
2011-10-31,59.06,61.43,55.03,60.06,181000,60.06
2011-10-24,57.72,60.40,55.72,59.84,125000,59.84
2011-10-17,58.82,59.70,54.74,57.40,124500,57.40
2011-10-10,55.90,59.62,55.50,59.23,123700,59.23
2011-10-03,52.90,56.93,51.31,54.74,199600,54.74
2011-09-26,54.30,56.28,52.56,53.60,174000,53.60
2011-09-19,55.92,56.43,49.79,53.00,217200,53.00
2011-09-12,54.71,58.93,54.28,56.86,163400,56.86
2011-09-06,57.14,59.75,54.36,54.99,227100,54.99
2011-08-29,58.14,62.20,58.01,59.06,171400,59.06
2011-08-22,56.25,59.41,54.15,57.54,117000,57.54
2011-08-15,59.43,61.03,54.68,54.90,202400,54.90
2011-08-08,56.20,60.26,54.87,58.80,359100,58.80
2011-08-01,61.55,61.96,55.78,58.01,311000,58.01
2011-07-25,63.00,64.06,59.54,60.89,173400,60.89
2011-07-18,65.96,66.02,62.77,63.52,193000,63.52
2011-07-11,67.83,69.68,61.20,66.15,546200,66.15
2011-07-05,70.08,70.70,66.83,68.53,235700,68.53
2011-06-27,69.70,71.36,68.69,70.00,227700,70.00
2011-06-20,70.12,71.54,69.20,69.70,201100,69.70
2011-06-13,73.78,74.17,70.01,70.48,255700,70.48
2011-06-06,74.33,76.51,72.35,73.37,441600,73.37
2011-05-31,75.95,78.07,73.55,74.45,419800,74.45
2011-05-23,63.29,76.39,62.80,75.41,577300,75.41
2011-05-16,63.84,64.97,63.21,64.28,105200,64.28
2011-05-09,63.29,65.79,62.65,64.32,113500,64.32
2011-05-02,66.67,68.30,63.32,63.50,216800,63.50
2011-04-25,65.89,66.88,65.15,66.75,61600,66.75
2011-04-18,65.06,66.59,63.85,65.83,79400,65.83
