Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,34.73,37.06,32.95,35.20,291500,35.20
2012-05-14,41.74,43.73,32.57,34.71,767600,34.71
2012-05-07,44.20,45.03,40.64,41.89,258900,41.89
2012-04-30,45.80,46.60,43.52,44.43,202700,44.43
2012-04-23,46.00,46.52,43.23,45.91,165900,45.91
2012-04-16,42.49,47.46,41.88,46.48,322000,46.48
2012-04-09,42.69,42.81,39.56,42.29,269700,42.29
2012-04-02,42.86,44.76,42.41,43.47,182400,43.47
2012-03-26,41.98,43.93,41.97,42.84,172600,42.84
2012-03-19,39.90,41.78,38.83,41.61,149700,41.61
2012-03-12,41.02,42.00,39.93,40.03,215500,40.03
2012-03-05,38.23,41.79,37.56,40.96,324700,40.96
2012-02-27,36.35,38.17,35.40,38.12,280500,38.12
2012-02-21,35.00,36.78,34.51,36.36,247600,36.36
2012-02-13,35.00,35.25,33.88,34.47,221700,34.47
2012-02-06,34.37,35.15,33.01,34.72,151700,34.72
2012-01-30,30.07,34.75,29.28,34.23,342500,34.23
2012-01-23,23.23,30.89,22.57,30.65,370400,30.65
2012-01-17,23.22,24.25,22.50,23.17,116600,23.17
2012-01-09,22.74,23.20,21.66,22.90,126300,22.90
2012-01-03,23.04,23.50,21.15,22.54,154100,22.54
2011-12-27,18.99,24.00,18.59,22.55,378600,22.55
2011-12-19,19.21,19.59,18.57,18.97,73100,18.97
2011-12-12,20.67,20.87,18.80,19.08,131300,19.08
2011-12-05,20.06,20.97,18.48,20.68,109600,20.68
2011-11-28,19.51,20.93,19.10,19.66,199400,19.66
2011-11-21,20.33,20.73,18.76,18.80,103200,18.80
2011-11-14,20.45,22.00,19.64,20.89,119400,20.89
2011-11-07,21.51,22.12,19.83,20.48,116700,20.48
2011-10-31,20.23,21.79,19.20,21.52,106800,21.52
2011-10-24,16.51,21.76,16.31,20.68,172900,20.68
2011-10-17,16.35,16.50,15.50,16.43,80300,16.43
2011-10-10,15.72,16.89,15.43,16.58,66000,16.58
2011-10-03,14.25,15.83,13.76,15.26,111100,15.26
2011-09-26,14.89,15.85,14.16,14.49,103700,14.49
2011-09-19,16.33,16.34,14.14,14.69,122500,14.69
2011-09-12,14.86,16.87,14.70,16.81,136200,16.81
2011-09-06,13.79,15.69,13.61,15.26,90500,15.26
2011-08-29,14.71,16.58,14.43,14.44,118600,14.44
2011-08-22,13.79,15.03,12.75,14.39,152800,14.39
2011-08-15,14.26,14.64,12.35,12.54,92700,12.54
2011-08-08,13.00,14.82,12.20,14.07,154200,14.07
2011-08-01,16.81,16.81,13.13,13.58,181100,13.58
2011-07-25,15.18,17.25,15.08,16.48,160200,16.48
2011-07-18,15.39,16.45,15.09,15.51,114800,15.51
2011-07-11,13.98,15.55,13.61,15.51,77000,15.51
2011-07-05,13.96,14.48,13.64,14.32,54000,14.32
2011-06-27,13.61,14.22,12.75,14.01,68200,14.01
2011-06-20,12.27,13.91,12.11,13.76,115400,13.76
2011-06-13,11.67,12.77,11.55,12.31,66300,12.31
2011-06-06,13.01,13.33,12.00,12.02,75600,12.02
2011-05-31,14.23,14.50,12.60,12.95,70500,12.95
2011-05-23,12.64,14.00,12.06,13.95,76500,13.95
2011-05-16,13.44,13.61,12.80,12.96,73600,12.96
2011-05-09,14.67,16.21,13.55,13.60,102100,13.60
2011-05-02,16.92,17.00,14.63,14.72,57000,14.72
2011-04-25,16.18,17.00,15.80,16.79,56600,16.79
2011-04-18,14.60,16.27,14.41,16.23,100200,16.23
2011-04-11,15.72,15.74,14.27,14.98,59700,14.98
2011-04-04,15.82,15.99,15.15,15.69,75400,15.69
2011-03-28,15.43,15.97,14.18,15.77,81100,15.77
2011-03-21,13.94,15.80,13.40,15.34,122900,15.34
2011-03-14,13.47,13.88,12.43,13.61,109800,13.61
2011-03-07,14.40,14.59,13.30,13.55,79300,13.55
2011-02-28,13.24,14.32,12.10,14.31,114000,14.31
2011-02-22,13.85,13.96,12.44,13.14,100600,13.14
2011-02-14,14.76,14.87,13.51,14.14,131900,14.14
2011-02-07,17.19,17.19,14.12,14.76,198600,14.76
