Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,38.38,38.69,38.31,38.58,523700,38.58
2012-05-14,39.03,39.34,38.23,38.42,678900,38.42
2012-05-07,38.95,39.59,38.19,39.35,482300,39.35
2012-04-30,39.30,39.64,38.72,39.10,731200,39.10
2012-04-23,38.48,39.35,38.15,39.24,997600,39.24
2012-04-16,37.92,38.76,37.53,38.59,625900,38.59
2012-04-09,37.15,37.99,37.12,37.72,681300,37.72
2012-04-02,37.08,37.72,36.87,37.39,443700,37.39
2012-03-26,36.71,37.45,36.61,37.24,508500,37.24
2012-03-19,36.67,37.25,36.08,36.50,452300,36.50
2012-03-12,37.34,37.54,36.65,36.67,474500,36.67
2012-03-05,36.78,37.43,36.16,37.37,539000,37.37
2012-02-27,36.85,37.64,36.38,36.96,669700,36.96
2012-02-21,37.54,37.75,36.66,37.19,626400,37.19
2012-02-13,38.00,38.60,37.36,37.56,649000,37.56
2012-02-06,36.96,38.23,36.84,37.93,496500,37.93
2012-01-30,36.16,37.14,35.49,37.13,1306300,37.13
2012-01-23,37.16,37.28,36.05,36.16,642700,36.16
2012-01-17,37.30,37.44,36.49,37.40,531000,37.40
2012-01-09,37.32,37.56,36.76,37.17,437700,37.17
2012-01-03,37.79,37.86,36.23,37.46,745100,37.46
2011-12-27,37.52,37.67,37.09,37.23,397400,37.23
2011-12-19,37.26,37.87,36.42,37.50,646300,37.50
2011-12-12,37.01,37.24,36.10,36.98,822600,36.98
2011-12-05,37.72,37.78,36.88,37.41,859600,37.41
2011-11-28,36.83,37.99,36.15,37.29,1328100,37.29
2011-11-21,36.17,36.33,34.65,36.22,814600,36.22
2011-11-14,36.54,36.98,35.84,36.45,1161400,36.45
2011-11-07,35.82,36.75,35.52,36.74,901400,36.74
2011-10-31,36.06,36.54,34.70,36.00,1095900,36.00
2011-10-24,36.00,37.51,35.52,36.54,981600,36.54
2011-10-17,33.20,36.11,32.85,36.07,876900,36.07
