Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,51.94,53.17,51.69,52.96,1838800,52.96
2012-05-14,53.33,53.75,51.80,51.99,2599400,51.99
2012-05-07,53.45,54.10,52.86,53.70,1896600,53.70
2012-04-30,55.59,55.89,53.48,53.56,2354100,53.56
2012-04-23,54.57,55.99,54.15,55.82,1605200,55.82
2012-04-16,54.63,55.66,54.38,55.02,1989600,55.02
2012-04-09,54.79,55.01,53.78,54.49,2011200,54.49
2012-04-02,55.10,56.19,54.79,55.60,2330700,55.60
2012-03-26,55.43,55.84,54.70,55.19,2064800,55.19
2012-03-19,55.01,55.62,54.75,54.99,1658400,54.99
2012-03-12,54.91,55.50,54.59,55.10,2297600,55.10
2012-03-05,54.38,55.08,53.64,54.95,2238900,54.95
2012-02-27,53.70,55.05,53.31,54.44,2115200,54.04
2012-02-21,54.33,54.39,53.62,53.82,2046100,53.43
2012-02-13,54.32,54.65,53.68,54.25,2388400,53.85
2012-02-06,55.15,55.33,53.92,54.01,2635900,53.61
2012-01-30,54.99,55.68,54.47,55.51,3155500,55.10
2012-01-23,56.92,57.07,55.30,55.34,2913300,54.93
2012-01-17,55.00,57.10,54.90,56.79,2376500,56.37
2012-01-09,54.76,55.00,54.36,54.95,2079700,54.55
2012-01-03,54.89,55.00,54.13,54.88,2310300,54.48
2011-12-27,54.22,54.62,53.59,54.01,1373700,53.61
2011-12-19,51.76,54.35,51.29,54.33,2007200,53.93
2011-12-12,52.14,52.47,50.98,51.73,2705300,51.35
2011-12-05,52.26,52.75,50.98,52.48,2430700,52.10
2011-11-28,48.49,52.11,48.49,51.30,2479700,50.54
2011-11-21,49.57,49.57,47.60,47.93,2042100,47.22
2011-11-14,51.96,52.55,49.67,49.89,2474800,49.15
2011-11-07,51.48,52.89,50.58,52.16,2293900,51.39
2011-10-31,52.12,53.11,50.46,51.63,3443600,50.86
2011-10-24,52.25,52.94,49.65,52.60,3960800,51.82
2011-10-17,51.35,52.27,50.60,52.25,3060100,51.47
2011-10-10,49.57,51.78,49.27,51.72,2709700,50.95
2011-10-03,46.69,49.49,45.85,48.86,4129500,48.13
2011-09-26,47.36,48.91,46.66,47.15,3967300,46.45
2011-09-19,50.09,51.40,46.65,46.96,4234000,46.26
2011-09-12,47.19,51.20,47.00,50.76,3753800,50.01
2011-09-06,47.35,49.24,47.08,47.62,3159900,46.91
2011-08-29,49.11,50.65,48.37,48.51,4031100,47.43
2011-08-22,47.34,49.00,45.17,48.68,4168200,47.60
2011-08-15,47.35,48.45,45.80,46.32,4659400,45.29
2011-08-08,47.38,48.13,44.72,47.27,7724600,46.22
2011-08-01,51.76,51.94,46.96,48.40,4638400,47.32
2011-07-25,52.90,53.42,51.08,51.49,2906900,50.34
2011-07-18,52.74,53.64,51.99,53.23,2058300,52.05
2011-07-11,54.02,54.29,52.72,53.11,2118100,51.93
2011-07-05,54.00,55.02,53.51,54.50,2497600,53.29
