Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,4.13,4.45,4.13,4.35,564100,4.35
2012-05-14,4.42,4.50,4.08,4.12,557500,4.12
2012-05-07,4.45,4.77,4.17,4.59,1020100,4.45
2012-04-30,4.71,4.72,4.39,4.40,508600,4.26
2012-04-23,4.43,4.84,4.40,4.79,501600,4.64
2012-04-16,4.75,4.94,4.63,4.79,420500,4.64
2012-04-09,5.06,5.10,4.71,4.73,521200,4.58
2012-04-02,5.47,5.63,5.04,5.18,518600,5.02
2012-03-26,5.77,5.80,5.45,5.56,576500,5.39
2012-03-19,5.84,5.95,5.54,5.71,469600,5.53
2012-03-12,5.14,6.03,5.09,5.93,680200,5.74
2012-03-05,5.26,5.28,4.92,5.13,432100,4.97
2012-02-27,5.11,5.37,5.08,5.30,441300,5.13
2012-02-21,5.31,5.36,5.10,5.25,510500,5.09
2012-02-13,5.19,5.30,4.77,5.27,632600,5.10
2012-02-06,4.97,5.32,4.94,4.98,494200,4.82
2012-01-30,4.60,5.10,4.56,5.08,556200,4.92
2012-01-23,5.00,5.10,4.76,4.85,540600,4.70
2012-01-17,4.50,4.96,4.48,4.90,848300,4.75
2012-01-09,3.92,4.47,3.87,4.21,1075600,4.08
2012-01-03,4.14,4.19,3.88,3.92,919800,3.80
2011-12-27,4.12,4.16,3.92,4.02,718700,3.89
2011-12-19,3.82,4.13,3.66,4.12,773800,3.99
2011-12-12,4.14,4.17,3.78,3.79,911500,3.67
2011-12-05,4.54,4.61,4.23,4.45,1665100,4.31
2011-11-28,4.06,4.40,3.97,4.31,1064900,4.17
2011-11-21,4.03,4.03,3.66,3.67,1063100,3.55
2011-11-14,4.42,4.46,4.11,4.16,927400,4.03
2011-11-07,4.55,4.68,4.15,4.57,759500,4.43
2011-10-31,4.93,4.94,4.27,4.60,1286200,4.46
2011-10-24,4.71,5.43,4.64,5.11,1034800,4.95
2011-10-17,4.78,4.78,4.38,4.69,920600,4.54
2011-10-10,4.53,5.09,4.52,4.88,914500,4.73
2011-10-03,3.96,4.54,3.78,4.31,1880700,4.17
2011-09-26,3.76,4.37,3.66,4.05,1597800,3.92
2011-09-19,4.05,4.13,3.54,3.62,1513700,3.51
2011-09-12,3.74,4.41,3.67,4.34,1632700,4.20
2011-09-06,3.87,4.29,3.82,3.91,1165200,3.79
2011-08-29,4.32,4.56,4.24,4.25,980600,4.12
2011-08-22,4.28,4.44,4.07,4.19,861600,4.06
2011-08-15,4.66,4.68,4.08,4.10,1172100,3.97
2011-08-08,4.53,4.62,3.90,4.42,2390000,4.28
2011-08-01,5.82,5.82,4.61,4.90,2214300,4.75
2011-07-25,6.05,6.06,5.64,5.71,1846700,5.53
2011-07-18,5.69,6.29,5.50,6.19,1153200,6.00
2011-07-11,6.17,6.19,5.81,5.85,1914300,5.67
2011-07-05,6.94,6.95,6.49,6.56,674200,6.35
2011-06-27,6.11,7.01,6.10,6.99,736500,6.77
2011-06-20,6.27,6.56,6.19,6.23,1081100,6.03
2011-06-13,6.49,6.66,6.20,6.41,1148300,6.21
2011-06-06,6.68,6.80,6.44,6.49,792400,6.29
2011-05-31,7.01,7.02,6.65,6.77,1057600,6.56
2011-05-23,6.52,6.95,6.50,6.91,931900,6.69
