Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,35.80,36.99,35.57,36.78,219800,36.78
2012-05-14,37.60,38.03,35.55,35.65,221900,35.65
2012-05-07,37.69,38.78,37.61,38.10,244100,38.10
2012-04-30,39.51,40.18,37.60,37.90,288600,37.69
2012-04-23,38.75,39.99,38.09,39.72,312700,39.50
2012-04-16,39.09,39.65,38.54,39.30,261300,39.09
2012-04-09,39.97,40.07,38.00,38.78,326300,38.57
2012-04-02,41.13,41.79,40.39,40.59,184800,40.37
2012-03-26,41.15,41.81,40.82,41.13,207300,40.91
2012-03-19,40.56,41.43,39.93,40.66,206100,40.44
2012-03-12,40.59,41.81,40.38,40.58,266300,40.36
2012-03-05,39.36,40.85,39.12,40.45,243800,40.23
2012-02-27,40.95,41.51,39.35,39.38,335000,39.16
2012-02-21,41.64,42.00,41.02,41.26,189100,41.03
2012-02-13,41.18,42.01,40.79,41.43,230900,41.20
2012-02-06,41.09,41.57,40.45,40.90,182900,40.47
2012-01-30,37.76,41.18,37.55,41.10,328200,40.67
2012-01-23,38.33,39.77,36.56,38.05,438600,37.65
2012-01-17,37.73,38.58,37.39,38.38,216900,37.97
2012-01-09,36.53,37.52,36.19,37.35,229100,36.96
2012-01-03,36.04,36.56,34.78,36.36,191200,35.98
2011-12-27,34.89,36.07,34.56,35.17,160000,34.80
2011-12-19,33.89,35.65,33.57,35.12,238300,34.75
2011-12-12,34.30,34.94,32.86,33.70,345900,33.34
2011-12-05,35.00,35.15,33.51,34.76,240000,34.39
2011-11-28,32.06,34.96,31.93,34.47,244900,34.11
2011-11-21,32.24,32.68,31.01,31.03,217900,30.70
2011-11-14,34.12,34.63,32.50,32.89,225500,32.54
2011-11-07,34.01,34.60,32.62,34.16,293800,33.80
2011-10-31,33.51,34.63,32.00,34.36,349700,33.80
2011-10-24,30.76,34.42,30.75,33.98,445600,33.43
2011-10-17,30.24,31.46,29.61,30.51,442300,30.01
2011-10-10,28.66,30.64,28.38,30.60,317200,30.10
2011-10-03,26.95,29.16,25.63,28.01,463900,27.55
2011-09-26,27.86,29.72,27.14,27.16,367000,26.72
2011-09-19,28.89,30.00,26.94,27.52,506200,27.07
2011-09-12,27.12,29.91,26.98,29.47,613300,28.99
2011-09-06,26.60,28.76,26.60,27.61,497500,27.16
2011-08-29,29.37,31.05,27.64,27.78,454400,27.33
2011-08-22,27.09,29.45,26.63,28.96,401900,28.49
2011-08-15,27.54,28.69,25.91,26.37,526300,25.94
2011-08-08,28.24,29.07,24.50,27.20,591800,26.76
2011-08-01,32.44,32.87,28.62,29.07,340400,28.38
2011-07-25,34.77,35.32,31.76,31.92,275400,31.16
2011-07-18,34.98,35.32,34.38,35.21,251200,34.38
2011-07-11,35.57,36.25,34.95,35.12,252400,34.29
2011-07-05,36.24,36.77,35.75,36.06,242200,35.21
2011-06-27,34.22,36.30,33.92,36.29,271400,35.43
2011-06-20,33.86,34.77,33.72,34.18,265000,33.37
2011-06-13,33.09,34.50,32.89,33.91,229600,33.11
2011-06-06,33.72,33.98,32.86,33.00,308600,32.22
2011-05-31,35.34,35.65,33.57,33.64,390500,32.84
2011-05-23,34.38,35.57,33.96,35.02,243900,34.19
2011-05-16,35.02,35.43,34.55,35.01,413800,34.18
2011-05-09,34.39,35.58,34.31,35.30,362300,34.47
2011-05-02,35.57,35.67,33.85,34.44,276000,33.44
2011-04-25,34.46,36.01,34.46,35.26,313600,34.24
2011-04-18,32.41,34.94,31.94,34.28,306100,33.29
2011-04-11,33.27,33.34,32.33,32.98,204000,32.03
2011-04-04,33.88,34.66,33.04,33.28,384000,32.32
2011-03-28,32.81,33.98,31.95,33.73,179000,32.75
2011-03-21,31.87,32.99,31.75,32.66,149000,31.71
2011-03-14,31.04,31.69,30.36,31.38,238500,30.47
2011-03-07,32.02,32.51,31.01,31.40,210500,30.49
2011-02-28,32.61,32.76,31.27,32.00,322200,31.07
2011-02-22,32.91,33.20,31.50,32.45,299800,31.51
2011-02-14,33.48,33.63,32.83,33.26,186900,32.30
2011-02-07,33.01,33.69,32.96,33.44,179200,32.47
2011-01-31,31.99,33.47,31.66,33.01,349500,31.89
2011-01-24,31.71,32.94,30.77,31.85,431800,30.77
2011-01-18,34.19,34.92,31.21,31.57,620200,30.50
2011-01-10,31.94,34.35,31.63,34.35,263100,33.19
2011-01-03,32.77,33.20,31.58,32.05,232600,30.96
2010-12-27,32.65,33.20,32.48,32.48,178000,31.38
2010-12-20,31.80,33.00,31.67,32.70,354900,31.59
2010-12-13,31.48,32.12,31.38,31.80,547800,30.72
2010-12-06,30.73,31.53,30.25,31.48,776600,30.41
2010-11-29,30.39,30.99,29.79,30.78,626400,29.74
2010-11-22,30.68,31.18,30.24,30.68,256600,29.64
2010-11-15,30.95,31.65,30.39,30.84,218000,29.80
2010-11-08,31.34,31.57,30.49,30.75,150000,29.71
2010-11-01,30.57,31.70,29.00,31.60,315300,30.36
2010-10-25,32.89,33.34,29.93,30.41,384900,29.22
2010-10-18,31.97,32.96,31.47,32.70,286400,31.42
2010-10-11,31.58,32.86,31.10,31.97,257300,30.72
2010-10-04,30.99,31.65,30.22,31.51,241700,30.27
