Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,38.65,38.80,38.34,38.72,168300,38.72
2012-05-14,39.55,39.90,38.44,38.54,139200,38.54
2012-05-07,39.97,40.42,39.65,39.79,192500,39.79
2012-04-30,41.34,41.63,39.96,39.98,216900,39.52
2012-04-23,40.21,41.37,40.08,41.30,201800,40.83
2012-04-16,39.99,40.85,39.94,40.59,244400,40.13
2012-04-09,40.45,40.70,39.86,39.92,238300,39.46
2012-04-02,41.46,41.82,40.75,40.87,167400,40.40
2012-03-26,41.24,41.70,41.05,41.49,138800,41.02
2012-03-19,41.57,41.69,40.75,40.87,152000,40.40
2012-03-12,42.00,42.32,41.07,41.49,208800,41.02
2012-03-05,41.32,41.96,40.86,41.91,145300,41.43
2012-02-27,41.83,42.24,41.28,41.31,191800,40.84
2012-02-21,41.56,41.98,41.21,41.91,186200,41.43
2012-02-13,41.42,41.94,40.75,41.59,116700,41.12
2012-02-06,41.77,42.18,41.45,41.60,187600,40.67
2012-01-30,41.26,42.17,40.89,42.05,171600,41.11
2012-01-23,41.30,41.90,40.77,41.47,249000,40.54
2012-01-17,41.26,41.66,41.05,41.33,158900,40.41
2012-01-09,40.30,41.25,40.07,40.98,195100,40.06
2012-01-03,42.48,42.49,39.98,40.06,268200,39.16
2011-12-27,41.64,42.54,41.64,41.98,145800,41.04
2011-12-19,40.01,41.76,39.45,41.64,288500,40.71
2011-12-12,39.82,40.75,39.33,39.81,309800,38.92
2011-12-05,39.72,40.22,39.08,40.09,209400,39.19
2011-11-28,38.24,40.10,38.04,39.30,199400,38.42
2011-11-21,38.40,38.58,37.36,37.45,210000,36.61
2011-11-14,38.86,39.16,37.92,38.75,160000,37.88
2011-11-07,38.79,39.56,38.11,38.90,227400,38.03
2011-10-31,39.51,40.15,38.14,38.80,218300,37.50
2011-10-24,38.88,40.77,38.17,39.94,236500,38.60
2011-10-17,38.28,38.97,37.83,38.89,240500,37.58
2011-10-10,37.45,38.55,37.00,38.53,225700,37.24
2011-10-03,36.57,37.18,35.14,36.70,276500,35.47
2011-09-26,37.13,37.68,36.54,36.63,295800,35.40
2011-09-19,38.27,39.57,36.56,36.93,280200,35.69
2011-09-12,36.40,39.11,36.40,38.89,207800,37.58
2011-09-06,36.69,38.14,36.50,36.77,223500,35.54
2011-08-29,38.18,39.31,37.56,37.67,180400,36.41
2011-08-22,37.06,38.52,35.74,38.02,215300,36.74
2011-08-15,36.93,38.83,36.25,36.37,213600,35.15
2011-08-08,38.67,39.20,35.51,36.84,312300,35.60
2011-08-01,40.59,40.70,38.27,39.12,172600,37.35
2011-07-25,41.62,42.06,39.11,40.25,142000,38.43
2011-07-18,41.13,42.10,40.65,41.82,104500,39.92
2011-07-11,41.33,41.76,40.89,41.30,165300,39.43
2011-07-05,41.60,41.99,41.33,41.76,91300,39.87
2011-06-27,40.49,41.66,40.36,41.53,138900,39.65
2011-06-20,38.91,40.69,38.84,40.41,191400,38.58
2011-06-13,38.31,39.11,38.10,38.91,132200,37.15
2011-06-06,38.68,38.95,38.01,38.20,131200,36.47
2011-05-31,39.67,40.12,38.53,38.80,187900,37.04
2011-05-23,39.33,39.73,38.75,39.44,117400,37.65
2011-05-16,40.14,40.44,39.55,39.77,166500,37.97
2011-05-09,39.89,40.99,39.78,40.33,114900,38.50
2011-05-02,40.54,41.05,39.76,40.03,166000,37.80
2011-04-25,39.71,41.43,39.61,40.49,138900,38.23
2011-04-18,38.77,39.93,38.54,39.90,91200,37.68
2011-04-11,39.25,39.31,37.87,39.21,86600,37.02
2011-04-04,39.25,40.36,39.08,39.29,110600,37.10
2011-03-28,37.96,39.29,37.71,39.26,93400,37.07
2011-03-21,36.94,38.30,36.94,37.94,67800,35.82
2011-03-14,37.84,37.84,36.33,36.79,165300,34.74
2011-03-07,38.99,39.00,37.90,37.98,133100,35.86
2011-02-28,37.72,39.36,37.57,38.88,160900,36.71
2011-02-22,37.40,37.87,36.82,37.56,140400,35.47
2011-02-14,37.48,37.80,37.15,37.40,156200,35.31
2011-02-07,37.19,37.91,37.09,37.62,85000,35.52
2011-01-31,37.14,37.83,36.88,37.20,65200,34.71
2011-01-24,37.22,37.96,37.00,37.02,101200,34.55
2011-01-18,37.59,37.75,37.12,37.24,84200,34.75
2011-01-10,37.32,37.68,36.96,37.63,85800,35.11
2011-01-03,37.52,37.95,37.00,37.46,132100,34.96
2010-12-27,37.24,37.74,37.06,37.26,103200,34.77
2010-12-20,36.87,37.59,36.74,37.36,88100,34.86
2010-12-13,36.33,36.83,36.16,36.83,131000,34.37
2010-12-06,35.50,36.31,35.50,36.24,111200,33.82
2010-11-29,35.62,35.95,35.01,35.69,159900,33.30
2010-11-22,35.03,36.09,34.81,35.77,116300,33.38
2010-11-15,35.45,35.85,34.81,35.15,106200,32.80
2010-11-08,36.54,36.69,35.20,35.32,105600,32.96
2010-11-01,36.56,36.75,35.60,36.71,143000,33.84
2010-10-25,37.39,37.49,36.12,36.38,100600,33.54
2010-10-18,37.38,37.95,36.90,37.22,98800,34.31
2010-10-11,37.28,37.70,36.63,37.35,122100,34.43
2010-10-04,36.63,37.42,36.36,37.31,114400,34.39
2010-09-27,36.11,36.88,35.77,36.81,130100,33.93
2010-09-20,35.53,36.27,35.32,36.14,124200,33.31
2010-09-13,36.07,36.10,35.03,35.54,132100,32.76
