Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,0.41,0.41,0.36,0.39,782000,0.39
2012-05-14,0.43,0.49,0.38,0.38,1261800,0.38
2012-05-07,0.50,0.51,0.38,0.42,1481600,0.42
2012-04-30,0.62,0.76,0.38,0.49,6515300,0.49
2012-04-23,0.64,0.65,0.59,0.60,1501300,0.60
2012-04-16,0.64,0.65,0.57,0.62,1344100,0.62
2012-04-09,0.60,0.70,0.50,0.63,2520400,0.63
2012-04-02,0.62,0.64,0.60,0.61,930700,0.61
2012-03-26,0.65,0.65,0.60,0.62,1452500,0.62
2012-03-19,0.60,0.65,0.58,0.62,723800,0.62
2012-03-12,0.65,0.65,0.55,0.62,849700,0.62
2012-03-05,0.67,0.73,0.58,0.63,935300,0.63
2012-02-27,0.54,0.68,0.52,0.64,994500,0.64
2012-02-21,0.55,0.55,0.50,0.54,1168800,0.54
2012-02-13,0.73,0.73,0.46,0.49,1693800,0.49
2012-02-06,0.79,0.79,0.65,0.73,320600,0.73
2012-01-30,0.77,0.79,0.72,0.76,369600,0.76
2012-01-23,0.75,0.78,0.65,0.77,615500,0.77
2012-01-17,0.83,0.84,0.72,0.80,428700,0.80
2012-01-09,0.99,0.99,0.79,0.80,650600,0.80
2012-01-03,0.95,0.99,0.84,0.92,598300,0.92
2011-12-27,0.81,0.86,0.77,0.83,504400,0.83
2011-12-19,0.62,0.87,0.61,0.83,1102600,0.83
2011-12-12,0.63,1.00,0.59,0.66,3861500,0.66
2011-12-05,1.03,1.15,0.51,0.63,2777400,0.63
2011-11-28,1.00,1.07,0.88,1.02,833800,1.02
2011-11-21,1.11,1.14,0.89,0.99,570800,0.99
2011-11-14,1.35,1.35,1.07,1.23,507800,1.23
2011-11-07,1.47,1.48,1.31,1.36,310700,1.36
2011-10-31,1.38,1.39,1.32,1.35,233300,1.35
2011-10-24,1.34,1.44,1.32,1.37,502100,1.37
2011-10-17,1.30,1.37,1.24,1.32,248100,1.32
2011-10-10,1.22,1.37,1.22,1.30,216800,1.30
2011-10-03,1.11,1.25,1.03,1.19,363700,1.19
2011-09-26,1.17,1.18,1.03,1.08,294600,1.08
2011-09-19,1.21,1.29,1.15,1.17,257700,1.17
2011-09-12,1.18,1.31,1.16,1.22,244400,1.22
2011-09-06,1.19,1.31,1.16,1.19,285600,1.19
2011-08-29,1.24,1.40,1.23,1.23,407800,1.23
2011-08-22,1.29,1.32,1.15,1.24,319800,1.24
2011-08-15,1.25,1.33,1.10,1.25,523600,1.25
2011-08-08,1.22,1.30,1.14,1.22,670500,1.22
2011-08-01,1.55,1.58,1.24,1.32,577500,1.32
2011-07-25,1.78,1.79,1.47,1.53,732000,1.53
2011-07-18,1.68,1.84,1.65,1.78,446200,1.78
2011-07-11,1.81,1.82,1.63,1.69,423200,1.69
2011-07-05,1.87,1.88,1.75,1.81,543700,1.81
2011-06-27,1.69,1.91,1.59,1.86,1230800,1.86
2011-06-20,1.54,1.82,1.51,1.65,2217200,1.65
2011-06-13,1.67,1.73,1.48,1.54,1033100,1.54
