Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,4.40,4.40,4.15,4.25,7800,4.25
2012-05-14,4.55,4.74,4.33,4.35,3800,4.35
2012-05-07,4.75,4.75,4.56,4.60,1200,4.60
2012-04-30,4.85,4.85,4.53,4.67,1500,4.67
2012-04-23,4.65,4.90,4.53,4.68,4300,4.68
2012-04-16,4.80,4.80,4.66,4.67,2600,4.67
2012-04-09,4.84,5.01,4.70,4.97,3100,4.97
2012-04-02,4.91,5.26,4.53,4.85,7700,4.85
2012-03-26,4.64,5.09,4.52,5.01,8400,5.01
2012-03-19,4.82,4.94,4.58,4.59,4000,4.59
2012-03-12,4.97,4.97,4.75,4.83,3000,4.83
2012-03-05,4.75,5.06,4.75,4.95,3400,4.95
2012-02-27,4.82,5.10,4.60,4.75,8200,4.75
2012-02-21,4.89,5.15,4.71,5.00,4300,5.00
2012-02-13,4.97,5.19,4.50,4.82,14000,4.82
2012-02-06,5.15,5.49,4.91,4.99,4400,4.99
2012-01-30,4.55,5.31,4.25,4.91,7500,4.91
2012-01-23,6.00,6.00,4.64,4.65,5700,4.65
2012-01-17,4.50,6.89,4.40,6.13,19200,6.13
2012-01-09,4.23,5.00,4.13,4.59,4500,4.59
2012-01-03,4.73,4.91,4.00,4.33,11000,4.33
2011-12-27,5.85,5.85,4.55,4.63,13400,4.63
2011-12-19,5.98,6.50,5.80,5.86,2900,5.86
2011-12-12,6.12,6.17,5.81,5.92,2300,5.92
2011-12-05,7.00,7.01,5.18,6.28,5100,6.28
2011-11-28,6.70,7.05,6.12,7.05,2300,7.05
2011-11-21,7.40,7.40,6.51,6.67,2100,6.67
2011-11-14,7.80,7.95,7.25,7.38,3500,7.38
2011-11-07,7.99,8.40,6.93,7.70,9400,7.70
2011-10-31,7.50,7.50,6.56,6.99,1300,6.99
2011-10-24,7.50,7.61,6.97,7.39,3200,7.39
2011-10-17,7.40,7.68,7.03,7.50,2400,7.50
2011-10-10,7.80,7.80,6.97,7.40,1900,7.40
2011-10-03,7.50,8.06,6.90,7.86,1900,7.86
2011-09-26,8.15,8.25,7.60,7.60,5600,7.60
2011-09-19,6.06,8.76,6.06,8.25,7300,8.25
2011-09-12,5.70,7.51,5.70,7.47,2600,7.47
2011-09-06,7.60,8.30,7.10,7.12,2400,7.12
2011-08-29,8.00,8.00,7.04,7.52,2200,7.52
2011-08-22,7.96,8.00,7.00,7.75,5100,7.75
2011-08-15,9.61,9.61,7.50,7.76,4900,7.76
2011-08-08,8.01,9.90,7.80,9.50,7500,9.50
2011-08-01,10.50,11.00,9.25,9.34,7400,9.34
2011-07-25,10.68,13.98,9.60,10.72,17100,10.72
2011-07-18,0.08,10.75,0.07,10.68,4200,10.68
2011-07-11,0.08,0.08,0.07,0.08,1100,8.00
2011-07-05,0.07,0.08,0.07,0.08,1200,8.00
2011-06-27,0.07,0.08,0.07,0.07,1900,7.00
2011-06-20,0.08,0.08,0.07,0.07,1100,7.00
2011-06-13,0.08,0.09,0.07,0.08,2500,8.00
2011-06-06,0.08,0.09,0.08,0.08,1200,8.00
2011-05-31,0.09,0.09,0.08,0.08,1900,8.00
2011-05-23,0.09,0.09,0.08,0.08,2600,8.00
2011-05-16,0.09,0.09,0.08,0.09,4600,9.00
2011-05-09,0.09,0.09,0.08,0.08,3100,8.00
2011-05-02,0.10,0.10,0.08,0.08,2300,8.00
2011-04-25,0.07,0.09,0.07,0.09,5500,9.00
2011-04-18,0.08,0.08,0.07,0.07,1000,7.00
2011-04-11,0.08,0.08,0.07,0.08,1100,8.00
2011-04-04,0.08,0.09,0.07,0.08,2300,8.00
2011-03-28,0.08,0.08,0.08,0.08,2300,8.00
2011-03-21,0.09,0.09,0.08,0.08,5200,8.00
2011-03-14,0.09,0.10,0.08,0.09,2500,9.00
2011-03-07,0.11,0.11,0.09,0.10,3000,10.00
2011-02-28,0.11,0.11,0.11,0.11,2600,11.00
2011-02-22,0.09,0.11,0.09,0.11,8400,11.00
2011-02-14,0.11,0.11,0.08,0.10,7600,10.00
2011-02-07,0.11,0.11,0.10,0.11,1500,11.00
2011-01-31,0.11,0.11,0.10,0.11,1600,11.00
2011-01-24,0.11,0.12,0.11,0.11,1000,11.00
2011-01-18,0.11,0.12,0.10,0.11,2000,11.00
2011-01-10,0.10,0.11,0.10,0.11,2600,11.00
2011-01-03,0.10,0.10,0.09,0.10,2100,10.00
2010-12-27,0.11,0.11,0.09,0.10,4300,10.00
2010-12-20,0.10,0.11,0.10,0.10,2500,10.00
2010-12-13,0.12,0.12,0.10,0.10,2400,10.00
2010-12-06,0.11,0.12,0.10,0.12,2100,12.00
2010-11-29,0.11,0.11,0.10,0.11,1300,11.00
2010-11-22,0.12,0.12,0.10,0.10,800,10.00
2010-11-15,0.13,0.13,0.10,0.11,2900,11.00
2010-11-08,0.14,0.14,0.13,0.13,2500,13.00
2010-11-01,0.13,0.14,0.13,0.13,3800,13.00
2010-10-25,0.12,0.14,0.12,0.13,4500,13.00
2010-10-18,0.12,0.13,0.11,0.13,6000,13.00
2010-10-11,0.10,0.15,0.10,0.11,29700,11.00
2010-10-04,0.08,0.10,0.08,0.10,3000,10.00
2010-09-27,0.08,0.09,0.08,0.09,1700,9.00
2010-09-20,0.07,0.08,0.07,0.08,2000,8.00
2010-09-13,0.08,0.08,0.07,0.07,3300,7.00
2010-09-07,0.08,0.08,0.07,0.08,1000,8.00
2010-08-30,0.08,0.08,0.07,0.08,2700,8.00
2010-08-23,0.09,0.09,0.07,0.07,1600,7.00
2010-08-16,0.08,0.09,0.08,0.08,400,8.00
2010-08-09,0.09,0.10,0.08,0.09,2700,9.00
2010-08-02,0.09,0.10,0.08,0.09,1400,9.00
2010-07-26,0.08,0.09,0.08,0.09,1200,9.00
2010-07-19,0.10,0.10,0.08,0.08,1300,8.00
2010-07-12,0.06,0.10,0.06,0.10,4100,10.00
2010-07-06,0.07,0.07,0.06,0.06,600,6.00
2010-06-28,0.07,0.07,0.06,0.07,1600,7.00
2010-06-21,0.08,0.08,0.06,0.07,1900,7.00
2010-06-14,0.08,0.08,0.07,0.08,2900,8.00
2010-06-07,0.08,0.08,0.08,0.08,1500,8.00
2010-06-01,0.08,0.09,0.08,0.08,1300,8.00
2010-05-24,0.09,0.09,0.08,0.08,1200,8.00
2010-05-17,0.09,0.09,0.09,0.09,1600,9.00
2010-05-10,0.08,0.10,0.07,0.09,4700,9.00
2010-05-03,0.08,0.09,0.08,0.08,2400,8.00
2010-04-26,0.08,0.10,0.08,0.08,4800,8.00
2010-04-19,0.09,0.09,0.08,0.09,1300,9.00
2010-04-12,0.10,0.10,0.09,0.09,2500,9.00
2010-04-05,0.10,0.10,0.08,0.09,7100,9.00
2010-03-29,0.10,0.13,0.10,0.10,6400,10.00
2010-03-22,0.11,0.12,0.10,0.10,9300,10.00
2010-03-15,0.11,0.12,0.10,0.10,6200,10.00
2010-03-08,0.13,0.13,0.11,0.12,3200,12.00
2010-03-01,0.13,0.14,0.12,0.13,3600,13.00
2010-02-22,0.12,0.13,0.11,0.13,2500,13.00
2010-02-16,0.13,0.14,0.11,0.12,5600,12.00
2010-02-08,0.14,0.14,0.12,0.14,3300,14.00
2010-02-01,0.14,0.15,0.13,0.13,3500,13.00
2010-01-25,0.15,0.16,0.14,0.14,4300,14.00
2010-01-19,0.15,0.16,0.14,0.15,3400,15.00
2010-01-11,0.14,0.20,0.14,0.15,16600,15.00
2010-01-04,0.15,0.15,0.13,0.13,1700,13.00
2009-12-28,0.16,0.16,0.13,0.15,2400,15.00
2009-12-21,0.13,0.17,0.13,0.15,3700,15.00
2009-12-14,0.13,0.14,0.11,0.13,3900,13.00
2009-12-07,0.14,0.15,0.13,0.13,3300,13.00
2009-11-30,0.16,0.16,0.14,0.14,3200,14.00
2009-11-23,0.15,0.17,0.15,0.15,3100,15.00
2009-11-16,0.18,0.20,0.13,0.16,7600,16.00
2009-11-09,0.20,0.20,0.18,0.18,3800,18.00
2009-11-02,0.19,0.21,0.17,0.19,7400,19.00
2009-10-26,0.19,0.21,0.19,0.19,15000,19.00
2009-10-19,0.25,0.26,0.19,0.20,12100,20.00
2009-10-12,0.20,0.26,0.20,0.24,21700,24.00
2009-10-05,0.21,0.22,0.18,0.21,5600,21.00
2009-09-28,0.17,0.23,0.17,0.19,18800,19.00
2009-09-21,0.17,0.18,0.17,0.17,4400,17.00
2009-09-14,0.17,0.18,0.15,0.18,6000,18.00
2009-09-08,0.15,0.19,0.15,0.17,18900,17.00
2009-08-31,0.16,0.16,0.15,0.15,3200,15.00
2009-08-24,0.15,0.16,0.14,0.16,2600,16.00
2009-08-17,0.15,0.16,0.14,0.16,3300,16.00
2009-08-10,0.15,0.15,0.14,0.15,4200,15.00
2009-08-03,0.15,0.17,0.14,0.14,5000,14.00
2009-07-27,0.15,0.16,0.14,0.16,3300,16.00
2009-07-20,0.15,0.15,0.14,0.15,1300,15.00
2009-07-13,0.15,0.15,0.14,0.15,2400,15.00
2009-07-06,0.15,0.16,0.14,0.15,2800,15.00
2009-06-29,0.14,0.17,0.14,0.16,17900,16.00
2009-06-22,0.15,0.16,0.14,0.15,9900,15.00
2009-06-15,0.16,0.16,0.14,0.15,2500,15.00
2009-06-08,0.13,0.17,0.13,0.16,5900,16.00
2009-06-01,0.15,0.15,0.10,0.13,12100,13.00
2009-05-26,0.17,0.17,0.13,0.14,4800,14.00
2009-05-18,0.16,0.18,0.15,0.16,4700,16.00
2009-05-11,0.17,0.18,0.15,0.16,5900,16.00
2009-05-04,0.17,0.18,0.16,0.17,5200,17.00
2009-04-27,0.15,0.19,0.14,0.17,10400,17.00
2009-04-20,0.20,0.22,0.14,0.16,41500,16.00
2009-04-13,0.09,0.20,0.09,0.20,27700,20.00
2009-04-06,0.10,0.10,0.09,0.09,3300,9.00
2009-03-30,0.10,0.11,0.09,0.10,3400,10.00
2009-03-23,0.10,0.11,0.09,0.10,4600,10.00
2009-03-16,0.09,0.10,0.08,0.10,4100,10.00
2009-03-09,0.09,0.10,0.08,0.09,3800,9.00
2009-03-02,0.10,0.11,0.07,0.09,10500,9.00
2009-02-23,0.08,0.10,0.08,0.10,6000,10.00
2009-02-17,0.10,0.12,0.07,0.08,19600,8.00
2009-02-09,0.06,0.10,0.06,0.09,13200,9.00
2009-02-02,0.06,0.06,0.05,0.06,3800,6.00
2009-01-26,0.04,0.08,0.03,0.06,15800,6.00
2009-01-20,0.03,0.04,0.03,0.03,3400,3.00
2009-01-12,0.03,0.04,0.03,0.03,6500,3.00
2009-01-05,0.02,0.03,0.02,0.03,1000,3.00
2008-12-29,0.02,0.02,0.02,0.02,2700,2.00
2008-12-22,0.01,0.02,0.01,0.02,2200,2.00
2008-12-15,0.02,0.02,0.02,0.02,2300,2.00
2008-12-08,0.03,0.03,0.02,0.02,1500,2.00
2008-12-01,0.02,0.03,0.02,0.02,1900,2.00
2008-11-24,0.02,0.03,0.02,0.02,2200,2.00
2008-11-17,0.03,0.03,0.02,0.02,4700,2.00
