Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,64.83,65.96,64.30,65.07,2791800,65.07
2012-05-14,67.28,68.09,64.25,64.42,2844600,64.42
2012-05-07,66.43,68.21,65.90,67.62,2587500,67.62
2012-04-30,65.16,68.52,64.90,66.44,2933000,66.44
2012-04-23,63.54,65.18,62.74,65.10,1958900,65.10
2012-04-16,63.57,64.51,63.36,64.00,2257800,64.00
2012-04-09,62.42,63.87,61.56,63.16,2132100,63.16
2012-04-02,63.06,64.03,62.39,63.41,2524900,63.20
2012-03-26,62.00,63.13,61.64,63.02,2234700,62.81
2012-03-19,63.54,64.00,61.27,61.75,2797200,61.55
2012-03-12,62.26,63.58,61.59,63.34,3601500,63.13
2012-03-05,62.46,63.23,61.90,62.22,2709500,62.01
2012-02-27,62.65,63.39,61.77,62.59,3055400,62.38
2012-02-21,62.66,64.39,62.48,64.16,3389000,63.95
2012-02-13,63.52,64.55,61.75,62.50,3383300,62.29
2012-02-06,63.08,64.02,62.86,63.29,2177100,63.08
2012-01-30,62.52,63.84,62.25,63.37,2886900,63.16
2012-01-23,61.71,63.39,61.28,63.01,2512100,62.80
2012-01-17,62.88,62.97,61.24,61.51,2848800,61.31
2012-01-09,60.59,62.51,60.01,62.32,2972900,62.11
2012-01-03,60.45,60.93,57.98,60.25,6064300,60.05
2011-12-27,60.25,60.91,59.69,60.01,2327600,59.81
2011-12-19,59.44,60.44,56.99,60.44,3184200,60.24
2011-12-12,58.35,59.41,57.67,59.14,3625800,58.94
2011-12-05,59.36,59.68,57.75,58.59,2507800,58.40
2011-11-28,56.90,59.61,56.23,59.08,3382700,58.88
2011-11-21,56.23,56.58,55.03,55.72,2115000,55.54
2011-11-14,57.91,58.60,56.62,56.76,2277900,56.57
2011-11-07,57.95,58.58,56.27,58.18,2583500,57.99
2011-10-31,55.84,58.00,53.02,57.92,3960100,57.73
2011-10-24,56.41,57.28,54.86,56.32,2764300,56.13
2011-10-17,55.43,56.38,54.14,56.34,2489500,56.15
2011-10-10,55.81,56.33,54.64,55.83,2628800,55.65
2011-10-03,53.75,56.27,51.05,54.93,5089100,54.75
2011-09-26,52.78,55.56,52.28,53.80,4063500,53.62
2011-09-19,53.98,56.21,51.47,52.29,4031200,52.12
2011-09-12,51.76,55.00,51.45,54.90,3571000,54.72
2011-09-06,52.43,53.97,51.46,52.38,3253100,52.21
2011-08-29,52.24,54.99,51.86,53.14,3735900,52.96
2011-08-22,49.95,51.95,48.53,51.86,3361600,51.69
2011-08-15,50.48,51.78,47.94,48.83,3069000,48.67
2011-08-08,49.00,50.44,46.04,50.20,5035500,50.03
2011-08-01,52.92,53.78,49.16,49.98,5131400,49.81
2011-07-25,52.93,53.62,51.10,52.53,2503900,52.36
2011-07-18,52.87,53.32,51.97,53.32,1707300,53.14
2011-07-11,53.02,53.69,52.00,53.23,1752300,53.05
2011-07-05,54.16,54.39,52.89,53.48,2107100,53.30
2011-06-27,51.57,54.36,51.00,54.28,2946400,54.10
2011-06-20,50.00,52.58,49.89,51.75,2352500,51.58
2011-06-13,50.09,51.24,49.90,50.20,3617400,50.03
2011-06-06,51.59,52.52,49.19,50.00,5507900,49.83
2011-05-31,55.50,55.52,50.25,51.21,5060500,51.04
2011-05-23,53.17,55.38,52.69,54.91,3550700,54.73
2011-05-16,52.77,54.00,51.86,53.64,3122100,53.46
2011-05-09,52.40,53.94,52.40,52.94,2303400,52.76
2011-05-02,52.51,53.74,51.23,52.41,3210700,52.24
2011-04-25,51.03,53.14,50.76,52.31,2616300,52.14
2011-04-18,50.04,51.56,49.08,51.31,3008900,51.14
2011-04-11,50.35,50.80,49.56,50.58,3720900,50.41
2011-04-04,52.41,52.53,50.11,50.28,3149900,50.11
2011-03-28,50.37,52.75,49.46,52.33,3285300,52.16
2011-03-21,46.65,50.71,45.85,49.64,9924800,49.48
2011-03-14,50.42,51.81,49.00,50.62,3040800,50.45
2011-03-07,53.11,53.72,50.40,50.81,3958500,50.64
2011-02-28,53.86,54.12,51.82,53.07,2578100,52.89
2011-02-22,53.81,54.59,51.32,53.76,3988900,53.58
2011-02-14,56.63,56.84,53.51,54.26,2882100,54.08
2011-02-07,53.96,56.75,53.53,56.73,2442100,56.54
2011-01-31,51.27,53.80,50.73,53.59,2225700,53.41
2011-01-24,50.47,52.48,50.26,51.32,3052700,51.15
2011-01-18,49.92,50.97,48.78,50.52,3467100,50.35
2011-01-10,50.26,51.56,49.77,49.85,2822000,49.68
2011-01-03,51.91,52.19,50.42,50.50,3042200,50.33
2010-12-27,50.73,51.73,50.42,51.64,1229200,51.47
2010-12-20,49.77,51.26,49.75,50.53,2029700,50.36
2010-12-13,50.64,50.83,48.83,49.61,3169800,49.45
2010-12-06,51.56,52.37,50.37,50.46,2288700,50.29
2010-11-29,51.52,52.48,50.15,51.58,2492200,51.41
2010-11-22,51.72,52.13,50.77,51.77,2280300,51.60
2010-11-15,52.40,52.49,50.36,51.94,2410300,51.77
2010-11-08,51.94,53.52,51.55,52.36,3059000,52.19
2010-11-01,51.79,52.61,50.00,51.92,2909600,51.75
2010-10-25,50.50,51.91,50.17,51.61,2260600,51.44
2010-10-18,50.74,50.87,49.40,50.22,2185800,50.05
2010-10-11,50.36,51.87,49.38,50.81,3422300,50.64
2010-10-04,51.59,52.34,50.13,50.37,3016500,50.20
2010-09-27,51.63,52.32,51.15,51.62,3252200,51.45
2010-09-20,49.50,51.76,49.31,51.69,2978500,51.52
2010-09-13,49.36,49.55,48.35,49.27,2977000,49.11
2010-09-07,48.20,49.95,47.73,49.07,2754300,48.91
2010-08-30,47.20,48.35,46.08,48.22,2625000,48.06
2010-08-23,47.46,47.86,45.78,47.36,2787300,47.20
2010-08-16,45.41,48.33,45.14,47.43,3219500,47.27
2010-08-09,46.99,47.27,44.27,45.76,3153200,45.61
2010-08-02,46.81,47.42,45.96,46.75,3389300,46.60
2010-07-26,46.92,46.92,44.73,46.24,3433500,46.09
2010-07-19,44.30,46.77,43.74,46.77,4317400,46.62
2010-07-12,45.73,45.97,44.02,44.19,3145900,44.04
2010-07-06,44.34,47.21,44.10,46.01,4864900,45.86
2010-06-28,44.20,45.72,43.26,43.70,5174700,43.56
2010-06-21,45.61,46.21,43.50,43.98,4060500,43.83
2010-06-14,44.32,45.30,43.57,45.07,4090500,44.92
2010-06-07,41.75,44.36,41.48,44.22,5045600,44.07
2010-06-01,40.31,42.60,39.82,41.51,4044300,41.37
2010-05-24,40.18,41.26,38.40,40.53,4129700,40.40
2010-05-17,41.23,42.20,38.09,40.38,5127400,40.25
2010-05-10,40.35,42.04,39.85,41.18,3996800,41.04
2010-05-03,41.22,41.54,38.10,38.86,5641200,38.73
2010-04-26,42.38,42.49,40.55,40.81,3478900,40.67
2010-04-19,41.85,42.41,41.21,42.37,2970000,42.23
2010-04-12,42.75,42.98,41.20,41.97,5133100,41.83
2010-04-05,42.77,43.44,41.52,42.62,4264100,42.48
2010-03-29,41.89,43.29,41.89,42.70,4478600,42.56
2010-03-22,43.97,44.85,41.36,41.65,5751900,41.51
2010-03-15,43.12,44.50,42.93,44.29,3351600,44.14
2010-03-08,43.25,43.80,42.13,43.38,3428300,43.24
2010-03-01,42.78,43.55,42.53,43.41,2746900,43.27
2010-02-22,44.08,44.08,41.65,42.66,4290000,42.52
2010-02-16,42.92,44.28,42.92,43.92,2769300,43.77
2010-02-08,40.03,42.88,40.00,42.62,3560600,42.48
2010-02-01,42.95,43.37,39.46,40.10,3960300,39.97
2010-01-25,42.56,43.50,41.81,42.45,3733800,42.31
2010-01-19,44.06,44.59,42.07,42.18,3092700,42.04
2010-01-11,44.87,45.00,43.01,44.00,3313400,43.85
2010-01-04,43.49,44.57,43.28,44.38,2618200,44.23
2009-12-28,43.59,43.84,42.88,43.21,2127200,43.07
2009-12-21,42.77,43.55,42.43,43.42,1532500,43.28
2009-12-14,40.48,42.16,40.28,42.12,2793400,41.98
2009-12-07,41.13,41.13,38.93,40.04,3503700,39.91
2009-11-30,40.96,42.42,40.43,41.00,2520500,40.86
2009-11-23,41.21,41.78,40.05,40.88,2358800,40.74
2009-11-16,39.93,41.30,39.72,40.64,2333900,40.51
2009-11-09,39.11,40.10,39.11,39.77,2160700,39.64
2009-11-02,37.12,39.25,36.15,38.76,3088400,38.63
2009-10-26,38.45,39.30,36.79,36.82,2987200,36.70
2009-10-19,39.94,40.54,38.33,38.46,3056400,38.33
2009-10-12,36.73,40.20,36.73,39.45,5014200,39.32
2009-10-05,35.78,37.37,35.67,36.68,3286300,36.56
2009-09-28,36.57,36.97,35.03,35.65,3708300,35.53
2009-09-21,37.31,37.70,35.88,36.39,3609200,36.27
2009-09-14,34.51,37.71,34.03,37.63,5976900,37.51
2009-09-08,33.69,35.65,33.49,35.43,4295000,35.31
2009-08-31,31.84,33.55,30.85,33.38,3523500,33.27
2009-08-24,33.19,33.25,31.93,32.11,2784100,32.00
2009-08-17,31.71,33.47,31.51,33.12,2713700,33.01
2009-08-10,32.30,32.93,31.90,32.13,2757900,32.02
2009-08-03,34.44,34.90,31.78,32.27,3791100,32.16
2009-07-27,33.42,34.64,32.14,34.09,3318800,33.98
2009-07-20,32.38,33.88,31.78,33.48,3106300,33.37
2009-07-13,30.99,32.90,30.59,32.22,3408600,32.11
2009-07-06,30.80,31.14,29.89,30.78,3421000,30.68
2009-06-29,32.03,32.46,30.62,30.98,2940100,30.88
2009-06-22,29.48,32.23,29.02,31.87,4364200,31.76
2009-06-15,30.26,30.26,29.10,29.65,3066200,29.55
2009-06-08,30.07,31.20,29.35,30.43,4221000,30.33
2009-06-01,32.41,32.50,30.24,30.49,3753500,30.39
2009-05-26,29.26,31.91,29.02,31.87,3263000,31.76
2009-05-18,29.02,30.87,28.89,29.54,3192100,29.44
2009-05-11,29.12,29.99,27.93,28.21,4510000,28.12
2009-05-04,30.81,31.55,29.14,29.48,6951200,29.38
2009-04-27,32.31,33.98,30.62,30.81,4094500,30.71
2009-04-20,32.40,33.02,31.17,32.79,2911400,32.68
2009-04-13,32.59,33.44,30.10,32.90,3889400,32.79
2009-04-06,33.34,33.95,31.54,32.82,3592800,32.71
2009-03-30,31.34,34.52,29.75,34.39,4750300,34.28
2009-03-23,31.37,32.53,30.80,32.01,3893200,31.90
2009-03-16,29.47,31.67,28.97,30.60,4176800,30.50
2009-03-09,26.75,30.00,26.59,29.24,4584200,29.14
2009-03-02,28.58,29.25,26.60,27.28,5215900,27.19
2009-02-23,27.14,30.19,25.45,29.12,6273600,29.02
2009-02-17,27.98,28.13,25.53,26.60,4402500,26.51
2009-02-09,29.91,30.35,27.96,28.85,2995600,28.75
2009-02-02,29.96,31.31,29.11,30.20,3769500,30.10
2009-01-26,30.20,32.09,29.34,30.34,4244800,30.24
2009-01-20,28.85,30.26,27.92,30.12,3597500,30.02
2009-01-12,28.30,29.60,27.34,29.07,4773600,28.97
2009-01-05,29.93,30.85,27.97,28.39,4469900,28.30
2008-12-29,27.98,30.34,27.04,30.19,2634900,30.09
2008-12-22,29.47,29.63,27.13,28.28,2213800,28.19
2008-12-15,26.93,29.81,25.74,29.45,4393800,29.35
2008-12-08,30.00,30.25,26.46,26.82,5263100,26.73
2008-12-01,26.59,29.76,24.95,29.62,4203100,29.52
2008-11-24,21.41,27.75,21.33,27.24,6153800,27.15
2008-11-17,26.22,26.38,19.35,20.92,6639100,20.85
2008-11-10,31.14,31.29,24.58,26.64,5347600,26.55
2008-11-03,32.97,34.65,29.19,30.57,4415500,30.47
2008-10-27,26.82,32.95,26.04,32.31,6687000,32.20
