Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,5.78,5.87,5.42,5.72,10700,5.72
2012-05-14,5.61,5.80,5.32,5.79,1500,5.79
2012-05-07,5.78,5.85,5.30,5.61,7800,5.61
2012-04-30,5.50,5.85,5.40,5.75,2100,5.75
2012-04-23,5.63,6.00,5.50,5.74,4500,5.74
2012-04-16,5.70,5.95,5.51,5.70,3300,5.70
2012-04-09,5.74,5.92,5.55,5.70,2300,5.70
2012-04-02,5.59,5.83,5.46,5.76,1100,5.76
2012-03-26,6.10,6.10,5.61,5.74,1100,5.74
2012-03-19,5.77,6.07,5.50,6.07,4700,6.07
2012-03-12,5.46,5.90,5.26,5.81,8400,5.81
2012-03-05,5.69,5.90,5.42,5.55,5200,5.55
2012-02-27,5.62,5.90,5.51,5.83,1700,5.83
2012-02-21,5.68,6.00,5.55,5.57,5800,5.57
2012-02-13,5.55,5.68,5.50,5.68,800,5.68
2012-02-06,5.56,5.60,5.34,5.50,300,5.50
2012-01-30,5.16,5.64,5.16,5.60,10000,5.60
2012-01-23,5.48,5.50,5.15,5.15,1500,5.15
2012-01-17,5.53,5.65,5.27,5.40,2600,5.40
2012-01-09,5.24,5.67,5.22,5.50,4500,5.50
2012-01-03,5.25,5.25,4.95,5.20,2500,5.20
2011-12-27,5.18,5.23,4.86,5.22,5300,5.22
2011-12-19,4.43,5.25,4.43,5.22,4400,5.22
2011-12-12,4.66,5.10,4.50,4.71,4600,4.71
2011-12-05,4.55,4.62,4.50,4.62,2500,4.62
2011-11-28,4.45,4.86,4.45,4.55,1900,4.55
2011-11-21,4.50,4.61,4.45,4.45,2400,4.45
2011-11-14,4.62,4.69,4.55,4.60,700,4.60
2011-11-07,4.76,4.89,4.53,4.53,2800,4.53
2011-10-31,4.64,4.75,4.62,4.75,3900,4.75
2011-10-24,4.50,4.78,4.50,4.74,2800,4.74
2011-10-17,4.70,4.70,4.50,4.50,1400,4.50
2011-10-10,4.51,4.80,4.51,4.70,5100,4.70
2011-10-03,4.48,4.54,4.44,4.52,3200,4.52
2011-09-26,4.37,4.63,4.35,4.55,1300,4.55
2011-09-19,4.32,4.63,4.30,4.35,5400,4.35
2011-09-12,4.25,4.44,4.09,4.33,8200,4.33
2011-09-06,3.82,4.28,3.80,3.89,25900,3.89
2011-08-29,4.08,4.09,3.80,3.85,18400,3.85
2011-08-22,4.15,4.25,3.84,4.03,16600,4.03
2011-08-15,4.38,4.38,4.10,4.10,4900,4.10
2011-08-08,4.36,4.53,4.19,4.25,7600,4.25
2011-08-01,4.53,4.63,4.38,4.38,2700,4.38
2011-07-25,4.54,4.55,4.40,4.54,8100,4.54
2011-07-18,4.55,4.62,4.48,4.54,5200,4.54
2011-07-11,4.56,4.64,4.56,4.59,3200,4.59
2011-07-05,4.74,4.74,4.56,4.61,1300,4.61
2011-06-27,4.62,4.75,4.52,4.70,3500,4.70
2011-06-20,4.59,4.64,4.50,4.64,5500,4.64
2011-06-13,4.17,4.63,4.13,4.63,10600,4.63
2011-06-06,4.27,4.37,4.17,4.27,10400,4.27
2011-05-31,4.55,4.64,4.16,4.28,17500,4.28
2011-05-23,4.50,4.61,3.99,4.60,49300,4.60
2011-05-16,4.70,4.74,4.50,4.57,4800,4.57
2011-05-09,4.66,4.97,4.61,4.74,15200,4.74
2011-05-02,4.74,4.80,4.61,4.75,4600,4.75
2011-04-25,4.82,4.91,4.59,4.81,12400,4.81
2011-04-18,4.76,4.95,4.59,4.80,9200,4.80
2011-04-11,4.69,4.92,4.59,4.81,28500,4.81
2011-04-04,4.90,4.98,4.72,4.77,2100,4.77
2011-03-28,4.78,5.00,4.73,4.90,4500,4.90
2011-03-21,4.72,5.10,4.52,4.80,13600,4.80
2011-03-14,4.93,4.93,4.50,4.75,5200,4.75
2011-03-07,5.26,5.34,4.65,4.73,23900,4.73
2011-02-28,5.22,5.45,5.19,5.30,2600,5.30
2011-02-22,5.45,5.45,5.05,5.33,17100,5.33
2011-02-14,5.66,5.70,5.38,5.49,16700,5.49
2011-02-07,5.68,6.00,5.32,5.57,17600,5.57
2011-01-31,5.54,5.75,5.28,5.67,16200,5.67
2011-01-24,5.41,5.85,5.24,5.57,21300,5.57
2011-01-18,5.33,5.52,5.10,5.37,7400,5.37
2011-01-10,5.22,5.49,5.06,5.24,14100,5.24
2011-01-03,5.34,5.50,5.16,5.20,19600,5.20
2010-12-27,5.14,5.50,4.90,5.20,11300,5.20
2010-12-20,4.69,5.50,4.65,5.15,52200,5.15
2010-12-13,4.24,4.85,4.12,4.66,40800,4.66
2010-12-06,4.15,4.25,4.14,4.14,2100,4.14
2010-11-29,4.19,4.35,4.11,4.20,5100,4.20
2010-11-22,4.27,4.35,4.10,4.35,5700,4.35
2010-11-15,4.20,4.35,4.11,4.22,4000,4.22
2010-11-08,4.21,4.35,4.05,4.12,3100,4.12
2010-11-01,4.23,4.36,4.08,4.31,1200,4.31
2010-10-25,4.33,4.36,4.10,4.23,5700,4.23
2010-10-18,4.27,4.32,4.04,4.25,49700,4.25
2010-10-11,4.36,4.37,4.15,4.32,2500,4.32
2010-10-04,4.35,4.44,4.15,4.15,21300,4.15
2010-09-27,4.30,4.53,4.12,4.33,3000,4.33
2010-09-20,4.35,4.68,4.12,4.30,24400,4.30
2010-09-13,4.16,4.50,4.15,4.50,900,4.50
2010-09-07,4.50,4.50,4.07,4.11,6600,4.11
2010-08-30,4.33,4.49,4.00,4.49,3900,4.49
2010-08-23,4.13,4.40,3.97,4.22,6100,4.22
2010-08-16,4.02,4.34,3.97,4.13,2100,4.13
2010-08-09,3.99,4.30,3.62,4.02,7900,4.02
2010-08-02,4.13,4.31,3.61,4.05,12100,4.05
