Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,28.29,29.70,28.01,29.17,242000,29.17
2012-05-14,27.76,28.57,26.85,28.33,295300,28.33
2012-05-07,31.17,32.51,27.06,28.09,431200,28.09
2012-04-30,34.83,35.28,30.84,31.11,181100,31.11
2012-04-23,34.69,35.59,33.81,34.84,173200,34.84
2012-04-16,36.76,36.83,34.61,35.05,285800,35.05
2012-04-09,37.35,38.11,36.10,36.75,154400,36.75
2012-04-02,37.80,39.90,37.15,38.00,193200,38.00
2012-03-26,38.58,39.37,36.87,38.00,218000,38.00
2012-03-19,39.79,39.90,37.69,38.23,133700,38.23
2012-03-12,39.10,40.08,38.52,39.47,238800,39.47
2012-03-05,38.34,39.51,37.83,39.00,201800,39.00
2012-02-27,43.22,44.37,37.78,38.26,363800,38.26
2012-02-21,42.18,43.54,41.65,43.31,102400,43.31
2012-02-13,40.81,42.61,40.55,42.02,122600,42.02
2012-02-06,41.25,42.31,40.06,40.65,121500,40.65
2012-01-30,41.03,42.47,40.01,41.46,147900,41.46
2012-01-23,42.15,42.86,40.16,41.32,134800,41.32
2012-01-17,44.95,46.96,41.72,42.05,287100,42.05
2012-01-09,42.72,44.97,41.94,44.81,167900,44.81
2012-01-03,44.14,44.35,41.99,42.53,241200,42.53
2011-12-27,43.58,45.23,42.91,43.28,166100,43.28
2011-12-19,41.86,44.75,41.75,43.70,223000,43.70
2011-12-12,39.26,42.12,38.52,41.57,290600,41.57
2011-12-05,39.13,39.87,36.51,39.59,124400,39.59
2011-11-28,37.52,39.29,36.26,38.50,194600,38.50
2011-11-21,35.30,37.87,35.00,36.43,305200,36.43
2011-11-14,37.52,38.24,35.66,36.00,149900,36.00
2011-11-07,35.45,37.84,33.42,37.64,216900,37.64
2011-10-31,35.95,36.86,33.59,35.43,153300,35.43
2011-10-24,32.28,37.70,31.78,36.57,242700,36.57
2011-10-17,38.24,38.48,27.20,32.12,809900,32.12
2011-10-10,35.99,38.69,35.58,38.63,99200,38.63
2011-10-03,33.60,37.96,32.02,35.32,194000,35.32
2011-09-26,35.20,36.90,33.44,34.00,173500,34.00
2011-09-19,37.89,39.05,33.38,34.76,171700,34.76
2011-09-12,38.92,41.27,38.12,38.52,210600,38.52
2011-09-06,37.61,41.24,37.61,39.53,115400,39.53
2011-08-29,39.21,41.78,38.06,38.73,156300,38.73
2011-08-22,36.17,39.57,34.93,38.82,224000,38.82
2011-08-15,43.11,43.11,34.40,34.84,256300,34.84
2011-08-08,43.30,45.62,39.48,42.79,317100,42.79
2011-08-01,46.14,47.97,43.96,44.44,204200,44.44
2011-07-25,48.28,49.22,44.52,45.57,115100,45.57
2011-07-18,47.52,49.29,47.00,48.88,75200,48.88
2011-07-11,48.06,48.88,44.76,47.85,101200,47.85
2011-07-05,45.69,48.85,45.03,48.61,94000,48.61
2011-06-27,42.48,46.06,42.07,45.67,109200,45.67
2011-06-20,41.35,42.85,40.21,42.61,95900,42.61
2011-06-13,40.47,44.99,40.00,41.51,110900,41.51
2011-06-06,43.94,44.30,40.25,40.47,97200,40.47
2011-05-31,44.07,47.53,43.15,43.90,121100,43.90
2011-05-23,43.32,44.35,43.13,43.80,66800,43.80
2011-05-16,43.84,44.61,43.26,43.51,86900,43.51
2011-05-09,42.88,45.33,42.29,44.05,139000,44.05
2011-05-02,42.27,43.80,41.70,43.00,93400,43.00
2011-04-25,42.95,44.96,41.56,42.25,106500,42.25
2011-04-18,41.75,43.27,40.70,43.24,85500,43.24
2011-04-11,42.00,42.55,41.00,42.09,86500,42.09
2011-04-04,40.85,43.07,40.13,41.95,102100,41.95
2011-03-28,40.03,41.41,37.92,40.85,99500,40.85
2011-03-21,40.29,41.57,39.79,39.86,101400,39.86
2011-03-14,41.14,42.12,39.26,39.89,114100,39.89
2011-03-07,43.60,43.85,40.99,41.51,113900,41.51
2011-02-28,43.25,43.75,41.76,43.44,169900,43.44
2011-02-22,42.91,43.42,40.60,43.11,286000,43.11
2011-02-14,38.50,43.53,35.06,43.49,480400,43.49
2011-02-07,36.75,38.54,36.75,38.50,70900,38.50
2011-01-31,34.35,37.04,33.43,36.78,117200,36.78
2011-01-24,35.10,37.12,34.00,34.15,109900,34.15
2011-01-18,36.77,36.88,35.06,35.06,107300,35.06
2011-01-10,36.99,37.37,34.26,36.47,203100,36.47
2011-01-03,37.52,39.63,36.66,38.71,145300,38.71
2010-12-27,36.75,37.72,35.96,37.24,95200,37.24
2010-12-20,35.72,37.26,35.30,36.74,76300,36.74
2010-12-13,35.48,35.71,33.72,35.52,165600,35.52
2010-12-06,33.85,38.90,33.55,35.30,255100,35.30
2010-11-29,34.50,34.98,32.89,33.99,182600,33.99
2010-11-22,34.23,34.76,32.76,34.67,88800,34.67
2010-11-15,33.06,34.99,32.76,34.35,152400,34.35
2010-11-08,26.75,34.44,26.75,32.93,436900,32.93
2010-11-01,27.93,29.49,26.15,26.75,447300,26.75
2010-10-25,33.43,33.78,27.71,27.96,383300,27.96
2010-10-18,31.97,33.80,31.86,33.23,103000,33.23
2010-10-11,32.80,34.51,29.74,31.91,284500,31.91
2010-10-04,33.09,33.65,31.90,32.75,202600,32.75
2010-09-27,32.20,33.50,31.16,33.30,164600,33.30
2010-09-20,29.70,32.67,29.66,32.08,260200,32.08
2010-09-13,27.15,30.38,26.86,29.64,271600,29.64
2010-09-07,26.40,27.38,26.00,26.95,167300,26.95
2010-08-30,24.79,26.83,24.60,26.41,150000,26.41
2010-08-23,25.03,26.01,24.15,24.90,239400,24.90
2010-08-16,23.84,25.75,23.84,24.95,353900,24.95
2010-08-09,29.20,29.25,24.54,24.70,773600,24.70
2010-08-02,45.11,45.22,28.50,28.96,1510300,28.96
2010-07-26,46.23,46.51,44.35,44.66,147900,44.66
2010-07-19,42.68,46.58,42.68,46.03,176200,46.03
2010-07-12,43.01,44.23,42.04,42.67,128600,42.67
2010-07-06,41.64,43.30,41.00,43.15,172500,43.15
2010-06-28,45.45,45.91,40.67,41.40,158700,41.40
2010-06-21,48.33,48.95,44.74,45.42,140000,45.42
2010-06-14,47.86,48.49,44.68,47.99,213000,47.99
2010-06-07,46.20,48.26,44.82,47.48,284800,47.48
2010-06-01,40.50,46.82,40.27,46.24,313800,46.24
2010-05-24,41.51,42.32,40.89,40.89,124600,40.89
2010-05-17,45.19,46.29,41.39,41.65,150900,41.65
2010-05-10,42.90,45.63,42.06,44.94,138900,44.94
2010-05-03,42.55,44.99,40.51,42.00,154500,42.00
2010-04-26,46.00,46.00,41.36,42.35,106100,42.35
2010-04-19,45.86,46.40,45.00,46.16,148400,46.16
2010-04-12,46.00,46.00,45.00,45.80,131700,45.80
2010-04-05,46.61,46.71,45.27,46.03,75900,46.03
2010-03-29,45.85,47.23,45.44,46.39,117800,46.39
2010-03-22,45.48,47.21,44.62,45.79,96200,45.79
2010-03-15,44.05,47.20,43.96,45.52,95600,45.52
2010-03-08,43.39,45.71,42.88,44.20,128400,44.20
2010-03-01,43.28,44.42,43.11,43.61,117900,43.61
2010-02-22,40.27,43.76,39.19,43.26,288900,43.26
2010-02-16,40.50,40.94,39.13,40.34,128100,40.34
2010-02-08,38.60,40.50,38.16,40.50,114000,40.50
2010-02-01,38.09,40.20,37.42,38.73,217400,38.73
2010-01-25,37.09,39.81,36.47,38.14,221200,38.14
2010-01-19,37.40,38.15,36.06,37.07,98800,37.07
2010-01-11,37.18,38.56,36.58,37.29,120500,37.29
2010-01-04,34.70,37.25,33.81,37.21,183000,37.21
2009-12-28,33.53,34.96,33.40,34.36,109200,34.36
2009-12-21,32.96,33.75,32.70,33.69,98300,33.69
2009-12-14,33.43,34.84,31.88,32.79,227600,32.79
2009-12-07,31.21,33.39,30.68,33.38,119300,33.38
2009-11-30,31.64,32.29,30.30,31.23,199300,31.23
2009-11-23,32.43,32.87,31.55,31.57,62100,31.57
