Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,2.98,3.06,2.85,2.98,4900,2.98
2012-05-14,3.00,3.00,2.75,2.99,4600,2.99
2012-05-07,3.00,3.28,2.85,3.00,9600,3.00
2012-04-30,3.06,3.30,2.61,3.11,8300,3.11
2012-04-23,3.22,3.35,3.05,3.31,3600,3.31
2012-04-16,3.36,3.36,3.01,3.20,2000,3.20
2012-04-09,3.30,3.36,2.94,3.36,2400,3.36
2012-04-02,3.30,3.30,3.07,3.09,400,3.09
2012-03-26,3.53,3.60,3.15,3.46,1500,3.46
2012-03-19,3.25,3.60,3.21,3.44,7500,3.44
2012-03-12,3.42,3.43,2.97,3.25,5000,3.25
2012-03-05,3.20,3.44,3.05,3.42,1600,3.42
2012-02-27,3.29,3.45,3.14,3.45,2200,3.45
2012-02-21,3.39,3.43,3.00,3.38,5600,3.38
2012-02-13,3.50,3.50,2.47,3.13,6900,3.13
2012-02-06,3.16,3.55,3.16,3.53,6400,3.53
2012-01-30,3.45,3.50,3.08,3.25,4700,3.25
2012-01-23,3.40,3.69,3.14,3.44,3000,3.44
2012-01-17,3.20,3.99,3.09,3.33,5200,3.33
2012-01-09,3.04,3.27,2.88,3.22,3700,3.22
2012-01-03,2.85,3.04,2.85,3.04,4900,3.04
2011-12-27,3.05,3.05,2.80,2.80,3700,2.80
2011-12-19,2.70,2.91,2.63,2.91,4000,2.91
2011-12-12,2.84,3.03,2.60,2.92,2900,2.92
2011-12-05,2.98,3.02,2.54,2.70,3800,2.70
2011-11-28,2.69,3.15,2.69,2.97,800,2.97
2011-11-21,3.05,3.05,2.60,2.60,2100,2.60
2011-11-14,3.10,3.19,2.90,3.05,3700,3.05
2011-11-07,3.02,3.25,2.88,3.13,5700,3.13
2011-10-31,2.97,3.25,2.86,3.03,3900,3.03
2011-10-24,3.25,3.30,2.95,3.08,6100,3.08
2011-10-17,3.00,3.24,2.51,3.00,5200,3.00
2011-10-10,2.90,3.29,2.52,3.27,15100,3.27
2011-10-03,2.65,3.00,1.92,2.63,6900,2.63
2011-09-26,3.49,3.49,2.80,2.85,7800,2.85
2011-09-19,3.50,3.91,3.13,3.29,11500,3.29
2011-09-12,3.29,3.80,3.29,3.75,5500,3.75
2011-09-06,3.33,3.58,3.29,3.31,3700,3.31
2011-08-29,3.39,3.60,3.25,3.58,5700,3.58
2011-08-22,3.94,3.99,3.26,3.52,3200,3.52
2011-08-15,3.53,4.01,3.35,3.40,4000,3.40
2011-08-08,3.64,4.00,2.62,3.53,7200,3.53
2011-08-01,4.73,4.75,3.64,3.85,7200,3.85
2011-07-25,4.60,4.93,4.60,4.75,4100,4.75
2011-07-18,4.75,4.93,4.55,4.63,3400,4.63
2011-07-11,4.72,4.98,4.60,4.75,5800,4.75
2011-07-05,4.96,4.98,4.33,4.98,7100,4.98
2011-06-27,4.20,4.98,4.19,4.86,4400,4.86
2011-06-20,4.60,5.05,4.10,4.13,5100,4.13
2011-06-13,4.15,5.45,3.77,4.80,17000,4.80
2011-06-06,5.00,5.05,3.50,4.29,17700,4.29
2011-05-31,5.10,5.49,5.10,5.12,3400,5.12
2011-05-23,5.98,5.98,5.00,5.42,2900,5.42
2011-05-16,5.95,6.00,5.74,5.98,4300,5.98
2011-05-09,5.50,6.15,5.50,6.00,8300,6.00
2011-05-02,6.26,6.30,5.03,5.50,5900,5.50
