Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,13.81,13.83,13.69,13.77,8300,13.77
2012-05-14,14.25,14.25,13.60,13.81,2400,13.81
2012-05-07,13.87,14.25,13.87,14.25,9100,14.25
2012-04-30,13.32,13.89,13.32,13.89,300,13.89
2012-04-23,13.27,13.27,13.14,13.25,13100,13.25
2012-04-16,13.00,13.27,12.67,13.27,3700,13.27
2012-04-09,12.96,13.00,12.80,13.00,3000,13.00
2012-04-02,13.04,13.10,12.71,12.71,2700,12.71
2012-03-26,13.11,13.11,12.90,13.10,800,13.10
2012-03-19,12.35,13.05,12.33,13.05,8800,13.05
2012-03-12,12.35,12.35,12.20,12.35,3100,12.35
2012-03-05,12.00,12.34,12.00,12.34,9500,12.34
2012-02-27,11.96,12.23,11.95,12.08,9400,12.08
2012-02-21,11.76,11.99,11.72,11.99,1300,11.99
2012-02-13,11.59,11.91,11.59,11.91,12800,11.91
2012-02-06,11.60,11.73,11.52,11.52,2500,11.52
2012-01-30,11.75,11.75,11.50,11.58,3600,11.58
2012-01-23,11.50,11.75,11.50,11.75,5600,11.75
2012-01-17,11.65,11.65,11.40,11.45,3900,11.45
2012-01-09,11.60,11.70,11.60,11.65,1000,11.65
2012-01-03,11.60,11.77,11.60,11.75,17300,11.75
2011-12-27,11.60,11.75,11.60,11.70,5100,11.70
2011-12-19,11.65,11.75,11.62,11.75,6500,11.75
2011-12-12,11.65,11.77,11.65,11.65,23300,11.65
2011-12-05,11.65,11.75,11.50,11.61,5600,11.61
2011-11-28,11.60,11.70,11.50,11.70,14300,11.70
2011-11-21,11.53,11.62,11.49,11.60,18800,11.60
2011-11-14,11.50,11.75,11.50,11.55,42700,11.55
2011-11-07,11.60,11.63,11.48,11.55,7000,11.55
2011-10-31,11.88,11.88,11.50,11.60,5000,11.60
2011-10-24,11.75,11.99,11.75,11.87,24400,11.87
2011-10-17,11.55,11.87,11.32,11.85,105000,11.85
2011-10-12,11.50,11.76,11.30,11.54,657400,11.54
