Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,16.35,17.23,16.16,16.75,226500,16.75
2012-05-14,16.10,16.82,15.85,16.29,242200,16.29
2012-05-07,16.48,16.90,15.85,16.38,244700,16.38
2012-04-30,19.07,19.17,16.34,16.65,326600,16.65
2012-04-23,17.03,19.37,16.42,18.98,368000,18.98
2012-04-16,17.81,18.18,17.20,17.41,159700,17.41
2012-04-09,18.05,18.06,16.67,17.73,277900,17.73
2012-04-02,17.45,18.93,17.37,18.50,327700,18.50
2012-03-26,17.30,18.05,17.22,17.47,429800,17.47
2012-03-19,13.97,18.25,13.62,17.09,821200,17.09
2012-03-12,13.53,14.05,13.18,14.00,168600,14.00
2012-03-05,13.75,14.05,13.13,13.55,188100,13.55
2012-02-27,13.81,14.50,13.63,13.83,242100,13.83
2012-02-21,13.87,14.34,13.46,14.00,189500,14.00
2012-02-13,12.04,14.06,11.87,13.80,521100,13.80
2012-02-06,12.10,12.43,11.78,11.85,119700,11.85
2012-01-30,11.46,12.28,11.01,12.19,222200,12.19
2012-01-23,11.28,12.19,11.02,11.60,227600,11.60
2012-01-17,11.29,11.33,10.85,11.32,89600,11.32
2012-01-09,11.12,11.40,10.73,11.16,135600,11.16
2012-01-03,11.53,11.65,10.65,11.08,165300,11.08
2011-12-27,11.51,11.81,11.16,11.18,126100,11.18
2011-12-19,10.48,11.94,10.23,11.60,222800,11.60
2011-12-12,10.39,10.90,10.05,10.35,241700,10.35
2011-12-05,10.64,10.77,10.06,10.62,209200,10.62
2011-11-28,9.77,10.93,9.56,10.34,458900,10.34
2011-11-21,10.46,10.70,9.34,9.35,152600,9.35
2011-11-14,10.92,11.05,10.16,10.75,187700,10.75
2011-11-07,10.45,11.10,10.05,10.99,252500,10.99
2011-10-31,10.61,11.21,9.69,10.56,210400,10.56
2011-10-24,9.89,11.90,9.66,10.88,282900,10.88
2011-10-17,9.24,9.99,8.93,9.83,255200,9.83
2011-10-10,8.59,9.47,8.37,9.35,199800,9.35
