Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,26.27,26.27,26.25,26.25,800,26.25
2012-05-14,26.25,26.26,26.25,26.26,000,26.26
2012-05-07,26.25,26.25,26.25,26.25,000,26.25
2012-04-30,26.25,26.25,26.25,26.25,000,26.25
2012-04-23,26.50,26.50,26.10,26.25,400,26.25
2012-04-16,26.50,26.50,26.50,26.50,000,26.50
2012-04-09,25.25,26.50,25.25,26.50,100,26.50
2012-04-02,25.12,26.15,25.12,26.13,600,26.13
2012-03-26,26.15,26.15,25.12,25.12,200,25.12
2012-03-19,25.31,26.15,25.20,26.15,200,25.61
2012-03-12,25.35,25.46,25.31,25.31,100,24.78
2012-03-05,25.99,25.99,25.17,25.31,100,24.78
2012-02-27,25.52,25.99,25.15,25.99,1000,25.45
2012-02-21,25.50,25.50,25.50,25.50,000,24.97
2012-02-13,25.60,25.60,25.50,25.50,600,24.97
2012-02-06,25.50,26.05,25.00,26.05,400,25.51
2012-01-30,25.00,25.50,25.00,25.50,1300,24.97
2012-01-23,25.50,25.50,24.95,25.00,900,24.48
2012-01-17,25.16,25.20,24.80,24.98,1700,24.46
2012-01-09,25.98,26.23,25.50,25.50,1100,24.97
2012-01-03,26.23,26.23,25.21,25.98,200,25.44
2011-12-27,25.70,26.25,25.68,26.19,1200,25.65
2011-12-19,25.55,26.25,25.50,25.70,2000,24.65
2011-12-12,25.55,25.75,25.50,25.75,500,24.70
2011-12-05,25.50,25.51,25.50,25.51,200,24.47
2011-11-28,25.46,25.46,25.01,25.02,100,24.00
2011-11-21,25.46,25.46,25.46,25.46,100,24.42
2011-11-14,25.59,25.59,25.05,25.06,100,24.03
2011-11-07,25.12,25.63,25.12,25.63,100,24.58
2011-10-31,25.00,25.05,25.00,25.05,000,24.03
2011-10-24,25.00,25.05,25.00,25.00,100,23.98
2011-10-17,25.02,25.06,25.00,25.00,300,23.98
2011-10-10,25.70,25.70,25.02,25.02,000,24.00
2011-10-03,25.50,26.25,25.50,25.70,200,24.65
2011-09-26,25.40,25.50,25.03,25.50,000,24.46
2011-09-19,25.20,25.40,25.00,25.40,400,23.85
2011-09-12,25.01,25.20,25.01,25.20,000,23.67
2011-09-06,25.40,25.40,25.01,25.01,200,23.49
2011-08-29,25.39,25.40,25.39,25.40,000,23.85
2011-08-22,25.02,25.50,21.79,25.50,2600,23.95
2011-08-15,25.60,25.60,25.02,25.02,100,23.50
2011-08-08,25.10,25.60,25.00,25.60,100,24.04
2011-08-01,25.11,26.50,25.10,25.11,100,23.58
2011-07-25,25.05,25.11,25.05,25.11,100,23.58
2011-07-18,25.00,25.05,25.00,25.05,000,23.53
2011-07-11,25.01,25.05,25.00,25.00,200,23.48
2011-07-05,25.25,25.40,25.25,25.40,100,23.85
2011-06-27,25.00,25.25,25.00,25.25,300,23.71
2011-06-20,25.10,26.00,25.10,25.28,300,23.25
2011-06-13,25.10,26.00,25.10,25.10,200,23.08
2011-06-06,25.01,25.10,25.01,25.10,000,23.08
2011-05-31,25.02,25.50,25.00,25.00,500,22.99
2011-05-23,25.06,25.11,25.00,25.05,400,23.03
2011-05-16,25.00,25.00,25.00,25.00,000,22.99
2011-05-09,25.55,25.55,25.00,25.00,500,22.99
2011-05-02,26.00,26.00,25.41,25.45,500,23.40
