Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,4.56,4.98,4.54,4.89,5100,4.89
2012-05-14,5.01,5.18,4.30,4.55,19700,4.55
2012-05-07,4.99,5.10,4.64,5.06,9300,5.06
2012-04-30,7.01,7.13,4.41,4.86,14500,4.86
2012-04-23,6.74,7.15,6.71,7.03,10400,4.69
2012-04-16,6.84,7.03,6.56,6.81,11700,4.54
2012-04-09,6.74,7.10,6.34,6.94,14200,4.63
2012-04-02,7.68,7.75,6.58,6.64,25200,4.43
2012-03-26,8.23,8.30,7.55,7.89,18400,5.26
2012-03-19,8.35,8.82,7.88,8.09,21300,5.39
2012-03-12,8.45,8.95,7.98,8.46,29500,5.64
2012-03-05,7.64,8.45,7.38,8.25,34600,5.50
2012-02-27,6.89,7.74,6.89,7.55,10700,5.03
2012-02-21,7.90,7.96,6.84,6.96,25900,4.64
2012-02-13,6.80,8.39,6.80,7.95,48500,5.30
2012-02-06,6.92,7.05,6.60,6.77,7500,4.51
2012-01-30,7.43,7.50,6.66,6.83,12800,4.55
2012-01-23,6.75,7.55,6.25,7.31,20400,4.87
2012-01-17,8.39,8.45,6.63,6.74,63600,4.49
2012-01-09,7.40,8.95,7.26,8.48,49600,5.65
2012-01-03,6.61,7.28,6.61,7.27,31500,4.85
2011-12-27,6.34,7.06,6.30,6.37,45000,4.25
2011-12-19,6.24,6.50,5.78,6.20,25200,4.13
2011-12-12,4.75,6.40,4.60,6.25,63800,4.17
2011-12-05,3.98,4.70,3.88,4.52,10900,3.01
2011-11-28,3.90,4.00,3.71,3.91,10700,2.61
2011-11-21,3.90,3.98,3.83,3.85,5200,2.57
2011-11-14,4.50,4.50,3.55,3.86,5100,2.57
2011-11-07,3.58,4.50,3.51,3.78,11200,2.52
2011-10-31,3.50,3.63,3.28,3.58,5200,2.39
2011-10-24,3.31,3.50,3.27,3.49,1200,2.33
2011-10-17,3.35,3.50,3.29,3.35,2900,2.23
2011-10-10,3.27,3.41,3.18,3.39,3900,2.26
2011-10-03,3.28,3.52,2.99,3.34,10500,2.23
2011-09-26,3.15,3.42,3.04,3.27,1800,2.18
2011-09-19,3.36,3.45,2.99,3.11,11400,2.07
2011-09-12,3.36,3.55,3.26,3.55,4300,2.37
2011-09-06,3.50,3.57,3.25,3.36,3400,2.24
2011-08-29,3.38,3.66,3.38,3.56,10200,2.37
2011-08-22,3.72,3.72,3.22,3.40,7700,2.27
2011-08-15,3.05,3.90,3.05,3.75,39000,2.50
2011-08-08,2.67,3.14,2.27,3.10,15600,2.07
2011-08-01,2.96,3.15,2.72,2.72,15200,1.81
2011-07-25,2.96,3.15,2.85,3.01,15900,2.01
2011-07-18,3.07,3.09,2.89,2.99,3900,1.99
2011-07-11,2.96,3.14,2.92,3.09,1100,2.06
2011-07-05,2.92,3.20,2.84,3.09,9300,2.06
2011-06-27,2.94,2.98,2.75,2.98,7000,1.99
2011-06-20,3.18,3.20,2.84,2.93,5500,1.95
2011-06-13,2.92,3.20,2.86,3.20,15300,2.13
2011-06-06,2.90,3.09,2.81,3.02,8100,2.01
2011-05-31,2.60,2.99,2.60,2.87,15700,1.91
2011-05-23,2.56,2.72,2.44,2.65,2000,1.77
2011-05-16,2.82,2.82,2.29,2.57,11200,1.71
2011-05-09,2.38,2.91,2.36,2.82,16600,1.88
2011-05-02,2.35,2.59,2.25,2.40,7200,1.60
2011-04-25,2.41,2.53,2.30,2.51,6500,1.67
2011-04-18,2.35,2.45,2.26,2.40,9500,1.60
2011-04-11,2.46,2.56,2.28,2.35,12200,1.57
2011-04-04,2.70,2.70,2.36,2.45,3300,1.63
2011-03-28,2.64,2.76,2.58,2.70,5900,1.80
2011-03-21,2.68,2.76,2.52,2.69,9800,1.79
2011-03-14,2.59,2.84,2.55,2.57,2100,1.71
2011-03-07,2.59,2.80,2.51,2.58,8300,1.72
2011-02-28,2.69,2.69,2.43,2.60,4300,1.73
2011-02-22,2.71,2.80,2.61,2.72,6400,1.81
2011-02-14,2.70,2.76,2.70,2.74,10300,1.83
2011-02-07,2.77,2.80,2.67,2.70,4400,1.80
2011-01-31,2.86,2.92,2.77,2.79,4200,1.86
2011-01-24,2.73,2.95,2.62,2.90,6700,1.93
2011-01-18,2.70,2.95,2.64,2.80,16900,1.87
2011-01-10,2.89,2.94,2.71,2.78,9300,1.85
2011-01-03,3.02,3.17,2.84,2.94,13100,1.96
2010-12-27,2.98,3.09,2.81,2.93,9200,1.95
2010-12-20,3.01,3.24,2.70,3.05,18400,2.03
2010-12-13,2.29,3.08,2.29,3.00,51900,2.00
2010-12-06,2.38,2.40,2.22,2.29,13700,1.53
2010-11-29,2.32,2.50,2.22,2.35,13500,1.57
2010-11-22,2.23,2.43,2.21,2.34,7900,1.56
2010-11-15,2.25,2.36,2.21,2.34,6200,1.56
2010-11-08,2.55,2.58,2.21,2.21,10000,1.47
2010-11-01,2.62,2.74,2.56,2.56,4400,1.71
2010-10-25,2.69,2.84,2.61,2.61,6900,1.74
2010-10-18,2.53,2.84,2.53,2.71,17200,1.81
2010-10-11,2.51,2.65,2.49,2.53,5700,1.69
2010-10-04,2.63,2.65,2.48,2.55,7000,1.70
2010-09-27,2.41,2.60,2.35,2.44,21500,1.63
2010-09-20,2.58,2.60,2.46,2.52,3600,1.68
2010-09-13,2.51,2.64,2.46,2.60,2200,1.73
2010-09-07,2.55,2.66,2.43,2.56,3600,1.71
2010-08-30,2.56,2.63,2.38,2.50,6400,1.67
2010-08-23,2.51,2.65,2.39,2.64,6200,1.76
2010-08-16,2.30,2.52,2.28,2.52,15800,1.68
2010-08-09,2.24,2.48,2.19,2.25,10700,1.50
2010-08-02,2.20,2.41,2.19,2.26,6900,1.51
2010-07-26,2.29,2.34,2.20,2.20,600,1.47
2010-07-19,2.14,2.34,2.09,2.29,3200,1.53
2010-07-12,2.24,2.30,2.16,2.18,3900,1.45
2010-07-06,2.21,2.38,2.20,2.21,2000,1.47
2010-06-28,2.31,2.41,2.20,2.26,6600,1.51
2010-06-21,2.40,2.50,2.21,2.35,12800,1.57
2010-06-14,2.25,2.49,2.21,2.49,5100,1.66
2010-06-07,2.35,2.40,2.21,2.21,7900,1.47
2010-06-01,2.44,2.50,2.32,2.48,5800,1.65
2010-05-24,2.50,2.64,2.37,2.44,12500,1.63
2010-05-17,2.58,2.81,2.47,2.50,18900,1.67
2010-05-10,2.23,2.60,2.12,2.58,24400,1.72
2010-05-03,2.37,2.55,2.21,2.22,4900,1.48
2010-04-26,2.34,2.52,2.34,2.42,4700,1.61
2010-04-19,2.35,2.50,2.31,2.48,6500,1.65
2010-04-12,2.39,2.49,2.35,2.40,7000,1.60
2010-04-05,2.33,2.55,2.30,2.37,3900,1.58
2010-03-29,2.21,2.39,2.21,2.38,12200,1.59
2010-03-22,2.33,2.39,2.21,2.30,7100,1.53
2010-03-15,2.33,2.50,2.30,2.45,3500,1.63
2010-03-08,2.51,2.51,2.28,2.50,5900,1.67
2010-03-01,2.45,2.65,2.41,2.55,5000,1.70
