Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,4.18,4.45,4.10,4.24,143300,4.24
2012-05-14,5.35,5.35,4.00,4.11,254600,4.11
2012-05-07,6.91,7.37,5.22,5.40,218800,5.40
2012-04-30,7.27,7.54,6.84,6.94,102800,6.94
2012-04-23,6.95,7.36,6.87,7.28,74800,7.28
2012-04-16,7.18,7.31,6.92,7.04,81000,7.04
2012-04-09,7.52,7.61,7.10,7.11,81600,7.11
2012-04-02,8.26,8.40,7.65,7.67,114300,7.67
2012-03-26,8.47,8.83,8.20,8.33,89500,8.33
2012-03-19,8.53,8.98,8.30,8.32,74100,8.32
2012-03-12,8.23,8.88,8.06,8.48,74800,8.48
2012-03-05,8.86,8.88,7.90,8.25,120400,8.25
2012-02-27,8.60,9.15,8.40,8.90,150500,8.90
2012-02-21,9.46,9.61,8.66,8.67,115600,8.67
2012-02-13,9.50,9.70,8.51,9.45,218800,9.45
2012-02-06,11.42,11.55,8.31,9.28,252700,9.28
2012-01-30,10.07,11.60,9.72,11.48,124100,11.48
2012-01-23,10.19,10.73,10.00,10.29,129100,10.29
2012-01-17,10.25,10.55,10.04,10.10,143300,10.10
2012-01-09,8.85,10.18,8.59,10.11,192400,10.11
2012-01-03,8.81,9.12,8.49,8.82,165600,8.82
2011-12-27,8.49,8.84,8.25,8.51,131400,8.51
2011-12-19,8.24,8.78,7.98,8.54,168400,8.54
2011-12-12,8.47,8.74,7.78,8.08,153900,8.08
2011-12-05,8.93,9.00,8.03,8.69,135100,8.69
2011-11-28,8.24,9.28,8.14,8.76,158300,8.76
2011-11-21,8.53,8.75,7.75,7.86,172700,7.86
2011-11-14,10.25,10.54,8.41,8.73,457200,8.73
2011-11-07,11.28,11.60,9.41,10.37,184400,10.37
2011-10-31,11.13,11.60,9.62,11.27,189100,11.27
2011-10-24,9.18,11.37,9.16,11.28,335700,11.28
2011-10-17,9.70,9.98,8.60,9.13,157800,9.13
2011-10-10,8.41,9.87,8.15,9.81,174300,9.81
2011-10-03,7.86,8.96,7.12,8.20,222200,8.20
2011-09-26,9.21,9.78,7.86,8.00,255600,8.00
2011-09-19,10.79,11.03,8.66,9.24,180400,9.24
2011-09-12,10.01,11.26,9.58,11.07,233900,11.07
2011-09-06,9.70,10.68,9.56,10.04,195000,10.04
2011-08-29,10.89,11.53,9.92,10.05,221700,10.05
2011-08-22,10.44,11.19,9.76,10.82,362400,10.82
2011-08-15,11.70,12.70,10.25,10.30,364000,10.30
2011-08-08,15.61,17.42,10.89,11.63,927900,11.63
2011-08-01,18.21,18.70,15.47,16.40,341100,16.40
2011-07-25,18.44,18.60,16.45,17.95,292100,17.95
2011-07-18,17.90,18.75,17.42,18.74,290400,18.74
2011-07-11,19.88,20.36,17.50,17.90,347600,17.90
2011-07-05,21.65,21.65,19.23,20.42,286100,20.42
2011-06-27,18.79,21.30,18.23,21.25,264500,21.25
2011-06-20,17.42,19.98,17.08,18.59,525000,18.59
2011-06-13,18.43,19.35,17.50,17.56,200000,17.56
2011-06-06,20.07,20.54,18.18,18.54,233100,18.54
2011-05-31,21.90,22.09,20.06,20.27,168800,20.27
2011-05-23,21.33,21.75,20.03,21.40,242300,21.40
2011-05-16,23.65,23.67,20.81,21.91,371000,21.91
2011-05-09,21.14,23.80,20.07,23.34,619300,23.34
2011-05-02,22.95,23.10,19.57,20.23,295800,20.23
2011-04-25,22.39,23.05,21.68,22.88,168900,22.88
2011-04-18,22.84,23.26,22.05,22.46,206700,22.46
2011-04-11,23.10,24.13,21.27,23.18,253200,23.18
2011-04-04,25.57,26.03,22.76,23.15,262000,23.15
2011-03-28,24.44,25.90,24.08,25.45,218200,25.45
2011-03-21,22.00,24.68,21.27,24.31,256800,24.31
2011-03-14,21.22,22.42,19.92,21.54,305500,21.54
2011-03-07,23.60,24.27,19.56,21.46,301900,21.46
2011-02-28,23.09,24.36,21.52,23.58,337500,23.58
2011-02-22,24.75,24.76,21.04,22.99,562400,22.99
2011-02-14,25.53,25.95,23.54,25.05,431700,25.05
2011-02-07,27.16,30.80,23.89,25.38,944100,25.38
2011-01-31,25.50,28.75,24.34,27.16,359100,27.16
2011-01-24,25.08,27.30,24.87,25.67,222300,25.67
2011-01-18,27.78,28.50,24.61,24.94,343000,24.94
2011-01-10,25.00,29.65,24.63,27.30,461900,27.30
2011-01-03,25.37,26.41,22.75,25.14,276300,25.14
2010-12-27,25.78,27.19,25.03,25.15,172500,25.15
2010-12-20,24.69,26.49,24.56,25.76,258900,25.76
2010-12-13,25.26,25.39,22.04,24.54,297900,24.54
2010-12-06,23.55,25.63,23.28,25.04,431200,25.04
2010-11-29,20.79,23.56,20.04,23.18,489700,23.18
2010-11-22,17.79,19.99,17.47,19.94,256800,19.94
2010-11-15,19.73,20.73,15.55,17.50,723700,17.50
2010-11-08,18.12,18.73,16.40,17.28,164400,17.28
2010-11-01,17.49,18.96,16.88,18.27,169200,18.27
2010-10-25,17.37,17.85,16.39,16.74,113800,16.74
