Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,5.64,5.69,5.50,5.51,53100,5.51
2012-05-14,5.88,5.90,5.56,5.68,75900,5.68
2012-05-07,5.77,5.90,5.69,5.85,86700,5.85
2012-04-30,5.89,5.93,5.69,5.80,83100,5.80
2012-04-23,5.60,5.84,5.58,5.80,71100,5.80
2012-04-16,5.53,5.70,5.47,5.60,49100,5.60
2012-04-09,5.46,5.57,5.41,5.55,30400,5.55
2012-04-02,5.49,5.52,5.40,5.46,28700,5.46
2012-03-26,5.52,5.58,5.33,5.44,74000,5.44
2012-03-19,5.47,5.58,5.40,5.48,59300,5.36
2012-03-12,5.48,5.52,5.33,5.49,45500,5.37
2012-03-05,5.37,5.59,5.35,5.47,53900,5.35
2012-02-27,5.25,5.42,5.25,5.39,27300,5.27
2012-02-21,5.29,5.35,5.20,5.30,45300,5.18
2012-02-13,5.25,5.30,5.18,5.26,25800,5.14
2012-02-06,5.36,5.38,5.18,5.20,41500,5.08
2012-01-30,5.17,5.33,5.11,5.30,73400,5.18
2012-01-23,5.19,5.27,5.07,5.18,60400,5.06
2012-01-17,5.18,5.30,5.10,5.15,35000,5.03
2012-01-09,5.04,5.19,5.02,5.14,22100,5.02
2012-01-03,4.91,5.13,4.91,5.04,39500,4.93
2011-12-27,5.15,5.23,4.90,4.94,99900,4.83
2011-12-19,5.00,5.16,4.90,5.16,80800,4.92
2011-12-12,5.05,5.11,4.95,5.01,47700,4.78
2011-12-05,5.10,5.21,5.06,5.06,41000,4.83
2011-11-28,5.35,5.35,5.10,5.10,41700,4.86
2011-11-21,5.21,5.23,5.08,5.16,37500,4.92
2011-11-14,5.19,5.32,5.08,5.13,57300,4.89
2011-11-07,4.98,5.12,4.95,5.11,53600,4.87
2011-10-31,5.21,5.22,4.98,5.03,67800,4.80
2011-10-24,5.10,5.15,4.91,5.12,52300,4.88
2011-10-17,4.99,5.15,4.96,5.08,31200,4.85
2011-10-10,5.04,5.17,4.97,5.00,43500,4.77
2011-10-03,5.12,5.32,4.80,4.99,71400,4.76
2011-09-26,5.34,5.40,5.08,5.17,59700,4.93
2011-09-19,5.35,5.46,5.31,5.37,36700,5.00
2011-09-12,5.36,5.41,5.30,5.38,23500,5.01
2011-09-06,5.36,5.55,5.32,5.36,41800,4.99
2011-08-29,5.37,5.55,5.25,5.43,43700,5.06
2011-08-22,5.42,5.45,5.27,5.38,73000,5.01
2011-08-15,5.45,5.61,5.30,5.41,49400,5.04
2011-08-08,5.58,5.58,5.20,5.45,96600,5.08
2011-08-01,5.50,5.69,5.40,5.57,70300,5.19
2011-07-25,5.68,5.69,5.49,5.57,52100,5.19
2011-07-18,5.54,5.70,5.45,5.65,41800,5.26
2011-07-11,5.57,5.58,5.35,5.51,42100,5.13
2011-07-05,5.60,5.60,5.38,5.54,54300,5.16
2011-06-27,5.74,5.74,5.38,5.52,48200,5.14
2011-06-20,5.60,5.71,5.15,5.71,67100,5.20
2011-06-13,5.76,5.83,5.55,5.58,56900,5.08
2011-06-06,5.69,5.83,5.69,5.73,39200,5.22
2011-05-31,5.71,5.75,5.63,5.72,55400,5.21
2011-05-23,5.66,5.75,5.62,5.71,35000,5.20
2011-05-16,5.69,5.75,5.55,5.66,43000,5.16
2011-05-09,5.65,5.73,5.62,5.67,27900,5.16
2011-05-02,5.72,5.74,5.61,5.63,44000,5.13
2011-04-25,5.74,5.80,5.55,5.68,92300,5.17
2011-04-18,5.51,5.75,5.43,5.67,67300,5.16
2011-04-11,5.61,5.68,5.40,5.46,85200,4.97
2011-04-04,5.65,5.75,5.53,5.65,74200,5.15
2011-03-28,5.85,5.87,5.60,5.60,65200,5.10
2011-03-21,5.77,5.90,5.69,5.82,61800,5.19
2011-03-14,5.76,5.87,5.65,5.77,70700,5.14
2011-03-07,5.78,5.87,5.55,5.73,121300,5.11
2011-02-28,5.59,5.74,5.50,5.74,77700,5.12
2011-02-22,5.51,5.59,5.51,5.57,52000,4.96
2011-02-14,5.60,5.63,5.45,5.53,109700,4.93
2011-02-07,5.50,5.61,5.49,5.58,93200,4.97
2011-01-31,5.57,5.57,5.45,5.52,91000,4.92
2011-01-24,5.40,5.54,5.39,5.49,170600,4.89
2011-01-18,5.39,5.44,5.36,5.42,146100,4.83
2011-01-10,5.40,5.42,5.32,5.36,101300,4.78
2011-01-03,5.25,5.43,5.22,5.38,111000,4.79
2010-12-27,5.43,5.50,5.18,5.24,151500,4.67
2010-12-20,5.35,5.43,5.31,5.40,67200,4.70
2010-12-13,5.37,5.39,5.20,5.37,114700,4.67
2010-12-06,5.30,5.40,5.26,5.30,96900,4.61
2010-11-29,5.30,5.32,5.22,5.28,66900,4.60
2010-11-22,5.27,5.32,5.20,5.30,88000,4.61
2010-11-15,5.36,5.38,5.20,5.27,131100,4.59
2010-11-08,5.44,5.45,5.31,5.34,84100,4.65
2010-11-01,5.50,5.50,5.40,5.44,57700,4.74
2010-10-25,5.50,5.53,5.42,5.50,99200,4.79
2010-10-18,5.39,5.48,5.37,5.46,68000,4.75
2010-10-11,5.40,5.45,5.38,5.39,89400,4.69
2010-10-04,5.41,5.45,5.36,5.38,74500,4.68
2010-09-27,5.54,5.55,5.31,5.41,152300,4.71
2010-09-20,5.64,5.64,5.39,5.50,317400,4.79
2010-09-13,5.63,5.67,5.56,5.62,149200,4.89
2010-09-07,5.68,5.68,5.49,5.62,138900,4.89
2010-08-30,5.60,5.68,5.47,5.63,133900,4.90
2010-08-23,5.47,5.68,5.43,5.60,115600,4.87
2010-08-16,5.59,5.63,5.46,5.49,44400,4.78
2010-08-09,5.62,5.63,5.49,5.56,102000,4.84
2010-08-02,5.63,5.63,5.51,5.58,72700,4.86
2010-07-26,5.44,5.60,5.36,5.58,69500,4.86
2010-07-19,5.22,5.45,5.22,5.39,48100,4.69
2010-07-12,5.44,5.44,5.25,5.29,68100,4.60
2010-07-06,5.39,5.47,5.25,5.35,59800,4.66
2010-06-28,5.40,5.50,5.28,5.39,60800,4.69
2010-06-21,5.53,5.54,5.43,5.49,84300,4.67
2010-06-14,5.42,6.61,5.41,5.49,79600,4.67
2010-06-07,5.47,5.50,5.40,5.44,55500,4.63
2010-06-01,5.39,5.50,5.39,5.42,68400,4.61
2010-05-24,5.34,5.49,5.15,5.49,125100,4.67
2010-05-17,5.40,5.52,5.25,5.31,130900,4.52
2010-05-10,5.52,5.58,5.34,5.44,141200,4.63
2010-05-03,5.51,5.53,5.28,5.47,188700,4.65
2010-04-26,5.60,5.60,5.41,5.43,222300,4.62
2010-04-19,5.88,6.00,5.28,5.55,945600,4.72
2010-04-12,5.84,6.08,5.80,5.96,38200,5.07
2010-04-05,5.94,6.08,5.73,5.85,61200,4.98
2010-03-29,5.91,6.13,5.79,5.89,28400,5.01
2010-03-22,5.98,6.16,5.86,6.01,65800,5.01
2010-03-15,5.90,6.00,5.73,6.00,44900,5.00
2010-03-08,5.78,5.92,5.71,5.87,35300,4.89
2010-03-01,5.76,5.95,5.73,5.80,43000,4.83
2010-02-22,5.73,5.80,5.67,5.78,35200,4.81
2010-02-16,5.75,5.88,5.64,5.64,60700,4.70
2010-02-08,5.70,5.81,5.65,5.74,28600,4.78
2010-02-01,6.00,6.00,5.50,5.69,85000,4.74
2010-01-25,5.90,6.00,5.72,5.95,43500,4.96
2010-01-19,6.00,6.00,5.82,5.87,45300,4.89
2010-01-11,5.81,6.12,5.65,5.98,78300,4.98
2010-01-04,5.95,5.96,5.60,5.80,50000,4.83
2009-12-28,5.75,6.00,5.41,5.98,97600,4.98
2009-12-21,5.50,5.75,5.41,5.75,65400,4.68
2009-12-14,5.63,5.64,5.46,5.55,38800,4.52
2009-12-07,5.54,5.70,5.35,5.55,37500,4.52
2009-11-30,5.48,5.55,5.33,5.50,54700,4.48
2009-11-23,5.49,5.50,5.30,5.48,29200,4.46
2009-11-16,5.30,5.50,5.20,5.45,45100,4.44
2009-11-09,5.38,5.50,5.25,5.31,39100,4.32
2009-11-02,5.39,5.45,5.26,5.45,56900,4.44
2009-10-26,5.42,5.50,5.30,5.33,56700,4.34
2009-10-19,5.45,5.54,5.30,5.42,69700,4.41
2009-10-12,5.42,5.58,5.30,5.45,104300,4.44
2009-10-05,5.91,5.91,5.00,5.36,445200,4.36
2009-09-28,6.18,6.20,5.84,5.84,26700,4.75
2009-09-21,6.20,6.35,6.07,6.12,25900,4.85
2009-09-14,6.07,6.29,6.01,6.16,31800,4.88
2009-09-08,5.88,6.25,5.82,5.95,23800,4.72
2009-08-31,5.70,5.99,5.55,5.80,23000,4.60
2009-08-24,5.70,6.00,5.50,5.81,26000,4.61
2009-08-17,5.69,5.74,5.56,5.66,14800,4.49
2009-08-10,5.61,5.84,5.50,5.51,15000,4.37
2009-08-03,5.70,5.85,5.53,5.61,32000,4.45
2009-07-27,5.70,5.75,5.50,5.60,26600,4.44
2009-07-20,5.57,5.65,5.50,5.64,13400,4.47
2009-07-13,5.69,5.75,5.51,5.59,23200,4.43
2009-07-06,5.44,5.75,5.39,5.62,31100,4.46
2009-06-29,5.39,5.60,5.25,5.60,35900,4.44
2009-06-22,5.56,5.70,5.29,5.29,45300,4.19
2009-06-15,5.15,5.50,5.13,5.50,59900,4.26
2009-06-08,5.23,5.24,5.00,5.20,41400,4.03
2009-06-01,5.05,5.18,4.85,5.15,79800,3.99
2009-05-26,4.59,5.23,4.51,5.03,230500,3.90
2009-05-18,6.08,6.30,4.43,4.51,318400,3.49
2009-05-11,6.49,6.51,5.35,6.17,22800,4.78
2009-05-04,6.22,6.60,6.00,6.50,7100,5.04
2009-04-27,5.98,6.72,5.76,6.23,6500,4.83
2009-04-20,6.11,6.12,5.75,5.92,6200,4.59
2009-04-13,5.85,6.49,5.46,5.98,16600,4.63
2009-04-06,6.74,6.74,5.85,6.07,5600,4.70
2009-03-30,6.22,6.74,5.55,6.63,10100,5.14
2009-03-23,6.35,6.35,5.31,5.80,9900,4.49
2009-03-16,5.55,6.30,5.53,6.10,10300,4.62
2009-03-09,4.77,5.95,4.75,5.86,11400,4.44
2009-03-02,5.30,5.91,4.75,5.03,14200,3.81
2009-02-23,5.65,5.98,5.25,5.79,5000,4.39
2009-02-17,6.21,6.54,5.23,5.60,11100,4.24
2009-02-09,6.75,6.75,6.01,6.21,6700,4.70
2009-02-02,6.50,7.00,6.00,6.75,15700,5.11
2009-01-26,6.21,7.00,5.16,6.60,14900,5.00
2009-01-20,5.60,6.25,5.60,5.92,11900,4.49
2009-01-12,5.86,6.00,5.10,5.45,9100,4.13
2009-01-05,5.31,6.04,5.31,5.80,11600,4.39
2008-12-29,4.61,5.24,4.36,5.20,12500,3.94
2008-12-22,4.94,5.00,4.50,4.76,14400,3.50
2008-12-15,5.04,5.04,4.60,4.70,14700,3.46
2008-12-08,5.00,5.11,4.61,4.88,8000,3.59
2008-12-01,4.95,5.15,4.81,5.00,7300,3.68
2008-11-24,4.51,5.05,4.33,5.03,13600,3.70
2008-11-17,4.58,5.23,4.25,4.30,11700,3.17
2008-11-10,5.00,5.25,4.37,4.84,12400,3.56
2008-11-03,5.30,5.42,4.83,4.83,17600,3.56
2008-10-27,5.12,5.70,5.01,5.26,12100,3.87
2008-10-20,5.03,5.67,5.01,5.12,14600,3.77
2008-10-13,5.24,5.80,4.66,5.31,16200,3.91
2008-10-06,6.20,6.51,5.00,5.27,28200,3.88
2008-09-29,6.01,6.28,5.60,6.25,10300,4.60
2008-09-22,6.10,6.28,5.75,6.20,15800,4.56
2008-09-15,6.15,6.50,4.23,6.19,25600,4.46
2008-09-08,6.33,6.38,5.84,6.15,7300,4.43
2008-09-02,6.15,6.30,5.67,6.09,31800,4.39
2008-08-25,6.16,6.55,6.15,6.15,5500,4.43
2008-08-18,6.20,6.59,6.13,6.39,6400,4.60
2008-08-11,6.06,6.43,6.06,6.20,4400,4.46
2008-08-04,5.96,6.49,5.94,6.39,6900,4.60
2008-07-28,6.37,6.60,5.91,6.51,12200,4.69
2008-07-21,6.48,6.48,5.82,6.36,9500,4.58
2008-07-14,6.01,6.49,4.23,6.25,26700,4.50
2008-07-07,6.45,6.95,5.29,6.01,24500,4.33
2008-06-30,6.84,6.84,6.35,6.58,7800,4.74
2008-06-23,6.20,6.74,6.20,6.70,12800,4.82
2008-06-16,6.74,6.74,6.20,6.44,10400,4.54
2008-06-09,6.68,6.82,6.52,6.61,8000,4.66
2008-06-02,6.85,7.00,6.65,6.73,12100,4.74
2008-05-27,6.63,7.00,6.61,7.00,10900,4.93
2008-05-19,6.76,6.97,6.52,6.59,11400,4.64
2008-05-12,7.16,7.34,6.56,6.77,16700,4.77
2008-05-05,7.50,7.50,6.76,6.91,14100,4.87
2008-04-28,6.38,7.43,6.38,6.95,19100,4.90
2008-04-21,6.36,6.69,6.17,6.51,9900,4.59
2008-04-14,6.00,6.37,6.00,6.27,5600,4.42
2008-04-07,6.09,6.46,6.00,6.01,9200,4.24
2008-03-31,6.17,6.40,5.90,6.34,13900,4.47
2008-03-24,6.25,6.32,5.86,6.17,11400,4.35
2008-03-17,6.51,6.55,5.64,6.00,22700,4.14
2008-03-10,7.06,7.06,6.51,6.55,12900,4.52
2008-03-03,7.00,7.50,6.77,6.83,18800,4.71
2008-02-25,7.05,7.25,6.81,7.10,14900,4.90
2008-02-19,7.02,7.10,6.90,7.04,5500,4.85
2008-02-11,7.19,7.35,6.87,6.95,9900,4.79
2008-02-04,6.96,7.10,6.71,7.10,9000,4.90
2008-01-28,6.86,6.97,6.46,6.70,20200,4.62
2008-01-22,6.60,6.74,6.17,6.50,20700,4.48
2008-01-14,6.42,6.89,6.40,6.67,14700,4.60
2008-01-07,6.45,7.08,6.11,6.44,25600,4.44
2007-12-31,6.61,6.69,6.26,6.61,11100,4.56
2007-12-24,6.70,7.16,6.12,6.35,40200,4.38
2007-12-17,6.85,7.22,6.40,6.76,27800,4.57
2007-12-10,6.72,7.25,6.72,6.80,23700,4.60
2007-12-03,7.13,7.39,6.15,6.80,42400,4.60
2007-11-26,7.35,7.39,7.10,7.13,15100,4.82
2007-11-19,7.29,7.39,7.21,7.24,10500,4.89
2007-11-12,7.66,7.66,7.25,7.29,11800,4.93
2007-11-05,8.01,8.03,7.45,7.45,7800,5.04
2007-10-29,7.62,8.08,7.46,8.04,10900,5.43
2007-10-22,7.50,7.95,7.23,7.46,10300,5.04
2007-10-15,7.53,7.74,7.21,7.37,8300,4.98
2007-10-08,7.60,8.08,7.30,7.31,23400,4.94
2007-10-01,7.96,8.07,7.55,7.69,18700,5.20
2007-09-24,7.93,8.06,7.78,7.88,26400,5.33
2007-09-17,7.51,7.93,7.36,7.81,14100,5.19
2007-09-10,7.68,7.96,7.25,7.50,11800,4.98
2007-09-04,8.15,8.15,7.35,7.74,12300,5.14
2007-08-27,7.64,8.29,7.22,7.88,14300,5.23
2007-08-20,7.28,7.59,6.77,7.27,40000,4.83
2007-08-13,7.30,7.88,6.55,7.56,21000,5.02
2007-08-06,7.48,7.50,7.30,7.33,10200,4.87
2007-07-30,7.80,8.05,7.43,7.45,20400,4.95
2007-07-23,7.96,8.26,7.62,7.76,23900,5.15
