Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,51.91,52.06,50.98,51.30,209600,51.30
2012-05-14,51.78,53.54,51.58,51.74,276700,51.74
2012-05-07,53.22,53.72,52.07,52.34,291800,52.34
2012-04-30,53.30,54.31,52.44,53.25,330200,53.25
2012-04-23,51.15,53.52,50.57,53.42,365400,53.42
2012-04-16,50.65,52.33,49.95,51.63,424700,51.63
2012-04-09,48.86,52.15,48.00,50.55,474700,50.55
2012-04-02,51.42,52.63,49.06,49.32,408900,49.32
2012-03-26,51.66,52.28,49.78,50.12,314800,50.12
2012-03-19,53.73,53.87,51.27,51.50,345900,51.50
2012-03-12,58.30,58.30,52.70,54.12,508600,54.12
2012-03-05,59.28,59.34,56.63,58.16,188900,58.16
2012-02-27,60.16,60.43,59.41,59.50,267600,59.30
2012-02-21,59.86,61.06,59.57,60.54,380700,60.34
2012-02-13,58.66,60.06,58.24,59.77,326900,59.57
2012-02-06,57.92,58.88,57.45,58.27,220100,58.07
2012-01-30,58.65,60.88,55.29,58.36,322000,58.16
2012-01-23,61.87,62.61,58.13,58.96,261400,58.76
2012-01-17,61.34,62.95,60.39,61.78,127000,61.57
2012-01-09,58.89,61.89,58.30,60.85,133600,60.65
2012-01-03,58.43,59.00,57.22,58.61,181100,58.41
2011-12-27,56.96,57.66,55.83,57.16,114300,56.97
2011-12-19,55.56,57.93,53.81,57.27,131700,57.08
2011-12-12,55.55,56.87,54.42,55.41,329400,55.22
2011-12-05,58.82,59.13,55.43,56.00,249900,55.81
2011-11-28,56.08,59.82,55.85,58.32,298700,57.92
2011-11-21,57.99,57.99,53.93,54.31,187400,53.94
2011-11-14,59.87,60.66,58.04,58.99,177000,58.59
2011-11-07,62.14,62.54,57.86,59.94,389100,59.53
2011-10-31,59.46,64.76,55.19,62.60,276500,62.18
2011-10-24,59.18,61.52,58.90,60.22,155700,59.81
2011-10-17,57.58,59.31,55.86,59.19,110800,58.79
2011-10-10,55.99,58.42,55.99,57.76,118900,57.37
2011-10-03,54.06,56.60,52.07,55.12,192000,54.75
2011-09-26,52.99,58.62,52.57,54.51,260700,54.14
2011-09-19,58.19,59.02,51.26,52.56,249600,52.20
2011-09-12,56.72,60.38,56.25,59.81,245900,59.40
2011-09-06,57.71,59.82,57.07,57.47,244400,57.08
2011-08-29,60.96,64.33,58.94,59.24,255300,58.84
2011-08-22,59.06,60.96,57.21,60.35,235400,59.75
2011-08-15,58.58,60.62,57.14,57.65,362400,57.08
2011-08-08,59.79,61.37,54.67,57.95,463500,57.37
2011-08-01,65.86,66.82,61.41,61.95,594800,61.33
2011-07-25,68.00,69.11,64.29,65.23,238900,64.58
2011-07-18,68.42,69.72,66.68,68.05,291500,67.37
2011-07-11,71.89,71.97,68.11,68.56,256500,67.88
2011-07-05,71.97,72.53,71.37,72.36,188100,71.64
2011-06-27,69.05,72.22,68.85,72.07,182100,71.35
2011-06-20,67.78,71.27,67.78,68.91,253200,68.22
2011-06-13,67.13,68.54,66.17,67.77,466600,67.09
2011-06-06,69.31,69.95,67.78,68.05,239500,67.37
2011-05-31,71.42,72.27,68.56,69.45,271500,68.76
2011-05-23,71.87,72.84,70.09,71.05,222000,70.14
2011-05-16,70.59,74.40,70.59,72.79,264400,71.86
2011-05-09,75.15,76.24,70.53,70.64,332800,69.74
2011-05-02,70.73,75.88,70.22,75.08,371500,74.12
2011-04-25,69.27,71.19,68.68,70.65,126200,69.75
2011-04-18,68.18,69.20,67.73,69.08,165700,68.20
2011-04-11,71.23,71.34,68.20,68.93,174900,68.05
2011-04-04,71.68,72.72,70.26,71.19,128400,70.28
2011-03-28,70.14,71.87,68.87,71.73,122300,70.81
2011-03-21,70.00,70.90,68.92,69.75,131200,68.86
2011-03-14,69.38,69.62,66.90,69.40,224000,68.51
2011-03-07,70.12,70.42,67.94,69.81,252200,68.92
2011-02-28,72.20,73.20,69.56,69.97,363900,69.07
2011-02-22,72.08,72.33,69.80,72.18,295000,71.26
2011-02-14,71.13,73.44,70.08,72.74,349800,71.81
2011-02-07,71.90,71.90,70.73,71.27,336400,70.36
2011-01-31,75.30,77.01,69.11,71.52,625800,70.60
2011-01-24,75.00,76.24,74.40,75.30,306900,74.12
2011-01-18,76.00,77.75,74.72,74.91,342900,73.74
2011-01-10,77.26,78.17,76.04,76.13,200900,74.94
2011-01-03,74.77,77.87,73.78,77.78,252100,76.56
2010-12-27,73.40,74.61,73.06,74.43,149600,73.27
2010-12-20,76.56,76.69,73.54,73.68,334100,72.53
2010-12-13,78.08,78.41,74.40,76.48,327300,75.28
2010-12-06,77.48,78.82,76.78,77.82,186000,76.60
2010-11-29,73.35,78.05,72.66,77.52,332100,76.31
2010-11-22,73.00,75.14,72.76,73.90,282500,72.74
2010-11-15,73.02,74.12,71.78,73.06,249900,71.92
2010-11-08,77.11,77.92,72.59,72.60,340100,71.47
2010-11-01,76.43,79.96,75.70,78.19,280300,76.97
2010-10-25,76.09,76.86,75.69,76.24,146600,75.05
2010-10-18,73.64,76.24,72.74,76.09,147900,74.90
2010-10-11,73.72,75.07,73.31,73.82,161900,72.67
2010-10-04,73.49,74.88,72.13,73.75,181900,72.60
2010-09-27,73.59,76.15,71.94,73.73,277900,72.58
2010-09-20,74.31,75.04,71.06,73.79,301400,72.64
2010-09-13,72.45,74.49,71.83,74.18,245100,73.02
2010-09-07,70.92,73.94,69.80,72.02,400100,70.89
2010-08-30,68.10,71.13,65.79,70.96,366100,69.85
2010-08-23,70.26,70.53,66.25,68.12,281100,67.06
2010-08-16,69.30,72.00,69.00,70.17,350500,69.07
2010-08-09,69.16,70.16,67.26,69.41,521800,68.33
2010-08-02,67.86,70.46,65.87,68.69,636700,67.62
2010-07-26,68.46,69.99,67.11,67.16,264700,66.11
2010-07-19,64.75,68.85,63.89,68.62,370200,67.55
2010-07-12,63.90,68.14,62.97,64.46,527200,63.45
2010-07-06,62.50,64.29,60.13,64.19,402300,63.19
2010-06-28,65.11,65.88,61.24,61.92,460900,60.95
2010-06-21,67.18,67.38,63.71,64.96,314200,63.94
2010-06-14,66.76,67.70,66.21,66.54,417800,65.50
2010-06-07,67.88,68.07,65.14,66.46,517900,65.42
2010-06-01,68.36,69.26,66.79,67.98,547600,66.92
2010-05-24,70.82,71.25,67.76,68.79,619600,67.71
2010-05-17,76.25,77.14,69.85,71.18,651100,70.07
2010-05-10,80.98,80.98,75.59,76.02,507700,74.83
2010-05-03,81.48,83.98,76.55,78.00,883800,76.78
2010-04-26,81.50,81.75,79.89,80.91,411500,79.65
2010-04-19,77.50,82.14,77.50,81.55,434900,80.28
2010-04-12,80.89,81.00,77.28,77.83,560700,76.61
2010-04-05,82.89,83.39,80.27,80.70,264500,79.44
2010-03-29,82.53,83.41,81.28,82.40,192500,81.11
2010-03-22,80.16,83.75,80.13,82.53,312300,81.24
2010-03-15,81.27,82.10,80.30,80.72,338700,79.46
2010-03-08,82.25,83.19,80.40,81.30,333500,80.03
2010-03-01,79.29,82.36,79.29,82.05,374700,80.77
2010-02-22,79.12,79.95,77.73,79.45,391500,78.21
2010-02-16,77.05,79.07,76.92,78.87,320400,77.64
2010-02-08,77.54,77.76,76.27,76.97,407700,75.77
2010-02-01,79.34,82.10,77.00,77.64,700200,76.43
2010-01-25,88.96,89.00,78.97,78.97,586000,77.74
2010-01-19,88.06,88.98,86.71,88.38,494500,87.00
2010-01-11,89.11,89.53,87.01,87.85,312400,86.48
2010-01-04,88.65,89.80,88.02,89.08,282500,87.69
2009-12-28,90.58,90.81,88.19,88.27,157000,86.89
2009-12-21,88.43,90.80,88.43,90.60,218000,89.18
2009-12-14,88.84,90.15,87.90,87.99,427600,86.61
2009-12-07,88.68,89.98,87.68,88.49,448000,87.11
2009-11-30,86.46,89.18,85.40,88.53,422900,87.15
2009-11-23,86.58,87.99,85.64,86.70,305400,85.34
2009-11-16,86.97,87.42,83.90,86.23,500800,84.88
2009-11-09,82.75,87.44,81.95,86.23,634500,84.88
2009-11-02,78.25,82.65,76.87,82.20,693900,80.92
2009-10-26,76.45,78.45,74.51,77.78,822900,76.56
2009-10-19,77.49,77.93,75.50,76.21,299100,75.02
2009-10-12,77.09,77.96,75.50,77.61,312200,76.40
2009-10-05,76.20,79.44,75.79,77.15,459700,75.94
2009-09-28,76.44,78.69,75.45,75.77,441900,74.59
2009-09-21,78.86,80.23,75.82,75.96,490600,74.77
2009-09-14,76.34,79.89,74.73,79.07,527400,77.83
2009-09-08,74.00,77.29,73.41,76.68,529600,75.48
2009-08-31,77.28,77.38,73.54,73.75,450700,72.60
2009-08-24,78.61,79.73,76.61,77.93,358000,76.71
2009-08-17,76.15,78.76,75.30,78.61,370100,77.38
2009-08-10,79.27,79.28,76.51,77.31,518700,76.10
2009-08-03,79.36,84.80,78.50,79.41,726900,78.17
2009-07-27,79.34,80.31,77.84,78.72,546000,77.49
2009-07-20,80.01,81.02,78.72,79.55,300100,78.31
2009-07-13,77.21,81.00,76.50,79.89,307000,78.64
2009-07-06,80.39,80.63,76.68,77.16,417300,75.95
2009-06-29,81.78,83.66,78.03,80.54,821800,79.28
2009-06-22,85.46,85.73,81.01,81.72,480100,80.44
2009-06-15,89.96,89.96,84.85,86.03,503800,84.69
2009-06-08,88.00,91.39,87.88,90.67,451200,89.25
2009-06-01,87.10,89.88,86.18,88.80,422800,87.41
2009-05-26,85.29,88.30,84.68,86.29,602900,84.94
2009-05-18,83.94,87.94,82.99,85.55,659500,84.21
2009-05-11,86.53,88.85,83.03,83.64,671800,82.33
2009-05-04,82.00,87.90,81.27,87.59,775100,86.22
2009-04-27,76.58,82.62,76.06,82.17,694300,80.89
2009-04-20,73.89,78.03,72.59,77.39,495800,76.18
2009-04-13,71.83,74.99,70.43,74.55,279000,73.38
2009-04-06,66.45,72.23,66.31,72.23,559900,71.10
2009-03-30,63.95,69.74,62.96,67.26,844200,66.21
2009-03-23,63.22,65.46,62.38,65.03,667500,64.01
2009-03-16,65.20,67.54,60.76,62.12,836800,61.15
2009-03-09,62.95,65.97,62.15,64.78,534000,63.77
2009-03-02,68.77,69.70,62.11,63.40,713500,62.41
2009-02-23,75.76,76.24,69.64,70.66,654300,69.56
2009-02-17,78.92,79.67,73.25,75.33,539400,74.15
2009-02-09,82.52,83.36,78.29,80.37,420100,79.11
2009-02-02,80.17,83.47,78.62,82.58,460500,81.29
2009-01-26,82.80,85.90,77.06,80.81,721700,79.55
2009-01-20,84.25,85.18,81.80,82.80,487100,81.51
2009-01-12,85.12,85.46,79.39,84.53,284600,83.21
2009-01-05,86.57,87.79,83.62,84.90,398800,83.57
2008-12-29,81.27,86.79,80.69,86.24,258700,84.89
2008-12-22,82.16,83.66,79.90,81.35,231400,80.08
2008-12-15,82.73,85.66,80.68,83.07,292100,81.77
2008-12-08,82.87,85.39,81.00,82.73,281100,81.44
2008-12-01,80.30,82.75,76.80,81.33,292700,80.06
2008-11-24,76.41,82.20,74.92,82.20,383800,80.92
2008-11-17,75.47,77.78,70.20,75.76,394000,74.58
2008-11-10,83.25,84.77,72.83,76.85,356200,75.65
2008-11-03,82.54,88.39,79.92,81.77,345600,80.49
2008-10-27,74.08,84.69,71.10,82.54,501800,81.25
2008-10-20,85.01,86.15,73.53,74.96,426200,73.79
2008-10-13,79.07,87.16,76.98,84.12,553800,82.81
2008-10-06,88.00,89.50,73.94,77.72,614100,76.51
2008-09-29,95.22,96.44,88.98,89.49,300400,88.09
2008-09-22,103.56,104.74,94.35,96.23,323600,94.73
2008-09-15,103.42,108.46,99.06,104.16,481900,102.53
2008-09-08,106.82,106.91,103.37,105.91,212700,104.25
2008-09-02,106.01,108.43,103.56,104.82,241400,103.18
2008-08-25,105.33,106.86,102.72,105.23,171700,103.59
2008-08-18,111.09,111.65,104.77,105.90,228300,104.24
2008-08-11,103.94,111.67,102.25,110.98,427800,109.25
2008-08-04,99.53,104.30,98.80,104.24,239200,102.61
2008-07-28,99.46,100.76,97.92,99.69,248900,98.13
2008-07-21,96.80,101.59,95.28,99.33,305600,97.78
2008-07-14,100.25,100.65,96.37,96.50,421500,94.99
2008-07-07,102.50,104.71,97.60,98.82,363700,97.28
2008-06-30,99.10,103.00,99.10,102.08,348200,100.48
2008-06-23,105.03,105.20,99.28,99.52,282500,97.96
2008-06-16,107.20,107.49,102.80,104.34,285900,102.71
2008-06-09,104.26,107.17,103.03,107.11,352300,105.44
2008-06-02,108.10,108.26,103.26,103.40,260700,101.78
2008-05-27,107.31,108.85,106.74,108.56,220600,106.86
2008-05-19,111.70,113.28,106.14,106.72,227400,105.05
2008-05-12,111.00,112.80,110.27,111.82,343100,110.07
2008-05-05,112.91,113.50,110.32,111.00,324500,109.27
2008-04-28,110.55,114.29,109.26,113.69,286100,111.91
2008-04-21,106.16,110.52,105.31,110.18,165400,108.46
2008-04-14,106.98,107.60,105.07,106.78,183900,105.11
2008-04-07,106.30,108.76,105.54,106.98,220000,105.31
2008-03-31,103.21,106.99,102.50,105.91,188000,104.25
2008-03-24,102.51,104.91,101.38,103.18,150500,101.57
2008-03-17,99.03,104.28,98.01,101.62,275700,100.03
2008-03-10,102.75,104.15,99.72,100.59,209500,99.02
2008-03-03,105.21,106.26,102.57,102.75,269800,101.14
2008-02-25,106.32,108.12,104.55,104.94,221900,103.30
2008-02-19,106.22,108.03,105.28,106.20,403500,104.54
2008-02-11,104.82,106.92,103.80,106.01,299700,104.35
2008-02-04,107.87,110.20,101.60,104.82,637500,103.18
2008-01-28,101.96,107.96,100.00,107.87,416100,106.18
2008-01-22,95.88,102.87,95.00,102.09,608100,100.49
2008-01-14,105.99,107.21,98.50,99.69,467400,98.13
2008-01-07,111.96,112.66,98.42,105.51,741200,103.86
2007-12-31,114.24,115.41,110.93,111.63,228200,109.89
2007-12-24,117.61,119.20,114.62,114.62,139900,112.83
2007-12-17,117.39,117.62,112.43,116.58,230700,114.76
2007-12-10,118.47,119.28,114.63,117.71,282200,115.87
