Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,25.51,25.52,25.09,25.17,345800,25.17
2012-05-14,25.64,25.83,25.35,25.46,319500,25.17
2012-05-07,25.51,25.93,25.25,25.77,285900,25.48
2012-04-30,26.47,26.70,25.43,25.55,356800,25.26
2012-04-23,25.67,26.50,25.55,26.45,285100,26.15
2012-04-16,25.47,26.04,25.39,25.95,211700,25.65
2012-04-09,25.19,25.76,24.95,25.35,299300,25.06
2012-04-02,25.60,26.17,25.33,25.46,287200,25.17
2012-03-26,25.14,25.69,25.14,25.58,284000,25.29
2012-03-19,24.96,25.19,24.81,24.99,183300,24.70
2012-03-12,25.66,25.82,24.95,24.96,383400,24.67
2012-03-05,24.72,25.68,24.49,25.65,364400,25.36
2012-02-27,25.00,25.04,24.48,24.72,363100,24.44
2012-02-21,25.75,25.80,24.94,25.15,291000,24.86
2012-02-13,25.90,26.02,25.33,25.59,293400,25.01
2012-02-06,25.71,26.00,25.67,25.73,217800,25.15
2012-01-30,25.40,26.09,25.02,25.80,315700,25.21
2012-01-23,24.96,25.63,24.59,25.53,340800,24.95
2012-01-17,25.33,25.42,24.89,24.94,301600,24.37
2012-01-09,25.33,25.46,24.81,25.10,348200,24.53
2012-01-03,26.18,26.18,25.13,25.25,406700,24.68
2011-12-27,25.90,26.31,25.75,25.75,351100,25.17
2011-12-19,25.35,26.08,25.04,25.96,511200,25.37
2011-12-12,25.28,25.78,24.89,25.16,2203900,24.59
2011-12-05,25.82,26.27,24.74,25.44,761700,24.86
2011-11-28,24.16,25.71,23.83,25.44,679700,24.86
2011-11-21,24.29,24.37,23.57,23.67,330600,22.87
2011-11-14,24.66,24.75,24.06,24.61,268600,23.78
2011-11-07,24.91,25.09,23.75,24.66,444600,23.83
2011-10-31,25.50,25.78,24.11,24.84,351300,24.00
2011-10-24,25.40,26.35,24.91,25.71,349100,24.84
2011-10-17,24.81,25.44,24.42,25.44,258600,24.58
2011-10-10,24.70,24.97,24.35,24.94,284100,24.10
2011-10-03,24.03,24.80,23.14,24.29,543200,23.47
2011-09-26,23.58,24.52,23.37,23.85,333800,23.04
2011-09-19,24.04,25.11,22.81,23.34,356700,22.55
2011-09-12,23.47,24.78,23.44,24.45,367700,23.62
2011-09-06,23.53,24.48,23.38,23.69,425600,22.89
2011-08-29,25.03,25.50,24.01,24.03,492600,23.22
2011-08-22,23.71,24.82,23.05,24.73,549100,23.89
2011-08-15,23.47,24.48,23.13,23.25,384500,22.20
2011-08-08,22.31,23.62,21.13,23.27,780500,22.22
2011-08-01,25.50,25.56,22.67,22.96,488100,21.92
2011-07-25,26.05,26.31,25.00,25.21,244700,24.07
2011-07-18,25.68,26.53,25.32,26.22,270800,25.04
2011-07-11,25.97,26.19,25.48,25.70,317500,24.54
2011-07-05,26.02,26.49,25.74,26.19,373500,25.01
2011-06-27,24.95,26.21,24.90,25.92,350800,24.75
2011-06-20,24.65,25.24,24.52,24.89,344500,23.77
2011-06-13,24.11,24.81,23.93,24.67,390000,23.56
2011-06-06,24.22,24.45,23.89,23.94,382700,22.86
2011-05-31,24.68,25.02,24.10,24.22,399200,23.13
2011-05-23,24.92,25.00,24.13,24.46,366600,23.36
2011-05-16,25.12,25.33,24.76,25.16,298800,23.76
2011-05-09,24.40,25.50,24.32,25.17,480800,23.77
2011-05-02,24.46,24.98,24.00,24.39,239500,23.03
2011-04-25,23.65,24.56,23.54,24.35,184700,22.99
2011-04-18,23.12,23.70,22.96,23.70,196800,22.38
2011-04-11,23.51,23.54,22.81,23.35,238400,22.05
2011-04-04,23.39,23.70,23.34,23.52,171900,22.21
2011-03-28,22.93,23.50,22.74,23.40,209700,22.10
2011-03-21,22.44,23.03,22.41,22.84,160900,21.57
2011-03-14,22.50,22.50,21.78,22.23,280800,20.99
2011-03-07,22.67,23.24,22.47,22.67,296000,21.41
2011-02-28,22.44,22.78,22.15,22.62,483300,21.36
2011-02-22,22.28,22.48,21.95,22.40,475300,21.15
2011-02-14,23.49,23.69,22.24,22.51,390200,21.25
2011-02-07,23.00,23.49,23.00,23.49,175300,21.92
2011-01-31,23.00,23.20,22.65,22.96,176800,21.43
2011-01-24,22.97,23.49,22.83,22.92,228500,21.39
2011-01-18,23.07,23.25,22.87,22.94,188300,21.41
2011-01-10,23.01,23.12,22.72,23.11,202700,21.57
2011-01-03,22.67,23.10,22.57,23.08,271500,21.54
2010-12-27,22.70,22.81,22.52,22.52,185000,21.01
2010-12-20,22.57,22.76,22.46,22.70,227700,21.18
2010-12-13,22.24,22.60,22.00,22.58,312900,21.07
2010-12-06,21.93,22.20,21.78,22.16,251600,20.68
2010-11-29,21.69,21.97,21.14,21.93,354300,20.46
2010-11-22,21.56,21.96,21.38,21.80,225600,20.11
2010-11-15,21.89,21.98,21.38,21.55,308800,19.88
2010-11-08,22.07,22.09,21.51,21.70,453000,20.02
2010-11-01,21.88,22.30,21.56,22.07,319400,20.36
2010-10-25,21.53,21.97,21.25,21.84,404000,20.14
2010-10-18,21.75,21.86,21.30,21.48,264700,19.81
2010-10-11,21.60,21.79,21.40,21.67,246900,19.99
2010-10-04,21.14,21.63,20.92,21.60,244300,19.92
2010-09-27,20.85,21.20,20.68,21.14,233100,19.50
2010-09-20,20.41,20.91,20.35,20.83,323900,19.21
2010-09-13,20.96,21.03,20.25,20.44,377400,18.85
2010-09-07,21.19,21.23,20.77,20.83,473700,19.21
2010-08-30,21.37,21.48,20.64,21.21,334600,19.56
2010-08-23,20.96,21.42,20.18,21.35,440000,19.69
2010-08-16,20.66,21.42,20.48,20.76,337700,18.92
2010-08-09,21.23,21.51,20.30,20.71,346600,18.87
2010-08-02,21.22,21.58,20.76,21.13,294400,19.25
2010-07-26,21.21,21.88,20.85,20.92,330400,19.06
2010-07-19,20.59,21.16,20.11,21.11,428300,19.24
2010-07-12,20.57,21.04,20.34,20.58,258600,18.75
2010-07-06,19.76,20.55,19.39,20.55,222300,18.73
2010-06-28,19.70,20.15,19.05,19.43,344600,17.71
2010-06-21,20.81,20.81,19.33,19.62,259100,17.88
2010-06-14,19.77,20.57,19.60,20.54,237700,18.72
2010-06-07,19.14,19.69,18.81,19.63,273800,17.89
