Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,55.82,57.24,55.56,56.35,5213600,56.35
2012-05-14,59.02,59.44,55.05,55.40,6643200,55.40
2012-05-07,60.06,60.65,58.93,59.64,5337000,59.64
2012-04-30,60.05,61.42,59.67,60.10,7887700,60.10
2012-04-23,56.96,60.96,56.50,60.17,7979500,60.17
2012-04-16,57.73,58.70,57.06,57.45,6472700,57.45
2012-04-09,57.22,58.09,56.14,57.28,5580900,57.28
2012-04-02,57.90,58.50,57.21,58.10,5494100,58.10
2012-03-26,57.75,59.26,57.24,57.86,6625500,57.66
2012-03-19,56.60,57.55,56.41,57.25,5511500,57.05
2012-03-12,53.20,57.38,52.51,56.55,8442300,56.36
2012-03-05,52.65,53.47,51.54,53.20,5194200,53.02
2012-02-27,52.93,54.45,52.57,52.99,6831800,52.81
2012-02-21,52.72,53.42,52.46,53.33,4810800,53.15
2012-02-13,52.24,53.31,51.38,52.86,5421500,52.68
2012-02-06,51.88,52.61,51.36,51.81,5803800,51.63
2012-01-30,49.43,52.45,48.90,52.25,6624200,52.07
2012-01-23,50.02,50.68,48.90,49.85,6217800,49.68
2012-01-17,49.59,51.00,48.84,50.04,8251000,49.87
2012-01-09,48.32,49.80,48.12,49.76,5608800,49.59
2012-01-03,48.30,49.25,47.40,48.27,5698100,48.10
2011-12-27,47.96,48.17,46.84,47.17,3180500,46.83
2011-12-19,46.87,48.49,45.89,47.95,5618800,47.61
2011-12-12,48.19,48.64,46.34,46.88,7731800,46.54
2011-12-05,49.16,49.39,47.63,48.80,6424300,48.45
2011-11-28,46.07,49.02,45.49,48.23,8305600,47.88
2011-11-21,46.15,46.39,44.70,45.00,6037600,44.68
2011-11-14,49.79,50.39,46.36,46.88,6378900,46.54
2011-11-07,50.87,51.60,48.73,50.37,6132400,50.01
2011-10-31,51.32,52.04,48.91,51.18,7650800,50.81
2011-10-24,48.32,52.35,48.32,52.10,10855200,51.73
2011-10-17,45.87,48.47,44.69,48.46,10435500,48.11
2011-10-10,44.45,47.65,44.45,46.10,8286000,45.77
2011-10-03,44.52,45.48,41.30,43.43,12109600,43.12
2011-09-26,46.85,48.66,44.87,44.90,8512600,44.39
2011-09-19,49.26,50.35,45.58,46.45,8868600,45.93
2011-09-12,46.34,50.18,46.13,50.12,7910600,49.56
2011-09-06,47.25,50.53,47.13,47.28,8761500,46.75
2011-08-29,49.21,49.99,47.63,48.51,8734500,47.96
2011-08-22,45.20,49.28,44.16,48.48,8793200,47.93
2011-08-15,45.16,45.98,43.65,44.47,10189700,43.97
2011-08-08,45.85,46.77,42.03,44.89,16672500,44.38
2011-08-01,50.49,50.61,46.46,47.21,10075100,46.68
2011-07-25,51.66,52.30,49.54,50.04,4875500,49.48
2011-07-18,51.50,53.28,50.54,52.24,7439200,51.65
2011-07-11,52.50,53.36,51.02,51.81,6387900,51.23
2011-07-05,52.27,53.80,51.82,53.07,5628200,52.47
2011-06-27,48.49,52.50,48.37,52.34,6976000,51.75
2011-06-20,48.35,50.15,48.15,48.34,6975000,47.62
2011-06-13,48.24,49.14,46.92,48.50,7539100,47.78
2011-06-06,49.13,49.38,47.33,47.74,6762900,47.03
2011-05-31,51.39,51.70,49.04,49.28,6303100,48.55
2011-05-23,50.74,51.38,49.79,51.13,5904000,50.37
2011-05-16,49.42,51.97,49.17,51.19,7303600,50.43
2011-05-09,50.06,50.46,49.22,49.49,7082200,48.76
2011-05-02,49.37,50.47,49.24,50.20,8792700,49.45
2011-04-25,47.19,49.15,46.77,49.08,6497700,48.35
2011-04-18,45.85,47.48,45.27,47.11,8690100,46.41
2011-04-11,46.36,46.95,45.60,46.25,5813300,45.56
2011-04-04,45.61,46.49,45.10,46.28,6220500,45.59
2011-03-28,45.54,46.29,45.11,45.36,5555100,44.51
2011-03-21,44.75,45.61,44.10,45.59,6152700,44.74
2011-03-14,43.86,44.47,42.19,44.17,8345400,43.34
2011-03-07,43.86,45.54,43.53,44.28,7511700,43.45
2011-02-28,43.73,44.68,42.75,43.72,7795400,42.90
2011-02-22,44.94,45.12,43.01,43.53,9909700,42.71
2011-02-14,46.42,46.93,45.15,45.53,8205800,44.68
2011-02-07,43.96,46.79,43.88,46.75,8746100,45.87
2011-01-31,44.13,44.23,43.15,43.82,7896800,43.00
