Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,21.01,21.95,20.61,21.60,511300,21.60
2012-05-14,22.18,22.50,20.77,20.87,444500,20.87
2012-05-07,22.35,22.76,21.16,22.54,627100,22.54
2012-04-30,20.03,23.53,19.55,22.52,1095300,22.52
2012-04-23,19.40,20.16,18.74,20.08,426200,20.08
2012-04-16,19.76,20.42,19.44,19.75,337200,19.75
2012-04-09,19.73,20.12,19.54,19.73,341200,19.73
2012-04-02,20.50,21.06,19.82,20.20,391300,20.20
2012-03-26,20.70,21.17,20.30,20.53,404700,20.53
2012-03-19,21.23,21.51,20.08,20.44,356000,20.44
2012-03-12,20.75,21.74,20.72,21.29,325100,21.29
2012-03-05,20.28,20.93,19.42,20.80,549600,20.80
2012-02-27,20.98,21.32,20.29,20.37,475900,20.37
2012-02-21,21.59,21.59,20.64,21.17,375900,21.17
2012-02-13,21.20,21.87,20.97,21.60,456700,21.60
2012-02-06,20.40,21.21,20.27,20.97,604100,20.97
2012-01-30,17.92,21.00,17.80,20.63,1729200,20.63
2012-01-23,17.71,18.21,17.08,18.11,404500,18.11
2012-01-17,17.13,17.87,17.12,17.68,433700,17.68
2012-01-09,16.64,17.14,16.30,16.96,319000,16.96
2012-01-03,17.83,17.83,15.97,16.53,663000,16.53
2011-12-27,17.42,17.76,17.08,17.35,369400,17.35
2011-12-19,17.77,17.96,16.94,17.44,408800,17.44
2011-12-12,18.51,18.51,16.71,17.60,693400,17.60
2011-12-05,18.15,18.70,17.68,18.66,677600,18.66
2011-11-28,15.92,18.20,15.92,17.88,721500,17.88
2011-11-21,16.89,17.00,15.81,15.85,427800,15.85
2011-11-14,18.24,18.30,17.07,17.17,616200,17.17
2011-11-07,17.64,18.73,16.96,18.25,809900,18.25
2011-10-31,17.49,18.30,16.27,17.72,809700,17.72
2011-10-24,16.95,18.47,16.77,17.66,752300,17.66
2011-10-17,17.11,17.28,16.18,16.85,528400,16.85
2011-10-10,16.15,17.06,16.14,17.02,512500,17.02
2011-10-03,15.03,16.21,14.37,15.86,836600,15.86
2011-09-26,16.14,16.72,14.83,15.27,866400,15.27
2011-09-19,17.21,17.83,15.80,16.03,932600,16.03
2011-09-12,15.69,17.66,15.53,17.63,719800,17.63
2011-09-06,15.71,16.85,15.56,15.85,682600,15.85
2011-08-29,16.95,17.89,15.88,15.97,917400,15.97
2011-08-22,13.54,17.15,13.10,16.77,1517300,16.77
2011-08-15,14.42,14.69,12.61,13.17,707600,13.17
2011-08-08,13.86,14.73,12.73,14.34,826700,14.34
2011-08-01,15.81,15.89,13.79,14.15,553100,14.15
2011-07-25,16.23,16.36,15.24,15.50,308100,15.50
2011-07-18,16.37,16.47,15.70,16.40,469200,16.40
2011-07-11,16.92,17.12,16.24,16.45,395900,16.45
2011-07-05,17.21,17.53,16.73,17.13,769200,17.13
2011-06-27,15.40,17.48,15.17,17.17,977700,17.17
2011-06-20,15.07,15.86,15.07,15.45,1565400,15.45
2011-06-13,15.31,15.66,14.70,15.14,704800,15.14
2011-06-06,16.00,16.20,15.30,15.33,546200,15.33
2011-05-31,16.50,16.75,15.97,16.04,716300,16.04
