Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,70.46,72.21,70.14,71.48,4489500,71.48
2012-05-14,72.89,73.79,68.93,69.15,4451100,69.15
2012-05-07,75.79,76.08,73.25,73.56,3530700,73.56
2012-04-30,76.51,77.83,75.50,75.84,3968600,75.40
2012-04-23,72.69,77.57,72.17,77.27,5636200,76.82
2012-04-16,72.98,74.36,72.30,73.55,3685100,73.12
2012-04-09,72.63,73.83,70.59,72.92,4030000,72.49
2012-04-02,74.00,75.47,73.30,73.59,3180300,73.16
2012-03-26,74.52,75.29,72.95,74.37,3486000,73.94
2012-03-19,75.00,75.69,73.37,73.97,3630300,73.54
2012-03-12,73.20,75.81,73.20,75.20,4918600,74.76
2012-03-05,74.95,74.98,72.30,73.29,4661700,72.86
2012-02-27,75.69,75.78,74.63,74.90,3965600,74.46
2012-02-21,75.67,76.64,75.08,76.06,3819200,75.62
2012-02-13,75.50,76.00,74.75,75.35,4456200,74.91
2012-02-06,75.26,76.23,74.30,74.95,4360800,74.51
2012-01-30,73.99,76.74,73.68,76.34,4223400,75.45
2012-01-23,75.66,76.70,72.85,74.55,6403500,73.68
2012-01-17,75.30,76.00,74.77,75.52,4459800,74.64
2012-01-09,74.81,75.69,74.16,74.60,4150000,73.73
2012-01-03,74.70,75.00,72.74,73.98,5840000,73.12
2011-12-27,73.68,74.60,73.03,73.35,2666500,72.50
2011-12-19,71.20,74.74,69.91,73.97,4776000,73.11
2011-12-12,71.51,72.65,69.72,71.01,6390000,70.18
2011-12-05,72.28,72.76,69.64,71.93,6158700,71.09
2011-11-28,64.53,71.98,64.53,71.30,7562100,70.47
2011-11-21,66.32,66.45,62.12,62.78,4874600,62.05
2011-11-14,68.89,68.97,65.41,67.46,6201900,66.67
2011-11-07,65.71,67.26,64.33,66.92,4491100,66.14
2011-10-31,67.12,67.49,62.37,65.80,5995800,64.62
2011-10-24,64.41,68.76,63.55,68.17,7826000,66.95
2011-10-17,63.34,64.64,61.33,64.59,5686500,63.43
2011-10-10,62.87,65.23,62.75,63.89,3984000,62.75
2011-10-03,60.10,62.96,56.90,61.81,6612500,60.70
2011-09-26,60.80,64.29,60.00,60.51,5939200,59.43
2011-09-19,64.08,64.64,57.53,59.51,6216100,58.44
2011-09-12,60.83,65.75,60.33,65.38,5755400,64.21
2011-09-06,61.91,65.21,61.22,61.79,6072800,60.68
2011-08-29,63.99,67.73,63.60,64.03,5800000,62.88
2011-08-22,59.14,62.97,58.04,62.80,6176300,61.67
2011-08-15,62.06,62.98,57.47,57.54,7475300,56.51
2011-08-08,61.10,62.46,56.01,61.75,13371000,60.64
2011-08-01,71.61,71.63,61.41,62.75,8341400,61.21
2011-07-25,71.38,73.20,69.25,70.47,6454000,68.74
2011-07-18,70.66,73.30,69.07,72.67,5995500,70.89
2011-07-11,74.17,74.73,70.85,71.28,4921800,69.53
2011-07-05,74.17,76.20,73.85,75.07,3979000,73.23
2011-06-27,71.44,74.73,71.33,74.27,3934600,72.45
2011-06-20,73.96,75.02,70.29,71.26,6132500,69.51
2011-06-13,72.94,75.51,72.69,74.16,5075500,72.34
2011-06-06,74.76,75.27,72.61,72.69,3714000,70.91
2011-05-31,77.80,78.35,74.09,74.84,4452700,73.00
2011-05-23,76.55,77.50,75.13,76.99,3816900,75.10
2011-05-16,78.66,78.81,75.83,77.52,3993400,75.62
2011-05-09,79.31,80.42,78.48,79.03,3670400,77.09
2011-05-02,80.35,80.65,78.09,79.31,5076200,76.96
2011-04-25,75.51,80.34,74.68,79.78,6099500,77.41
2011-04-18,72.72,75.74,71.75,75.44,5022700,73.20
2011-04-11,73.65,74.28,70.88,72.60,3896400,70.45
2011-04-04,73.38,74.85,72.71,73.47,4240300,71.29
2011-03-28,73.50,74.85,73.03,74.01,4116400,71.82
2011-03-21,70.29,73.50,70.04,73.34,4882400,71.17
2011-03-14,71.17,71.23,67.34,69.10,5943800,67.05
2011-03-07,71.60,72.50,69.91,71.64,5105800,69.52
2011-02-28,72.47,72.90,68.60,71.80,5502900,69.67
2011-02-22,72.35,74.29,70.00,72.30,6563700,70.16
2011-02-14,72.70,73.52,71.09,73.04,4268000,70.87
2011-02-07,71.43,72.99,71.15,72.14,4359100,70.00
2011-01-31,69.26,71.64,69.12,71.38,4552100,68.86
2011-01-24,71.52,72.82,69.00,69.23,6982900,66.79
2011-01-18,70.86,72.99,70.23,71.68,7392900,69.15
2011-01-10,69.42,70.50,68.35,70.07,4673600,67.60
2011-01-03,66.15,70.10,66.00,69.38,7249400,66.93
2010-12-27,64.73,65.29,64.33,65.26,2433700,62.96
2010-12-20,64.74,65.14,62.82,65.06,5847200,62.77
2010-12-13,64.23,65.29,63.63,65.03,5722500,62.74
2010-12-06,66.41,67.39,63.96,64.16,4821600,61.90
2010-11-29,64.33,66.80,63.44,66.54,5166100,64.19
2010-11-22,63.02,65.58,62.80,64.80,5240400,62.52
2010-11-15,63.35,64.74,61.84,63.59,9831300,61.35
2010-11-08,70.06,70.55,63.01,63.09,9201800,60.87
2010-11-01,70.71,71.89,68.04,71.27,4743100,68.76
2010-10-25,71.68,72.49,69.71,70.64,3893500,67.74
2010-10-18,70.19,71.94,68.35,71.26,5012900,68.33
2010-10-11,69.51,72.17,68.91,70.11,4674500,67.23
2010-10-04,66.57,69.71,65.86,69.23,5029400,66.39
2010-09-27,64.61,67.98,62.94,66.83,4979100,64.09
2010-09-20,62.99,64.86,62.53,64.60,4289900,61.95
2010-09-13,64.73,64.98,61.89,62.95,5890300,60.36
2010-09-07,64.25,65.63,62.95,63.84,3419600,61.22
2010-08-30,63.00,65.42,60.80,64.64,4242900,61.99
2010-08-23,65.09,65.24,59.48,63.16,6149400,60.57
2010-08-16,64.27,66.91,63.59,64.60,3643300,61.95
2010-08-09,69.17,69.47,64.44,64.84,3954800,62.18
2010-08-02,69.01,70.00,67.36,68.70,4375100,65.88
2010-07-26,68.15,69.75,66.47,68.14,5508900,64.95
2010-07-19,62.72,68.17,61.83,67.93,5431000,64.75
2010-07-12,64.55,65.78,61.68,61.90,5483100,59.00
2010-07-06,62.71,65.20,60.65,64.66,4465800,61.63
2010-06-28,68.43,68.62,61.17,61.94,6371100,59.04
2010-06-21,68.95,69.34,65.65,68.77,7098100,65.55
2010-06-14,66.22,68.14,64.71,67.96,5340600,64.78
2010-06-07,61.69,65.70,59.84,65.38,6996200,62.32
2010-06-01,64.27,65.20,60.93,61.15,5727700,58.28
2010-05-24,63.66,65.41,60.61,64.18,6733700,61.17
2010-05-17,70.36,70.37,61.39,64.56,9090300,61.53
2010-05-10,69.96,73.37,68.98,69.82,6725500,66.55
2010-05-03,72.62,74.70,62.00,66.72,7968400,63.59
2010-04-26,74.58,75.29,71.34,72.43,5314900,68.64
2010-04-19,70.27,76.00,70.16,75.13,7057100,71.20
2010-04-12,72.15,72.61,69.88,70.79,4651200,67.08
2010-04-05,72.99,73.18,70.95,72.42,5664900,68.63
2010-03-29,73.08,74.53,71.95,72.99,5935200,69.17
2010-03-22,71.66,73.43,71.51,72.59,6412700,68.79
2010-03-15,69.37,73.30,68.29,70.72,9272600,67.02
2010-03-08,68.01,70.49,67.13,69.83,7187900,66.17
2010-03-01,63.05,68.04,63.00,67.93,6032500,64.37
2010-02-22,63.58,64.47,62.00,63.16,5075400,59.85
2010-02-16,60.42,64.34,59.90,63.59,5036500,60.26
2010-02-08,58.33,60.75,57.78,59.65,5357300,56.53
2010-02-01,60.74,62.00,57.14,58.40,7285800,55.34
2010-01-25,58.35,63.40,57.23,60.60,8077600,57.04
2010-01-19,60.60,61.26,57.70,57.77,5236400,54.37
2010-01-11,61.95,62.09,59.91,60.82,4783300,57.24
2010-01-04,55.72,62.31,54.80,61.60,9083300,57.98
2009-12-28,55.33,55.55,54.05,54.13,2221600,50.95
2009-12-21,53.36,55.65,53.36,55.48,2847800,52.22
2009-12-14,56.02,56.56,53.10,53.44,6948700,50.30
2009-12-07,55.20,56.39,54.72,55.60,5331900,52.33
2009-11-30,52.43,55.45,51.78,54.68,5443700,51.47
2009-11-23,52.50,53.00,50.95,52.45,3211600,49.37
2009-11-16,51.00,52.69,50.75,51.70,4381200,48.66
2009-11-09,50.01,51.48,49.72,50.68,3918800,47.70
2009-11-02,47.82,49.98,47.33,49.68,4808500,46.76
2009-10-26,49.85,49.98,47.18,47.80,7677100,44.60
2009-10-19,53.32,53.75,49.50,49.89,6475500,46.55
