Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,37.75,39.57,37.75,38.57,19900,38.57
2012-05-14,39.50,40.13,37.53,37.72,14800,37.72
2012-05-07,39.27,41.52,39.27,40.04,11900,40.04
2012-04-30,43.11,43.12,39.32,39.37,16900,39.37
2012-04-23,42.94,44.00,42.01,43.12,20500,43.12
2012-04-16,42.04,43.83,41.93,43.45,16200,43.45
2012-04-09,41.55,42.72,40.86,41.89,14900,41.89
2012-04-02,43.53,43.79,42.30,42.51,18600,42.23
2012-03-26,42.93,44.00,42.69,43.56,12200,43.27
2012-03-19,41.60,42.70,41.35,42.60,9800,42.32
2012-03-12,40.80,42.00,40.52,41.67,13300,41.40
2012-03-05,39.39,41.18,39.02,40.76,10900,40.49
2012-02-27,40.52,41.85,39.32,39.45,28100,39.19
2012-02-21,41.44,41.44,40.05,40.72,8900,40.45
2012-02-13,40.63,41.41,40.00,41.20,7700,40.93
2012-02-06,42.54,42.54,40.01,40.01,12500,39.75
2012-01-30,39.35,42.68,39.01,42.62,30400,42.34
2012-01-23,40.75,40.89,38.76,39.48,17700,39.22
2012-01-17,39.86,40.94,39.00,40.80,24600,40.53
2012-01-09,39.41,39.91,38.72,39.28,15000,39.02
2012-01-03,38.14,39.34,37.56,39.10,14400,38.84
2011-12-27,37.25,37.69,36.63,37.54,17200,37.29
2011-12-19,36.27,37.82,35.39,37.55,16100,37.03
2011-12-12,36.76,37.30,35.06,36.17,21000,35.67
2011-12-05,37.20,37.99,35.76,37.17,12800,36.66
2011-11-28,34.00,37.46,33.69,36.49,38400,35.99
2011-11-21,36.36,36.56,33.05,33.06,18300,32.61
2011-11-14,37.18,37.46,35.73,36.73,10400,36.23
2011-11-07,38.34,38.61,36.12,37.25,16700,36.74
2011-10-31,39.52,39.67,36.19,38.29,20700,37.76
2011-10-24,38.09,40.85,36.84,40.03,21500,39.48
2011-10-17,37.02,38.08,35.46,37.46,18900,36.94
2011-10-10,34.45,37.89,34.29,37.21,18700,36.70
2011-10-03,33.00,35.99,31.35,33.93,23400,33.46
2011-09-26,31.91,33.92,31.26,33.16,21600,32.70
2011-09-19,34.09,34.40,30.50,31.76,28300,31.07
2011-09-12,33.00,35.52,33.00,34.61,19400,33.85
2011-09-06,33.00,35.48,33.00,33.44,23100,32.71
2011-08-29,35.13,36.25,33.51,33.72,34300,32.98
2011-08-22,33.02,35.26,31.87,34.86,30300,34.10
2011-08-15,33.54,34.82,32.21,32.42,30300,31.71
2011-08-08,36.96,37.63,32.21,33.26,41600,32.53
2011-08-01,38.42,39.06,37.20,37.63,25800,36.81
2011-07-25,38.45,39.27,37.71,38.14,27000,37.31
2011-07-18,38.71,39.84,38.44,38.93,16500,38.08
2011-07-11,38.95,39.94,38.40,38.91,27500,38.06
2011-07-05,38.87,39.98,38.50,39.32,11700,38.46
2011-06-27,37.99,38.96,35.03,38.81,14800,37.96
2011-06-20,37.72,39.50,36.98,38.20,45600,37.12
2011-06-13,37.70,38.34,36.66,37.84,34200,36.77
2011-06-06,37.98,38.91,36.21,36.97,24000,35.93
2011-05-31,38.31,39.99,37.66,37.97,38000,36.90
2011-05-23,38.26,38.31,37.50,38.10,22800,37.03
2011-05-16,39.38,40.24,38.60,38.65,20700,37.56
2011-05-09,39.98,40.90,39.41,39.52,19800,38.41
2011-05-02,40.34,40.34,39.30,40.05,37200,38.92
2011-04-25,39.51,40.57,39.24,40.27,22000,39.13
2011-04-18,40.07,40.57,39.00,39.80,32300,38.68
2011-04-11,41.04,41.22,39.76,40.56,25400,39.42
2011-04-04,42.90,43.00,40.89,41.07,20700,39.91
2011-03-28,43.02,43.32,41.80,42.95,33300,41.74
2011-03-21,41.46,43.70,41.05,43.12,23000,41.66
2011-03-14,41.87,42.57,40.74,41.00,43200,39.61
2011-03-07,42.71,43.19,41.54,42.25,12100,40.82
2011-02-28,41.98,43.15,41.51,42.65,12000,41.20
2011-02-22,42.67,42.67,40.55,41.94,13900,40.52
2011-02-14,43.02,43.55,42.18,43.03,19700,41.57
2011-02-07,40.65,43.34,40.62,43.22,22800,41.75
2011-01-31,41.22,41.78,40.50,40.65,15600,39.27
2011-01-24,41.79,42.76,40.93,41.02,12200,39.63
2011-01-18,43.96,44.24,41.52,41.79,14500,40.37
2011-01-10,42.19,44.67,41.98,44.18,14800,42.68
2011-01-03,41.74,42.64,41.04,42.38,23200,40.94
2010-12-27,42.67,43.58,41.19,41.19,15300,39.79
2010-12-20,41.29,42.85,40.47,42.83,20300,41.14
2010-12-13,42.05,42.12,41.05,41.25,19200,39.62
2010-12-06,41.15,42.57,40.90,42.00,13700,40.34
2010-11-29,40.51,41.88,39.99,41.41,18000,39.77
2010-11-22,41.60,41.60,40.08,40.73,9200,39.12
2010-11-15,41.97,42.52,40.41,41.73,9900,40.08
2010-11-08,42.65,42.65,40.81,41.67,18800,40.02
2010-11-01,41.20,42.90,40.32,42.68,18900,40.99
2010-10-25,41.97,41.97,40.75,41.10,13600,39.47
2010-10-18,40.68,41.60,40.05,41.51,24600,39.87
2010-10-11,40.56,41.26,39.91,40.53,18100,38.93
2010-10-04,40.50,40.76,39.70,40.45,28400,38.85
2010-09-27,41.13,41.14,40.05,40.49,30200,38.89
2010-09-20,38.80,41.20,38.70,41.00,26000,39.14
2010-09-13,38.40,38.98,37.59,38.50,21900,36.75
2010-09-07,38.58,38.67,37.58,37.89,17500,36.17
2010-08-30,36.49,38.81,36.11,38.63,35900,36.87
2010-08-23,36.57,37.06,34.87,36.49,25300,34.83
2010-08-16,36.39,37.98,35.36,36.42,16900,34.76
2010-08-09,39.44,39.48,36.10,36.58,30300,34.92
2010-08-02,41.75,41.75,38.51,39.03,15200,37.26
2010-07-26,39.99,41.88,39.32,41.18,24900,39.31
2010-07-19,35.72,39.94,35.59,39.93,27400,38.11
2010-07-12,37.33,38.06,34.87,35.70,24700,34.08
2010-07-06,36.53,37.50,35.53,37.50,13100,35.79
2010-06-28,37.72,37.73,35.95,36.16,18500,34.52
2010-06-21,38.59,38.69,36.94,37.91,42400,35.97
2010-06-14,38.17,38.93,37.13,38.17,23900,36.21
2010-06-07,37.38,37.93,36.23,37.93,17600,35.99
2010-06-01,39.06,39.89,37.17,37.17,35100,35.26
2010-05-24,39.88,40.26,38.12,39.69,25300,37.66
2010-05-17,41.80,42.55,38.10,39.80,22500,37.76
2010-05-10,41.83,44.38,40.82,41.53,18200,39.40
2010-05-03,44.44,44.67,40.00,40.52,22200,38.44
2010-04-26,46.58,46.84,44.06,44.14,23500,41.88
2010-04-19,43.78,47.15,43.78,46.58,22000,44.19
2010-04-12,43.52,44.95,43.11,44.11,11100,41.85
2010-04-05,42.08,43.77,41.37,43.63,12000,41.39
2010-03-29,42.26,42.94,41.35,41.88,14400,39.73
2010-03-22,42.71,44.20,42.05,42.28,13200,39.89
2010-03-15,42.11,43.40,40.39,42.96,20600,40.54
2010-03-08,42.17,42.44,41.24,42.30,10500,39.91
2010-03-01,40.21,42.25,40.21,42.24,24200,39.86
2010-02-22,40.70,40.81,39.20,39.90,26000,37.65
2010-02-16,39.79,40.79,39.30,40.69,14400,38.39
2010-02-08,38.98,39.59,37.90,39.59,32400,37.36
2010-02-01,40.35,40.35,37.44,38.92,28800,36.72
2010-01-25,39.45,40.99,38.99,40.30,38900,38.03
2010-01-19,36.66,39.90,35.58,39.18,60000,36.97
2010-01-11,36.94,37.20,36.26,36.63,29900,34.56
2010-01-04,37.55,37.56,35.86,36.75,41100,34.68
2009-12-28,38.57,38.57,36.60,37.04,27400,34.95
2009-12-21,37.70,38.48,36.32,38.36,11900,35.98
2009-12-14,37.64,38.00,36.86,37.57,22100,35.24
2009-12-07,37.80,37.88,36.21,37.47,16600,35.14
2009-11-30,36.89,38.95,36.21,37.87,22000,35.52
2009-11-23,37.65,38.90,36.63,36.96,11000,34.67
2009-11-16,37.92,38.71,36.84,37.20,18800,34.89
2009-11-09,37.41,38.47,36.77,37.49,13400,35.16
2009-11-02,36.24,37.60,35.37,37.18,21700,34.87
2009-10-26,36.90,37.26,35.55,36.11,26400,33.87
2009-10-19,37.15,37.45,36.16,36.48,20800,34.22
2009-10-12,36.85,37.55,36.21,36.93,12600,34.64
2009-10-05,36.06,37.39,35.13,37.15,19700,34.84
2009-09-28,37.58,38.69,35.63,35.90,36800,33.67
2009-09-21,38.80,39.96,37.20,37.56,23200,35.01
2009-09-14,37.31,39.11,36.88,39.07,20300,36.42
2009-09-08,35.96,37.79,35.76,37.59,18400,35.04
2009-08-31,36.26,36.62,34.66,35.76,23000,33.33
2009-08-24,37.00,37.55,35.49,36.35,31200,33.88
2009-08-17,34.47,37.24,33.83,37.24,16300,34.71
2009-08-10,35.47,36.89,34.35,35.07,18100,32.69
2009-08-03,35.75,36.28,34.36,35.79,31000,33.36
2009-07-27,35.42,37.30,34.61,35.83,34700,33.40
2009-07-20,33.71,35.97,31.47,35.58,24900,33.17
2009-07-13,32.73,35.04,32.55,33.43,40500,31.16
2009-07-06,34.34,35.90,32.00,32.54,51100,30.33
2009-06-29,35.66,36.86,34.11,34.34,37400,32.01
2009-06-22,35.84,36.55,34.89,35.54,51900,33.13
2009-06-15,39.58,40.06,34.46,36.05,68900,33.40
2009-06-08,40.93,42.04,39.08,39.80,19200,36.88
2009-06-01,38.52,42.40,38.28,41.19,31600,38.16
2009-05-26,36.93,39.45,36.00,38.58,32700,35.75
2009-05-18,38.64,40.57,36.75,36.80,47100,34.10
2009-05-11,42.97,43.28,37.15,38.19,46400,35.39
2009-05-04,41.34,43.93,40.60,43.73,41400,40.52
2009-04-27,42.27,44.20,40.65,40.92,50100,37.91
2009-04-20,41.55,45.59,39.34,43.34,70800,40.16
2009-04-13,40.46,43.48,37.92,42.61,40300,39.48
2009-04-06,40.82,41.94,36.41,41.73,38500,38.67
2009-03-30,37.60,41.68,35.33,41.15,37400,38.13
2009-03-23,34.35,39.97,34.08,37.60,36200,34.84
2009-03-16,33.61,37.21,32.02,33.37,74600,30.75
2009-03-09,29.68,33.99,29.05,33.46,28500,30.83
2009-03-02,34.35,34.69,29.14,29.90,50400,27.55
2009-02-23,33.13,37.65,32.40,34.89,44200,32.15
2009-02-17,35.21,35.94,32.19,32.94,41500,30.35
2009-02-09,38.70,39.70,35.25,35.62,28100,32.82
2009-02-02,35.32,38.89,34.34,38.74,59700,35.69
2009-01-26,36.00,37.90,34.74,35.62,70900,32.82
2009-01-20,41.93,42.38,34.31,36.09,73700,33.25
2009-01-12,43.49,44.28,39.56,42.29,44300,38.96
2009-01-05,51.36,52.33,42.78,43.67,45200,40.24
2008-12-29,46.66,53.80,45.40,53.23,84600,49.04
2008-12-22,46.90,46.90,43.82,46.57,17100,42.71
2008-12-15,44.64,47.20,41.79,46.32,43400,42.48
2008-12-08,45.11,46.80,41.29,44.46,31300,40.77
2008-12-01,42.61,45.90,38.00,45.00,95700,41.27
2008-11-24,41.57,45.89,41.01,43.59,44700,39.97
2008-11-17,43.47,44.95,37.70,41.44,45200,38.00
2008-11-10,47.00,48.60,43.00,43.91,41400,40.27
2008-11-03,49.98,50.75,45.51,46.64,44300,42.77
2008-10-27,43.85,50.73,43.01,50.40,34300,46.22
2008-10-20,47.83,48.90,42.52,44.10,19400,40.44
2008-10-13,47.06,53.00,43.91,47.14,42000,43.23
2008-10-06,44.31,50.00,40.51,46.37,35500,42.52
2008-09-29,49.60,50.24,44.67,45.52,34900,41.74
2008-09-22,67.95,68.00,47.07,49.57,46000,45.46
2008-09-15,50.70,73.10,48.25,73.10,62700,66.74
2008-09-08,49.74,51.20,48.05,50.80,29600,46.38
2008-09-02,48.92,50.66,48.27,48.99,54300,44.73
2008-08-25,46.14,48.51,44.21,48.14,13300,43.95
2008-08-18,48.71,48.94,44.65,46.33,17300,42.30
2008-08-11,48.26,48.89,46.51,48.84,40200,44.59
2008-08-04,47.60,48.95,46.30,48.09,17700,43.91
2008-07-28,45.68,47.80,43.12,47.72,21300,43.57
2008-07-21,46.99,48.18,43.00,46.05,40700,42.04
2008-07-14,44.80,47.54,40.75,46.80,44700,42.73
2008-07-07,42.75,44.80,40.37,44.71,44000,40.82
2008-06-30,43.26,44.70,42.17,42.58,31000,38.88
2008-06-23,44.73,44.92,43.03,43.03,49300,39.29
2008-06-16,44.94,46.04,44.00,44.55,34500,40.49
2008-06-09,43.51,45.44,42.31,44.89,46600,40.80
2008-06-02,43.24,44.47,42.23,43.71,30700,39.73
2008-05-27,44.16,44.70,43.02,43.43,31900,39.47
2008-05-19,44.08,44.99,43.45,44.28,46800,40.25
2008-05-12,44.19,45.41,43.30,44.26,29300,40.23
2008-05-05,45.17,46.91,43.45,43.95,30400,39.95
2008-04-28,43.93,46.93,43.32,45.43,44900,41.29
2008-04-21,45.97,46.30,41.74,44.11,44300,40.09
2008-04-14,45.37,47.84,43.53,46.26,29900,42.05
2008-04-07,46.66,47.28,44.63,45.29,24000,41.16
2008-03-31,45.15,47.85,43.12,46.74,18900,42.48
2008-03-24,46.63,48.26,44.47,44.99,39700,40.89
2008-03-17,42.20,46.70,41.46,46.44,71100,42.03
2008-03-10,40.62,44.75,39.79,42.89,38900,38.82
2008-03-03,42.03,42.06,39.69,40.53,60800,36.68
2008-02-25,43.90,45.98,42.13,42.13,32500,38.13
2008-02-19,43.75,45.68,42.58,43.80,35200,39.64
2008-02-11,42.87,44.63,42.25,43.23,34000,39.12
2008-02-04,45.27,45.27,42.10,43.22,30700,39.11
2008-01-28,44.85,45.95,42.64,45.58,32900,41.25
2008-01-22,40.20,45.61,39.93,44.84,34100,40.58
2008-01-14,41.54,44.90,40.55,41.46,37000,37.52
2008-01-07,41.18,43.15,40.09,41.02,29700,37.12
