Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,3.32,3.45,3.26,3.30,271000,3.30
2012-05-14,3.66,3.82,3.25,3.30,225500,3.30
2012-05-07,3.39,3.83,3.37,3.73,312200,3.73
2012-04-30,3.83,3.89,3.31,3.37,327800,3.37
2012-04-23,4.19,4.25,3.80,3.83,235100,3.83
2012-04-16,3.95,4.18,3.74,4.16,340100,4.16
2012-04-09,4.28,4.34,3.91,3.93,248900,3.93
2012-04-02,4.82,5.00,4.34,4.36,271600,4.36
2012-03-26,5.16,5.29,4.82,4.83,241100,4.83
2012-03-19,5.36,5.51,5.04,5.17,258500,5.17
2012-03-12,5.62,5.70,4.78,5.37,497300,5.37
2012-03-05,4.70,5.95,4.69,5.59,1137300,5.59
2012-02-27,4.27,4.88,4.22,4.69,426900,4.69
2012-02-21,4.55,4.59,4.11,4.31,601000,4.31
2012-02-13,3.92,4.58,3.55,4.52,923400,4.52
2012-02-06,3.98,4.09,3.82,3.84,179400,3.84
2012-01-30,3.42,4.07,3.36,4.03,405200,4.03
2012-01-23,2.84,3.50,2.75,3.48,321300,3.48
2012-01-17,2.88,2.90,2.74,2.85,149700,2.85
2012-01-09,2.50,2.95,2.43,2.85,434600,2.85
2012-01-03,2.53,2.56,2.37,2.41,150800,2.41
2011-12-27,2.45,2.50,2.28,2.47,211000,2.47
2011-12-19,2.50,2.56,2.37,2.48,192000,2.48
2011-12-12,2.61,2.75,2.44,2.48,177800,2.48
2011-12-05,2.94,2.96,2.59,2.66,114100,2.66
2011-11-28,2.76,2.99,2.60,2.94,140100,2.94
2011-11-21,2.74,2.93,2.59,2.63,113300,2.63
2011-11-14,3.01,3.02,2.68,2.82,122000,2.82
2011-11-07,2.99,3.14,2.84,3.03,154400,3.03
2011-10-31,3.16,3.17,2.75,2.99,142000,2.99
2011-10-24,2.88,3.33,2.87,3.23,180200,3.23
2011-10-17,2.67,2.95,2.56,2.87,132700,2.87
2011-10-10,2.53,2.93,2.47,2.74,144700,2.74
2011-10-03,2.75,2.99,2.40,2.46,313100,2.46
2011-09-26,2.80,3.00,2.64,2.76,161700,2.76
2011-09-19,2.85,2.96,2.64,2.78,132600,2.78
2011-09-12,2.72,3.03,2.72,2.91,196100,2.91
2011-09-06,2.76,3.06,2.73,2.76,283100,2.76
2011-08-29,2.77,3.46,2.76,2.91,443000,2.91
2011-08-22,2.55,2.76,2.48,2.72,156300,2.72
2011-08-15,2.57,2.77,2.45,2.47,187700,2.47
2011-08-08,2.55,2.69,2.30,2.54,333700,2.54
2011-08-01,3.47,3.52,2.55,2.69,306200,2.69
2011-07-25,3.84,3.87,3.34,3.40,193100,3.40
2011-07-18,3.92,3.98,3.75,3.89,108700,3.89
