Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,41.80,43.08,41.36,42.39,667200,42.39
2012-05-14,44.18,45.46,41.48,41.59,703000,41.59
2012-05-07,45.00,46.01,44.45,44.82,643200,44.82
2012-04-30,48.00,48.00,45.00,45.23,686300,45.23
2012-04-23,44.27,48.24,43.90,48.12,1227000,48.12
2012-04-16,44.36,45.29,43.62,44.80,836600,44.80
2012-04-09,45.38,45.45,42.89,44.20,996300,44.20
2012-04-02,46.23,47.12,45.94,46.17,711700,46.17
2012-03-26,47.85,48.48,45.86,46.47,772100,46.47
2012-03-19,47.87,48.29,46.04,46.92,702400,46.92
2012-03-12,46.97,48.19,46.20,48.06,808900,48.06
2012-03-05,46.43,47.66,44.76,47.16,1093900,47.16
2012-02-27,46.06,46.75,45.31,46.41,885600,46.41
2012-02-21,46.20,47.18,46.04,46.35,680300,46.35
2012-02-13,46.23,46.70,45.59,46.09,917600,46.09
2012-02-06,45.55,46.42,45.24,45.78,894800,45.78
2012-01-30,41.21,46.08,41.02,45.98,1046500,45.98
2012-01-23,42.24,42.86,40.91,41.64,639500,41.64
2012-01-17,41.25,43.06,41.22,42.06,747000,42.06
2012-01-09,40.00,42.10,39.99,40.83,924600,40.83
2012-01-03,39.01,39.98,38.36,39.79,710700,39.79
2011-12-27,38.86,39.29,37.80,38.71,416700,38.71
2011-12-19,36.75,39.15,36.50,38.93,606400,38.93
2011-12-12,37.85,38.20,35.87,36.49,920400,36.49
2011-12-05,39.38,39.47,37.36,38.21,696000,38.21
2011-11-28,36.62,39.69,36.16,38.69,1397100,38.69
2011-11-21,36.54,37.22,34.90,35.37,771800,35.37
2011-11-14,38.48,39.18,36.53,37.28,849000,37.28
2011-11-07,39.01,40.04,37.57,38.40,878100,38.40
2011-10-31,37.90,39.36,35.90,39.13,864500,39.13
2011-10-24,35.85,38.98,35.62,38.53,1293200,38.53
2011-10-17,34.51,35.82,33.22,35.77,919000,35.77
2011-10-10,33.03,35.10,32.70,34.79,1092700,34.79
2011-10-03,32.76,33.27,28.83,32.39,1564700,32.39
2011-09-26,32.86,36.00,32.09,33.11,1157000,33.11
2011-09-19,33.10,34.25,31.02,32.49,1335400,32.49
2011-09-12,30.20,33.31,30.03,33.09,1079500,33.09
2011-09-06,30.96,33.25,30.52,30.69,1483200,30.69
2011-08-29,34.02,35.86,31.87,32.08,1108000,32.08
2011-08-22,31.40,33.90,30.41,33.40,1129400,33.40
2011-08-15,34.97,35.31,29.87,30.58,1135300,30.58
2011-08-08,32.66,34.94,29.14,34.59,1910200,34.59
2011-08-01,40.51,40.57,33.28,33.93,1034300,33.93
2011-07-25,41.46,42.85,38.32,39.80,915300,39.80
2011-07-18,40.50,42.69,39.74,41.83,774500,41.83
2011-07-11,41.16,41.80,39.76,40.56,912500,40.56
2011-07-05,41.26,41.99,40.89,41.75,626600,41.75
2011-06-27,38.96,41.35,38.23,41.29,812600,41.29
2011-06-20,37.97,39.50,37.80,38.93,1198500,38.93
2011-06-13,36.59,39.18,36.57,37.93,930900,37.93
2011-06-06,35.83,37.63,35.47,36.99,779400,36.99
2011-05-31,36.91,37.50,35.72,35.90,592300,35.90
2011-05-23,36.79,36.93,35.37,36.63,504500,36.63
2011-05-16,37.74,38.55,36.14,37.36,712500,37.36
2011-05-09,37.16,38.58,36.99,37.84,497500,37.84
2011-05-02,38.90,38.99,35.60,37.22,1001700,37.22
2011-04-25,38.22,39.03,36.77,38.59,801300,38.59
2011-04-18,36.06,37.98,35.44,37.26,884900,37.26
2011-04-11,37.23,37.67,35.76,36.66,525500,36.66
2011-04-04,36.32,39.49,35.64,37.23,1472800,37.23
2011-03-28,34.97,36.73,34.30,36.04,777000,36.04
2011-03-21,33.82,35.22,33.73,34.82,604300,34.82
2011-03-14,34.05,34.33,32.53,33.25,1198200,33.25
2011-03-07,35.54,35.75,33.66,34.29,1028700,34.29
2011-02-28,34.50,35.59,33.33,35.50,1529700,35.50
2011-02-22,36.25,36.25,33.06,34.34,1548700,34.34
2011-02-14,38.77,38.83,35.57,36.76,1435800,36.76
2011-02-07,37.43,38.95,37.35,38.71,597900,38.71
2011-01-31,38.25,39.27,36.08,37.42,1562400,37.42
2011-01-24,37.96,40.28,37.93,38.24,650700,38.24
2011-01-18,39.49,40.81,38.00,38.05,794400,38.05
2011-01-10,38.88,39.58,38.04,39.41,482100,39.41
2011-01-03,37.21,39.71,37.19,39.02,661600,39.02
