Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,7.18,7.26,6.87,6.95,30600,6.95
2012-05-14,7.17,7.28,6.91,7.17,39900,7.17
2012-05-07,6.97,7.28,6.80,7.27,34200,7.27
2012-04-30,6.80,7.00,6.63,6.98,43800,6.98
2012-04-23,6.39,6.88,6.32,6.82,57900,6.82
2012-04-16,5.94,6.60,5.94,6.52,117800,6.52
2012-04-09,6.01,6.25,5.66,5.93,90000,5.93
2012-04-02,6.58,6.72,6.09,6.10,38900,6.09
2012-03-26,6.96,7.05,6.54,6.62,87100,6.61
2012-03-19,6.56,6.94,6.54,6.91,62700,6.90
2012-03-12,5.25,6.63,5.25,6.55,76600,6.54
2012-03-05,5.51,5.56,5.25,5.53,70200,5.52
2012-02-27,5.81,5.91,5.52,5.53,50500,5.52
2012-02-21,6.07,6.14,5.80,5.86,28300,5.85
2012-02-13,5.89,6.09,5.75,6.04,33000,6.03
2012-02-06,5.65,5.93,5.51,5.81,79000,5.80
2012-01-30,5.62,5.78,5.51,5.67,59900,5.66
2012-01-23,5.52,5.73,5.46,5.68,42100,5.67
2012-01-17,5.53,5.61,5.44,5.51,61400,5.50
2012-01-09,5.44,5.61,5.41,5.49,30500,5.48
2012-01-03,5.65,5.74,5.43,5.47,32000,5.46
2011-12-27,5.75,5.79,5.43,5.52,45700,5.51
2011-12-19,5.51,5.81,5.36,5.75,48700,5.74
2011-12-12,5.48,5.58,5.30,5.44,72600,5.43
2011-12-05,5.77,5.81,5.34,5.58,52900,5.57
2011-11-28,5.63,6.07,5.26,5.70,180100,5.68
2011-11-21,5.51,5.68,5.36,5.46,68000,5.44
2011-11-14,6.79,6.82,5.51,5.61,107700,5.59
2011-11-07,7.73,7.78,6.61,6.88,46800,6.86
2011-10-31,8.40,8.54,7.35,7.72,51600,7.69
2011-10-24,7.84,8.89,7.83,8.53,72100,8.50
2011-10-17,7.94,8.12,7.44,7.84,49600,7.81
2011-10-10,7.24,8.11,7.11,7.99,39200,7.96
2011-10-03,6.60,7.75,6.43,7.09,54300,7.07
2011-09-26,6.59,6.79,6.51,6.64,50200,6.62
2011-09-19,7.26,7.31,6.51,6.57,42100,6.55
2011-09-12,6.99,7.38,6.99,7.38,40000,7.35
2011-09-06,7.11,7.48,6.96,7.08,43700,7.06
2011-08-29,7.87,8.10,7.18,7.24,49300,7.22
2011-08-22,7.24,8.30,7.06,7.80,33700,7.77
2011-08-15,7.41,7.54,7.07,7.07,57600,7.05
2011-08-08,7.86,8.62,7.37,7.41,65200,7.38
2011-08-01,8.22,8.39,8.00,8.07,47800,7.97
2011-07-25,8.29,8.45,8.01,8.15,27600,8.05
2011-07-18,8.32,8.57,8.22,8.42,14600,8.32
2011-07-11,8.17,8.37,8.08,8.33,30500,8.23
2011-07-05,8.42,8.53,8.23,8.24,42100,8.14
2011-06-27,8.17,8.58,8.15,8.43,29100,8.33
2011-06-20,8.39,8.75,8.12,8.13,54100,8.03
2011-06-13,8.22,8.53,8.10,8.26,31700,8.16
2011-06-06,8.30,8.43,8.15,8.18,29000,8.08
2011-05-31,8.46,8.57,8.19,8.31,40700,8.21
2011-05-23,8.35,8.41,8.11,8.37,28200,8.27
2011-05-16,8.54,8.81,8.39,8.46,25600,8.36
2011-05-09,8.56,9.00,8.52,8.55,15400,8.45
2011-05-02,9.18,9.25,8.53,8.60,22400,8.43
2011-04-25,9.13,9.35,9.04,9.14,18100,8.96
