Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,13.10,13.48,13.03,13.28,25800,13.28
2012-05-14,13.35,13.43,13.02,13.15,33900,13.15
2012-05-07,13.40,13.58,13.29,13.41,21500,13.41
2012-04-30,13.49,13.71,13.41,13.41,16600,13.34
2012-04-23,13.59,13.75,13.46,13.53,37000,13.46
2012-04-16,13.53,13.72,13.46,13.59,26300,13.52
2012-04-09,13.44,13.64,13.38,13.42,18500,13.35
2012-04-02,13.40,13.60,13.40,13.43,22900,13.30
2012-03-26,13.50,13.66,13.38,13.40,82000,13.27
2012-03-19,13.26,13.55,13.17,13.53,68700,13.40
2012-03-12,13.55,13.64,13.12,13.34,48200,13.21
2012-03-05,13.48,13.62,13.29,13.62,48900,13.42
2012-02-27,13.46,13.54,13.37,13.54,30900,13.34
2012-02-21,13.44,13.58,13.40,13.46,37300,13.26
2012-02-13,13.43,13.50,13.36,13.44,22900,13.24
2012-02-06,13.11,13.48,13.09,13.48,41800,13.22
2012-01-30,13.15,13.26,13.12,13.16,24400,12.90
2012-01-23,13.06,13.28,13.04,13.17,31200,12.91
2012-01-17,12.91,13.04,12.85,13.02,24200,12.77
2012-01-09,12.79,13.05,12.78,12.91,22700,12.66
2012-01-03,12.49,12.79,12.47,12.78,22300,12.53
2011-12-27,12.53,12.75,12.38,12.45,28300,12.21
2011-12-19,12.22,12.60,12.21,12.60,19800,12.29
2011-12-12,12.42,12.42,12.16,12.21,27800,11.91
2011-12-05,12.57,12.66,12.37,12.45,24700,12.08
2011-11-28,12.33,12.64,12.16,12.54,25000,12.17
2011-11-21,12.25,12.37,12.08,12.20,24400,11.84
2011-11-14,12.47,12.53,12.26,12.37,22600,12.00
2011-11-07,12.55,12.80,12.41,12.58,13900,12.21
2011-10-31,12.87,12.87,12.52,12.62,17100,12.18
2011-10-24,12.60,12.88,12.39,12.88,24200,12.43
2011-10-17,12.33,12.64,12.12,12.64,14600,12.20
2011-10-10,11.90,12.43,11.82,12.28,22200,11.85
2011-10-03,12.12,12.14,11.58,11.85,26800,11.37
2011-09-26,12.26,12.56,12.07,12.26,23700,11.77
2011-09-19,12.20,12.43,12.14,12.21,30400,11.72
2011-09-12,12.48,12.49,12.26,12.28,32100,11.79
2011-09-06,12.55,12.80,12.39,12.52,15400,11.95
