Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,5.06,5.50,5.06,5.25,3800,5.25
2012-05-14,5.27,5.42,5.00,5.05,8000,5.05
2012-05-07,5.51,5.78,5.25,5.48,13300,5.48
2012-04-30,5.81,5.91,5.40,5.58,6500,5.58
2012-04-23,5.65,5.95,5.65,5.79,6500,5.79
2012-04-16,5.88,6.00,5.64,5.64,5400,5.64
2012-04-09,5.74,6.16,5.49,5.78,28800,5.78
2012-04-02,5.46,6.00,5.46,5.75,13100,5.75
2012-03-26,5.68,5.80,5.01,5.55,10200,5.55
2012-03-19,5.39,5.68,5.30,5.68,7800,5.68
2012-03-12,5.70,5.70,5.14,5.52,10500,5.52
2012-03-05,5.74,5.74,5.31,5.70,12100,5.70
2012-02-27,5.64,5.75,5.51,5.70,19000,5.70
2012-02-21,5.56,5.71,5.50,5.65,4300,5.65
2012-02-13,5.60,5.80,5.51,5.55,20900,5.55
2012-02-06,5.20,5.80,5.09,5.57,12400,5.57
2012-01-30,5.20,5.25,4.92,5.20,6000,5.20
2012-01-23,4.63,5.24,4.61,5.19,21300,5.19
2012-01-17,4.81,4.84,4.51,4.72,3500,4.72
2012-01-09,4.43,4.79,4.35,4.77,10600,4.77
2012-01-03,4.27,4.48,4.22,4.44,80300,4.44
2011-12-27,4.22,4.37,4.22,4.25,5800,4.25
2011-12-19,4.39,4.41,4.16,4.30,5400,4.30
2011-12-12,4.33,4.49,4.15,4.38,7100,4.38
2011-12-05,4.33,4.45,4.20,4.24,11700,4.24
2011-11-28,4.32,4.44,4.26,4.30,8500,4.30
2011-11-21,4.29,4.44,4.21,4.25,11800,4.25
2011-11-14,4.41,4.50,4.28,4.31,4600,4.31
2011-11-07,4.36,4.47,4.26,4.47,4800,4.47
2011-10-31,4.28,4.50,4.21,4.39,14700,4.39
2011-10-24,4.23,4.50,4.21,4.25,3700,4.25
2011-10-17,4.56,4.79,4.21,4.31,5700,4.31
2011-10-10,4.31,4.78,4.30,4.73,11700,4.73
2011-10-03,4.85,4.85,4.10,4.48,50800,4.48
2011-09-26,4.75,4.93,4.55,4.82,4100,4.82
2011-09-19,4.83,4.90,4.75,4.79,600,4.79
2011-09-12,4.68,4.93,4.68,4.93,6300,4.93
2011-09-06,4.69,4.99,4.63,4.66,1900,4.66
2011-08-29,5.00,5.16,4.70,4.77,3400,4.77
2011-08-22,4.71,4.95,4.40,4.89,5400,4.89
2011-08-15,4.62,4.71,4.57,4.57,1700,4.57
2011-08-08,4.50,5.00,4.50,4.61,3800,4.61
2011-08-01,4.60,4.95,4.55,4.62,19200,4.62
2011-07-25,4.57,4.76,4.44,4.64,5100,4.64
2011-07-18,4.74,4.87,4.44,4.62,10400,4.62
2011-07-11,4.88,4.98,4.66,4.75,6700,4.75
2011-07-05,4.96,4.99,4.51,4.95,17200,4.95
2011-06-27,5.12,5.12,4.91,4.92,4500,4.92
2011-06-20,4.90,5.10,4.80,5.10,4400,5.10
2011-06-13,5.05,5.18,4.96,4.96,7600,4.96
2011-06-06,5.08,5.18,4.76,5.17,12100,5.17
2011-05-31,5.29,5.33,5.12,5.12,6000,5.12
2011-05-23,5.40,5.40,5.20,5.29,3000,5.29
2011-05-16,5.56,5.60,5.26,5.54,6300,5.54
2011-05-09,5.29,5.51,5.00,5.50,177000,5.50
2011-05-02,5.26,5.29,5.15,5.26,13700,5.26
2011-04-25,5.06,5.28,5.06,5.28,5300,5.28
2011-04-18,5.19,5.25,4.85,5.20,3400,5.20
2011-04-11,5.27,5.28,4.97,5.21,8400,5.21
2011-04-04,4.99,5.40,4.95,5.20,5400,5.20
2011-03-28,5.20,5.31,4.90,5.00,24500,5.00
2011-03-21,5.22,5.60,5.15,5.23,11200,5.23
