Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,3.45,3.58,3.38,3.43,117800,3.43
2012-05-14,3.55,3.62,3.44,3.44,113800,3.44
2012-05-07,3.69,3.80,3.54,3.60,82500,3.59
2012-04-30,4.06,4.06,3.71,3.72,104900,3.71
2012-04-23,3.78,4.10,3.72,4.07,120500,4.06
2012-04-16,3.73,3.94,3.63,3.84,167300,3.83
2012-04-09,3.91,3.94,3.71,3.72,128900,3.71
2012-04-02,4.05,4.22,3.97,4.00,130300,3.99
2012-03-26,4.24,4.26,4.04,4.04,98200,4.03
2012-03-19,3.99,4.33,3.94,4.17,81400,4.16
2012-03-12,3.87,4.08,3.80,4.01,119300,4.00
2012-03-05,3.71,3.95,3.55,3.90,143300,3.89
2012-02-27,4.18,4.18,3.70,3.71,115800,3.70
2012-02-21,4.42,4.42,4.18,4.21,70300,4.20
2012-02-13,4.12,4.49,4.12,4.41,117900,4.40
2012-02-06,4.42,4.42,4.00,4.04,56500,4.02
2012-01-30,4.03,4.55,3.93,4.45,145300,4.43
2012-01-23,3.77,4.11,3.70,4.10,89900,4.08
2012-01-17,3.41,3.76,3.34,3.74,96700,3.72
2012-01-09,3.19,3.40,3.13,3.38,71900,3.36
2012-01-03,3.25,3.31,3.09,3.15,72300,3.13
2011-12-27,3.21,3.28,3.05,3.18,89800,3.16
2011-12-19,3.19,3.35,3.01,3.27,105700,3.25
2011-12-12,3.39,3.51,3.04,3.14,174500,3.12
2011-12-05,3.40,3.54,3.22,3.47,100000,3.45
2011-11-28,3.10,3.41,3.00,3.33,134200,3.31
2011-11-21,3.05,3.13,2.97,2.97,92300,2.95
2011-11-14,3.24,3.35,3.02,3.13,82600,3.11
2011-11-07,3.18,3.31,3.00,3.27,93600,3.24
2011-10-31,3.61,3.61,3.00,3.19,112100,3.16
2011-10-24,2.84,3.79,2.77,3.68,197200,3.65
2011-10-17,2.89,2.91,2.65,2.84,180700,2.82
2011-10-10,2.62,2.98,2.62,2.93,94100,2.91
2011-10-03,2.58,2.79,2.42,2.59,209800,2.57
2011-09-26,2.64,2.97,2.55,2.61,148400,2.59
2011-09-19,2.86,2.91,2.51,2.61,130300,2.59
2011-09-12,2.75,3.09,2.75,2.91,135600,2.89
2011-09-06,2.80,3.03,2.75,2.81,117200,2.79
2011-08-29,3.15,3.26,2.86,2.89,141800,2.87
