Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,15.80,15.96,15.80,15.91,19400,15.91
2012-05-14,16.00,16.02,15.74,15.76,21400,15.76
2012-05-07,15.79,16.07,15.74,16.00,30600,16.00
2012-04-30,15.69,15.89,15.66,15.79,22700,15.71
2012-04-23,15.61,15.70,15.53,15.67,22300,15.59
2012-04-16,15.54,15.71,15.54,15.59,14900,15.51
2012-04-09,15.63,15.76,15.56,15.56,12900,15.48
2012-04-02,15.58,15.70,15.42,15.68,19000,15.51
2012-03-26,15.57,15.61,15.06,15.50,37000,15.34
2012-03-19,14.85,15.71,14.78,15.60,38400,15.43
2012-03-12,16.33,16.47,14.83,14.98,76600,14.82
2012-03-05,16.50,16.50,15.91,16.36,25700,16.10
2012-02-27,16.00,16.48,16.00,16.46,25600,16.20
2012-02-21,15.70,16.05,15.64,16.04,28200,15.79
2012-02-13,16.02,16.23,15.45,15.67,49400,15.42
2012-02-06,16.28,16.57,15.89,16.10,52600,15.77
2012-01-30,16.19,16.74,16.16,16.30,47300,15.96
2012-01-23,15.45,16.19,15.44,16.14,39900,15.80
2012-01-17,15.52,15.66,15.37,15.44,30800,15.12
2012-01-09,15.69,15.90,15.46,15.52,39900,15.20
2012-01-03,15.11,15.65,15.05,15.58,44000,15.17
2011-12-27,15.07,15.19,14.96,15.02,17000,14.63
2011-12-19,14.92,15.11,14.92,15.10,13000,14.71
2011-12-12,15.02,15.12,14.90,14.92,20700,14.53
2011-12-05,15.00,15.11,14.86,15.00,22000,14.53
2011-11-28,14.80,14.94,14.78,14.88,16400,14.41
2011-11-21,14.63,14.87,14.57,14.77,24500,14.31
2011-11-14,14.61,14.76,14.51,14.67,22100,14.21
2011-11-07,14.65,14.90,14.57,14.63,19600,14.17
2011-10-31,14.57,14.75,14.55,14.65,15400,14.03
2011-10-24,14.52,14.74,14.48,14.62,21800,14.00
2011-10-17,14.44,14.60,14.35,14.59,21400,13.97
2011-10-10,14.06,14.45,14.00,14.44,17200,13.83
2011-10-03,14.69,14.74,14.05,14.06,35700,13.38
2011-09-26,14.35,14.68,14.25,14.63,23400,13.93
2011-09-19,14.25,14.30,14.11,14.27,26500,13.58
2011-09-12,14.25,14.35,14.20,14.31,20000,13.62
2011-09-06,14.10,14.29,14.10,14.26,12600,13.49
2011-08-29,14.03,14.29,13.96,14.16,19500,13.40
2011-08-22,13.99,14.10,13.85,13.98,18300,13.23
2011-08-15,13.95,14.21,13.87,13.89,17200,13.14
2011-08-08,13.46,13.96,12.80,13.93,40600,13.18
2011-08-01,13.53,14.06,13.53,13.77,32000,12.95
2011-07-25,14.04,14.04,13.25,13.40,35600,12.60
2011-07-18,14.19,14.21,13.86,14.02,35900,13.19
2011-07-11,14.22,14.34,14.09,14.15,14600,13.31
2011-07-05,14.17,14.35,14.13,14.26,17600,13.33
2011-06-27,14.20,14.28,13.92,14.08,24500,13.17
2011-06-20,13.96,14.30,13.93,14.20,13500,13.28
2011-06-13,13.82,14.15,13.82,13.97,22400,13.06
2011-06-06,14.10,14.22,13.88,13.88,23500,12.90
2011-05-31,13.92,14.14,13.90,14.11,27300,13.11
2011-05-23,13.60,14.10,13.60,13.89,24000,12.91
2011-05-16,13.53,13.68,13.40,13.66,33900,12.70
2011-05-09,13.33,13.57,13.25,13.48,17800,12.53
2011-05-02,13.07,13.31,13.04,13.26,31800,12.25
2011-04-25,13.10,13.10,12.98,13.09,25500,12.09
2011-04-18,12.99,13.14,12.97,13.04,17100,12.04
2011-04-11,13.05,13.14,12.87,13.00,21700,12.01
2011-04-04,13.26,13.26,13.00,13.02,22000,11.95
2011-03-28,13.44,13.52,13.16,13.19,19500,12.10
2011-03-21,13.77,13.95,13.26,13.37,38700,12.27
2011-03-14,12.91,13.39,12.89,13.27,38000,12.18
2011-03-07,12.78,13.11,12.78,12.96,36300,11.89
2011-02-28,12.75,12.90,12.69,12.81,45500,11.68
2011-02-22,12.78,12.84,12.64,12.71,39600,11.59
2011-02-14,13.04,13.05,12.80,12.82,24600,11.69
2011-02-07,13.05,13.12,12.94,13.07,33200,11.92
2011-01-31,13.03,13.26,12.91,13.03,28000,11.80
2011-01-24,12.69,13.15,12.69,12.95,31400,11.73
2011-01-18,12.30,12.73,12.14,12.73,73100,11.53
2011-01-10,13.13,13.13,12.05,12.22,83000,11.07
2011-01-03,13.20,13.27,13.00,13.10,27700,11.79
2010-12-27,13.01,13.22,12.74,13.14,43800,11.83
2010-12-20,13.40,13.40,12.69,13.06,98100,11.75
2010-12-13,13.00,13.45,12.48,13.33,110500,12.00
2010-12-06,13.51,13.54,12.92,13.01,67600,11.63
2010-11-29,13.78,13.95,13.41,13.50,47300,12.07
2010-11-22,13.41,13.94,13.41,13.78,45800,12.32
2010-11-15,13.80,13.80,12.56,13.50,189400,12.07
2010-11-08,14.98,14.98,13.66,13.90,50000,12.43
2010-11-01,15.01,15.04,14.88,14.98,23900,13.32
2010-10-25,14.85,14.97,14.80,14.97,11900,13.31
2010-10-18,14.85,14.94,14.68,14.87,14000,13.22
2010-10-11,15.04,15.10,14.84,14.87,15200,13.22
2010-10-04,15.31,15.31,15.00,15.04,19700,13.30
2010-09-27,15.00,15.25,14.95,15.22,20000,13.45
2010-09-20,14.90,15.00,14.86,15.00,20600,13.26
2010-09-13,14.89,14.97,14.66,14.84,31700,13.12
2010-09-07,14.90,15.15,14.80,15.03,24300,13.21
2010-08-30,14.93,15.08,14.85,14.85,27600,13.05
2010-08-23,14.87,14.98,14.81,14.97,17300,13.16
2010-08-16,14.70,14.92,14.67,14.85,24600,13.05
2010-08-09,14.85,14.89,14.62,14.69,19400,12.91
2010-08-02,14.48,14.95,14.46,14.87,28600,13.00
2010-07-26,14.42,14.52,14.41,14.46,18000,12.64
2010-07-19,14.26,14.49,14.26,14.41,17400,12.60
2010-07-12,14.69,14.69,14.32,14.34,15200,12.53
2010-07-06,14.44,14.98,14.44,14.60,22600,12.69
2010-06-28,14.38,14.41,14.20,14.40,24400,12.51
2010-06-21,14.26,14.46,14.15,14.38,30900,12.50
2010-06-14,14.06,14.29,14.00,14.25,24600,12.38
2010-06-07,14.29,14.34,14.06,14.10,19300,12.25
2010-06-01,14.14,14.35,14.10,14.29,21400,12.35
2010-05-24,13.79,14.26,13.79,14.14,34600,12.22
2010-05-17,14.05,14.12,13.46,13.82,39600,11.94
2010-05-10,14.12,14.24,14.01,14.10,26900,12.18
2010-05-03,14.30,14.50,13.87,14.08,31400,12.09
2010-04-26,13.97,14.35,13.97,14.23,20600,12.22
2010-04-19,13.94,14.04,13.66,14.00,46700,12.02
2010-04-12,14.22,14.22,13.90,13.90,25000,11.94
2010-04-05,14.21,14.27,14.11,14.16,19600,12.09
2010-03-29,13.90,14.12,13.83,14.09,16100,12.03
2010-03-22,13.84,14.00,13.76,13.86,28400,11.83
2010-03-15,13.78,13.94,13.69,13.94,28200,11.90
2010-03-08,13.90,13.95,13.68,13.72,20800,11.71
2010-03-01,13.58,14.00,13.56,13.98,34500,11.86
2010-02-22,13.64,13.74,13.26,13.61,52800,11.55
2010-02-16,13.79,14.00,13.66,13.69,22700,11.62
2010-02-08,13.90,14.11,13.72,13.77,20400,11.68
2010-02-01,13.81,14.03,13.71,13.93,26300,11.75
2010-01-25,13.76,13.84,13.60,13.74,29300,11.59
2010-01-19,13.65,13.95,13.64,13.75,32300,11.60
2010-01-11,13.63,13.79,13.53,13.63,27000,11.50
2010-01-04,13.40,13.70,13.33,13.66,28500,11.45
2009-12-28,13.20,13.49,13.13,13.40,22900,11.24
2009-12-21,13.28,13.33,13.08,13.22,29800,11.08
2009-12-14,13.63,13.64,13.25,13.27,24800,11.13
2009-12-07,13.33,14.05,13.28,13.67,48000,11.46
2009-11-30,12.96,13.50,12.96,13.34,49300,11.12
2009-11-23,12.89,13.00,12.87,13.00,23700,10.84
2009-11-16,12.89,13.00,12.78,12.89,22900,10.74
2009-11-09,13.46,13.50,12.69,12.90,38500,10.75
2009-11-02,13.65,13.76,13.46,13.46,31100,11.15
2009-10-26,13.62,13.80,13.43,13.56,43300,11.23
2009-10-19,13.02,13.83,13.01,13.71,48900,11.36
2009-10-12,13.76,13.81,12.47,13.01,129800,10.78
2009-10-05,14.03,14.23,13.76,13.77,46300,11.34
2009-09-28,14.18,14.24,13.95,14.05,31700,11.57
2009-09-21,14.03,14.15,13.83,14.06,33000,11.58
2009-09-14,13.65,14.01,13.49,13.90,28500,11.44
2009-09-08,13.53,14.15,13.50,13.53,82000,11.14
2009-08-31,12.75,13.94,12.66,13.48,43300,11.03
2009-08-24,12.48,12.75,12.47,12.75,17900,10.43
2009-08-17,12.43,12.75,12.32,12.41,23200,10.16
2009-08-10,12.40,12.58,12.30,12.46,18500,10.20
2009-08-03,12.22,12.64,12.18,12.35,24700,10.05
2009-07-27,12.28,12.53,11.90,12.18,19500,9.91
2009-07-20,12.33,12.45,12.11,12.15,12100,9.88
2009-07-13,12.36,12.41,12.16,12.30,19100,10.00
2009-07-06,11.46,12.50,11.45,12.36,29100,9.99
2009-06-29,11.68,11.92,11.58,11.68,27100,9.44
2009-06-22,11.90,11.99,11.62,11.72,25000,9.47
2009-06-15,11.69,11.98,11.21,11.92,27300,9.64
2009-06-08,12.25,12.30,11.43,11.59,32000,9.37
2009-06-01,11.79,12.70,11.41,12.20,51300,9.80
2009-05-26,11.88,12.00,11.61,11.76,16900,9.45
2009-05-18,11.75,11.99,11.55,11.88,23800,9.54
2009-05-11,11.54,11.79,11.38,11.66,22100,9.37
2009-05-04,11.33,11.59,11.22,11.45,19200,9.15
2009-04-27,11.36,11.46,11.21,11.24,27200,8.98
2009-04-20,11.01,11.47,11.01,11.47,24900,9.16
2009-04-13,10.72,11.11,10.65,11.11,23200,8.88
2009-04-06,10.87,10.90,10.74,10.81,20000,8.59
2009-03-30,10.75,10.87,10.50,10.87,22400,8.63
2009-03-23,10.76,10.85,10.62,10.75,24700,8.54
2009-03-16,10.75,10.84,10.51,10.65,18100,8.46
2009-03-09,10.80,10.94,10.47,10.75,36200,8.54
