Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,8.72,8.83,8.48,8.53,59400,8.53
2012-05-14,8.70,8.91,8.66,8.72,37100,8.72
2012-05-07,8.50,8.89,8.50,8.81,44300,8.81
2012-04-30,8.73,8.80,8.51,8.54,69700,8.54
2012-04-23,8.71,8.96,8.62,8.77,45800,8.77
2012-04-16,8.60,8.88,8.54,8.86,59600,8.86
2012-04-09,8.57,8.81,8.45,8.60,66500,8.60
2012-04-02,8.70,8.95,8.70,8.73,67200,8.73
2012-03-26,9.20,9.25,8.74,8.74,54800,8.74
2012-03-19,8.90,9.19,8.71,9.13,46900,9.13
2012-03-12,8.95,9.08,8.75,8.89,56300,8.89
2012-03-05,8.81,9.01,8.68,8.89,38700,8.89
2012-02-27,8.85,9.15,8.84,8.85,79800,8.85
2012-02-21,8.90,9.06,8.77,8.95,49700,8.95
2012-02-13,8.76,9.02,8.50,8.91,57300,8.91
2012-02-06,9.19,9.26,8.58,8.66,46700,8.66
2012-01-30,8.96,9.29,8.81,9.23,91000,9.23
2012-01-23,8.99,9.13,8.77,9.02,54200,9.02
2012-01-17,8.93,9.11,8.80,9.02,64900,9.02
2012-01-09,8.78,9.00,8.73,8.88,58200,8.88
2012-01-03,8.56,8.83,8.51,8.75,51500,8.75
2011-12-27,8.60,8.75,8.32,8.36,58700,8.36
2011-12-19,8.19,8.81,8.15,8.63,59800,8.63
2011-12-12,8.65,8.70,8.08,8.11,117800,8.11
2011-12-05,8.70,8.79,8.38,8.77,77600,8.77
2011-11-28,8.22,8.75,8.11,8.63,75200,8.63
2011-11-21,8.59,8.72,7.98,8.00,43100,8.00
2011-11-14,8.63,8.80,8.50,8.73,52100,8.73
2011-11-07,8.36,8.82,8.19,8.67,104700,8.67
2011-10-31,8.17,8.44,7.67,8.35,87000,8.35
2011-10-24,8.13,8.50,7.94,8.27,110800,8.27
2011-10-17,8.15,8.25,7.60,8.13,69000,8.13
2011-10-10,7.82,8.45,7.69,8.24,74400,8.24
2011-10-03,7.38,8.18,7.12,7.69,134200,7.69
2011-09-26,7.50,7.86,7.15,7.45,119100,7.45
2011-09-19,8.00,8.02,7.22,7.48,86100,7.48
2011-09-12,7.18,8.13,7.17,8.13,82600,8.13
2011-09-06,7.15,7.53,7.15,7.25,96900,7.25
2011-08-29,7.91,8.26,7.21,7.26,90400,7.26
2011-08-22,7.57,8.24,7.35,7.82,79500,7.82
2011-08-15,7.58,7.81,7.30,7.41,95800,7.41
2011-08-08,7.80,8.08,7.37,7.50,163800,7.50
2011-08-01,7.94,8.18,7.76,7.92,95000,7.92
2011-07-25,7.92,8.03,7.61,7.83,68100,7.83
2011-07-18,8.10,8.27,7.96,8.00,41300,8.00
2011-07-11,8.14,8.21,8.01,8.11,54500,8.11
2011-07-05,8.17,8.44,8.06,8.18,50800,8.18
2011-06-27,8.16,8.32,8.07,8.24,56900,8.24
2011-06-20,8.24,8.45,8.03,8.14,123000,8.14
2011-06-13,8.21,8.31,8.01,8.27,91100,8.27
2011-06-06,8.20,8.39,8.15,8.20,59500,8.20
2011-05-31,8.40,8.48,8.15,8.21,118600,8.21
2011-05-23,8.41,8.45,8.28,8.38,64200,8.38
2011-05-16,8.31,8.69,8.20,8.51,71600,8.51
2011-05-09,8.31,8.43,8.27,8.35,57700,8.35
2011-05-02,8.65,8.76,8.32,8.34,58100,8.34
2011-04-25,8.65,8.81,8.54,8.63,54800,8.63
2011-04-18,8.58,8.73,8.41,8.64,79200,8.64
2011-04-11,8.44,8.78,8.40,8.63,99000,8.63
2011-04-04,8.69,8.74,8.44,8.45,50600,8.45
2011-03-28,8.84,8.85,8.59,8.65,78200,8.65
2011-03-21,8.98,9.04,8.74,8.81,45400,8.81
2011-03-14,8.72,8.93,8.58,8.91,86200,8.91
2011-03-07,8.86,9.01,8.72,8.76,66100,8.76
2011-02-28,9.00,9.01,8.81,8.84,54000,8.84
2011-02-22,8.89,9.00,8.71,9.00,54300,9.00
2011-02-14,8.96,9.00,8.84,8.99,51500,8.99
2011-02-07,8.77,9.00,8.75,8.93,65100,8.93
2011-01-31,8.76,9.00,8.75,8.78,82100,8.78
2011-01-24,9.16,9.28,8.75,8.79,77000,8.79
2011-01-18,9.22,9.35,9.05,9.12,111900,9.12
2011-01-10,9.03,9.27,9.00,9.21,127300,9.21
2011-01-03,8.93,9.17,8.75,9.10,114600,9.10
2010-12-27,8.38,9.00,8.20,8.83,106000,8.83
2010-12-20,8.14,8.43,8.05,8.39,75700,8.39
2010-12-13,8.29,8.42,8.04,8.07,100200,8.07
2010-12-06,7.84,8.31,7.82,8.29,51200,8.29
2010-11-29,7.76,8.02,7.64,7.87,113800,7.87
2010-11-22,7.57,7.98,7.32,7.83,93300,7.83
2010-11-15,7.72,7.79,7.32,7.63,124600,7.63
2010-11-08,7.72,7.84,7.53,7.66,141300,7.66
2010-11-01,7.39,7.78,7.15,7.71,286200,7.71
2010-10-25,7.81,7.86,7.20,7.34,302500,7.34
2010-10-18,9.00,9.08,7.80,7.82,163000,7.82
2010-10-11,9.02,9.18,8.89,8.98,90900,8.98
2010-10-04,9.00,9.24,8.78,9.05,79800,9.05
2010-09-27,9.25,9.25,8.93,9.00,118800,9.00
2010-09-20,9.04,9.40,8.92,9.23,80600,9.23
2010-09-13,8.78,9.15,8.76,9.05,115300,9.05
2010-09-07,8.69,8.79,8.60,8.77,93900,8.77
2010-08-30,8.56,8.70,8.15,8.70,121700,8.70
2010-08-23,8.69,8.71,8.17,8.60,99800,8.60
2010-08-16,8.86,8.91,8.47,8.63,128200,8.63
2010-08-09,10.01,10.11,8.85,8.88,109100,8.88
2010-08-02,10.24,10.32,9.86,9.97,78900,9.97
2010-07-26,10.31,10.47,10.07,10.09,76100,10.09
2010-07-19,9.84,10.31,9.60,10.26,79300,10.26
2010-07-12,9.96,10.39,9.77,9.78,92700,9.78
2010-07-06,10.05,10.18,9.95,9.99,137400,9.99
2010-06-28,10.22,10.22,9.82,9.90,118200,9.90
2010-06-21,10.53,10.55,9.98,10.24,114800,10.24
2010-06-14,10.36,10.52,10.10,10.40,112800,10.40
2010-06-07,9.98,10.27,9.80,10.25,100800,10.25
2010-06-01,10.22,10.37,9.91,9.94,135800,9.94
2010-05-24,10.49,10.49,10.01,10.31,125900,10.31
2010-05-17,10.95,11.05,10.18,10.47,164700,10.47
2010-05-10,10.22,10.95,10.05,10.90,146600,10.90
2010-05-03,10.15,10.45,9.80,9.95,182700,9.95
2010-04-26,10.00,10.20,9.74,9.91,112400,9.91
2010-04-19,9.89,10.06,9.75,10.01,96200,10.01
2010-04-12,9.81,10.09,9.75,9.96,95500,9.96
2010-04-05,9.50,9.90,9.33,9.82,79200,9.82
2010-03-29,9.44,9.59,9.32,9.42,101800,9.42
2010-03-22,9.51,9.68,9.36,9.46,55300,9.46
2010-03-15,9.73,9.86,9.49,9.59,65400,9.59
2010-03-08,9.68,9.85,9.57,9.76,61000,9.76
2010-03-01,9.45,9.70,9.23,9.70,65300,9.70
2010-02-22,9.41,9.56,9.20,9.39,59500,9.39
2010-02-16,9.31,9.45,9.07,9.37,50600,9.37
2010-02-08,9.11,9.30,8.93,9.23,61400,9.23
2010-02-01,9.02,9.18,8.86,9.12,99100,9.12
2010-01-25,9.08,9.18,8.88,9.01,48700,9.01
2010-01-19,9.37,9.50,9.02,9.06,58800,9.06
2010-01-11,9.86,9.86,9.22,9.33,50900,9.33
2010-01-04,9.97,9.98,9.63,9.81,82800,9.81
2009-12-28,9.91,9.96,9.71,9.84,81800,9.84
2009-12-21,9.86,9.94,9.59,9.85,72400,9.85
