Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,0.82,0.86,0.81,0.81,500,0.81
2012-05-14,0.94,0.94,0.83,0.83,4600,0.83
2012-05-07,0.83,0.91,0.83,0.91,1100,0.91
2012-04-30,0.94,1.00,0.86,0.87,3200,0.87
2012-04-23,0.92,1.00,0.87,0.88,3600,0.88
2012-04-16,1.00,1.00,0.87,0.92,8100,0.92
2012-04-09,0.80,1.05,0.80,0.89,3900,0.89
2012-04-02,1.00,1.00,0.77,0.90,7200,0.90
2012-03-26,0.88,1.20,0.78,1.00,26200,1.00
2012-03-19,0.80,0.89,0.78,0.88,5900,0.88
2012-03-12,0.89,0.89,0.81,0.86,400,0.86
2012-03-05,0.87,0.89,0.87,0.89,400,0.89
2012-02-27,0.87,0.89,0.77,0.77,5500,0.77
2012-02-21,0.73,0.89,0.73,0.76,4300,0.76
2012-02-13,0.75,0.85,0.69,0.81,4300,0.81
2012-02-06,0.77,0.80,0.75,0.75,3000,0.75
2012-01-30,0.76,0.89,0.73,0.76,4400,0.76
2012-01-23,0.85,0.85,0.75,0.76,900,0.76
2012-01-17,0.76,0.85,0.66,0.85,4300,0.85
2012-01-09,0.76,0.95,0.66,0.75,6600,0.75
2012-01-03,0.83,0.84,0.76,0.76,2200,0.76
2011-12-27,0.84,0.84,0.65,0.70,4000,0.70
2011-12-19,0.69,0.85,0.65,0.65,2600,0.65
2011-12-12,0.75,1.33,0.65,0.65,4500,0.65
2011-12-05,0.90,0.91,0.65,0.71,42400,0.71
2011-11-28,1.02,1.28,0.83,0.96,6800,0.96
2011-11-21,0.90,0.95,0.81,0.85,2500,0.85
2011-11-14,0.88,1.00,0.82,0.94,1200,0.94
2011-11-07,1.02,1.02,0.96,0.96,100,0.96
2011-10-31,0.97,1.02,0.96,1.02,300,1.02
2011-10-24,0.83,1.05,0.83,0.97,900,0.97
2011-10-17,0.81,0.83,0.78,0.83,1900,0.83
2011-10-10,0.72,0.89,0.70,0.81,2500,0.81
2011-10-03,0.78,0.93,0.70,0.70,4700,0.70
2011-09-26,0.97,1.70,0.50,0.80,28100,0.80
2011-09-19,1.35,1.41,0.91,0.96,9400,0.96
2011-09-12,1.51,1.65,1.31,1.65,9200,1.65
2011-09-06,1.70,1.70,1.42,1.51,1900,1.51
2011-08-29,1.71,1.76,1.63,1.71,1300,1.71
2011-08-22,1.50,1.99,1.50,1.65,2500,1.65
2011-08-15,1.60,1.60,1.50,1.50,2000,1.50
2011-08-08,1.60,1.68,1.60,1.60,600,1.60
2011-08-01,1.85,1.85,1.60,1.60,1600,1.60
2011-07-25,1.64,1.99,1.64,1.85,3100,1.85
2011-07-18,1.92,1.93,1.66,1.79,600,1.79
2011-07-11,1.96,2.00,1.70,1.70,3400,1.70
2011-07-05,1.70,1.73,1.70,1.73,000,1.73
2011-06-27,2.01,2.05,1.70,1.70,900,1.70
2011-06-20,1.88,2.01,1.65,2.01,1500,2.01
2011-06-13,2.14,2.14,1.91,2.01,700,2.01
2011-06-06,2.18,2.26,1.73,2.14,2100,2.14
2011-05-31,1.62,2.36,1.60,2.18,7800,2.18
2011-05-23,1.65,1.65,1.40,1.60,67800,1.60
2011-05-16,1.71,1.75,1.70,1.70,1700,1.70
2011-05-09,2.00,2.99,1.71,1.71,6100,1.71
2011-05-02,1.95,2.00,1.94,2.00,2000,2.00
2011-04-25,2.00,2.01,1.95,1.95,2400,1.95
2011-04-18,2.15,2.18,1.95,2.00,41300,2.00
2011-04-11,2.02,2.15,2.01,2.10,1500,2.10
2011-04-04,2.11,2.16,2.07,2.10,400,2.10
2011-03-28,2.04,2.12,2.04,2.12,000,2.12
2011-03-21,2.23,2.23,2.05,2.06,800,2.06
2011-03-14,2.35,2.37,2.06,2.07,2600,2.07
2011-03-07,2.45,2.45,2.30,2.35,600,2.35
2011-02-28,2.45,2.45,2.33,2.33,2000,2.33
2011-02-22,2.65,2.66,2.35,2.40,1000,2.40
2011-02-14,2.65,2.70,2.65,2.65,300,2.65
2011-02-07,2.66,2.66,2.65,2.65,200,2.65
2011-01-31,2.89,3.00,2.65,2.66,1800,2.66
2011-01-24,2.82,3.00,2.65,2.89,2100,2.89
2011-01-18,2.98,2.98,2.82,2.82,000,2.82
2011-01-10,2.72,2.98,2.72,2.98,000,2.98
2011-01-03,2.55,2.72,2.55,2.72,200,2.72
2010-12-27,2.43,2.99,2.43,2.54,1200,2.54
2010-12-20,3.00,3.00,2.25,2.89,3200,2.89
2010-12-13,2.46,3.00,2.46,2.80,1900,2.80
2010-12-06,1.95,2.40,1.95,2.26,300,2.26
2010-11-29,2.09,2.09,1.95,1.95,500,1.95
2010-11-22,1.95,2.10,1.95,1.95,600,1.95
2010-11-15,2.00,2.05,1.95,1.95,900,1.95
2010-11-08,2.00,2.02,1.95,2.00,1500,2.00
2010-11-01,2.00,2.00,1.95,1.95,900,1.95
2010-10-25,1.95,2.00,1.95,2.00,200,2.00
2010-10-18,2.00,2.00,1.95,1.95,800,1.95
2010-10-11,2.00,2.05,1.95,1.95,2700,1.95
2010-10-04,2.10,2.10,2.00,2.00,900,2.00
2010-09-27,2.14,2.14,2.09,2.10,500,2.10
2010-09-20,2.29,2.42,1.96,2.15,2100,2.15
2010-09-13,2.65,2.72,2.00,2.09,4100,2.09
2010-09-07,2.40,2.65,2.40,2.65,900,2.65
