Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,74.12,77.57,72.39,72.76,205300,72.76
2012-05-14,78.58,78.69,73.06,73.85,161500,73.85
2012-05-07,82.60,82.60,77.83,79.66,147200,79.66
2012-04-30,81.65,84.07,80.28,82.62,160500,82.62
2012-04-23,81.22,83.91,80.12,81.87,151000,81.87
2012-04-16,83.97,85.26,80.61,81.54,105400,81.54
2012-04-09,84.44,85.84,82.70,84.40,222500,81.39
2012-04-02,86.13,88.09,83.55,85.39,183300,82.35
2012-03-26,86.31,88.22,83.95,86.09,178300,83.02
2012-03-19,84.81,86.11,83.38,85.96,158200,82.90
2012-03-12,83.00,85.72,82.12,85.26,151900,82.22
2012-03-05,82.15,83.14,78.68,83.14,226100,80.18
2012-02-27,80.05,83.88,78.86,82.37,216100,79.44
2012-02-21,80.70,82.59,78.02,80.34,293000,77.48
2012-02-13,78.78,82.82,77.08,82.14,249300,79.22
2012-02-06,78.30,80.95,77.59,78.22,369500,75.43
2012-01-30,81.38,82.78,77.33,78.64,567200,75.84
2012-01-23,83.45,84.17,81.55,82.15,263300,79.22
2012-01-17,80.15,85.60,80.15,83.50,278300,80.53
2012-01-09,75.40,79.43,75.31,78.55,154300,75.75
2012-01-03,76.87,77.49,74.53,75.68,242000,72.99
2011-12-27,73.33,75.84,72.67,75.70,169300,73.00
2011-12-19,72.03,74.17,71.16,73.95,251400,71.32
2011-12-12,73.60,75.13,69.98,72.09,398800,69.52
2011-12-05,65.77,74.10,64.63,73.78,1226600,71.15
2011-11-28,65.02,67.23,63.22,65.14,473000,62.82
2011-11-21,72.71,72.71,62.08,62.69,593000,60.46
2011-11-14,80.00,80.56,73.67,73.94,189900,71.31
2011-11-07,77.64,80.57,76.91,80.38,147400,77.52
2011-10-31,79.03,82.84,75.58,78.43,413200,75.64
2011-10-24,78.14,82.98,76.69,80.72,254100,77.85
2011-10-17,73.35,78.17,72.52,78.03,264300,75.25
2011-10-10,75.80,76.04,72.73,73.72,226500,71.09
2011-10-03,74.05,75.14,65.53,74.14,414700,71.50
2011-09-26,73.25,76.32,70.90,73.48,270300,70.86
2011-09-19,76.17,78.71,69.27,72.45,336900,69.87
2011-09-12,82.83,86.00,78.03,78.40,311200,75.61
2011-09-06,86.54,91.26,83.90,84.51,195800,81.50
2011-08-29,86.12,93.32,85.71,89.32,173800,86.14
2011-08-22,80.82,88.23,80.03,85.06,153100,82.03
2011-08-15,83.85,85.67,77.64,79.30,155000,76.48
2011-08-08,81.07,84.90,74.87,83.67,224400,80.69
2011-08-01,94.74,94.74,80.75,83.47,194300,80.50
2011-07-25,93.87,96.70,91.54,92.98,126800,89.67
2011-07-18,92.02,95.18,90.30,94.74,158300,91.37
2011-07-11,93.75,93.75,91.39,92.49,102800,89.20
2011-07-05,95.18,96.82,93.85,94.75,158300,91.38
2011-06-27,90.21,94.95,90.21,94.94,114100,91.56
2011-06-20,89.00,92.30,88.12,90.33,99700,87.11
2011-06-13,90.32,91.28,87.36,89.17,144900,85.99
2011-06-06,90.40,92.18,88.04,89.89,114400,86.69
2011-05-31,90.80,91.19,88.92,90.62,109200,87.39
2011-05-23,89.84,90.13,87.62,90.05,82200,86.84
2011-05-16,89.64,90.36,87.18,89.56,129500,86.37
2011-05-09,89.66,91.01,88.51,89.62,108200,86.43
2011-05-02,91.77,92.82,89.06,89.62,163800,86.43
2011-04-25,88.98,91.63,88.90,91.59,143100,88.33
2011-04-18,85.32,89.85,85.32,88.99,132300,85.82
2011-04-11,92.30,92.59,87.43,87.51,166700,84.39
2011-04-04,90.63,92.77,90.00,92.55,254700,86.01
2011-03-28,84.00,90.21,82.01,90.13,225600,83.76
2011-03-21,77.50,84.86,77.50,84.17,218900,78.22
2011-03-14,78.53,81.08,75.23,76.67,229600,71.25
2011-03-07,84.38,85.27,78.00,78.87,194100,73.30
2011-02-28,83.20,86.74,82.55,85.25,118500,79.23
2011-02-22,82.58,83.95,80.22,82.33,139700,76.51
2011-02-14,84.98,87.21,83.28,84.31,384400,78.35
2011-02-07,84.80,85.25,81.50,84.84,200100,78.85
2011-01-31,83.71,87.52,83.03,84.47,152100,78.50
2011-01-24,85.86,86.40,81.30,81.42,266700,75.67
