Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,1.30,1.39,1.20,1.27,11100,1.27
2012-05-14,1.28,1.40,1.21,1.28,39100,1.28
2012-05-07,1.46,1.49,1.27,1.28,30100,1.28
2012-04-30,1.67,1.72,1.45,1.46,35800,1.46
2012-04-23,1.68,2.11,1.64,1.64,132000,1.64
2012-04-16,1.67,1.77,1.60,1.65,21300,1.65
2012-04-09,1.86,2.04,1.60,1.69,58900,1.69
2012-04-02,0.58,1.87,0.56,1.86,117400,1.86
2012-03-26,0.79,0.84,0.57,0.62,151700,1.86
2012-03-19,0.78,0.79,0.71,0.78,45600,2.34
2012-03-12,1.13,1.14,0.73,0.80,143700,2.40
2012-03-05,0.75,1.08,0.73,1.05,195500,3.15
2012-02-27,0.85,0.90,0.71,0.75,38300,2.25
2012-02-21,0.87,0.89,0.82,0.83,8200,2.49
2012-02-13,0.87,0.90,0.80,0.87,17000,2.61
2012-02-06,0.81,0.98,0.81,0.87,54300,2.61
2012-01-30,0.77,0.82,0.76,0.80,10800,2.40
2012-01-23,0.85,0.94,0.75,0.79,31700,2.37
2012-01-17,0.65,0.84,0.65,0.84,36500,2.52
2012-01-09,0.68,0.72,0.63,0.64,19400,1.92
2012-01-03,0.65,0.68,0.61,0.65,8400,1.95
2011-12-27,0.57,0.69,0.56,0.62,29500,1.86
2011-12-19,0.52,0.62,0.49,0.59,33200,1.77
2011-12-12,0.61,0.61,0.51,0.51,21000,1.53
2011-12-05,0.64,0.75,0.61,0.61,11300,1.83
2011-11-28,0.73,0.76,0.64,0.64,13500,1.92
2011-11-21,0.69,0.79,0.65,0.68,12000,2.04
2011-11-14,0.88,0.93,0.68,0.68,24200,2.04
2011-11-07,0.87,0.93,0.82,0.91,24400,2.73
2011-10-31,0.85,0.90,0.74,0.84,28300,2.52
2011-10-24,0.75,0.84,0.68,0.84,23000,2.52
2011-10-17,0.86,0.86,0.68,0.68,12600,2.04
2011-10-10,0.75,0.93,0.70,0.87,23000,2.61
2011-10-03,0.63,0.74,0.51,0.72,49400,2.16
2011-09-26,0.83,0.94,0.61,0.68,40500,2.04
2011-09-19,0.98,0.98,0.81,0.85,21000,2.55
2011-09-12,1.01,1.01,0.96,0.96,11700,2.88
2011-09-06,0.95,1.04,0.94,1.00,13500,3.00
2011-08-29,1.10,1.10,0.92,0.95,19900,2.85
2011-08-22,1.00,1.09,0.85,1.05,30900,3.15
2011-08-15,1.46,1.46,0.96,0.97,51100,2.91
2011-08-08,1.13,1.33,0.92,1.23,44000,3.69
2011-08-01,1.35,1.35,1.06,1.15,32900,3.45
2011-07-25,1.41,1.48,1.20,1.26,54500,3.78
2011-07-18,1.30,1.42,1.20,1.41,60300,4.23
2011-07-11,1.24,1.42,1.17,1.31,79700,3.93
2011-07-05,1.15,1.27,1.03,1.24,69300,3.72
2011-06-27,1.13,1.16,1.05,1.15,34000,3.45
2011-06-20,1.04,1.24,1.02,1.12,44900,3.36
2011-06-13,1.20,1.29,1.03,1.07,103900,3.21
2011-06-06,1.26,1.30,1.18,1.20,63900,3.60
2011-05-31,1.45,1.45,1.23,1.26,44100,3.78
2011-05-23,1.35,1.49,1.21,1.47,64800,4.41
2011-05-16,1.86,1.86,1.27,1.37,116600,4.11
2011-05-09,1.57,1.92,1.52,1.82,96600,5.46
2011-05-02,1.66,1.69,1.52,1.59,50800,4.77
2011-04-25,1.87,1.88,1.60,1.66,87000,4.98
2011-04-18,1.66,1.91,1.64,1.84,145600,5.52
2011-04-11,2.05,2.09,1.55,1.66,158400,4.98
2011-04-04,2.12,2.21,1.97,2.03,89600,6.09
2011-03-28,2.73,2.73,2.10,2.10,214200,6.30
2011-03-21,1.81,3.18,1.75,2.58,601400,7.74
2011-03-14,2.20,2.22,1.62,1.84,84800,5.52
2011-03-07,2.47,2.47,2.15,2.20,60600,6.60
2011-02-28,2.49,2.54,2.38,2.39,32700,7.17
2011-02-22,2.48,2.54,2.44,2.47,23500,7.41
2011-02-14,2.53,2.60,2.42,2.51,55900,7.53
2011-02-07,2.55,2.55,2.45,2.52,30800,7.56
2011-01-31,2.44,2.66,2.40,2.50,56400,7.50
2011-01-24,2.57,2.57,2.32,2.51,60100,7.53
2011-01-18,2.70,2.70,2.50,2.57,40400,7.71
2011-01-10,2.75,2.77,2.64,2.68,41300,8.04
2011-01-03,2.88,2.88,2.65,2.73,41100,8.19
2010-12-27,2.76,2.90,2.71,2.82,30400,8.46
2010-12-20,2.94,3.00,2.78,2.78,27600,8.34
2010-12-13,2.95,3.00,2.85,2.94,37300,8.82
2010-12-06,2.80,2.92,2.76,2.78,40200,8.34
2010-11-29,3.00,3.00,2.74,2.74,72900,8.22
2010-11-22,3.07,3.07,2.90,2.95,36800,8.85
2010-11-15,2.89,3.08,2.59,3.07,84700,9.21
2010-11-08,3.21,3.51,2.94,3.14,39100,9.42
2010-11-01,2.84,3.20,2.82,3.19,44700,9.57
2010-10-25,3.02,3.06,2.71,2.82,42700,8.46
2010-10-18,2.86,3.15,2.83,3.02,37900,9.06
2010-10-11,2.79,2.98,2.76,2.86,44600,8.58
2010-10-04,2.88,2.88,2.63,2.75,8400,8.25
2010-09-27,2.56,2.88,2.47,2.84,27800,8.52
2010-09-20,2.35,2.68,2.32,2.56,45500,7.68
2010-09-13,2.43,2.60,2.32,2.36,37900,7.08
2010-09-07,2.59,2.60,2.36,2.37,15900,7.11
2010-08-30,2.64,2.68,2.34,2.55,29200,7.65
2010-08-23,2.76,2.89,2.51,2.64,18900,7.92
2010-08-16,2.70,3.14,2.61,2.76,45400,8.28
2010-08-09,2.61,2.96,2.55,2.84,18700,8.52
2010-08-02,2.63,2.78,2.51,2.59,13000,7.77
2010-07-26,2.70,2.79,2.53,2.65,11400,7.95
2010-07-19,2.52,2.74,2.46,2.72,10400,8.16
2010-07-12,2.71,2.74,2.44,2.48,13100,7.44
2010-07-06,2.60,2.79,2.37,2.69,36400,8.07
2010-06-28,3.04,3.08,2.57,2.61,40700,7.83
2010-06-21,3.06,3.16,2.91,2.97,18300,8.91
2010-06-14,3.20,3.36,2.87,3.02,27000,9.06
2010-06-07,3.39,3.40,3.00,3.18,32400,9.54
2010-06-01,3.46,3.57,3.25,3.39,19400,10.17
2010-05-24,3.50,3.51,3.15,3.50,32400,10.50
2010-05-17,3.81,3.81,3.10,3.45,87900,10.35
2010-05-10,4.00,4.24,3.80,4.00,59200,12.00
2010-05-03,4.47,4.47,3.50,3.65,88200,10.95
2010-04-26,5.15,5.15,4.09,4.42,228100,13.26
2010-04-19,4.65,5.51,4.40,5.10,175200,15.30
2010-04-12,4.28,4.92,4.04,4.68,185700,14.04
2010-04-05,3.85,4.18,3.65,4.16,76200,12.48
2010-03-29,3.89,4.49,3.67,3.85,106800,11.55
2010-03-22,4.03,4.03,3.75,3.88,15700,11.64
2010-03-15,4.10,4.25,3.89,4.05,33000,12.15
2010-03-08,3.49,4.05,3.45,4.05,39900,12.15
2010-03-01,3.60,3.63,3.31,3.49,43700,10.47
2010-02-22,3.90,4.10,3.55,3.56,36400,10.68
2010-02-16,3.90,3.99,3.58,3.90,11500,11.70
2010-02-08,3.44,3.98,3.35,3.85,15900,11.55
2010-02-01,3.32,3.93,3.14,3.45,60600,10.35
2010-01-25,3.95,3.95,3.25,3.30,80500,9.90
2010-01-19,4.49,4.70,3.70,3.90,76800,11.70
2010-01-11,4.17,4.59,4.12,4.48,136500,13.44
2010-01-04,4.71,4.75,4.11,4.19,91600,12.57
2009-12-29,3.90,4.70,3.80,4.45,97000,13.35
