Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,23.51,24.36,23.49,24.02,671500,24.02
2012-05-14,25.04,25.58,23.29,23.38,756900,23.38
2012-05-07,24.74,26.24,24.00,25.29,1075800,25.29
2012-04-30,24.33,25.46,24.25,24.95,931200,24.95
2012-04-23,23.19,24.49,22.89,24.43,731800,24.43
2012-04-16,23.80,24.07,23.27,23.45,711500,23.45
2012-04-09,24.94,25.08,23.42,23.64,576500,23.64
2012-04-02,25.65,26.22,25.11,25.28,608100,25.28
2012-03-26,26.40,26.80,25.70,25.75,402400,25.75
2012-03-19,26.70,27.93,26.22,26.30,307500,26.30
2012-03-12,27.01,27.78,26.48,26.72,635000,26.72
2012-03-05,26.89,27.20,25.94,27.15,526400,27.15
2012-02-27,25.99,29.20,25.60,26.91,595900,26.91
2012-02-21,26.24,26.51,25.64,26.12,322300,26.12
2012-02-13,26.76,26.76,25.36,26.19,275600,26.19
2012-02-06,25.42,26.72,25.42,26.56,809900,26.56
2012-01-30,25.36,25.70,24.74,25.61,445200,25.61
2012-01-23,24.99,25.55,24.43,25.50,553300,25.50
2012-01-17,24.38,25.33,23.88,25.06,449700,25.06
2012-01-09,23.56,24.22,23.34,24.15,331900,24.15
2012-01-03,24.73,24.80,23.30,23.44,600800,23.44
2011-12-27,24.81,24.95,23.80,24.14,308200,24.14
2011-12-19,23.06,24.99,22.82,24.96,702300,24.96
2011-12-12,22.03,23.21,20.89,23.12,585600,23.12
2011-12-05,22.63,23.01,21.81,22.42,380900,22.42
2011-11-28,22.29,24.88,22.24,22.49,425400,22.49
2011-11-21,22.30,22.65,21.38,21.52,220400,21.52
2011-11-14,23.44,23.84,22.57,22.80,263300,22.80
2011-11-07,22.78,24.90,21.89,23.50,396200,23.50
2011-10-31,22.93,23.16,21.00,22.53,321600,22.53
2011-10-24,21.97,23.69,21.55,23.40,329800,23.40
2011-10-17,22.37,22.48,21.27,21.91,330100,21.91
2011-10-10,20.93,23.32,20.93,22.55,355900,22.55
2011-10-03,19.36,21.88,18.91,20.63,469400,20.63
2011-09-26,19.85,21.84,19.07,19.55,483500,19.55
2011-09-19,20.84,21.31,18.05,19.77,766700,19.77
2011-09-12,19.61,21.29,19.31,21.20,332300,21.20
2011-09-06,20.04,21.44,19.77,19.89,312600,19.89
