Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,27.11,27.86,27.11,27.84,374600,27.84
2012-05-14,27.00,27.74,26.89,27.13,413900,27.13
2012-05-07,27.95,28.00,26.65,27.07,342700,27.07
2012-04-30,27.58,27.95,27.47,27.95,418900,27.42
2012-04-23,27.17,27.50,26.95,27.50,221900,26.98
2012-04-16,26.65,27.22,26.35,27.22,226900,26.70
2012-04-09,27.00,27.00,26.01,26.60,269600,26.09
2012-04-02,26.49,27.07,26.41,27.07,206700,26.55
2012-03-26,27.39,27.53,26.09,26.46,460000,25.96
2012-03-19,27.51,27.65,27.18,27.27,321000,26.75
2012-03-12,27.79,27.79,27.00,27.56,416800,27.04
2012-03-05,27.51,27.94,27.13,27.81,545200,27.28
2012-02-27,27.29,27.50,27.06,27.50,448600,26.98
2012-02-21,27.13,27.30,26.84,27.29,433700,26.77
2012-02-13,27.19,27.45,26.51,27.05,414000,26.54
2012-02-06,27.50,27.62,27.03,27.10,525800,26.07
2012-01-30,27.58,27.60,27.40,27.55,541500,26.50
2012-01-23,27.51,27.68,27.33,27.56,775600,26.51
2012-01-17,27.47,28.64,27.20,27.50,1701000,26.45
2012-01-09,28.36,28.38,27.10,27.47,372400,26.42
2012-01-03,27.91,29.43,27.85,28.29,474400,27.21
2011-12-27,27.60,27.85,27.36,27.67,292300,26.61
2011-12-19,27.15,27.99,26.70,27.61,326400,26.56
2011-12-12,27.50,27.91,26.81,27.17,329000,26.13
2011-12-05,27.00,28.21,26.80,27.78,388500,26.72
2011-11-28,26.13,26.49,25.62,26.46,362200,25.45
2011-11-21,27.11,27.11,25.38,25.73,230100,24.75
2011-11-14,26.95,27.29,26.41,27.29,270500,26.25
2011-11-07,28.56,28.75,26.37,26.86,267700,25.84
2011-10-31,28.60,28.96,27.80,28.61,404500,27.01
2011-10-24,28.07,29.12,27.50,29.12,373000,27.49
2011-10-17,27.05,28.24,26.21,28.16,445400,26.58
2011-10-10,24.87,27.01,24.76,26.89,473300,25.39
2011-10-03,25.55,25.63,23.82,24.60,422500,23.22
2011-09-26,25.68,26.56,25.37,25.64,256300,24.21
2011-09-19,25.22,26.60,25.07,25.28,592100,23.87
2011-09-12,24.97,25.65,24.53,25.35,266600,23.93
2011-09-06,24.55,25.69,24.40,25.24,320500,23.83
2011-08-29,24.36,25.38,24.33,24.91,408400,23.52
2011-08-22,25.10,25.29,23.54,24.11,547400,22.76
2011-08-15,25.93,26.20,24.70,24.93,407500,23.53
2011-08-08,26.00,26.73,24.16,25.75,860300,24.31
2011-08-01,28.46,29.11,25.57,26.55,660000,24.53
2011-07-25,28.83,28.99,28.05,28.46,285600,26.29
2011-07-18,28.95,29.12,28.60,28.98,257100,26.77
2011-07-11,29.10,29.25,28.84,28.90,261800,26.70
2011-07-05,29.03,29.32,28.72,29.32,277400,27.08
2011-06-27,28.52,29.09,28.25,28.88,257100,26.68
2011-06-20,27.50,28.69,27.26,28.52,356500,26.35
2011-06-13,28.16,28.35,27.01,27.60,472100,25.50
2011-06-06,28.55,28.60,27.60,28.21,403800,26.06
2011-05-31,29.25,29.30,28.25,28.58,669900,26.40
2011-05-23,29.50,30.10,29.01,29.20,1031900,26.97
2011-05-16,28.76,30.04,28.02,29.86,540600,27.58
2011-05-09,30.65,30.85,28.60,28.81,524100,26.61
2011-05-02,32.83,32.83,29.76,30.58,708700,27.77
2011-04-25,32.58,33.47,32.53,33.47,153200,30.39
2011-04-18,32.11,32.56,31.66,32.56,194600,29.56
2011-04-11,32.24,32.60,31.75,32.11,236000,29.16
2011-04-04,32.81,33.00,32.14,32.27,163500,29.30
2011-03-28,32.99,33.00,32.30,32.79,145800,29.77
2011-03-21,31.90,33.00,31.68,32.84,215200,29.82
2011-03-14,32.01,32.40,31.28,31.52,286700,28.62
2011-03-07,33.33,33.47,31.18,32.15,249900,29.19
2011-02-28,33.11,33.50,32.79,33.33,222000,30.26
2011-02-22,32.97,33.33,32.27,32.99,216000,29.95
2011-02-14,32.94,33.13,32.23,32.82,242000,29.80
2011-02-07,33.47,33.47,32.42,32.78,299600,29.30
2011-01-31,32.10,32.45,31.78,32.26,224200,28.83
2011-01-24,31.89,32.08,31.56,31.84,236500,28.46
2011-01-18,32.35,32.52,31.41,31.71,224500,28.34
2011-01-10,31.50,32.36,31.20,32.35,221600,28.91
2011-01-03,31.26,31.50,31.01,31.39,227900,28.05
2010-12-27,30.52,31.24,30.42,31.13,173700,27.82
2010-12-20,30.14,30.74,29.88,30.49,203000,27.25
2010-12-13,30.62,30.94,29.95,29.99,297300,26.80
2010-12-06,31.02,31.20,29.80,30.65,358000,27.39
2010-11-29,31.36,31.36,30.61,31.27,309400,27.95
2010-11-22,31.13,31.61,31.11,31.20,468000,27.88
2010-11-15,32.23,32.23,31.04,31.28,256600,27.95
2010-11-08,33.37,33.37,32.08,32.25,326400,28.82
2010-11-01,32.50,33.25,32.45,33.25,279200,29.72
2010-10-25,34.00,34.10,32.30,32.56,433600,29.10
2010-10-18,34.08,34.18,33.50,33.93,205400,29.85
2010-10-11,33.13,34.23,33.13,34.08,227400,29.98
2010-10-04,32.89,33.38,32.64,33.18,255700,29.19
2010-09-27,32.01,33.02,32.01,32.89,219900,28.94
2010-09-20,31.10,32.62,31.10,32.12,165700,28.26
2010-09-13,31.74,31.84,30.99,31.17,149100,27.42
2010-09-07,30.85,31.65,30.85,31.65,148100,27.85
2010-08-30,30.67,31.20,30.37,31.02,141700,27.29
2010-08-23,30.90,31.18,29.95,30.75,197300,27.05
2010-08-16,30.50,31.08,30.50,30.90,155300,27.19
2010-08-09,31.61,31.61,30.07,30.80,297400,27.10
2010-08-02,31.10,31.31,30.56,31.30,252500,27.54
2010-07-26,30.93,32.50,29.75,30.80,406500,27.10
2010-07-19,31.58,32.67,31.34,32.02,345300,27.71
2010-07-12,30.65,31.50,30.65,31.34,295800,27.12
2010-07-06,30.80,31.06,30.09,30.82,299600,26.67
2010-06-28,30.27,30.48,29.51,30.48,378200,26.38
2010-06-21,29.44,30.00,28.90,30.00,216800,25.96
2010-06-14,29.60,29.60,29.08,29.17,202600,25.24
2010-06-07,27.87,29.34,27.04,29.31,267600,25.37
2010-06-01,27.91,28.58,27.27,27.77,363300,24.03
2010-05-24,27.86,28.55,26.55,27.85,375200,24.10
2010-05-17,28.54,28.88,25.94,27.70,417700,23.97
2010-05-10,29.15,29.35,27.91,28.49,379900,24.66
2010-05-03,29.02,29.14,14.49,27.44,859500,23.75
2010-04-26,30.25,30.57,28.97,28.97,462000,25.07
2010-04-19,29.21,30.25,29.15,30.11,362500,25.62
2010-04-12,29.93,29.93,29.10,29.32,338400,24.94
2010-04-05,29.94,30.05,29.50,29.78,264300,25.33
2010-03-29,29.15,29.98,29.00,29.88,289500,25.42
2010-03-22,29.95,30.06,28.75,29.10,463000,24.76
2010-03-15,29.78,30.08,29.50,30.07,415900,25.58
2010-03-08,29.50,30.09,29.40,29.88,358400,25.42
2010-03-01,29.94,30.10,29.20,29.53,472200,25.12
2010-02-22,29.87,30.02,29.59,29.94,622900,25.47
2010-02-16,30.70,31.04,29.64,29.88,1826300,25.42
2010-02-08,29.56,30.75,29.34,30.45,270400,25.90
2010-02-01,29.59,30.70,28.26,28.99,294500,24.26
2010-01-25,30.60,31.15,29.48,29.48,234000,24.67
2010-01-19,30.60,31.44,30.25,30.60,232700,25.61
2010-01-11,31.29,31.29,29.81,30.62,206500,25.62
2010-01-04,30.30,31.28,30.20,31.27,223300,26.17
2009-12-28,30.77,30.77,29.74,30.03,180400,25.13
2009-12-21,29.76,30.71,29.66,30.60,222800,25.61
2009-12-14,29.00,30.39,28.75,29.49,327000,24.68
2009-12-07,28.34,28.73,27.95,28.71,230100,24.03
2009-11-30,28.35,28.44,27.54,27.79,372600,23.26
2009-11-23,28.23,28.75,27.41,28.46,282400,23.82
2009-11-16,27.71,27.88,27.00,27.30,228900,22.85
2009-11-09,27.89,28.25,26.78,27.27,324100,22.82
2009-11-02,25.84,27.62,25.38,27.62,326800,23.11
2009-10-26,26.80,26.96,25.24,25.72,582600,21.52
2009-10-19,26.18,27.25,25.92,26.53,578700,21.78
2009-10-12,25.21,26.47,25.20,25.98,428800,21.33
2009-10-05,24.94,25.31,24.36,25.27,316500,20.74
2009-09-28,24.39,24.96,24.01,24.84,248300,20.39
2009-09-21,24.65,24.96,23.81,24.25,439900,19.91
