Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,3.89,4.11,3.80,3.90,82100,3.90
2012-05-14,4.29,4.44,3.80,3.80,63400,3.80
2012-05-07,5.00,5.53,4.23,4.33,133100,4.33
2012-04-30,5.65,5.67,5.01,5.06,70700,5.06
2012-04-23,5.90,5.98,5.48,5.71,85400,5.71
2012-04-16,6.26,6.47,5.80,6.01,44700,6.01
2012-04-09,6.72,6.81,5.88,6.27,77000,6.27
2012-04-02,6.92,7.29,6.59,6.85,79900,6.85
2012-03-26,7.31,7.57,6.36,6.84,139000,6.84
2012-03-19,6.54,7.59,6.29,7.27,161000,7.27
2012-03-12,6.22,6.75,6.22,6.49,84400,6.49
2012-03-05,6.00,6.46,5.31,6.31,139000,6.31
2012-02-27,5.33,6.65,5.22,6.03,195500,6.03
2012-02-21,5.02,5.38,5.01,5.33,48500,5.33
2012-02-13,5.27,5.30,4.92,5.02,33800,5.02
2012-02-06,5.15,5.37,5.05,5.20,44200,5.20
2012-01-30,5.00,5.29,4.97,5.15,56900,5.15
2012-01-23,5.31,5.47,5.00,5.11,63900,5.11
2012-01-17,5.02,5.41,4.96,5.19,71400,5.19
2012-01-09,4.75,5.45,4.55,5.02,132900,5.02
2012-01-03,3.37,4.57,3.32,4.48,111600,4.48
2011-12-27,3.56,3.60,3.28,3.30,66300,3.30
2011-12-19,3.54,3.63,3.23,3.58,54000,3.58
2011-12-12,4.25,4.29,3.36,3.52,43800,3.52
2011-12-05,3.90,4.59,3.82,4.21,96300,4.21
2011-11-28,3.84,4.03,3.62,3.89,32500,3.89
2011-11-21,4.28,4.28,3.70,3.78,47500,3.78
2011-11-14,4.66,4.77,4.33,4.33,48600,4.33
2011-11-07,5.25,5.45,4.67,4.71,91100,4.71
2011-10-31,5.21,5.36,5.00,5.24,34800,5.24
2011-10-24,5.12,5.65,5.03,5.41,64000,5.41
2011-10-17,5.03,5.10,4.86,5.03,22600,5.03
2011-10-10,5.00,5.09,4.72,5.04,39500,5.04
2011-10-03,4.68,5.10,4.44,4.84,86700,4.84
2011-09-26,5.21,5.46,4.62,4.72,67300,4.72
2011-09-19,5.06,5.60,4.81,5.21,128700,5.21
2011-09-12,4.72,5.59,4.60,5.16,181200,5.16
2011-09-06,4.66,5.14,4.45,4.78,150900,4.78
2011-08-29,4.39,5.22,4.36,4.79,146200,4.79
2011-08-22,4.86,4.88,4.20,4.36,107100,4.36
2011-08-15,5.03,5.43,4.03,4.75,142200,4.75
2011-08-08,6.01,6.01,4.86,5.17,217400,5.17
2011-08-01,7.60,7.83,5.54,6.17,229600,6.17
2011-07-25,8.27,8.27,7.11,7.53,141900,7.53
2011-07-18,8.00,8.87,7.99,8.28,185900,8.28
2011-07-11,8.29,8.50,7.83,8.01,165700,8.01
2011-07-05,8.98,9.29,7.95,8.28,235900,8.28
2011-06-27,8.80,10.18,7.89,8.89,430300,8.89
2011-06-20,6.98,8.80,6.98,8.68,199100,8.68
2011-06-13,6.80,7.50,6.65,7.02,109200,7.02
2011-06-06,7.10,7.45,6.78,6.78,178300,6.78
2011-05-31,7.57,7.65,6.30,7.08,403400,7.08
2011-05-23,8.10,8.26,7.61,7.65,211700,7.65
2011-05-16,8.36,8.51,7.70,8.04,188500,8.04
2011-05-09,8.70,9.24,8.35,8.45,143000,8.45
2011-05-02,9.63,9.78,8.59,8.74,156600,8.74
2011-04-25,10.32,10.41,9.33,9.65,231800,9.65
2011-04-18,9.71,10.44,9.33,10.30,321300,10.30
2011-04-11,11.00,11.12,9.33,9.70,565600,9.70
2011-04-04,8.87,11.59,8.05,10.79,794100,10.79
2011-03-28,8.52,10.11,8.52,8.87,451600,8.87
2011-03-21,9.17,9.17,7.40,8.30,439400,8.30
2011-03-14,10.34,10.37,8.17,9.14,317900,9.14
2011-03-07,11.13,11.16,10.13,10.34,138900,10.34
2011-02-28,11.47,11.72,11.00,11.17,99700,11.17
2011-02-22,11.76,11.87,10.90,11.42,215600,11.42
2011-02-14,12.80,12.95,11.68,11.88,169800,11.88
2011-02-07,12.90,12.99,12.50,12.78,162100,12.78
2011-01-31,13.01,13.53,12.85,12.91,146100,12.91
2011-01-24,13.53,13.54,13.00,13.07,138000,13.07
2011-01-18,14.01,14.07,13.20,13.38,153800,13.38
2011-01-10,13.25,15.02,12.88,13.87,326200,13.87
2011-01-03,13.82,14.11,13.12,13.42,184600,13.42
2010-12-27,14.02,14.03,13.10,13.62,265900,13.62
2010-12-20,13.91,14.50,13.63,14.01,228900,14.01
2010-12-13,14.75,14.82,13.76,13.77,143600,13.77
2010-12-06,14.98,15.23,14.25,14.63,208700,14.63
2010-11-29,14.93,15.25,14.60,14.81,194500,14.81
2010-11-22,15.40,15.69,14.85,15.01,176700,15.01
2010-11-15,15.98,16.30,15.03,15.46,236200,15.46
2010-11-08,17.00,17.89,15.25,15.78,503600,15.78
2010-11-01,15.69,16.98,14.91,16.88,269500,16.88
2010-10-25,16.01,16.18,15.10,15.62,240100,15.62
2010-10-18,17.51,17.52,15.82,15.89,205900,15.89
2010-10-11,16.74,17.98,16.59,17.25,341400,17.25
2010-10-04,16.86,16.86,15.77,16.52,266000,16.52
2010-09-27,15.02,16.87,15.00,16.78,341500,16.78
2010-09-20,15.00,16.15,14.70,15.09,300500,15.09
2010-09-13,15.50,15.74,14.51,15.15,213100,15.15
2010-09-07,15.80,15.88,15.00,15.28,191000,15.28
2010-08-30,14.57,16.47,13.80,15.99,370800,15.99
2010-08-23,16.80,16.80,13.60,14.77,506800,14.77
2010-08-16,16.74,17.08,15.91,16.50,286300,16.50
2010-08-09,19.36,19.69,16.26,17.09,613800,17.09
2010-08-02,18.91,20.70,18.32,20.70,537500,20.70
2010-07-26,18.66,19.47,17.27,18.28,278100,18.28
2010-07-19,17.28,18.54,16.35,18.51,238900,18.51
2010-07-12,17.63,18.76,16.72,17.14,274500,17.14
2010-07-06,17.15,17.59,15.87,17.46,373500,17.46
2010-06-28,19.21,19.75,15.83,16.66,453500,16.66
2010-06-21,21.00,21.49,18.60,19.17,502500,19.17
2010-06-14,18.00,20.15,17.89,20.15,475800,20.15
2010-06-07,17.61,17.70,16.02,17.67,350000,17.67
2010-06-01,17.64,19.20,17.40,17.61,412800,17.61
2010-05-24,17.35,19.25,16.00,18.13,683600,18.13
2010-05-17,19.59,19.80,14.60,17.40,909900,17.40
2010-05-10,20.75,21.45,19.10,19.41,606300,19.41
2010-05-03,22.50,22.97,17.50,18.90,1200300,18.90
2010-04-26,24.41,25.15,21.30,22.24,1101500,22.24
2010-04-19,20.77,23.84,20.00,23.75,680300,23.75
2010-04-12,22.05,22.60,21.00,21.39,558700,21.39
2010-04-05,22.78,23.80,20.76,21.67,666100,21.67
2010-03-29,23.70,25.10,22.06,22.42,1074000,22.42
2010-03-22,19.55,24.42,18.61,22.99,1453500,22.99
2010-03-15,22.52,22.60,19.75,19.85,852600,19.85
2010-03-08,22.60,23.60,21.80,22.77,570800,22.77
2010-03-01,21.10,23.90,20.60,22.09,1458600,22.09
2010-02-22,17.61,21.25,17.33,20.19,1721600,20.19
2010-02-16,17.04,18.50,16.87,17.12,706500,17.12
2010-02-08,15.09,17.60,14.80,16.79,901900,16.79
2010-02-01,16.30,17.98,14.18,14.87,1215700,14.87
2010-01-25,18.78,19.66,16.12,16.21,1037700,16.21
2010-01-19,20.88,21.78,17.31,18.32,1681600,18.32
2010-01-11,25.92,27.17,20.90,21.03,2080800,21.03
2010-01-04,19.08,24.80,18.81,24.48,1909600,24.48
2009-12-28,20.59,21.13,18.30,18.71,880900,18.71
2009-12-21,18.72,20.41,16.02,19.86,1464600,19.86
2009-12-14,21.08,21.70,18.30,19.01,643400,19.01
2009-12-07,20.88,21.96,18.61,20.46,808700,20.46
2009-11-30,17.20,22.49,17.00,20.99,1623800,20.99
2009-11-23,17.15,17.43,15.99,16.93,317900,16.93
2009-11-16,16.81,17.62,15.43,16.75,840200,16.75
2009-11-09,12.95,17.33,12.72,16.65,835300,16.65
2009-11-02,10.91,12.70,10.46,12.49,224600,12.49
2009-10-26,12.37,12.48,10.00,10.36,282600,10.36
2009-10-19,11.00,12.84,11.00,12.22,413500,12.22
2009-10-12,10.87,11.14,10.16,10.57,175500,10.57
2009-10-05,8.42,10.85,8.32,10.76,296900,10.76
2009-09-28,8.62,9.49,8.00,8.42,115100,8.42
2009-09-21,9.34,9.34,8.50,8.58,51700,8.58
2009-09-14,9.00,9.60,8.79,9.27,88800,9.27
2009-09-08,8.52,9.89,8.45,9.08,194800,9.08
2009-08-31,8.10,8.55,7.31,8.42,116500,8.42
2009-08-24,8.72,8.72,8.07,8.28,82600,8.28
2009-08-17,9.00,9.63,8.28,8.57,155600,8.57
2009-08-10,7.50,9.90,7.42,9.56,299100,9.56
2009-08-03,7.25,7.95,7.00,7.47,101700,7.47
2009-07-27,6.25,7.14,5.96,7.09,68600,7.09
2009-07-20,5.84,6.49,5.33,6.12,47000,6.12
2009-07-13,5.36,5.88,5.14,5.82,21900,5.82
2009-07-06,5.63,5.70,5.15,5.29,31000,5.29
2009-06-29,5.92,6.08,5.47,5.68,50600,5.68
2009-06-22,5.80,6.16,5.02,5.94,141500,5.94
2009-06-15,6.50,6.50,5.36,5.86,40000,5.86
2009-06-08,5.97,6.64,5.65,6.50,73500,6.50
2009-06-01,5.65,6.20,5.56,5.89,49800,5.89
2009-05-26,5.50,5.91,5.44,5.44,23500,5.44
2009-05-18,5.50,5.90,5.23,5.38,24400,5.38
2009-05-11,5.84,6.20,5.14,5.43,79100,5.43
2009-05-04,4.62,5.98,4.40,5.84,90900,5.84
2009-04-27,5.19,5.19,4.50,4.60,19300,4.60
2009-04-20,5.09,5.17,4.51,5.07,21100,5.07
2009-04-13,4.02,5.58,3.92,5.05,54800,5.05
2009-04-06,3.62,4.22,3.61,4.15,46600,4.15
2009-03-30,3.60,3.75,3.22,3.57,33600,3.57
2009-03-23,3.38,3.94,3.38,3.73,32300,3.73
2009-03-16,3.19,3.49,2.70,3.38,12500,3.38
2009-03-09,2.79,3.26,2.70,3.25,17500,3.25
2009-03-02,2.60,2.92,2.30,2.86,20500,2.86
2009-02-23,2.99,3.03,2.48,2.60,18000,2.60
2009-02-17,3.06,3.15,2.89,3.03,9700,3.03
2009-02-09,3.17,3.48,3.03,3.30,15000,3.30
2009-02-02,3.00,3.24,2.90,3.05,6400,3.05
2009-01-26,3.05,3.24,2.85,3.03,3200,3.03
2009-01-20,3.36,3.36,2.86,3.13,10800,3.13
2009-01-12,3.41,3.52,3.06,3.20,9500,3.20
2009-01-05,3.56,3.75,3.40,3.43,9600,3.43
2008-12-29,2.99,3.60,2.81,3.51,51400,3.51
2008-12-22,2.95,3.25,2.91,3.09,33000,3.09
2008-12-15,2.75,3.37,2.69,2.98,42200,2.98
2008-12-08,2.72,3.25,2.72,2.78,24000,2.78
2008-12-01,2.80,2.90,2.60,2.71,14600,2.71
2008-11-24,2.03,2.88,2.03,2.85,39700,2.85
2008-11-17,2.20,2.39,2.01,2.05,26400,2.05
2008-11-10,2.61,2.98,2.05,2.23,40200,2.23
2008-11-03,2.50,2.91,2.43,2.65,42600,2.65
2008-10-27,2.48,2.57,2.08,2.49,30800,2.49
2008-10-20,2.84,2.96,2.09,2.39,82900,2.39
2008-10-13,3.07,3.24,2.69,2.75,25400,2.75
2008-10-06,3.78,3.78,2.72,2.92,50100,2.92
2008-09-29,4.27,4.50,3.75,3.78,31800,3.78
2008-09-22,4.80,4.87,4.21,4.24,23400,4.24
2008-09-15,4.79,4.99,3.95,4.83,37200,4.83
2008-09-08,5.37,5.42,4.72,4.80,27000,4.80
2008-09-02,5.72,5.82,5.17,5.30,23800,5.30
2008-08-25,5.42,5.70,5.25,5.45,26300,5.45
2008-08-18,6.04,6.08,5.42,5.51,25400,5.51
2008-08-11,6.46,6.69,6.01,6.03,47500,6.03
2008-08-04,5.92,6.50,5.92,6.45,47500,6.45
2008-07-28,5.95,6.36,5.94,5.99,32700,5.99
2008-07-21,5.85,6.36,5.75,5.93,27500,5.93
2008-07-14,5.78,6.08,5.43,5.85,39700,5.85
2008-07-07,5.85,6.00,5.60,5.77,27200,5.77
2008-06-30,5.50,6.06,5.47,5.80,45100,5.80
2008-06-23,5.92,6.00,5.25,5.52,46800,5.52
2008-06-16,6.17,6.34,5.80,5.90,33800,5.90
2008-06-09,6.35,6.36,6.00,6.22,34000,6.22
2008-06-02,6.46,6.75,6.21,6.41,46500,6.41
2008-05-27,6.46,6.80,6.26,6.50,61700,6.50
2008-05-19,7.33,7.36,6.20,6.48,131700,6.48
2008-05-12,5.05,7.45,5.02,7.09,464400,7.09
2008-05-05,5.21,5.25,4.85,5.03,52500,5.03
2008-04-28,4.90,5.33,4.90,5.19,39700,5.19
2008-04-21,5.46,5.46,4.89,4.93,48700,4.93
2008-04-14,5.59,5.75,5.23,5.39,38200,5.39
2008-04-07,6.03,6.14,5.39,5.66,32200,5.66
2008-03-31,5.84,6.16,5.22,5.93,60500,5.93
2008-03-24,4.72,6.10,4.72,5.73,81000,5.73
2008-03-17,5.30,5.51,4.40,4.72,69300,4.72
2008-03-10,5.76,5.93,5.51,5.55,46400,5.55
2008-03-03,6.00,6.30,5.69,5.70,31600,5.70
2008-02-25,5.96,6.12,5.52,6.02,42000,6.02
2008-02-19,6.15,6.35,5.57,5.79,73200,5.79
2008-02-11,6.35,6.48,6.08,6.09,31200,6.09
2008-02-04,6.85,6.99,6.25,6.26,33900,6.26
2008-01-28,6.37,6.95,6.18,6.76,50400,6.76
2008-01-22,5.82,6.66,5.25,6.43,65000,6.43
2008-01-14,7.25,7.25,6.16,6.16,60400,6.16
2008-01-07,6.98,7.45,6.59,7.06,74800,7.06
2007-12-31,7.62,8.10,6.87,6.92,95000,6.92
2007-12-24,7.85,8.49,7.55,7.68,102400,7.68
2007-12-17,8.00,8.01,7.27,7.84,64900,7.84
2007-12-10,7.58,8.50,7.42,7.94,339800,7.94
2007-12-03,6.98,7.78,6.40,7.03,163000,7.03
2007-11-26,6.79,7.26,6.41,7.01,60800,7.01
2007-11-19,7.04,7.17,6.22,6.60,68200,6.60
2007-11-12,7.56,7.94,7.02,7.11,104000,7.11
2007-11-05,7.99,8.11,7.12,7.60,184700,7.60
2007-10-29,8.17,8.77,8.00,8.05,132000,8.05
2007-10-22,8.07,8.44,8.00,8.11,101600,8.11
2007-10-15,8.79,8.99,8.10,8.16,168100,8.16
2007-10-08,9.05,9.87,8.25,8.85,423200,8.85
2007-10-01,8.30,10.47,8.30,8.80,987500,8.80
2007-09-24,7.79,9.88,7.79,8.29,690600,8.29
2007-09-17,7.03,8.08,6.95,7.74,177500,7.74
2007-09-10,6.70,7.16,6.50,6.98,36100,6.98
2007-09-04,6.88,7.08,6.65,6.72,30000,6.72
2007-08-27,6.93,7.44,6.65,6.88,83300,6.88
2007-08-20,6.80,7.10,6.50,6.91,46800,6.91
2007-08-13,7.85,8.45,5.72,6.60,248400,6.60
2007-08-06,6.38,6.96,6.00,6.95,71000,6.95
2007-07-30,6.95,7.07,6.36,6.39,41700,6.39
2007-07-23,7.43,7.43,6.58,6.81,62900,6.81
2007-07-16,7.41,7.51,7.26,7.34,43800,7.34
2007-07-09,7.99,8.18,7.30,7.41,129700,7.41
2007-07-02,7.20,7.99,7.18,7.81,161900,7.81
2007-06-25,7.21,7.37,7.01,7.17,36200,7.17
2007-06-18,7.20,7.86,7.07,7.20,117800,7.20
2007-06-11,7.07,7.21,6.98,7.03,31700,7.03
2007-06-04,7.14,7.47,6.98,7.10,73200,7.10
2007-05-29,7.19,7.26,6.85,7.11,113200,7.11
2007-05-21,8.00,8.06,7.07,7.19,103600,7.19
2007-05-14,7.25,8.93,7.15,7.88,456900,7.88
2007-05-07,7.57,7.60,7.00,7.23,79700,7.23
2007-04-30,7.63,7.70,7.05,7.56,72800,7.56
2007-04-23,8.22,8.22,7.53,7.54,59100,7.54
2007-04-16,7.90,8.07,7.59,7.85,83300,7.85
2007-04-09,7.76,8.15,7.55,7.90,117000,7.90
2007-04-02,8.46,9.12,7.62,7.75,234300,7.75
2007-03-26,8.81,8.82,8.15,8.39,52700,8.39
2007-03-19,8.20,9.20,8.13,8.73,133100,8.73
2007-03-12,8.38,8.57,7.65,8.01,108900,8.01
2007-03-05,8.14,8.82,7.85,8.37,130600,8.37
2007-02-26,10.06,10.06,8.49,8.54,184200,8.54
2007-02-20,9.95,10.25,9.50,10.01,161600,10.01
2007-02-12,9.75,9.79,9.03,9.75,122000,9.75
2007-02-05,10.34,10.34,9.78,9.80,100900,9.80
2007-01-29,11.35,11.40,10.01,10.33,160000,10.33
2007-01-22,11.12,11.63,10.75,11.13,106900,11.13
2007-01-16,11.50,12.35,10.80,11.03,233800,11.03
2007-01-08,11.10,11.55,10.63,11.34,170200,11.34
2007-01-03,12.65,12.80,10.90,10.92,366900,10.92
2006-12-26,11.21,13.39,10.93,12.49,575000,12.49
2006-12-18,11.73,12.09,10.80,11.21,181100,11.21
2006-12-11,11.16,12.58,11.16,12.05,467100,12.05
2006-12-04,10.27,11.86,10.18,11.15,442900,11.15
2006-11-27,10.51,11.00,10.00,10.35,260200,10.35
2006-11-20,9.70,11.27,9.70,10.55,928000,10.55
2006-11-13,8.12,11.49,8.11,9.85,1423100,9.85
2006-11-06,7.72,8.00,7.41,7.75,86100,7.75
2006-10-30,8.17,8.31,7.50,7.59,79100,7.59
2006-10-23,7.92,8.83,7.60,8.14,171200,8.14
2006-10-16,9.13,9.28,7.60,7.63,153100,7.63
2006-10-09,8.04,9.53,7.50,8.95,346100,8.95
2006-10-02,6.65,8.65,6.65,8.07,400500,8.07
2006-09-25,6.67,7.37,6.61,6.64,75100,6.64
2006-09-18,6.80,7.17,6.55,6.66,62200,6.66
2006-09-11,6.75,7.18,6.75,6.82,59000,6.82
2006-09-05,7.33,7.40,6.65,6.86,54100,6.86
2006-08-28,6.91,7.40,6.77,7.33,50800,7.33
2006-08-21,6.84,7.35,6.71,6.89,47300,6.89
2006-08-14,7.28,7.28,6.50,6.83,58400,6.83
2006-08-07,7.35,7.45,6.76,6.76,53200,6.76
2006-07-31,6.99,8.14,6.99,7.43,162700,7.43
2006-07-24,6.54,7.87,6.25,7.04,107600,7.04
2006-07-17,6.95,6.95,6.50,6.52,44300,6.52
2006-07-10,7.28,7.48,6.60,6.67,37900,6.67
2006-07-03,7.65,8.25,7.19,7.28,76300,7.28
2006-06-26,6.88,7.88,6.84,7.65,107900,7.65
2006-06-19,7.44,7.44,6.48,6.89,56800,6.89
2006-06-12,7.19,7.50,6.29,6.96,85200,6.96
2006-06-05,7.50,7.75,6.32,7.05,140200,7.05
2006-05-30,8.24,8.30,7.40,7.54,106200,7.54
2006-05-22,8.31,8.31,7.50,8.01,122800,8.01
2006-05-15,10.15,10.33,8.33,8.45,182200,8.45
2006-05-08,9.35,11.86,9.05,9.98,455300,9.98
2006-05-01,9.55,10.11,8.77,9.23,145400,9.23
2006-04-24,9.96,9.96,9.05,9.50,86100,9.50
2006-04-17,9.50,10.62,8.68,9.87,202000,9.87
2006-04-10,10.63,10.63,9.39,9.47,77900,9.47
2006-04-03,10.67,10.67,9.65,10.24,180100,10.24
2006-03-27,11.50,12.11,10.71,10.96,139100,10.96
2006-03-20,11.70,11.97,10.50,11.37,235500,11.37
2006-03-13,11.79,12.65,11.25,11.55,207800,11.55
2006-03-06,12.66,13.00,11.14,11.66,206600,11.66
2006-02-27,14.10,14.33,12.50,12.55,279600,12.55
2006-02-21,13.12,15.10,12.86,13.85,797000,13.85
2006-02-13,11.48,14.64,11.39,13.50,2002400,13.50
2006-02-06,9.48,13.20,8.81,11.36,1237800,11.36
2006-01-30,7.40,14.05,7.02,9.98,912300,9.98
2006-01-23,6.90,7.94,6.70,7.15,44700,7.15
2006-01-17,6.92,7.18,6.66,7.00,29900,7.00
2006-01-09,7.65,7.99,7.07,7.15,31500,7.15
2006-01-03,6.64,7.75,6.50,7.63,68000,7.63
2005-12-27,7.20,7.21,6.66,6.80,33600,6.80
2005-12-19,6.86,7.40,6.35,7.11,46900,7.11
2005-12-12,7.40,7.95,7.01,7.05,39700,7.05
2005-12-05,8.66,8.66,7.35,7.48,147400,7.48
2005-11-28,8.19,8.75,6.66,7.27,254000,7.27
2005-11-21,6.70,10.00,6.42,8.22,631700,8.22
2005-11-14,4.70,6.25,4.52,6.12,42800,6.12
2005-11-07,4.84,5.08,4.49,4.70,8700,4.70
2005-10-31,4.30,4.79,4.30,4.71,6100,4.71
2005-10-24,4.60,4.60,4.27,4.35,4400,4.35
2005-10-17,4.69,5.15,4.27,4.39,8800,4.39
2005-10-10,4.83,4.83,4.35,4.59,7000,4.59
2005-10-03,4.95,5.90,4.77,4.85,31000,4.85
2005-09-26,4.27,4.94,4.18,4.90,15600,4.90
2005-09-19,4.48,4.56,4.10,4.26,17400,4.26
2005-09-12,4.99,5.00,4.25,4.42,20600,4.42
2005-09-06,5.02,5.09,4.79,4.94,15100,4.94
2005-08-29,4.95,5.15,4.87,5.00,11600,5.00
2005-08-22,5.49,5.49,4.75,5.17,17600,5.17
2005-08-15,5.80,5.80,5.06,5.15,16800,5.15
2005-08-08,6.80,6.80,5.40,5.60,34900,5.60
2005-08-01,6.77,7.03,6.50,6.71,23200,6.71
2005-07-25,7.62,7.69,6.57,6.78,18800,6.78
2005-07-18,6.99,7.85,6.70,7.21,23100,7.21
2005-07-11,7.20,7.33,6.89,6.97,16500,6.97
2005-07-05,6.54,7.29,6.50,7.18,25000,7.18
2005-06-27,6.61,6.94,6.52,6.76,15100,6.76
2005-06-20,7.20,7.63,6.63,6.73,22800,6.73
2005-06-13,7.13,7.36,6.84,6.98,15200,6.98
2005-06-06,7.89,8.21,7.00,7.12,40400,7.12
2005-05-31,6.59,8.12,6.38,7.89,66600,7.89
2005-05-23,6.56,6.90,6.43,6.52,16900,6.52
2005-05-16,6.97,7.01,6.35,6.60,16100,6.60
2005-05-09,6.85,7.00,6.31,6.40,16000,6.40
2005-05-02,6.76,7.33,6.51,6.71,34900,6.71
2005-04-25,6.96,8.22,6.75,6.94,56500,6.94
2005-04-18,6.65,7.66,6.14,6.80,53900,6.80
2005-04-11,8.52,8.59,6.45,6.72,43600,6.72
2005-04-04,8.74,8.92,8.50,8.59,23700,8.59
2005-03-28,8.82,10.21,8.53,8.65,62200,8.65
2005-03-21,9.20,9.39,8.85,8.92,36200,8.92
2005-03-14,9.95,10.47,9.10,9.20,36500,9.20
2005-03-07,11.46,11.50,9.77,9.95,49100,9.95
2005-02-28,9.21,10.90,9.17,10.24,101300,10.24
2005-02-22,9.23,9.45,9.19,9.43,16900,9.43
2005-02-14,9.45,10.19,9.13,9.38,27100,9.38
2005-02-07,10.50,10.59,9.07,9.41,45900,9.41
2005-01-31,9.75,11.02,9.72,10.49,54400,10.49
2005-01-24,10.06,10.68,9.64,9.83,26600,9.83
2005-01-18,10.94,10.94,10.10,10.18,58100,10.18
2005-01-10,12.17,12.17,8.80,10.69,273600,10.69
2005-01-03,12.46,12.46,11.00,11.52,60600,11.52
2004-12-27,12.04,12.74,11.26,12.00,83400,12.00
2004-12-20,11.46,13.24,11.42,12.23,159500,12.23
2004-12-13,12.83,13.15,11.03,11.80,131900,11.80
2004-12-06,15.81,15.83,11.91,12.72,374800,12.72
2004-11-29,12.80,18.09,12.20,15.49,3967800,15.49
2004-11-22,8.08,8.59,7.04,7.50,147300,7.50
2004-11-15,11.00,11.00,8.25,8.45,101900,8.45
2004-11-08,9.51,11.60,9.50,10.30,180700,10.30
2004-11-01,12.29,12.29,9.00,9.95,183100,9.95
2004-10-25,11.50,14.24,11.29,11.42,330900,11.42
2004-10-18,10.20,14.48,9.13,12.15,878500,12.15
2004-10-11,4.27,12.65,3.50,10.66,857800,10.66
2004-10-04,5.00,5.00,4.30,4.40,5400,4.40
2004-09-27,4.63,5.15,4.50,4.55,7600,4.55
2004-09-20,5.00,5.50,4.71,5.05,7800,5.05
