Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,11.44,11.73,10.92,11.03,137600,11.03
2012-05-14,11.72,12.00,11.28,11.36,348800,11.36
2012-05-07,11.94,12.62,11.57,11.94,191200,11.94
2012-04-30,12.95,14.20,12.00,12.05,264200,12.05
2012-04-23,13.23,13.90,12.87,13.75,129900,13.75
2012-04-16,13.17,13.72,12.95,13.55,135900,13.55
2012-04-09,12.50,13.40,11.98,13.10,206100,13.10
2012-04-02,12.64,13.50,12.63,12.78,407800,12.78
2012-03-26,12.25,12.90,12.01,12.65,158700,12.65
2012-03-19,11.13,12.25,11.02,12.19,305200,12.19
2012-03-12,10.45,11.25,10.44,11.16,130800,11.16
2012-03-05,10.24,10.60,9.65,10.46,182800,10.46
2012-02-27,11.50,12.09,10.07,10.30,321900,10.30
2012-02-21,11.73,11.85,11.21,11.70,269200,11.70
2012-02-13,12.05,12.11,11.14,11.65,218900,11.65
2012-02-06,11.48,12.10,11.13,11.75,212100,11.75
2012-01-30,10.62,11.72,10.21,11.61,155600,11.61
2012-01-23,10.56,10.91,10.31,10.81,93500,10.81
2012-01-17,10.51,10.87,10.24,10.58,162100,10.58
2012-01-09,10.30,10.64,10.07,10.28,202900,10.28
2012-01-03,9.75,10.50,9.59,10.22,235000,10.22
2011-12-27,9.49,9.67,9.27,9.46,108800,9.46
2011-12-19,9.00,9.50,8.60,9.45,198000,9.45
2011-12-12,11.98,12.01,7.85,8.90,1394800,8.90
2011-12-05,12.95,13.37,11.77,12.39,85400,12.39
2011-11-28,12.07,13.80,11.76,12.63,91500,12.63
2011-11-21,12.99,12.99,11.41,11.42,42900,11.42
2011-11-14,14.25,14.88,13.29,13.37,48200,13.37
2011-11-07,13.41,14.41,12.78,14.32,49300,14.32
2011-10-31,14.24,14.24,10.91,13.33,69300,13.33
2011-10-24,11.70,14.91,11.61,14.61,89200,14.61
2011-10-17,12.76,13.22,11.26,11.65,73000,11.65
2011-10-10,12.25,13.38,11.86,12.97,45100,12.97
2011-10-03,10.81,12.47,10.19,11.92,77100,11.92
2011-09-26,11.25,12.40,10.73,10.94,74500,10.94
2011-09-19,11.56,11.63,10.40,11.08,91000,11.08
2011-09-12,10.47,12.20,10.37,11.88,89700,11.88
2011-09-06,10.70,11.84,10.50,10.75,89400,10.75
2011-08-29,11.22,12.39,10.96,11.09,95300,11.09
2011-08-22,11.04,11.62,10.52,11.04,86300,11.04
2011-08-15,12.52,12.52,10.51,10.67,93900,10.67
2011-08-08,12.85,13.54,11.47,12.34,142000,12.34
2011-08-01,17.71,17.97,12.57,13.33,118400,13.33
2011-07-25,17.53,18.46,16.97,17.36,65800,17.36
2011-07-18,17.27,17.87,16.76,17.78,44700,17.78
2011-07-11,17.23,17.81,16.86,17.37,44000,17.37
2011-07-05,17.06,17.84,16.79,17.58,43000,17.58
2011-06-27,16.20,17.18,15.82,17.05,60500,17.05
2011-06-20,15.99,17.09,15.97,16.21,67000,16.21
2011-06-13,15.63,16.31,15.25,16.14,66300,16.14
2011-06-06,16.60,17.07,15.90,16.24,41200,16.24
2011-05-31,18.50,18.59,16.53,16.64,79000,16.64
2011-05-23,18.40,18.52,17.77,18.16,42900,18.16
2011-05-16,17.86,19.10,17.67,18.72,74200,18.72
2011-05-09,17.64,18.94,17.54,18.06,47100,18.06
2011-05-02,18.94,19.02,17.49,17.66,52300,17.66
2011-04-25,17.59,19.24,17.34,18.88,82700,18.88
2011-04-18,16.74,17.65,16.36,17.60,38800,17.60
2011-04-11,18.27,18.36,16.86,17.19,53200,17.19
2011-04-04,18.69,19.05,18.34,18.37,42700,18.37
2011-03-28,18.58,19.29,18.18,18.57,65600,18.57
2011-03-21,17.41,18.92,17.29,18.54,35300,18.54
2011-03-14,17.03,17.44,16.58,17.10,53300,17.10
2011-03-07,17.77,17.79,16.36,17.27,59100,17.27
2011-02-28,17.26,18.22,16.66,17.69,50900,17.69
2011-02-22,17.77,17.81,16.44,17.10,70000,17.10
2011-02-14,17.86,18.43,17.66,18.04,60900,18.04
2011-02-07,16.43,17.90,16.43,17.82,67900,17.82
2011-01-31,15.69,16.69,15.17,16.46,86100,16.46
2011-01-24,15.45,17.24,15.14,15.41,97900,15.41
2011-01-18,16.49,16.71,15.36,15.40,69900,15.40
2011-01-10,17.27,17.43,16.25,16.61,61900,16.61
2011-01-03,18.60,19.15,17.15,17.41,78100,17.41
2010-12-27,18.61,19.20,18.31,18.41,42900,18.41
2010-12-20,17.27,18.90,17.14,18.64,77700,18.64
2010-12-13,17.14,17.30,16.73,17.14,125600,17.14
2010-12-06,16.27,17.33,16.26,17.14,75700,17.14
2010-11-29,15.36,16.41,14.48,16.31,97800,16.31
2010-11-22,15.50,15.90,15.07,15.47,41600,15.47
2010-11-15,15.35,15.61,14.96,15.58,96700,15.58
2010-11-08,15.35,15.53,15.12,15.25,77800,15.25
2010-11-01,15.45,15.75,14.91,15.45,122800,15.45
2010-10-25,15.49,16.00,15.21,15.40,73700,15.40
2010-10-18,14.99,15.56,14.69,15.35,76400,15.35
2010-10-11,14.59,15.43,14.25,14.92,194000,14.92
2010-10-04,13.55,14.83,13.12,14.63,102700,14.63
2010-09-27,13.63,13.74,12.80,13.66,84700,13.66
2010-09-20,13.19,13.71,12.66,13.63,85700,13.63
2010-09-13,14.07,14.37,12.72,13.12,132100,13.12
2010-09-07,14.88,14.88,13.75,13.78,90800,13.78
2010-08-30,14.21,15.10,13.50,14.92,82600,14.92
2010-08-23,14.06,14.35,12.97,14.28,118300,14.28
2010-08-16,13.48,14.78,13.28,13.94,92400,13.94
2010-08-09,14.67,14.95,13.00,13.58,132500,13.58
2010-08-02,15.15,15.52,13.92,14.49,117100,14.49
2010-07-26,15.44,15.90,14.36,14.77,139100,14.77
2010-07-19,14.43,15.55,13.87,15.43,204000,15.43
2010-07-12,15.61,16.09,14.22,14.36,153600,14.36
2010-07-06,13.88,15.73,13.51,15.73,146500,15.73
2010-06-28,14.76,14.93,13.11,13.70,238300,13.70
2010-06-21,14.53,14.88,13.60,14.71,260500,14.71
2010-06-14,14.70,14.70,13.69,14.16,170100,14.16
2010-06-07,13.24,14.17,12.17,14.14,257100,14.14
2010-06-01,14.61,14.73,13.05,13.19,212200,13.19
2010-05-24,13.96,15.32,12.72,14.87,261600,14.87
2010-05-17,14.47,14.90,12.41,13.84,264500,13.84
