Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,4.45,4.50,4.31,4.31,1700,4.31
2012-05-14,4.28,4.50,4.06,4.45,2500,4.45
2012-05-07,4.01,4.50,4.00,4.27,6300,4.27
2012-04-30,4.21,4.21,4.01,4.20,1000,4.20
2012-04-23,4.05,4.22,4.03,4.21,1400,4.21
2012-04-16,4.20,4.24,3.90,4.20,3400,4.20
2012-04-09,3.84,4.24,3.76,4.23,2700,4.23
2012-04-02,3.87,3.99,3.70,3.99,5000,3.99
2012-03-26,3.89,3.89,3.75,3.75,2300,3.75
2012-03-19,3.75,3.95,3.75,3.95,1400,3.95
2012-03-12,3.73,3.95,3.73,3.80,1100,3.80
2012-03-05,3.83,3.99,3.71,3.73,3100,3.73
2012-02-27,3.90,4.12,3.82,3.85,3000,3.85
2012-02-21,4.19,4.19,3.82,3.90,5200,3.90
2012-02-13,4.71,4.71,3.82,4.06,6800,4.06
2012-02-06,2.97,5.83,2.97,4.87,25600,4.87
2012-01-30,2.60,3.00,2.50,3.00,8200,3.00
2012-01-23,2.49,2.85,2.02,2.75,5300,2.75
2012-01-17,1.90,2.09,1.90,2.08,4300,2.08
2012-01-09,1.95,2.20,1.94,1.94,6800,1.94
2012-01-03,2.22,2.32,1.91,1.99,11900,1.99
2011-12-27,2.23,2.24,2.12,2.24,1600,2.24
2011-12-19,2.29,2.38,2.12,2.19,4000,2.19
2011-12-12,2.63,2.75,2.14,2.34,1700,2.34
2011-12-05,2.16,2.63,2.11,2.63,1200,2.63
2011-11-28,2.01,2.57,2.01,2.37,3400,2.37
2011-11-21,2.27,2.72,2.00,2.01,3700,2.01
2011-11-14,2.32,2.42,2.25,2.42,600,2.42
2011-11-07,2.27,2.79,2.25,2.34,3300,2.34
2011-10-31,2.38,2.40,2.30,2.39,1000,2.39
2011-10-24,2.32,2.38,2.25,2.38,5600,2.38
2011-10-17,2.55,2.55,2.31,2.32,3500,2.32
2011-10-10,2.42,2.71,2.28,2.35,5300,2.35
2011-10-03,2.63,2.75,2.55,2.56,1100,2.56
2011-09-26,2.90,2.97,2.60,2.63,800,2.63
2011-09-19,2.90,3.04,2.90,2.90,1700,2.90
2011-09-12,2.98,2.98,2.90,2.92,1000,2.92
2011-09-06,2.98,2.98,2.98,2.98,000,2.98
2011-08-29,2.50,3.14,2.40,2.98,5300,2.98
2011-08-22,2.80,2.95,2.55,2.68,2200,2.68
2011-08-15,2.74,3.30,2.70,2.81,4400,2.81
2011-08-08,2.85,2.95,2.72,2.74,1000,2.74
2011-08-01,3.23,3.23,2.75,2.75,5800,2.75
2011-07-25,3.00,3.00,2.75,2.79,6100,2.79
2011-07-18,3.20,3.20,2.70,2.82,4400,2.82
2011-07-11,3.05,3.20,2.81,3.10,1600,3.10
2011-07-05,3.13,3.48,2.91,3.12,7100,3.12
2011-06-27,3.26,3.26,2.72,3.00,3400,3.00
2011-06-20,3.08,3.43,2.78,3.13,5700,3.13
2011-06-13,3.23,3.50,3.00,3.13,2700,3.13
2011-06-06,3.25,3.46,2.94,3.21,1700,3.21
2011-05-31,3.43,3.51,3.21,3.24,2800,3.24
2011-05-23,3.74,3.75,3.36,3.43,2100,3.43
2011-05-16,3.71,3.75,3.50,3.72,2000,3.72
2011-05-09,3.70,3.85,3.60,3.68,3300,3.68
2011-05-02,4.06,4.06,3.70,3.75,4700,3.75
2011-04-25,4.02,4.10,4.01,4.09,1900,4.09
2011-04-18,4.01,4.09,4.01,4.04,2700,4.04
2011-04-11,4.10,4.10,4.01,4.01,1000,4.01
2011-04-04,4.15,4.24,4.05,4.10,4200,4.10
2011-03-28,4.25,4.25,4.05,4.15,2300,4.15
2011-03-21,4.28,4.33,4.10,4.10,2600,4.10
2011-03-14,4.20,4.29,4.10,4.29,500,4.29
2011-03-07,4.27,4.35,4.05,4.09,1400,4.09
2011-02-28,4.25,4.49,4.17,4.26,3200,4.26
2011-02-22,4.15,4.50,4.15,4.35,5000,4.35
2011-02-14,4.21,4.21,4.10,4.15,400,4.15
2011-02-07,4.30,4.34,4.16,4.16,600,4.16
2011-01-31,4.25,4.40,4.25,4.30,1000,4.30
2011-01-24,4.12,4.27,4.01,4.25,2000,4.25
2011-01-18,4.20,4.20,4.06,4.14,500,4.14
2011-01-10,4.25,4.35,4.20,4.20,800,4.20
2011-01-03,4.22,4.40,4.07,4.27,1100,4.27
2010-12-27,4.17,4.25,4.01,4.03,4800,4.03
2010-12-20,4.38,4.70,4.09,4.12,6100,4.12
2010-12-13,4.20,4.74,4.05,4.39,4000,4.39
2010-12-06,4.10,4.30,3.95,4.07,3400,4.07
2010-11-29,4.33,4.50,3.97,4.30,800,4.30
2010-11-22,4.03,4.47,3.90,4.13,1200,4.13
2010-11-15,4.54,4.74,4.02,4.03,900,4.03
2010-11-08,4.97,4.97,4.04,4.57,1000,4.57
2010-11-01,3.95,4.86,3.89,4.86,1900,4.86
2010-10-25,4.00,4.00,3.76,3.78,2900,3.78
2010-10-18,4.20,4.57,4.00,4.02,1000,4.02
2010-10-11,4.25,4.25,4.15,4.20,1000,4.20
2010-10-04,4.40,4.41,4.25,4.25,600,4.25
2010-09-27,5.05,5.05,4.40,4.40,3300,4.40
2010-09-20,5.05,5.07,4.94,4.95,900,4.95
2010-09-13,5.57,5.57,5.00,5.09,2700,5.09
2010-09-07,5.93,6.27,5.76,6.04,800,6.04
2010-08-30,5.83,6.00,5.33,5.93,2200,5.93
2010-08-23,5.84,5.95,5.04,5.78,2600,5.78
2010-08-16,4.75,5.83,4.65,5.50,2400,5.50
2010-08-09,5.19,5.30,4.81,4.81,1200,4.81
2010-08-02,5.83,5.94,5.25,5.25,900,5.25
2010-07-26,6.00,6.95,5.68,5.95,5300,5.95
2010-07-19,6.25,6.62,5.80,6.10,1500,6.10
2010-07-12,6.60,6.64,5.84,6.15,2600,6.15
2010-07-06,7.00,7.00,6.60,6.65,2100,6.65
2010-06-28,6.61,7.20,6.60,7.00,1200,7.00
2010-06-21,7.18,7.20,6.61,6.61,2300,6.61
2010-06-14,7.19,7.45,6.61,7.00,3800,7.00
2010-06-07,7.50,8.00,6.61,6.75,2400,6.75
2010-06-01,6.61,7.80,6.60,7.80,2400,7.80
2010-05-24,7.54,8.18,7.00,7.20,2600,7.20
2010-05-17,8.05,8.96,7.90,8.37,2500,8.37
2010-05-10,8.10,9.20,7.66,8.14,2700,8.14
2010-05-03,7.71,9.25,7.31,8.62,17200,8.62
2010-04-26,7.20,8.41,7.20,7.38,12200,7.38
2010-04-19,7.31,7.45,6.51,7.00,6200,7.00
2010-04-12,7.30,7.98,6.65,7.19,18100,7.19
2010-04-05,5.90,8.00,5.90,7.30,37000,7.30
2010-03-29,4.12,6.30,4.05,5.90,22500,5.90
2010-03-22,4.25,4.42,4.06,4.25,1500,4.25
2010-03-15,4.09,4.50,4.02,4.17,3600,4.17
2010-03-08,3.90,4.24,3.90,4.18,4400,4.18
2010-03-01,3.78,3.90,3.50,3.90,6700,3.90
2010-02-22,4.00,4.00,3.74,3.82,1000,3.82
2010-02-16,4.17,4.42,3.85,4.01,2800,4.01
2010-02-08,4.44,4.64,3.75,3.96,9600,3.96
2010-02-01,3.73,4.58,3.67,4.44,5000,4.44
2010-01-25,3.79,3.99,3.73,3.74,2400,3.74
2010-01-19,4.49,4.49,4.15,4.15,1100,4.15
2010-01-11,4.35,4.50,4.23,4.23,1100,4.23
2010-01-04,4.27,4.50,4.21,4.31,1400,4.31
2009-12-28,3.79,4.65,3.77,4.61,1800,4.61
2009-12-21,4.35,4.37,3.73,3.75,4300,3.75
2009-12-14,4.69,4.69,4.05,4.10,3500,4.10
2009-12-07,4.43,4.65,4.04,4.65,4700,4.65
2009-11-30,5.63,5.63,3.55,3.69,3500,3.69
2009-11-23,5.34,5.52,4.40,5.19,1300,5.19
2009-11-16,5.22,5.65,4.95,5.65,400,5.65
2009-11-09,5.11,5.25,4.72,4.72,900,4.72
2009-11-02,6.01,6.01,5.22,5.25,500,5.25
2009-10-26,6.08,6.08,5.45,5.45,700,5.45
2009-10-19,6.32,6.32,5.70,6.08,1100,6.08
2009-10-12,6.32,6.34,5.80,5.80,1400,5.80
2009-10-05,6.20,6.34,5.40,6.22,1000,6.22
2009-09-28,6.05,6.70,6.00,6.38,200,6.38
2009-09-21,6.39,6.75,6.01,6.75,400,6.75
2009-09-14,6.25,6.82,5.90,6.41,1500,6.41
2009-09-08,6.24,6.24,6.03,6.03,200,6.03
2009-08-31,6.35,6.60,6.00,6.36,400,6.36
2009-08-24,6.50,6.68,6.01,6.26,1400,6.26
2009-08-17,7.43,7.43,6.03,7.16,1900,7.16
2009-08-10,7.20,7.79,7.11,7.11,2900,7.11
2009-08-03,7.79,8.09,7.00,7.21,9300,7.21
2009-07-27,7.41,8.47,7.15,7.30,4100,7.30
2009-07-20,7.47,8.83,7.00,7.80,7000,7.80
2009-07-13,7.21,7.90,7.00,7.79,5200,7.79
2009-07-06,7.68,7.93,6.71,7.29,2800,7.29
2009-06-29,7.95,7.95,7.11,7.68,3000,7.68
2009-06-22,6.76,8.21,6.75,7.95,4700,7.95
2009-06-15,7.86,7.86,6.56,7.23,2600,7.18
2009-06-08,7.78,8.25,7.19,7.86,1500,7.80
2009-06-01,7.32,7.99,7.18,7.18,1400,7.13
2009-05-26,8.24,8.25,7.10,7.48,1400,7.43
2009-05-18,8.55,8.55,8.09,8.24,200,8.18
2009-05-11,8.50,8.86,8.04,8.55,2100,8.49
2009-05-04,8.85,8.90,8.08,8.47,700,8.41
2009-04-27,7.85,8.70,6.52,8.44,13200,8.38
2009-04-20,8.00,8.00,6.59,7.60,1500,7.55
2009-04-13,7.39,8.00,6.91,7.10,5200,7.05
2009-04-06,6.88,6.91,6.54,6.81,1300,6.76
2009-03-30,6.58,7.25,5.97,6.49,6200,6.44
2009-03-23,6.47,6.92,6.00,6.54,1600,6.49
2009-03-16,5.58,6.47,5.38,6.47,400,6.32
2009-03-09,5.16,5.90,4.51,5.40,2400,5.27
