Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,16.75,17.57,16.67,17.51,1647900,17.51
2012-05-14,18.70,18.87,16.65,16.77,1579500,16.77
2012-05-07,18.75,19.05,18.45,18.97,1409700,18.97
2012-04-30,18.67,19.43,18.47,18.83,1455200,18.83
2012-04-23,18.36,19.09,18.11,18.63,1307300,18.63
2012-04-16,18.62,19.00,17.86,18.63,1734500,18.63
2012-04-09,18.23,18.57,17.80,18.44,1530900,18.44
2012-04-02,18.92,19.27,18.54,18.57,1160600,18.57
2012-03-26,18.89,19.50,18.61,18.92,1596000,18.92
2012-03-19,18.57,18.94,18.26,18.69,1321700,18.48
2012-03-12,17.69,18.75,17.40,18.64,1681000,18.43
2012-03-05,17.76,18.06,17.59,17.67,1176800,17.47
2012-02-27,17.69,18.02,17.44,17.81,1480000,17.61
2012-02-21,17.66,17.93,16.82,17.80,1927900,17.60
2012-02-13,18.38,18.69,17.47,17.54,2158800,17.34
2012-02-06,18.50,18.71,17.76,18.13,2367400,17.92
2012-01-30,17.32,18.65,17.07,18.58,1650100,18.37
2012-01-23,16.66,17.60,16.53,17.54,1418000,17.34
2012-01-17,15.83,16.75,15.67,16.73,1790900,16.54
2012-01-09,16.08,16.46,15.41,15.63,2136400,15.45
2012-01-03,16.13,16.33,15.66,15.95,1611600,15.77
2011-12-27,16.05,16.11,15.49,15.70,1853900,15.52
2011-12-19,15.50,16.16,15.23,16.11,1649100,15.72
2011-12-12,15.03,15.46,14.59,15.40,1757400,15.02
2011-12-05,14.73,15.42,14.46,15.29,2042800,14.92
2011-11-28,13.12,14.50,12.97,14.43,2217200,14.08
2011-11-21,13.59,13.70,12.58,12.62,1587400,12.31
2011-11-14,14.49,14.63,13.71,13.95,1731000,13.61
2011-11-07,14.89,15.47,14.14,14.62,3579000,14.26
2011-10-31,15.25,15.90,14.36,14.92,3554500,14.55
2011-10-24,14.50,15.75,13.98,15.62,2457700,15.24
2011-10-17,13.05,14.54,12.78,14.51,3081100,14.15
2011-10-10,11.80,13.20,11.73,13.12,2268600,12.80
2011-10-03,11.21,12.34,10.41,11.50,2777900,11.22
2011-09-26,12.80,13.08,11.36,11.36,1893900,11.08
2011-09-19,13.67,13.81,12.15,12.68,2083200,12.17
2011-09-12,12.96,14.03,12.86,14.01,1580200,13.44
2011-09-06,13.10,14.30,13.05,13.23,2274700,12.69
2011-08-29,14.35,15.21,13.60,13.62,1945600,13.07
2011-08-22,14.75,14.90,13.49,14.12,1732900,13.55
2011-08-15,15.67,16.10,14.27,14.29,3020700,13.71
2011-08-08,14.15,16.04,12.52,15.50,3326400,14.87
2011-08-01,18.07,18.08,14.20,14.83,3079300,14.23
2011-07-25,18.22,18.53,17.35,17.76,1039700,17.04
2011-07-18,18.37,18.66,17.78,18.50,957800,17.75
2011-07-11,18.87,19.01,18.07,18.39,1076100,17.64
2011-07-05,18.35,19.33,18.18,19.12,1151000,18.35
2011-06-27,17.63,18.44,17.56,18.32,1236700,17.58
2011-06-20,17.80,18.49,17.41,17.61,1414200,16.70
2011-06-13,16.91,17.89,16.66,17.82,1526800,16.90
2011-06-06,18.28,18.29,16.71,16.73,1826400,15.86
2011-05-31,19.30,19.30,17.91,18.26,1699200,17.31
2011-05-23,18.19,19.11,17.65,19.03,1331800,18.04
2011-05-16,18.61,19.05,18.25,18.32,1210400,17.37
2011-05-09,18.18,19.35,18.12,18.79,1195300,17.82
2011-05-02,18.79,18.82,17.92,18.29,1109000,17.34
2011-04-25,17.71,19.05,17.58,18.57,1704600,17.61
2011-04-18,17.68,17.87,17.41,17.79,1373100,16.87
2011-04-11,17.44,17.79,16.87,17.74,1421900,16.82
2011-04-04,17.25,17.85,17.05,17.45,1507900,16.55
2011-03-28,17.23,17.60,16.94,17.13,1760500,16.24
2011-03-21,17.73,17.77,16.95,17.38,1736900,16.28
2011-03-14,17.37,17.69,16.66,17.43,1314500,16.33
2011-03-07,17.46,18.20,17.21,17.64,1338000,16.52
2011-02-28,17.70,18.11,16.90,17.38,1577800,16.28
2011-02-22,18.23,18.56,17.17,17.57,2175100,16.46
2011-02-14,18.42,18.62,17.98,18.50,1300900,17.33
2011-02-07,17.18,18.72,17.13,18.41,1507000,17.25
2011-01-31,16.88,17.45,16.81,17.08,1324900,16.00
2011-01-24,16.79,17.86,16.59,16.80,1322700,15.74
2011-01-18,17.42,17.74,16.69,16.87,1413400,15.80
2011-01-10,17.35,17.55,16.65,17.37,1472200,16.27
2011-01-03,17.69,18.15,17.04,17.30,2163400,16.21
2010-12-27,17.59,17.85,17.36,17.50,1165800,16.39
2010-12-20,17.25,18.02,17.11,17.64,908300,16.34
2010-12-13,17.84,18.05,16.76,17.07,1435900,15.81
2010-12-06,17.41,18.06,17.19,17.77,1566500,16.46
2010-11-29,16.79,17.59,16.37,17.49,1593300,16.20
2010-11-22,16.50,17.01,16.14,16.89,780300,15.64
2010-11-15,17.09,17.32,15.67,16.53,1860900,15.31
2010-11-08,18.25,18.68,16.87,16.95,2229300,15.70
2010-11-01,15.81,19.00,15.74,18.47,3883600,17.11
2010-10-25,16.00,16.34,15.50,15.68,2046700,14.52
2010-10-18,14.72,15.98,14.64,15.79,2641200,14.62
2010-10-11,13.61,14.75,13.48,14.68,2533100,13.60
2010-10-04,13.15,13.70,13.09,13.57,2163700,12.57
2010-09-27,13.47,13.51,12.63,13.15,2513900,12.18
2010-09-20,13.71,14.13,12.73,13.44,2613500,12.26
2010-09-13,13.20,13.66,13.11,13.59,1643700,12.40
2010-09-07,12.95,13.18,12.72,13.01,1266300,11.87
2010-08-30,12.26,13.35,11.98,13.10,2370600,11.95
2010-08-23,12.16,12.58,11.66,12.32,2049500,11.24
2010-08-16,12.22,12.94,11.79,12.06,2117800,11.00
2010-08-09,13.62,13.81,12.28,12.28,2438000,11.20
2010-08-02,14.42,14.77,13.04,13.42,3015000,12.24
2010-07-26,13.78,14.37,13.60,14.07,2545800,12.83
2010-07-19,12.17,13.75,11.81,13.75,3237400,12.54
2010-07-12,12.21,12.83,11.77,12.07,2081100,11.01
2010-07-06,12.01,12.38,11.03,12.25,2880700,11.17
2010-06-28,13.58,13.60,11.67,11.77,2901600,10.74
2010-06-21,14.55,14.75,13.26,13.66,1884300,12.28
2010-06-14,14.19,14.73,14.00,14.24,1986000,12.80
2010-06-07,13.30,14.14,12.19,14.05,3249300,12.63
2010-06-01,14.04,14.75,13.18,13.22,3133700,11.88
2010-05-24,13.98,14.82,12.61,14.29,2324000,12.84
2010-05-17,15.81,16.20,12.87,13.97,2556700,12.56
2010-05-10,14.56,16.59,14.42,15.68,2850000,14.09
2010-05-03,14.79,15.74,12.71,13.70,3194200,12.31
2010-04-26,15.03,15.64,13.94,14.60,2616100,13.12
2010-04-19,13.86,15.04,13.74,15.02,1485500,13.50
2010-04-12,15.07,15.61,14.04,14.10,1899200,12.67
2010-04-05,14.31,15.63,14.24,15.08,1660000,13.55
2010-03-29,13.93,14.25,13.69,14.20,1265900,12.76
2010-03-22,14.80,15.28,13.84,13.89,2585900,12.48
2010-03-15,14.34,15.56,13.84,14.97,2355300,13.27
2010-03-08,13.25,14.84,13.10,14.36,2618900,12.73
2010-03-01,12.04,13.39,11.99,13.29,1499700,11.78
2010-02-22,11.24,12.02,11.09,11.89,2071600,10.54
2010-02-16,9.91,11.43,9.90,11.19,1997800,9.92
2010-02-08,10.11,10.36,9.21,9.82,1617800,8.70
2010-02-01,10.11,10.53,9.52,10.14,2417900,8.99
2010-01-25,10.22,10.45,9.81,10.00,1567600,8.86
2010-01-19,10.39,11.09,10.11,10.16,2140000,9.00
2010-01-11,10.51,10.85,10.00,10.38,1453000,9.20
2010-01-04,9.78,10.73,9.70,10.30,1952900,9.13
2009-12-28,10.52,10.67,9.63,9.67,1504300,8.57
2009-12-21,9.69,10.67,9.61,10.50,1012000,9.26
2009-12-14,9.86,9.95,9.40,9.68,1562400,8.54
2009-12-07,10.47,10.53,9.33,9.78,1549600,8.63
2009-11-30,8.90,10.69,8.72,10.46,2953000,9.23
2009-11-23,9.86,9.99,8.77,8.83,1239700,7.79
2009-11-16,9.41,10.00,9.33,9.56,2198200,8.43
2009-11-09,8.50,9.48,8.35,9.41,2340400,8.30
2009-11-02,8.24,9.40,7.60,8.32,3321000,7.34
2009-10-26,9.14,9.50,7.88,8.16,3232700,7.20
2009-10-19,9.38,9.68,8.90,9.09,2165700,8.02
2009-10-12,9.68,9.84,9.18,9.34,1887300,8.24
2009-10-05,8.46,9.82,8.43,9.70,2315000,8.56
2009-09-28,9.18,9.98,8.23,8.49,3592200,7.49
2009-09-21,10.21,10.83,8.83,9.20,3112100,8.07
2009-09-14,8.71,11.17,8.66,10.46,3892700,9.18
2009-09-08,8.10,8.97,8.08,8.85,3025000,7.76
2009-08-31,8.88,9.44,7.84,8.09,6077300,7.10
2009-08-24,8.18,9.18,8.06,9.12,2979000,8.00
2009-08-17,7.75,8.46,7.13,8.10,2207400,7.11
2009-08-10,8.20,8.59,7.36,8.08,2860300,7.09
2009-08-03,6.04,8.80,5.83,8.18,6254600,7.18
2009-07-27,5.21,6.00,5.16,5.94,3096900,5.21
2009-07-20,5.00,5.35,4.80,5.23,2368100,4.59
2009-07-13,4.43,5.43,4.30,4.99,2491000,4.38
2009-07-06,5.24,5.32,4.10,4.40,3023600,3.86
2009-06-29,5.60,5.85,5.06,5.06,2766300,4.44
2009-06-22,5.36,5.85,4.88,5.58,5201100,4.89
2009-06-15,6.14,6.25,4.93,5.50,5117900,4.72
2009-06-08,7.18,7.74,6.00,6.26,7746700,5.38
2009-06-01,6.36,7.50,6.00,7.36,2561800,6.32
2009-05-26,6.09,6.63,5.85,6.23,2277900,5.35
2009-05-18,5.99,6.72,5.85,6.08,2773800,5.22
2009-05-11,7.49,8.27,5.52,5.80,3104800,4.98
2009-05-04,7.18,8.04,6.51,7.99,4646900,6.86
2009-04-27,7.86,8.07,6.16,7.06,3784300,6.06
2009-04-20,5.52,8.17,4.00,7.88,5934800,6.77
2009-04-13,3.70,6.75,3.50,5.88,3985800,5.05
2009-04-06,2.99,3.80,2.84,3.73,3059400,3.20
2009-03-30,2.10,3.00,2.05,3.00,2893200,2.58
2009-03-23,2.20,2.80,2.20,2.28,3021300,1.96
2009-03-16,2.69,3.13,2.07,2.07,2682700,1.78
2009-03-09,2.14,3.15,1.92,2.66,3125400,2.28
2009-03-02,3.10,3.37,1.99,2.09,3043700,1.58
2009-02-23,3.75,3.83,3.01,3.10,2140600,2.35
2009-02-17,3.86,4.09,3.01,3.65,2331500,2.77
2009-02-09,4.86,5.32,3.97,3.97,1984800,3.01
2009-02-02,4.19,4.88,3.85,4.80,1977400,3.64
2009-01-26,5.00,5.13,4.07,4.07,2349000,3.08
2009-01-20,5.63,5.65,4.63,4.95,2842300,3.75
