Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,18.98,19.67,18.95,19.10,1993600,19.10
2012-05-14,20.96,21.31,18.87,18.96,3032000,18.96
2012-05-07,22.36,22.67,20.97,21.56,2411500,21.56
2012-04-30,22.10,23.84,21.83,22.50,3041800,22.50
2012-04-23,21.58,22.34,21.25,22.28,2009700,22.28
2012-04-16,20.56,22.56,20.36,22.15,2971600,22.15
2012-04-09,20.19,21.09,19.54,20.49,2631300,20.49
2012-04-02,21.26,21.74,20.30,20.43,2448700,20.43
2012-03-26,22.99,23.10,20.71,21.49,3685700,21.49
2012-03-19,23.26,23.86,22.25,22.69,2670900,22.59
2012-03-12,23.61,24.50,22.42,23.19,3457400,23.09
2012-03-05,24.03,24.16,22.57,23.57,1977000,23.46
2012-02-27,24.90,25.35,23.81,24.19,2457400,24.08
2012-02-21,24.42,26.45,24.28,25.20,4196200,25.09
2012-02-13,23.45,24.13,21.89,24.00,2813400,23.89
2012-02-06,23.58,23.87,22.95,23.13,2373800,23.03
2012-01-30,23.46,24.00,23.03,23.76,1802600,23.65
2012-01-23,23.15,24.08,22.82,23.77,2723200,23.66
2012-01-17,21.69,23.03,21.11,22.99,4242900,22.89
2012-01-09,18.65,20.37,18.41,20.18,2845900,20.09
2012-01-03,18.68,19.12,18.40,18.56,1932100,18.48
2011-12-27,17.79,18.07,17.27,18.05,1545300,17.97
2011-12-19,17.22,18.35,16.96,17.96,2126400,17.78
2011-12-12,18.13,18.35,17.00,17.17,2268900,17.00
2011-12-05,19.28,19.68,17.88,18.49,1999300,18.31
2011-11-28,17.45,19.37,17.35,19.05,2877800,18.86
2011-11-21,18.52,18.52,16.59,16.66,1937300,16.49
2011-11-14,19.65,20.28,18.74,18.84,2196600,18.65
2011-11-07,20.78,20.97,19.02,19.80,3261300,19.60
2011-10-31,22.20,22.31,20.20,21.45,2728600,21.24
2011-10-24,20.17,23.12,20.10,22.61,3007100,22.38
2011-10-17,21.29,21.34,19.37,20.10,2648200,19.90
2011-10-10,19.66,21.26,19.62,21.22,1938100,21.01
2011-10-03,17.90,20.15,16.68,19.24,3107600,19.05
2011-09-26,18.39,20.32,17.46,18.32,2429200,18.14
2011-09-19,20.99,21.11,18.21,18.43,2810600,18.16
2011-09-12,20.79,22.08,20.19,21.66,1750100,21.34
2011-09-06,21.74,23.09,21.26,21.34,1685100,21.02
2011-08-29,22.63,23.82,22.43,22.53,1502400,22.19
2011-08-22,21.47,22.62,20.74,22.31,2615100,21.98
2011-08-15,22.95,23.86,20.69,20.73,2260600,20.42
2011-08-08,23.55,23.55,20.55,22.64,5634900,22.30
2011-08-01,27.15,27.23,23.22,24.28,2693000,23.92
2011-07-25,27.14,28.68,26.20,26.56,2625200,26.16
2011-07-18,25.30,27.40,24.90,27.34,1641500,26.93
2011-07-11,26.35,26.47,25.05,25.34,1819500,24.96
2011-07-05,27.04,27.04,26.03,26.47,1873500,26.08
2011-06-27,24.89,26.60,24.52,26.51,1978200,26.11
2011-06-20,23.54,25.12,23.13,24.81,4068400,24.34
2011-06-13,25.21,26.15,23.59,23.81,3614300,23.36
2011-06-06,28.06,28.27,25.94,26.03,2554500,25.54
2011-05-31,28.12,28.95,27.48,28.15,3158700,27.62
2011-05-23,26.86,29.40,26.51,28.93,2248800,28.38
2011-05-16,26.16,27.89,26.05,27.06,2638700,26.55
2011-05-09,28.58,29.45,26.00,26.24,3500300,25.74
2011-05-02,29.44,31.25,28.16,28.40,3338900,27.86
2011-04-25,29.23,29.59,28.55,29.48,1664500,28.92
2011-04-18,28.60,29.40,27.77,29.09,2308200,28.54
2011-04-11,29.97,30.03,27.34,28.46,4267300,27.92
2011-04-04,30.54,31.29,29.63,29.85,3420000,29.29
2011-03-28,31.25,31.25,28.82,30.54,4770900,29.96
2011-03-21,31.40,32.82,30.51,31.17,7471100,30.48
2011-03-14,30.16,32.87,28.08,29.40,21259100,28.75
2011-03-07,40.63,40.77,36.80,37.38,2341900,36.55
2011-02-28,41.51,41.57,39.77,40.63,2024500,39.73
2011-02-22,41.11,41.65,39.83,41.11,3769400,40.20
2011-02-14,42.55,44.81,41.57,41.92,2173600,40.99
2011-02-07,42.37,42.70,40.60,42.28,2152600,41.34
2011-01-31,40.05,44.15,40.04,41.88,3072600,40.95
2011-01-24,38.05,40.17,37.65,39.79,2001100,38.90
2011-01-18,40.32,41.07,37.60,38.76,2495200,37.90
2011-01-10,37.47,40.00,36.95,39.97,2535400,39.08
2011-01-03,40.94,41.46,37.77,38.20,2191400,37.35
2010-12-27,39.75,40.94,39.02,40.38,1230300,39.48
2010-12-20,39.34,39.85,39.00,39.68,1279500,38.73
2010-12-13,38.80,39.88,37.82,39.45,2443100,38.50
2010-12-06,37.49,38.70,36.57,38.29,2686600,37.37
2010-11-29,36.73,38.14,35.87,37.51,3379200,36.61
2010-11-22,35.43,37.28,34.60,36.80,2324000,35.92
2010-11-15,36.08,36.35,32.69,35.39,2911100,34.54
2010-11-08,33.35,38.56,33.21,35.95,4977500,35.09
2010-11-01,31.18,33.68,30.96,33.26,1756200,32.46
2010-10-25,30.05,31.35,29.90,30.96,1403700,30.22
2010-10-18,30.47,30.94,29.26,29.61,1315700,28.90
2010-10-11,30.11,30.78,29.39,30.55,1261300,29.82
2010-10-04,28.00,30.04,27.43,29.87,1824200,29.15
2010-09-27,27.57,28.27,26.92,28.02,1389700,27.35
2010-09-20,26.04,27.52,25.95,27.47,1239600,26.74
2010-09-13,26.54,26.93,25.77,26.07,1149300,25.38
2010-09-07,25.80,26.26,25.32,26.12,1199200,25.43
2010-08-30,24.81,25.99,24.16,25.96,1455600,25.27
2010-08-23,25.68,26.07,23.93,24.69,2048200,24.04
