Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,12.20,14.54,11.26,12.03,9200,12.03
2012-05-14,11.08,12.75,11.08,12.07,13600,12.07
2012-05-07,11.64,12.49,10.55,11.25,16800,11.25
2012-04-30,16.72,17.38,11.53,11.58,25400,11.58
2012-04-23,17.07,17.73,15.49,16.62,31600,16.62
2012-04-16,14.27,17.61,13.66,17.29,36300,17.29
2012-04-09,11.08,15.24,10.96,14.29,32000,14.29
2012-04-02,10.70,11.80,10.50,11.15,26600,11.15
2012-03-26,10.60,11.79,10.26,10.66,90400,10.66
2012-03-19,10.17,11.00,9.87,10.57,29900,10.57
2012-03-12,10.80,10.94,9.97,10.17,46700,10.17
2012-03-05,10.43,11.20,10.18,11.20,19900,11.20
2012-02-27,10.27,10.62,10.02,10.34,17000,10.34
2012-02-21,10.46,11.70,10.30,10.30,33500,10.30
2012-02-13,11.50,11.50,10.25,10.45,32300,10.45
2012-02-08,10.49,12.77,10.12,11.13,372200,11.13
