Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,6.93,6.93,6.71,6.74,5500,6.74
2012-05-14,7.23,7.54,6.32,6.87,18100,6.87
2012-05-07,6.52,7.25,6.25,6.80,9000,6.80
2012-04-30,6.76,7.27,6.26,6.55,11700,6.55
2012-04-23,6.94,6.94,6.18,6.81,11900,6.81
2012-04-16,6.97,7.55,6.60,7.04,8400,7.04
2012-04-09,7.13,7.38,6.61,6.86,11600,6.86
2012-04-02,7.53,7.99,7.05,7.24,18900,7.24
2012-03-26,7.75,7.97,7.01,7.55,88400,7.55
2012-03-19,7.36,8.19,7.20,7.78,24500,7.78
2012-03-12,7.46,8.50,7.05,7.26,51800,7.26
2012-03-05,7.30,7.50,7.00,7.16,14700,7.16
2012-02-27,7.92,8.19,6.62,7.50,34200,7.50
2012-02-21,6.14,8.45,6.14,8.07,60600,8.07
2012-02-13,6.11,6.75,6.01,6.37,43500,6.37
2012-02-06,6.27,6.27,6.00,6.00,78300,6.00
