Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,10.78,11.09,10.53,10.53,3700,10.53
2012-05-14,10.27,11.01,9.60,10.74,8800,10.74
2012-05-07,11.18,11.77,10.31,10.43,6700,10.43
2012-04-30,13.66,14.19,11.01,11.18,34500,11.18
2012-04-23,14.51,15.00,13.27,13.62,9100,13.62
2012-04-16,15.13,16.00,14.07,14.76,15600,14.76
2012-04-09,16.76,17.46,14.68,15.13,26900,15.13
2012-04-02,16.21,16.96,15.40,16.75,22500,16.75
2012-03-26,15.90,16.95,15.04,15.99,100600,15.99
2012-03-19,16.40,18.70,15.00,15.88,18600,15.88
2012-03-12,13.24,16.85,12.86,15.21,31400,15.21
2012-03-05,13.83,13.99,13.25,13.26,6300,13.26
2012-02-27,14.89,15.59,13.50,13.95,22900,13.95
2012-02-22,14.80,15.41,14.50,14.95,397900,14.95
