Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,5.37,5.56,5.25,5.35,3800,5.35
2012-05-14,5.45,5.55,5.35,5.46,1500,5.46
2012-05-07,5.28,5.75,5.28,5.60,3400,5.60
2012-04-30,5.67,5.87,5.30,5.30,5700,5.30
2012-04-23,5.60,5.95,5.26,5.70,6400,5.70
2012-04-16,5.30,6.00,5.19,5.57,5500,5.57
2012-04-09,5.33,5.51,5.10,5.31,3500,5.31
2012-04-02,5.70,5.96,5.36,5.39,3100,5.39
2012-03-26,5.82,5.89,5.32,5.70,13300,5.69
2012-03-19,5.49,5.75,5.36,5.75,8300,5.74
2012-03-12,5.20,5.78,5.13,5.45,18100,5.44
2012-03-05,5.09,5.90,5.06,5.34,8700,5.33
2012-02-27,5.74,6.10,5.21,5.21,12300,5.20
2012-02-21,6.23,6.28,5.77,5.92,7700,5.91
2012-02-13,5.30,6.29,5.20,6.29,9100,6.28
2012-02-06,4.75,5.76,4.73,5.30,7800,5.29
2012-01-30,4.56,5.21,4.44,4.94,4100,4.93
2012-01-23,4.61,4.61,4.41,4.60,13000,4.59
2012-01-17,4.62,4.62,4.33,4.61,3400,4.60
2012-01-09,4.58,4.74,4.51,4.53,1300,4.52
2012-01-03,4.36,4.71,4.22,4.55,4700,4.54
2011-12-27,4.35,4.40,4.11,4.31,11100,4.29
2011-12-19,4.30,4.47,4.13,4.40,25500,4.38
2011-12-12,4.28,4.39,4.11,4.22,4600,4.20
2011-12-05,4.40,4.50,4.27,4.27,3700,4.25
2011-11-28,4.55,4.65,4.35,4.35,2800,4.33
2011-11-21,4.60,4.62,4.36,4.55,2700,4.53
2011-11-14,4.40,4.92,4.31,4.61,10900,4.59
2011-11-07,4.74,4.94,4.27,4.30,6900,4.28
2011-10-31,4.70,4.95,4.56,4.81,1400,4.79
2011-10-24,4.60,4.85,4.45,4.77,5100,4.75
2011-10-17,4.85,4.90,4.51,4.55,4400,4.53
2011-10-10,4.89,4.89,4.51,4.80,4400,4.78
2011-10-03,4.49,4.84,4.30,4.50,8300,4.48
2011-09-26,4.86,4.86,4.20,4.34,3200,4.31
2011-09-19,4.91,5.08,4.90,4.90,2200,4.87
2011-09-12,4.90,5.15,4.81,5.15,3000,5.12
2011-09-06,5.41,5.41,4.94,4.95,4300,4.92
2011-08-29,5.40,5.50,5.23,5.23,20700,5.20
2011-08-22,5.32,5.45,5.21,5.45,4600,5.42
2011-08-15,5.40,5.69,5.26,5.26,5200,5.23
2011-08-08,5.38,5.57,5.29,5.40,11100,5.37
2011-08-01,5.64,5.70,5.34,5.50,6900,5.47
2011-07-25,5.68,5.70,5.48,5.64,3200,5.60
2011-07-18,5.55,5.68,5.46,5.68,2900,5.64
2011-07-11,5.42,5.58,5.37,5.58,1900,5.55
2011-07-05,5.49,5.50,5.29,5.44,11000,5.41
2011-06-27,5.46,5.50,5.31,5.35,3800,5.31
2011-06-20,5.62,5.73,5.30,5.48,6000,5.44
2011-06-13,5.55,5.69,5.46,5.60,5800,5.55
2011-06-06,5.52,6.10,5.48,5.65,8700,5.60
2011-05-31,5.50,5.77,5.50,5.68,8400,5.63
2011-05-23,5.39,5.62,5.38,5.60,4000,5.55
2011-05-16,5.34,5.50,5.25,5.39,4400,5.35
2011-05-09,5.49,5.50,5.26,5.34,1800,5.30
2011-05-02,5.38,5.60,5.38,5.49,3100,5.45
2011-04-25,5.35,5.52,5.28,5.38,8600,5.34
2011-04-18,5.33,5.50,5.30,5.40,1900,5.36
2011-04-11,5.48,5.55,5.36,5.36,1300,5.32
2011-04-04,5.52,5.58,5.44,5.51,15200,5.47
2011-03-28,5.52,5.65,5.47,5.53,2900,5.48
