Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,1.02,1.02,0.95,1.01,4300,1.01
2012-05-14,0.95,1.11,0.83,0.95,13300,0.95
2012-05-07,1.00,1.05,0.97,0.99,14600,0.99
2012-04-30,1.06,1.12,1.00,1.00,11900,1.00
2012-04-23,1.13,1.19,1.00,1.06,33000,1.06
2012-04-16,1.19,1.20,1.11,1.17,2800,1.17
2012-04-09,1.26,1.27,1.13,1.19,28500,1.19
2012-04-02,1.27,1.29,1.16,1.25,6200,1.25
2012-03-26,1.23,1.30,1.18,1.21,12500,1.21
2012-03-19,1.30,1.30,1.19,1.23,5300,1.23
2012-03-12,1.21,1.30,1.20,1.28,7100,1.28
2012-03-05,1.26,1.30,1.21,1.22,21100,1.22
2012-02-27,1.29,1.32,1.25,1.25,12700,1.25
2012-02-21,1.26,1.31,1.24,1.27,15800,1.27
2012-02-13,1.35,1.41,1.24,1.25,48500,1.25
2012-02-06,1.33,1.39,1.25,1.32,19900,1.32
2012-01-30,1.37,1.37,1.25,1.28,13000,1.28
2012-01-23,1.25,1.39,1.25,1.35,10700,1.35
2012-01-17,1.23,1.30,1.18,1.25,13700,1.25
2012-01-09,1.12,1.30,1.11,1.18,15400,1.18
2012-01-03,1.15,1.28,1.15,1.22,7800,1.22
2011-12-27,1.10,1.15,1.08,1.14,23500,1.14
2011-12-19,1.13,1.16,1.08,1.15,23600,1.15
2011-12-12,1.19,1.26,1.11,1.18,18700,1.18
2011-12-05,1.38,1.57,1.21,1.22,11400,1.22
2011-11-28,1.54,1.55,1.33,1.43,14000,1.43
2011-11-21,1.67,1.67,1.55,1.58,2300,1.58
2011-11-14,1.67,1.73,1.50,1.67,7200,1.67
2011-11-07,1.71,1.77,1.49,1.65,8300,1.65
2011-10-31,1.72,1.77,1.63,1.71,4900,1.71
2011-10-24,1.60,1.78,1.59,1.78,17000,1.78
2011-10-17,1.57,1.58,1.40,1.58,2600,1.58
2011-10-10,1.38,1.63,1.29,1.56,21700,1.56
2011-10-03,1.37,1.43,1.25,1.35,11500,1.35
2011-09-26,1.54,1.54,1.33,1.40,22800,1.40
2011-09-19,1.71,1.75,1.50,1.50,15200,1.50
2011-09-12,1.71,1.86,1.70,1.77,13800,1.77
2011-09-06,1.70,1.90,1.65,1.77,18200,1.77
2011-08-29,1.80,1.95,1.70,1.73,38100,1.73
2011-08-22,2.18,2.38,1.74,1.80,64900,1.80
2011-08-15,1.27,2.18,1.25,2.15,404600,2.15
2011-08-08,1.33,1.33,0.98,1.16,140200,1.16
2011-08-01,1.70,1.72,1.26,1.31,116500,1.31
2011-07-25,1.74,1.85,1.71,1.73,25900,1.73
2011-07-18,1.89,1.92,1.77,1.80,65000,1.80
2011-07-11,1.88,1.93,1.85,1.88,31000,1.88
2011-07-05,1.90,2.01,1.86,1.90,98500,1.90
2011-06-27,1.76,2.28,1.73,1.90,113700,1.90
2011-06-20,1.66,2.00,1.65,1.74,36400,1.74
2011-06-13,1.89,2.04,1.67,1.67,18900,1.67
2011-06-06,2.16,2.16,1.58,1.80,29600,1.80
2011-05-31,2.10,2.20,2.08,2.15,7500,2.15
2011-05-23,2.15,2.24,2.06,2.09,6600,2.09
2011-05-16,2.21,2.24,2.10,2.15,7700,2.15
2011-05-09,2.48,2.53,2.12,2.12,42100,2.12
2011-05-02,2.65,2.75,2.29,2.37,24100,2.37
2011-04-25,2.68,2.75,2.60,2.71,25400,2.71
2011-04-18,2.30,2.66,2.30,2.65,17000,2.65
2011-04-11,2.65,2.65,2.26,2.37,24400,2.37
2011-04-04,2.50,2.81,2.50,2.55,30600,2.55
2011-03-28,3.16,3.18,2.42,2.47,91200,2.47
2011-03-21,3.42,3.42,2.80,3.13,31700,3.13
2011-03-14,3.50,3.71,3.25,3.25,28800,3.25
2011-03-07,3.90,4.00,3.48,3.76,23500,3.76
2011-02-28,3.88,4.00,3.88,3.93,12700,3.93
2011-02-22,3.95,4.03,3.85,3.88,40300,3.88
2011-02-14,4.26,4.43,3.88,3.95,99000,3.95
2011-02-07,4.55,4.55,4.25,4.29,12500,4.29
2011-01-31,4.60,4.64,4.27,4.38,25300,4.38
2011-01-24,4.63,4.68,4.25,4.58,31100,4.58
2011-01-18,4.93,4.93,4.40,4.63,30800,4.63
2011-01-10,4.35,5.60,4.33,4.87,86200,4.87
2011-01-03,4.25,4.50,4.14,4.25,36300,4.25
2010-12-27,4.30,4.38,4.15,4.20,21200,4.20
2010-12-20,4.16,4.35,4.16,4.18,30300,4.18
2010-12-13,4.35,4.35,4.20,4.28,34300,4.28
2010-12-06,4.50,4.72,4.22,4.35,38600,4.35
2010-11-29,4.86,4.86,4.25,4.45,69400,4.45
2010-11-22,5.00,5.01,4.53,4.76,52600,4.76
2010-11-15,5.64,5.72,5.00,5.03,50900,5.03
2010-11-08,5.25,6.10,5.13,5.77,77500,5.77
2010-11-01,5.10,5.49,4.95,5.19,44400,5.19
2010-10-25,5.10,5.13,4.73,4.95,44200,4.95
2010-10-18,5.34,5.34,4.80,5.08,58200,5.08
2010-10-11,4.94,5.35,4.90,5.26,34100,5.26
2010-10-04,5.13,5.25,4.65,4.85,38400,4.85
2010-09-27,4.50,5.35,4.50,5.08,70100,5.08
2010-09-20,4.96,4.96,4.42,4.45,37300,4.45
2010-09-13,5.50,5.51,4.61,4.78,40500,4.78
2010-09-07,5.28,5.45,5.21,5.40,27900,5.40
2010-08-30,6.20,6.20,5.15,5.21,48400,5.21
2010-08-23,5.69,6.94,5.35,6.02,108600,6.02
2010-08-16,5.34,5.89,5.10,5.53,34500,5.53
2010-08-09,5.79,5.84,5.23,5.27,47300,5.27
2010-08-02,5.00,5.62,4.97,5.62,58000,5.62
2010-07-26,4.79,5.86,4.38,4.92,57000,4.92
2010-07-19,4.00,4.75,3.98,4.75,15000,4.75
2010-07-12,4.30,4.43,3.92,3.92,52100,3.92
2010-07-06,4.20,4.30,3.99,4.24,33300,4.24
2010-06-28,4.00,4.38,3.87,4.15,33500,4.15
2010-06-21,4.28,4.28,3.95,4.00,6400,4.00
2010-06-14,4.25,4.39,4.11,4.20,9000,4.20
2010-06-07,4.34,4.37,4.03,4.16,4200,4.16
2010-06-01,4.39,4.61,4.25,4.30,1000,4.30
2010-05-24,4.47,4.75,4.19,4.39,12200,4.39
2010-05-17,4.65,4.87,4.11,4.20,79500,4.20
2010-05-10,4.50,5.49,3.80,4.66,113400,4.66
2010-05-03,4.75,4.90,4.14,4.40,19900,4.40
2010-04-26,4.55,4.97,4.36,4.75,28300,4.75
2010-04-19,6.20,7.00,4.13,4.65,124400,4.65
2010-04-12,3.48,9.50,3.48,6.20,400,6.20
2010-04-05,5.50,5.50,3.50,3.50,300,7.00
2010-03-29,3.60,5.00,3.60,4.99,2700,9.98
2010-03-22,3.18,3.50,3.00,3.50,15200,7.00
2010-03-15,2.75,3.25,2.62,3.20,10700,6.40
2010-03-08,2.90,2.90,2.60,2.89,600,5.78
2010-03-01,2.55,2.93,2.55,2.90,1000,5.80
2010-02-22,2.75,2.90,2.75,2.90,400,5.80
2010-02-16,2.90,2.90,2.90,2.90,500,5.80
2010-02-08,2.95,2.99,2.80,2.80,1100,5.60
2010-02-01,2.25,3.00,2.25,3.00,300,6.00
2010-01-25,2.84,2.84,2.00,2.25,1600,4.50
2010-01-19,1.80,1.85,1.80,1.85,000,3.70
2010-01-11,2.00,2.00,1.80,1.80,300,3.60
2010-01-04,2.10,2.10,1.99,2.00,100,4.00
2009-12-28,2.10,2.10,2.10,2.10,000,4.20
2009-12-21,2.10,2.10,2.10,2.10,000,4.20
2009-12-14,2.10,2.10,2.10,2.10,000,4.20
2009-12-07,2.50,2.50,2.10,2.10,000,4.20
2009-11-30,2.65,2.65,2.50,2.50,100,5.00
2009-11-23,2.65,2.65,2.65,2.65,000,5.30
2009-11-16,2.65,2.65,2.65,2.65,000,5.30
2009-11-09,2.36,2.80,2.36,2.65,400,5.30
2009-11-02,2.80,2.80,2.36,2.36,200,4.72
2009-10-26,2.75,2.80,2.75,2.80,200,5.60
2009-10-19,2.50,2.70,2.35,2.70,200,5.40
2009-10-12,2.35,2.70,2.35,2.70,400,5.40
2009-10-05,2.35,2.35,2.35,2.35,000,4.70
2009-10-01,1.77,1.77,1.77,1.77,000,3.54
