Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,26.75,27.33,26.60,27.01,766700,27.01
2012-05-14,28.63,28.79,26.68,26.73,962400,26.73
2012-05-07,28.70,29.18,28.61,28.94,658800,28.94
2012-04-30,28.70,29.37,28.37,28.80,627300,28.80
2012-04-23,28.22,28.87,28.00,28.78,977700,28.78
2012-04-16,27.60,28.67,27.57,28.53,825800,28.53
2012-04-09,27.52,27.72,26.92,27.40,803400,27.40
2012-04-02,28.47,28.56,27.76,27.86,921500,27.86
2012-03-26,28.62,29.10,28.31,28.82,758100,28.37
2012-03-19,28.78,29.44,28.10,28.34,570100,27.90
2012-03-12,28.17,29.32,28.17,28.81,763100,28.36
2012-03-05,28.36,28.77,27.96,28.20,769800,27.76
2012-02-27,28.39,28.87,28.12,28.33,795300,27.89
2012-02-21,28.88,28.93,27.83,28.57,829300,28.12
2012-02-13,29.11,29.22,28.43,28.79,718200,28.34
2012-02-06,29.22,29.80,28.54,28.78,881400,28.33
2012-01-30,28.56,29.45,28.34,29.29,1055500,28.83
2012-01-23,28.23,29.04,27.97,28.79,695400,28.34
2012-01-17,26.48,28.23,26.36,28.23,863400,27.79
2012-01-09,26.01,26.81,25.79,26.29,1068600,25.88
2012-01-03,26.64,26.99,25.68,25.93,952900,25.53
2011-12-27,26.96,27.42,26.45,26.69,683100,25.83
2011-12-19,26.07,27.71,25.57,26.96,709300,26.09
2011-12-12,25.76,26.11,25.00,25.86,966800,25.03
2011-12-05,25.70,26.27,25.37,26.09,981300,25.25
2011-11-28,25.21,25.99,24.40,25.45,1034600,24.63
2011-11-21,25.45,25.64,24.16,24.43,1057700,23.64
2011-11-14,26.54,26.70,25.21,25.55,1212900,24.73
2011-11-07,27.24,27.79,26.06,26.66,1349700,25.80
2011-10-31,28.06,28.43,26.86,27.18,1540900,26.30
2011-10-24,27.56,28.91,26.76,28.55,2079000,27.63
2011-10-17,27.33,27.54,25.37,27.52,1517100,26.63
2011-10-10,26.28,27.72,26.05,27.47,1355100,26.59
2011-10-03,26.08,26.53,23.71,25.73,1733700,24.90
2011-09-26,27.70,28.52,26.67,26.75,1192000,25.45
2011-09-19,30.06,30.42,26.72,27.52,939700,26.19
2011-09-12,29.24,30.80,29.14,30.66,1084800,29.17
2011-09-06,29.22,31.17,29.16,29.69,1081200,28.25
2011-08-29,30.73,31.27,29.86,30.06,1006700,28.60
2011-08-22,30.05,31.02,28.95,30.36,953500,28.89
2011-08-15,29.79,31.31,29.21,29.35,1308400,27.93
2011-08-08,27.89,30.03,25.70,29.53,2110000,28.10
2011-08-01,33.77,33.79,28.64,28.91,998500,27.51
