Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,1.80,1.90,1.76,1.85,153300,1.85
2012-05-14,2.02,2.02,1.73,1.76,263400,1.76
2012-05-07,1.90,2.05,1.86,2.01,233000,2.01
2012-04-30,2.05,2.14,1.86,1.90,323600,1.90
2012-04-23,2.00,2.07,1.88,2.04,319500,2.04
2012-04-16,2.05,2.05,1.81,1.92,280300,1.92
2012-04-09,1.72,2.10,1.72,2.03,404600,2.03
2012-04-02,1.92,1.94,1.76,1.78,214700,1.78
2012-03-26,1.89,2.00,1.81,1.90,250600,1.90
2012-03-19,1.63,2.04,1.63,1.83,518200,1.83
2012-03-12,1.70,1.79,1.64,1.69,558700,1.69
2012-03-05,2.05,2.12,1.66,1.71,849200,1.71
2012-02-27,2.13,2.24,2.00,2.02,541800,2.02
2012-02-21,2.11,2.20,2.03,2.07,432100,2.07
2012-02-13,2.11,2.21,1.80,2.10,536500,2.10
2012-02-06,1.95,2.34,1.94,2.03,748200,2.03
2012-01-30,1.81,2.19,1.81,1.95,680800,1.95
2012-01-23,1.72,1.86,1.64,1.83,387000,1.83
2012-01-17,1.73,1.82,1.64,1.71,423000,1.71
2012-01-09,1.95,1.95,1.67,1.73,301200,1.73
2012-01-03,1.72,1.95,1.72,1.92,323100,1.92
2011-12-27,1.75,1.80,1.64,1.70,413300,1.70
2011-12-19,1.95,1.98,1.74,1.76,343000,1.76
2011-12-12,2.03,2.10,1.75,1.98,311800,1.98
2011-12-05,2.18,2.27,1.97,2.06,452600,2.06
2011-11-28,2.69,2.69,2.11,2.18,679400,2.18
2011-11-21,2.96,3.08,2.73,2.80,179500,2.80
2011-11-14,3.13,3.15,2.87,3.03,220800,3.03
2011-11-07,3.55,3.84,2.72,3.12,558600,3.12
2011-10-31,3.13,3.70,2.90,3.51,341700,3.51
2011-10-24,2.83,3.19,2.69,3.14,291900,3.14
2011-10-17,2.82,2.94,2.68,2.86,237900,2.86
2011-10-10,2.79,3.10,2.76,2.86,352500,2.86
2011-10-03,2.52,2.82,2.30,2.74,286900,2.74
2011-09-26,2.94,3.00,2.50,2.50,351500,2.50
2011-09-19,2.96,3.22,2.85,2.96,407700,2.96
2011-09-12,3.46,3.55,3.02,3.03,558700,3.03
2011-09-06,3.45,3.75,3.41,3.55,320200,3.55
2011-08-29,3.23,3.82,3.22,3.60,522700,3.60
2011-08-22,3.00,3.22,2.90,3.17,415800,3.17
2011-08-15,3.01,3.18,2.80,2.89,579500,2.89
2011-08-08,2.80,3.17,2.65,2.96,598700,2.96
2011-08-01,3.96,4.08,2.70,3.11,1121600,3.11
2011-07-25,4.13,4.14,3.51,3.83,913800,3.83
2011-07-18,3.84,4.37,3.71,4.17,1163700,4.17
2011-07-11,3.61,4.13,3.49,3.87,777200,3.87
2011-07-05,3.20,3.67,3.10,3.46,999300,3.46
2011-06-27,3.07,3.42,2.91,3.13,805100,3.13
2011-06-20,3.00,3.10,2.83,3.10,90600,3.10
2011-06-13,3.00,3.27,2.91,2.98,289300,2.98
2011-06-06,3.03,3.44,2.93,3.05,431700,3.05
2011-05-31,3.05,3.18,2.81,2.96,444600,2.96
