Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,21.34,22.48,21.23,21.84,122000,21.84
2012-05-14,21.69,21.82,20.82,21.07,43500,21.07
2012-05-07,21.75,22.41,21.58,21.93,38300,21.93
2012-04-30,23.36,23.71,21.75,21.77,65600,21.77
2012-04-23,21.89,23.46,21.75,23.36,63900,23.36
2012-04-16,23.12,23.19,21.77,22.30,85200,22.30
2012-04-09,23.71,23.90,22.66,23.12,81400,23.12
2012-04-02,25.08,25.20,24.02,24.17,94500,24.17
2012-03-26,24.25,25.55,23.94,25.09,94000,25.09
2012-03-19,23.59,24.88,23.41,24.12,120000,24.12
2012-03-12,22.50,23.70,22.24,23.61,126400,23.61
2012-03-05,19.20,22.80,18.86,22.49,196500,22.49
2012-02-27,21.14,21.30,18.84,19.23,132700,19.23
2012-02-21,20.75,21.52,20.06,21.25,78200,21.25
2012-02-13,21.36,21.66,20.67,20.80,72400,20.80
2012-02-06,22.93,23.08,21.04,21.13,72200,21.13
2012-01-30,32.09,32.48,21.40,22.97,121100,22.97
2012-01-23,31.59,32.78,31.48,32.25,56900,21.50
2012-01-17,31.39,32.30,30.73,31.69,72300,21.13
2012-01-09,28.29,31.57,28.07,31.06,121400,20.71
2012-01-03,28.49,28.68,27.01,28.26,87500,18.80
2011-12-27,27.54,28.54,27.41,27.93,49700,18.58
2011-12-19,26.12,27.78,25.64,27.65,76800,18.39
2011-12-12,27.19,27.19,25.42,25.95,88500,17.26
2011-12-05,26.36,27.71,25.72,27.57,88100,18.34
2011-11-28,24.59,26.67,24.51,25.89,81000,17.22
2011-11-21,26.30,26.61,23.89,23.90,59800,15.90
2011-11-14,27.60,28.01,26.68,26.79,87800,17.82
2011-11-07,27.45,28.50,27.25,27.67,82300,18.40
2011-10-31,26.69,28.16,26.50,27.61,117600,18.36
2011-10-24,24.52,27.85,23.70,27.14,114800,18.05
2011-10-17,22.82,24.44,22.26,24.36,110600,16.20
2011-10-10,21.96,23.90,20.01,23.10,79800,15.36
2011-10-03,20.94,22.45,20.08,21.49,81400,14.29
2011-09-26,21.74,23.57,21.00,21.12,83100,14.05
2011-09-19,23.62,24.03,20.88,21.53,85600,14.32
2011-09-12,22.11,24.35,22.11,24.04,74800,15.99
2011-09-06,22.51,24.48,22.12,22.41,81000,14.91
2011-08-29,22.86,25.44,22.80,23.15,135900,15.40
2011-08-22,20.92,22.66,20.19,22.54,64700,14.99
2011-08-15,21.37,21.99,19.69,20.42,93400,13.58
2011-08-08,22.09,22.82,19.02,21.17,148800,14.08
2011-08-01,25.20,25.76,21.60,22.58,101400,15.02
2011-07-25,27.12,27.12,24.53,24.93,89600,16.58
2011-07-18,26.83,27.92,26.61,27.33,55100,18.18
