Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,29.00,29.32,28.61,28.83,164400,28.83
2012-05-14,30.13,30.87,28.74,28.98,176600,28.98
2012-05-07,30.14,30.87,30.02,30.41,134100,30.41
2012-04-30,31.57,31.78,30.15,30.33,143300,30.33
2012-04-23,30.81,31.89,30.66,31.70,123100,31.70
2012-04-16,32.10,32.40,31.00,31.26,127500,31.26
2012-04-09,32.98,33.40,31.80,31.88,157600,31.60
2012-04-02,32.45,34.89,32.39,33.54,237300,33.25
2012-03-26,33.25,33.94,32.53,32.58,173800,32.30
2012-03-19,32.60,33.32,32.19,33.02,189600,32.73
2012-03-12,32.92,33.50,32.56,32.62,181300,32.34
2012-03-05,31.70,33.00,31.04,32.86,250800,32.57
2012-02-27,32.74,32.95,31.55,31.76,271500,31.48
2012-02-21,32.73,33.00,32.45,32.82,89000,32.54
2012-02-13,32.86,33.00,31.62,32.78,243400,32.50
2012-02-06,32.78,33.10,31.82,32.57,178100,32.29
2012-01-30,30.68,33.30,30.22,32.98,305600,32.69
2012-01-23,30.44,30.96,30.12,30.89,124400,30.62
2012-01-17,29.80,30.59,29.14,30.48,216600,30.22
2012-01-09,29.55,30.23,29.21,29.72,157200,29.19
2012-01-03,29.07,29.89,28.52,29.55,244000,29.02
2011-12-27,29.19,29.67,28.62,28.62,162700,28.11
2011-12-19,28.51,29.41,27.88,29.26,224700,28.74
2011-12-12,29.05,29.71,27.89,28.45,477800,27.94
2011-12-05,30.78,31.31,28.76,29.55,549500,29.02
2011-11-28,30.09,30.73,29.37,30.35,440000,29.81
2011-11-21,32.77,33.02,29.25,29.28,435300,28.76
2011-11-14,34.32,35.65,32.89,33.08,376800,32.49
2011-11-07,33.06,34.54,32.72,34.32,316500,33.71
2011-10-31,33.10,33.84,32.19,33.06,394900,32.47
2011-10-24,32.16,34.08,32.16,33.41,394000,32.81
2011-10-17,32.19,32.52,31.24,32.15,405200,31.58
2011-10-10,31.36,33.05,31.15,32.44,715600,31.59
2011-10-03,28.06,31.79,26.76,30.99,1135000,30.17
2011-09-26,26.73,28.90,26.70,28.09,676600,27.35
2011-09-19,28.00,28.38,25.60,26.52,299000,25.82
2011-09-12,27.42,28.90,27.42,28.33,380700,27.58
2011-09-06,26.62,28.40,26.62,27.68,301100,26.95
2011-08-29,27.49,28.47,27.12,27.34,323600,26.62
2011-08-22,25.83,27.38,24.92,27.20,252700,26.48
2011-08-15,26.28,26.90,24.81,25.19,199500,24.53
2011-08-08,24.79,26.76,24.04,26.17,513400,25.48
2011-08-01,27.32,27.69,25.15,25.49,385100,24.82
2011-07-25,28.32,28.65,26.85,26.95,316000,26.24
2011-07-18,28.68,29.00,28.26,28.59,259400,27.84
