Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,12.90,12.90,12.90,12.90,2200,12.90
2012-05-14,13.00,13.10,12.90,12.92,1200,12.92
2012-05-07,12.90,13.25,12.90,12.90,600,12.90
2012-04-30,13.38,13.38,12.76,12.88,1200,12.88
2012-04-23,12.99,13.40,12.99,13.38,1300,13.38
2012-04-16,12.90,12.98,12.50,12.79,200,12.79
2012-04-09,12.78,12.90,12.75,12.90,6700,12.90
2012-04-02,12.50,12.85,12.50,12.85,2100,12.85
2012-03-26,12.15,12.52,12.15,12.50,600,12.50
2012-03-19,12.71,12.71,12.08,12.17,300,12.17
2012-03-12,12.12,12.49,11.50,12.49,10500,12.49
2012-03-05,12.10,12.10,12.01,12.10,2400,12.10
2012-02-27,12.48,12.50,12.03,12.10,1900,12.10
2012-02-21,12.27,12.50,12.27,12.50,100,12.50
2012-02-13,12.32,12.50,12.25,12.50,900,12.50
2012-02-06,12.45,12.45,12.34,12.40,2100,12.40
2012-01-30,12.43,12.50,12.43,12.50,000,12.50
2012-01-23,12.36,12.43,12.35,12.43,200,12.43
2012-01-17,12.55,12.55,12.36,12.36,000,12.36
2012-01-09,12.35,12.55,12.35,12.55,300,12.55
2012-01-03,12.67,12.73,12.30,12.30,1700,12.30
2011-12-27,12.35,12.46,12.25,12.46,800,12.46
2011-12-19,12.35,12.50,12.35,12.35,5200,12.35
2011-12-12,12.25,12.40,12.25,12.35,6400,12.35
2011-12-05,12.35,12.45,12.25,12.25,1500,12.25
2011-11-28,12.45,12.45,12.35,12.35,3200,12.35
2011-11-21,12.37,12.45,12.35,12.45,2600,12.45
2011-11-14,12.25,12.50,12.25,12.50,5300,12.50
2011-11-07,12.26,12.34,12.25,12.25,4200,12.25
2011-10-31,12.25,12.31,12.20,12.31,8800,12.31
2011-10-24,12.28,12.30,12.25,12.25,1400,12.25
2011-10-17,12.25,12.43,12.25,12.28,4400,12.28
2011-10-10,12.45,12.45,12.25,12.25,4800,12.25
2011-10-03,12.28,12.28,12.26,12.26,200,12.26
2011-09-26,12.02,12.50,12.01,12.25,10100,12.25
2011-09-19,12.47,12.50,11.89,12.00,12700,12.00
2011-09-12,12.40,12.50,12.25,12.30,22100,12.30
2011-09-06,11.95,12.18,11.95,12.00,6900,12.00
2011-08-29,11.98,12.15,11.98,12.05,2400,12.05
2011-08-22,11.95,12.05,11.66,11.95,13600,11.95
2011-08-15,11.10,11.93,11.10,11.80,14200,11.80
2011-08-08,12.00,12.00,10.54,10.85,2600,10.85
2011-08-01,12.35,12.43,11.90,12.00,3800,12.00
2011-07-25,12.45,12.52,12.10,12.10,900,12.10
2011-07-18,12.39,12.56,12.35,12.45,600,12.45
2011-07-11,12.35,12.43,12.25,12.43,1200,12.43
2011-07-05,12.70,12.70,12.35,12.42,1600,12.42
2011-06-27,12.28,12.75,12.28,12.65,1100,12.65
2011-06-20,12.20,12.50,12.20,12.34,49000,12.34
2011-06-13,12.03,12.25,12.01,12.25,6400,12.25
2011-06-06,12.15,12.19,12.00,12.19,900,12.19
2011-05-31,12.35,12.50,11.82,12.40,2500,12.40
2011-05-23,12.79,12.79,12.40,12.40,2300,12.40
2011-05-16,12.47,12.79,11.99,12.20,1900,12.20
2011-05-09,12.72,12.80,12.50,12.72,400,12.72
2011-05-02,12.61,13.00,12.50,12.72,1500,12.72
2011-04-25,12.73,12.73,12.50,12.59,5200,12.59
2011-04-18,12.50,12.83,12.30,12.30,2300,12.30
2011-04-11,12.78,12.78,12.50,12.67,10600,12.67
