Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,25.14,25.43,25.14,25.43,100,25.43
2012-05-14,25.39,25.62,25.04,25.11,2600,25.11
2012-05-07,25.48,25.58,25.34,25.42,700,25.42
2012-04-30,25.63,25.65,25.32,25.32,2500,25.32
2012-04-23,25.67,25.90,25.41,25.63,2300,25.63
2012-04-16,25.73,25.77,25.50,25.77,1100,25.77
2012-04-09,25.40,25.75,25.35,25.69,2100,25.69
2012-04-02,25.20,25.42,25.18,25.40,700,25.40
2012-03-26,25.14,25.34,25.14,25.14,600,25.14
2012-03-19,25.40,25.40,25.10,25.14,1100,25.14
2012-03-12,25.10,25.50,25.00,25.40,1500,25.40
2012-03-05,25.24,25.95,25.00,25.11,1800,25.11
2012-02-27,25.19,25.44,24.86,25.44,1100,25.44
2012-02-21,25.00,25.15,24.75,25.05,4600,25.05
2012-02-13,24.81,25.00,24.64,24.79,2000,24.79
2012-02-06,24.50,25.14,24.30,24.94,4800,24.94
2012-01-30,24.10,24.54,23.88,24.48,5800,24.48
2012-01-23,23.98,24.70,23.80,24.15,3700,24.15
2012-01-17,23.10,24.25,23.10,23.98,3300,23.98
2012-01-09,22.70,23.51,22.70,23.20,9300,23.20
2012-01-03,21.44,22.95,21.44,22.90,3700,22.90
2011-12-27,21.67,21.69,20.85,21.34,2000,21.34
2011-12-19,21.90,22.33,21.01,21.82,3000,21.82
2011-12-12,22.50,22.50,21.40,21.62,2300,21.62
2011-12-05,22.70,23.47,22.70,22.99,2600,21.98
2011-11-28,22.59,22.75,22.00,22.49,1600,21.51
2011-11-21,22.99,23.09,21.99,22.36,3600,21.38
2011-11-14,23.64,23.97,23.00,23.50,1600,22.47
2011-11-07,24.15,24.20,23.58,23.64,3300,22.61
2011-10-31,23.83,24.19,23.05,24.11,2800,23.05
2011-10-24,23.19,24.15,23.15,23.88,3000,22.84
2011-10-17,22.25,24.00,22.25,23.37,2800,22.35
2011-10-10,21.25,22.74,21.25,22.40,2800,21.42
2011-10-03,21.00,21.25,19.80,21.25,2800,20.32
2011-09-26,21.15,22.25,21.01,21.01,3000,20.09
2011-09-19,21.70,21.70,19.87,21.13,9000,20.21
2011-09-12,22.54,23.28,21.54,21.70,10200,20.75
2011-09-06,23.20,23.64,22.30,23.03,5600,22.02
2011-08-29,23.85,24.40,23.16,23.50,3300,22.47
2011-08-22,22.42,24.19,20.63,23.60,16000,22.57
2011-08-15,21.99,23.17,21.81,22.25,15400,21.28
2011-08-08,24.26,24.26,20.23,21.70,44000,20.75
2011-08-01,25.43,25.44,23.00,24.72,4000,23.64
2011-07-25,25.52,25.52,25.13,25.13,1200,24.03
2011-07-18,25.60,25.60,25.41,25.44,500,24.33
2011-07-11,25.80,25.84,25.64,25.64,1200,24.52
2011-07-05,25.56,25.90,25.41,25.84,2100,24.71
2011-06-27,25.49,25.50,25.38,25.50,1400,24.38
2011-06-20,25.39,25.49,25.35,25.49,300,24.37
2011-06-13,25.30,25.65,25.25,25.41,2600,24.30
2011-06-06,26.23,26.35,25.23,25.35,1800,24.24
2011-05-31,26.16,26.27,26.15,26.15,1200,24.05
2011-05-23,26.21,26.32,26.05,26.14,4000,24.04
2011-05-16,26.15,26.27,26.08,26.27,1800,24.16
2011-05-09,26.29,26.33,26.22,26.22,200,24.11
2011-05-02,26.18,26.30,26.10,26.29,900,24.18
2011-04-25,25.87,26.30,25.87,26.18,2100,24.08
2011-04-18,26.02,26.05,25.90,25.92,900,23.84
2011-04-11,25.86,26.05,25.78,26.03,1000,23.94
2011-04-04,25.83,26.00,25.66,25.90,900,23.82
2011-03-28,25.69,25.85,25.65,25.83,900,23.75
2011-03-21,25.65,25.74,25.65,25.74,1200,23.67
2011-03-14,25.73,25.73,25.57,25.65,400,23.59
2011-03-07,25.65,25.73,25.65,25.73,300,23.66
2011-02-28,25.73,25.73,25.60,25.65,600,23.59
2011-02-22,25.73,25.73,25.65,25.73,100,23.66
2011-02-14,25.59,25.70,25.59,25.70,900,23.63
2011-02-07,25.50,25.65,25.50,25.65,500,23.59
2011-01-31,25.47,25.52,25.35,25.50,500,23.45
2011-01-24,25.47,25.55,25.35,25.47,1200,23.42
2011-01-18,25.59,25.62,25.47,25.55,100,23.50
2011-01-10,25.50,25.63,25.42,25.59,2000,23.53
2011-01-03,25.22,25.45,25.22,25.45,500,23.40
2010-12-27,25.01,25.25,25.01,25.17,800,23.15
2010-12-20,25.09,25.15,25.01,25.01,1200,23.00
2010-12-13,25.05,25.28,24.88,25.09,3300,23.07
2010-12-06,25.65,26.03,24.99,25.05,4100,23.04
2010-11-29,25.45,25.65,25.45,25.65,1100,22.68
2010-11-22,25.51,25.58,25.40,25.40,1500,22.46
2010-11-15,25.65,25.78,25.33,25.60,2800,22.63
2010-11-08,25.42,25.74,25.37,25.66,2600,22.69
2010-11-01,25.58,25.97,25.22,25.35,9800,22.41
2010-10-25,25.56,25.69,25.35,25.50,1500,22.54
2010-10-18,25.45,25.80,25.25,25.56,7900,22.60
2010-10-11,25.81,26.00,25.40,25.50,8600,22.54
2010-10-04,25.88,25.89,25.77,25.80,2700,22.81
2010-09-27,25.95,26.19,25.84,25.94,5300,22.93
2010-09-20,25.88,26.19,25.71,25.95,3300,22.94
2010-09-13,25.94,26.22,25.73,25.75,4100,22.77
2010-09-07,25.80,26.00,25.73,25.94,2700,22.93
2010-08-30,25.51,25.81,25.49,25.75,6000,22.77
2010-08-23,25.53,25.57,25.23,25.49,2200,22.54
2010-08-16,25.39,25.65,25.36,25.49,3900,22.54
2010-08-09,25.40,25.48,25.10,25.38,2300,22.44
2010-08-02,24.88,25.45,24.88,25.09,3800,22.18
2010-07-26,24.90,25.00,24.57,25.00,12800,22.10
2010-07-19,24.33,25.54,24.33,24.90,6200,22.01
2010-07-12,24.29,24.59,23.98,24.32,3800,21.50
2010-07-06,24.45,24.45,23.92,24.30,1700,21.48
2010-06-28,24.00,24.06,23.80,24.00,6400,21.22
2010-06-21,23.75,23.94,23.59,23.94,2000,21.17
2010-06-14,23.60,24.00,23.50,23.75,1500,21.00
2010-06-07,24.43,24.74,23.52,23.52,3600,20.79
2010-06-01,24.38,24.64,24.00,24.60,5700,20.86
2010-05-24,23.90,24.44,23.70,24.30,6100,20.60
2010-05-17,24.43,24.43,23.64,23.90,2600,20.26
2010-05-10,23.74,24.45,23.74,24.23,7500,20.54
2010-05-03,24.60,24.82,22.98,23.52,6000,19.94
2010-04-26,24.64,24.80,24.55,24.65,7400,20.90
2010-04-19,24.42,24.70,24.39,24.69,2500,20.93
2010-04-12,24.40,24.50,24.35,24.35,1100,20.65
2010-04-05,24.29,24.44,24.07,24.39,3900,20.68
2010-03-29,24.39,24.47,24.16,24.30,4700,20.60
2010-03-22,24.40,24.55,24.30,24.43,4700,20.71
2010-03-15,24.19,24.52,24.06,24.52,1700,20.79
2010-03-08,24.02,24.62,23.86,24.13,5300,20.46
2010-03-01,23.75,24.00,23.75,23.97,600,20.32
2010-02-22,23.60,23.93,23.50,23.93,2500,20.29
2010-02-16,23.14,23.55,23.01,23.55,4200,19.97
2010-02-08,23.20,23.40,23.11,23.30,1100,19.76
2010-02-01,23.30,23.84,22.91,23.20,5800,19.67
2010-01-25,23.44,23.49,23.05,23.25,2200,19.71
2010-01-19,24.12,24.45,23.40,23.42,16600,19.86
2010-01-11,23.95,24.30,23.69,24.20,12900,20.52
2010-01-04,23.70,23.99,23.35,23.90,7200,20.26
2009-12-28,23.36,23.88,23.19,23.47,5300,19.90
2009-12-21,22.99,23.50,22.75,23.35,5500,19.80
2009-12-14,23.00,23.00,22.53,22.88,3700,19.40
2009-12-07,23.40,24.00,22.65,22.65,3300,19.20
2009-11-30,22.58,23.49,22.10,23.47,3400,19.06
2009-11-23,22.26,22.70,22.18,22.35,1300,18.15
2009-11-16,22.51,22.89,22.16,22.16,1700,18.00
2009-11-09,22.09,22.58,22.09,22.50,400,18.27
2009-11-02,22.34,22.34,21.56,22.09,2200,17.94
2009-10-26,22.69,22.71,22.00,22.16,2700,18.00
2009-10-19,22.81,23.24,22.68,22.80,3800,18.52
2009-10-12,22.61,23.00,22.38,22.70,2400,18.44
2009-10-05,22.30,22.58,22.20,22.35,700,18.15
2009-09-28,21.79,22.57,21.79,22.52,2000,18.29
2009-09-21,21.93,22.50,21.90,22.25,1200,18.07
2009-09-14,21.67,22.00,21.50,21.81,1300,17.71
2009-09-08,21.50,21.90,21.00,21.30,3900,17.30
2009-08-31,21.39,21.55,20.53,21.21,4300,17.22
2009-08-24,21.40,21.40,21.12,21.29,1500,17.29
2009-08-17,21.00,21.55,20.79,21.05,2900,17.10
2009-08-10,22.50,22.50,20.76,21.15,2400,17.18
2009-08-03,20.55,21.79,20.55,21.50,2500,17.46
2009-07-27,19.78,20.50,19.42,20.30,4400,16.49
2009-07-20,19.15,19.73,19.00,19.73,2400,16.02
2009-07-13,18.55,19.63,18.50,19.51,2600,15.84
2009-07-06,18.47,18.55,18.47,18.55,200,15.06
2009-06-29,18.65,18.75,18.30,18.42,2100,14.96
2009-06-22,18.31,18.65,17.80,18.65,3100,15.15
2009-06-15,18.50,19.16,17.70,18.00,4900,14.62
2009-06-08,19.62,19.73,18.04,18.50,4800,15.02
2009-06-01,17.97,19.25,17.97,19.10,8500,14.70
2009-05-26,16.49,17.99,16.49,17.73,6400,13.65
2009-05-18,15.61,16.90,13.45,16.75,6900,12.89
2009-05-11,15.99,21.50,14.00,15.33,15200,11.80
2009-05-04,13.00,15.99,13.00,15.99,7000,12.31
2009-04-27,13.95,13.97,13.16,13.35,1300,10.28
2009-04-20,13.50,14.00,11.71,14.00,1900,10.78
2009-04-13,13.05,14.00,13.00,13.94,2900,10.73
2009-04-06,12.22,13.00,11.46,13.00,3000,10.01
2009-03-30,11.65,12.43,10.36,12.19,3300,9.38
2009-03-23,12.46,13.49,11.35,12.05,5300,9.28
2009-03-16,10.36,12.75,10.36,12.10,5900,9.31
2009-03-09,6.50,11.20,6.50,10.12,7200,7.79
2009-03-02,11.25,11.25,6.50,7.00,12500,5.39
2009-02-23,9.90,12.15,7.96,11.48,8800,8.84
2009-02-17,13.04,13.04,8.10,9.01,7600,6.94
2009-02-09,14.20,14.25,13.27,13.27,1200,10.21
2009-02-02,14.75,14.75,12.40,14.00,3100,10.78
2009-01-26,14.42,15.73,14.39,14.54,1300,11.19
2009-01-20,15.52,15.52,14.16,14.39,2100,11.08
2009-01-12,19.01,19.18,14.26,15.75,6900,12.12
2009-01-05,18.75,19.50,18.75,19.00,3600,14.63
2008-12-29,17.50,19.68,17.10,18.79,3600,14.46
2008-12-22,17.00,18.00,16.89,18.00,1000,13.86
2008-12-15,16.40,17.00,15.81,16.75,6100,12.89
2008-12-08,16.10,16.36,15.70,16.22,3300,12.49
2008-12-01,15.42,17.29,14.90,15.65,9200,11.30
