Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,4.08,4.80,3.20,4.40,178600,4.40
2012-05-14,5.42,5.50,4.60,4.96,19700,4.96
2012-05-07,5.94,6.23,4.91,5.40,16800,5.40
2012-04-30,5.85,6.38,5.85,6.10,23300,6.10
2012-04-23,5.82,5.95,5.26,5.80,24200,5.80
2012-04-16,6.01,6.02,5.81,5.84,10800,5.84
2012-04-09,5.86,6.00,5.55,5.95,39800,5.95
2012-04-02,5.83,5.93,5.65,5.84,38100,5.84
2012-03-26,5.60,5.86,5.38,5.80,17000,5.80
2012-03-19,5.72,5.74,5.39,5.61,8200,5.61
2012-03-12,5.49,5.87,5.39,5.72,36800,5.72
2012-03-05,5.59,5.59,5.15,5.38,11700,5.38
2012-02-27,5.46,5.75,5.07,5.35,11900,5.35
2012-02-21,5.19,5.50,5.09,5.41,17600,5.41
2012-02-13,5.06,5.14,4.83,5.09,15400,5.09
2012-02-06,4.95,5.20,4.94,5.08,27900,5.08
2012-01-30,4.81,5.03,4.70,4.90,57400,4.90
2012-01-23,5.00,5.19,4.70,4.93,3100,4.93
2012-01-17,5.00,5.16,4.71,5.10,5100,5.10
2012-01-09,5.18,5.20,4.71,5.00,8100,5.00
2012-01-03,5.35,5.35,4.73,4.99,5700,4.99
2011-12-27,4.96,5.35,4.83,5.35,7700,5.35
2011-12-19,5.23,5.50,4.82,5.13,12600,5.13
2011-12-12,5.36,5.96,5.10,5.15,13700,5.15
2011-12-05,5.30,6.00,5.20,5.47,10700,5.47
2011-11-28,5.91,6.00,4.85,5.30,15000,5.30
2011-11-21,5.56,5.88,5.46,5.75,6400,5.75
2011-11-14,5.01,5.73,4.80,5.70,93900,5.70
2011-11-07,5.10,5.10,4.86,5.05,5100,5.05
2011-10-31,5.10,5.10,4.87,5.06,4900,5.06
2011-10-24,5.30,5.30,4.75,4.99,15600,4.99
2011-10-17,4.99,5.07,4.49,4.99,7100,4.99
2011-10-10,4.81,4.90,4.47,4.84,76000,4.84
2011-10-03,5.10,5.37,4.77,4.99,11900,4.99
2011-09-26,5.60,5.84,5.00,5.27,15900,5.27
2011-09-19,5.21,5.97,5.20,5.71,8300,5.71
2011-09-12,6.03,6.40,5.67,5.70,9500,5.70
2011-09-06,6.65,6.75,6.04,6.25,10600,6.25
2011-08-29,7.86,7.86,3.25,6.70,23100,6.70
2011-08-22,7.00,7.00,6.00,6.95,8900,6.95
2011-08-15,7.00,8.00,6.01,6.99,12100,6.99
2011-08-08,1.40,1.75,1.10,1.70,11500,6.80
2011-08-01,1.83,1.85,1.07,1.58,8000,6.32
2011-07-25,1.75,1.90,1.75,1.80,5100,7.20
2011-07-18,1.60,1.92,1.57,1.90,20400,7.60
2011-07-11,1.20,1.73,1.11,1.68,53500,6.72
2011-07-05,1.22,1.23,1.08,1.20,21700,4.80
2011-06-27,1.15,1.24,1.05,1.20,17500,4.80
2011-06-20,1.05,1.15,1.05,1.15,9500,4.60
2011-06-13,1.11,1.15,1.05,1.15,31200,4.60
2011-06-06,1.21,1.25,1.05,1.15,34900,4.60
2011-05-31,1.23,1.34,1.20,1.20,7600,4.80
2011-05-23,1.16,1.33,1.16,1.33,17400,5.32
2011-05-16,1.25,1.30,1.15,1.20,3400,4.80
2011-05-09,1.30,1.32,1.21,1.30,3000,5.20
2011-05-02,1.30,1.40,1.25,1.32,5700,5.28
2011-04-25,1.23,1.40,1.12,1.38,44000,5.52
2011-04-18,1.24,1.29,1.01,1.23,17300,4.92
2011-04-11,1.08,1.28,1.01,1.21,14200,4.84
2011-04-04,1.05,1.12,1.05,1.12,3200,4.48
2011-03-28,1.07,1.13,1.01,1.10,10400,4.40
2011-03-21,0.98,1.10,0.91,1.06,24600,4.24
2011-03-14,0.96,1.00,0.89,1.00,18600,4.00
2011-03-07,0.86,0.98,0.83,0.98,32800,3.92
2011-02-28,0.88,0.91,0.80,0.86,13800,3.44
2011-02-22,0.85,0.93,0.80,0.88,2600,3.52
2011-02-14,0.88,1.03,0.85,0.90,3500,3.60
2011-02-07,0.98,1.01,0.88,0.99,11400,3.96
2011-01-31,0.93,1.03,0.90,1.01,12300,4.04
2011-01-24,1.00,1.05,0.93,1.02,55700,4.08
2011-01-18,1.00,1.05,0.93,1.02,10300,4.08
2011-01-10,1.00,1.06,0.95,1.03,33600,4.12
2011-01-03,0.98,1.02,0.82,1.02,18800,4.08
2010-12-27,0.87,0.95,0.85,0.93,5600,3.72
2010-12-20,0.90,1.01,0.81,0.94,8000,3.76
2010-12-13,0.94,1.02,0.84,0.94,55800,3.76
2010-12-06,0.95,0.99,0.87,0.97,14400,3.88
2010-11-29,1.00,1.02,0.84,0.95,10200,3.80
2010-11-22,0.96,1.02,0.92,1.00,6400,4.00
2010-11-15,0.93,1.08,0.93,1.02,2300,4.08
2010-11-08,1.04,1.08,0.92,1.04,56100,4.16
2010-11-01,1.20,1.39,0.90,1.05,71900,4.20
2010-10-25,0.80,1.24,0.78,1.20,176900,4.80
2010-10-18,0.76,0.76,0.70,0.75,5500,3.00
2010-10-11,0.74,0.79,0.74,0.75,13400,3.00
2010-10-04,0.75,0.80,0.73,0.75,9600,3.00
2010-09-27,0.65,0.78,0.65,0.75,44500,3.00
2010-09-20,0.40,0.65,0.40,0.65,5400,2.60
2010-09-13,0.49,0.60,0.49,0.54,800,2.16
2010-09-07,0.50,0.50,0.40,0.40,6300,1.60
2010-08-30,0.45,0.55,0.40,0.50,79400,2.00
2010-08-23,0.39,0.45,0.38,0.45,21500,1.80
2010-08-16,0.45,0.45,0.44,0.45,400,1.80
2010-08-09,0.39,0.45,0.39,0.45,12200,1.80
2010-08-02,0.45,0.51,0.39,0.51,2400,2.04
2010-07-26,0.55,0.55,0.42,0.42,12400,1.68
2010-07-19,0.55,0.55,0.45,0.45,1900,1.80
2010-07-12,0.44,0.64,0.44,0.55,15800,2.20
2010-07-06,0.60,0.64,0.46,0.57,8200,2.28
2010-06-28,0.44,0.55,0.44,0.50,4100,2.00
2010-06-21,0.44,0.45,0.44,0.45,3600,1.80
2010-06-14,0.44,0.44,0.44,0.44,200,1.76
2010-06-07,0.65,0.65,0.44,0.44,800,1.76
2010-06-01,0.43,0.65,0.42,0.42,1500,1.68
2010-05-24,0.55,0.64,0.40,0.52,14000,2.08
2010-05-17,0.60,0.77,0.55,0.55,6200,2.20
2010-05-10,0.39,0.60,0.37,0.60,23000,2.40
2010-05-03,0.39,0.51,0.37,0.38,6000,1.52
2010-04-26,0.40,0.53,0.40,0.51,1800,2.04
2010-04-19,0.40,0.48,0.40,0.40,100,1.60
2010-04-12,0.40,0.40,0.40,0.40,300,1.60
2010-04-05,0.45,0.48,0.38,0.40,700,1.60
2010-03-29,0.37,0.46,0.37,0.45,4100,1.80
2010-03-22,0.38,0.41,0.37,0.37,3600,1.48
2010-03-15,0.38,0.47,0.38,0.45,3000,1.80
2010-03-08,0.38,0.38,0.34,0.38,2300,1.52
2010-03-01,0.35,0.40,0.32,0.34,5400,1.36
2010-02-22,0.34,0.39,0.34,0.38,1100,1.52
2010-02-16,0.38,0.39,0.34,0.34,800,1.36
2010-02-08,0.32,0.38,0.32,0.38,2700,1.52
2010-02-01,0.39,0.39,0.32,0.32,2400,1.28
2010-01-25,0.33,0.39,0.33,0.39,8100,1.56
2010-01-19,0.35,0.38,0.33,0.33,400,1.32
2010-01-11,0.35,0.38,0.31,0.35,1900,1.40
2010-01-04,0.34,0.38,0.31,0.38,13000,1.52
2009-12-28,0.31,0.43,0.31,0.34,9200,1.36
2009-12-21,0.30,0.43,0.25,0.35,4800,1.40
2009-12-14,0.21,0.43,0.19,0.43,11900,1.72
2009-12-07,0.20,0.23,0.20,0.21,1400,0.84
2009-11-30,0.20,0.22,0.20,0.21,2300,0.84
2009-11-23,0.25,0.25,0.20,0.20,1300,0.80
2009-11-16,0.19,0.25,0.19,0.25,5000,1.00
2009-11-09,0.20,0.21,0.19,0.20,1800,0.80
2009-11-02,0.20,0.22,0.19,0.20,2700,0.80
2009-10-26,0.20,0.20,0.20,0.20,600,0.80
2009-10-19,0.20,0.25,0.20,0.22,5300,0.88
2009-10-12,0.22,0.22,0.19,0.20,900,0.80
2009-10-05,0.23,0.25,0.22,0.25,500,1.00
2009-09-28,0.25,0.25,0.23,0.23,1200,0.92
2009-09-21,0.28,0.28,0.25,0.28,14200,1.12
2009-09-14,0.26,0.35,0.26,0.27,2000,1.08
2009-09-08,0.20,0.25,0.20,0.25,700,1.00
2009-08-31,0.26,0.26,0.19,0.20,1100,0.80
2009-08-24,0.21,0.26,0.20,0.26,3300,1.04
2009-08-17,0.21,0.21,0.21,0.21,200,0.84
2009-08-10,0.18,0.21,0.18,0.21,000,0.84
2009-08-03,0.26,0.26,0.18,0.26,200,1.04
2009-07-27,0.22,0.26,0.16,0.26,1300,1.04
2009-07-20,0.22,0.22,0.22,0.22,500,0.88
2009-07-13,0.22,0.22,0.22,0.22,1100,0.88
2009-07-06,0.22,0.22,0.22,0.22,7100,0.88
2009-06-29,0.22,0.23,0.22,0.22,4200,0.88
2009-06-22,0.22,0.22,0.22,0.22,100,0.88
2009-06-15,0.23,0.23,0.22,0.22,500,0.88
2009-06-08,0.23,0.32,0.22,0.23,2300,0.92
2009-06-01,0.20,0.25,0.20,0.21,600,0.84
2009-05-26,0.30,0.30,0.20,0.25,2000,1.00
2009-05-18,0.17,0.30,0.16,0.30,000,1.20
2009-05-11,0.30,0.30,0.16,0.30,000,1.20
2009-05-04,0.20,0.30,0.20,0.30,800,1.20
2009-04-27,0.20,0.23,0.16,0.16,1100,0.64
2009-04-20,0.19,0.23,0.19,0.20,800,0.80
2009-04-13,0.20,0.20,0.19,0.19,1500,0.76
