Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,39.28,40.55,39.10,39.19,13200,39.19
2012-05-14,40.50,41.06,39.00,39.28,13300,39.28
2012-05-07,40.07,40.62,38.56,40.48,10700,40.48
2012-04-30,40.20,41.65,39.82,40.40,15700,40.40
2012-04-23,40.13,41.64,39.03,40.11,18000,40.11
2012-04-16,37.84,41.06,36.15,40.24,28100,40.02
2012-04-09,39.84,39.84,37.35,37.52,23900,37.31
2012-04-02,41.86,42.26,39.74,39.89,17000,39.67
2012-03-26,44.97,44.97,40.71,42.19,26300,41.96
2012-03-19,44.99,45.33,44.00,44.50,15800,44.03
2012-03-12,47.05,47.44,44.47,45.10,11100,44.63
2012-03-05,46.30,48.21,45.08,47.42,14500,46.92
2012-02-27,48.98,49.20,46.30,46.39,13500,45.90
2012-02-21,47.16,49.20,47.06,49.20,11500,48.47
2012-02-13,44.79,47.25,44.65,46.97,10500,46.27
2012-02-06,43.73,46.28,43.15,44.57,16600,43.90
2012-01-30,46.48,47.10,43.80,43.98,16100,43.32
2012-01-23,43.81,47.03,43.81,46.19,14400,45.50
2012-01-17,46.59,47.10,42.69,43.56,34200,42.66
2012-01-09,49.84,49.85,46.37,46.56,17900,45.60
2012-01-03,49.03,50.00,48.87,49.81,10000,48.79
2011-12-27,49.82,51.00,48.79,48.87,11200,47.86
2011-12-19,48.41,50.95,48.01,49.80,10600,48.58
2011-12-12,48.17,48.99,47.53,48.52,8400,47.33
2011-12-05,48.28,48.50,47.22,48.50,6100,47.31
2011-11-28,48.25,48.47,46.92,47.36,10300,46.20
2011-11-21,47.46,48.47,47.04,47.04,7000,45.65
2011-11-14,46.38,48.00,46.05,47.50,9600,46.09
2011-11-07,47.00,47.60,46.40,46.40,9500,45.02
2011-10-31,47.20,47.50,46.02,47.21,8000,45.81
2011-10-24,47.00,47.22,42.00,47.18,9100,45.78
2011-10-17,46.60,47.00,45.98,46.84,9900,45.22
2011-10-10,45.13,47.00,45.01,46.42,5600,44.81
2011-10-03,44.99,45.27,40.00,44.93,19200,43.38
2011-09-26,44.73,46.99,44.11,44.58,14100,43.04
2011-09-19,45.64,46.30,43.34,44.75,12900,42.95
2011-09-12,44.47,46.38,43.59,45.62,6700,43.79
2011-09-06,44.35,46.99,43.50,44.71,13000,42.92
2011-08-29,45.21,46.20,43.51,44.52,10100,42.73
2011-08-22,44.50,45.25,43.11,45.23,13800,43.17
2011-08-15,44.67,45.37,43.30,43.50,18100,41.52
2011-08-08,38.06,44.49,37.83,44.14,30600,42.13
2011-08-01,44.79,44.79,39.56,41.80,37800,39.90
2011-07-25,47.52,48.45,42.00,43.36,23800,41.38
2011-07-18,45.17,48.31,44.72,47.41,19100,44.93
2011-07-11,45.83,45.83,43.44,45.00,21400,42.65
2011-07-05,44.68,46.00,44.29,46.00,10300,43.60
2011-06-27,42.65,44.87,42.65,44.45,13700,42.13
2011-06-20,41.80,44.75,41.43,42.61,20800,40.09
2011-06-13,42.41,43.50,41.25,41.75,13800,39.28
2011-06-06,40.98,43.03,40.98,43.03,16100,40.48
2011-05-31,42.34,42.50,40.55,41.23,18200,38.79
2011-05-23,40.36,42.30,40.36,41.72,16900,39.25
2011-05-16,41.10,41.37,38.72,41.20,24700,38.55
2011-05-09,41.00,42.07,39.89,41.02,14100,38.38
2011-05-02,45.50,45.50,39.22,40.74,28100,38.12
2011-04-25,46.00,46.32,44.43,45.63,15600,42.69
2011-04-18,45.80,45.87,44.48,45.53,13500,42.42
2011-04-11,46.73,47.09,41.76,45.89,25600,42.76
2011-04-04,47.21,47.89,46.11,46.62,10500,43.44
2011-03-28,47.80,48.12,46.00,47.20,10200,43.98
2011-03-21,45.94,48.50,43.34,47.96,15800,44.46
2011-03-14,44.62,45.75,40.63,45.31,23700,42.00
2011-03-07,46.29,47.01,43.06,44.62,18000,41.36
2011-02-28,47.72,47.94,46.22,46.30,9600,42.92
2011-02-22,47.75,48.50,46.81,48.15,19700,44.63
2011-02-14,45.94,47.75,45.00,47.60,16800,43.92
2011-02-07,45.19,46.21,44.55,45.78,21800,42.24
2011-01-31,44.74,46.29,43.47,45.33,22600,41.83
2011-01-24,43.08,43.95,41.58,43.51,16500,40.15
2011-01-18,42.75,44.50,42.29,43.29,18100,39.71
2011-01-10,40.70,43.40,40.70,42.83,22800,39.29
2011-01-03,40.12,41.17,40.12,40.99,13300,37.60
2010-12-27,40.79,41.15,39.55,39.88,21200,36.59
2010-12-20,39.83,41.36,39.72,40.68,11400,37.10
2010-12-13,40.80,41.49,39.49,39.88,12300,36.37
2010-12-06,40.86,42.26,40.59,40.97,11100,37.37
2010-11-29,40.36,40.95,39.99,40.73,10900,37.15
2010-11-22,40.50,41.00,40.01,40.40,11000,36.85
2010-11-15,40.68,40.68,37.67,40.36,24100,36.64
2010-11-08,40.00,41.83,39.56,40.71,32300,36.96
2010-11-01,39.03,40.00,37.91,40.00,20800,36.31
2010-10-25,37.50,38.75,37.50,38.68,24300,35.12
2010-10-18,37.52,37.75,36.62,37.70,19700,34.00
2010-10-11,36.50,37.69,36.04,37.25,21000,33.59
2010-10-04,35.80,36.53,35.14,36.52,23700,32.94
2010-09-27,35.54,36.09,34.82,35.74,27600,32.23
2010-09-20,35.79,36.84,35.20,35.50,20800,31.80
2010-09-13,35.41,36.92,35.26,35.93,21000,32.19
2010-09-07,35.74,35.99,34.52,35.31,20800,31.63
2010-08-30,35.50,35.84,34.56,35.51,13600,31.81
2010-08-23,34.86,36.19,34.50,35.38,17600,31.70
2010-08-16,36.00,36.50,35.30,36.24,14900,32.27
2010-08-09,34.77,35.69,34.77,35.58,10800,31.68
2010-08-02,35.15,35.63,34.70,34.95,15600,31.12
2010-07-26,34.52,35.16,34.18,34.90,14000,31.08
2010-07-19,34.44,35.24,33.67,34.54,18100,30.56
2010-07-12,34.27,35.50,33.60,34.25,22600,30.30
2010-07-06,35.03,36.15,33.46,35.18,31500,31.12
2010-06-28,36.12,36.50,33.11,34.53,13900,30.55
2010-06-21,38.50,39.40,34.50,36.36,24700,31.97
2010-06-14,37.80,39.29,37.49,38.34,18200,33.71
2010-06-07,35.40,37.56,34.38,37.40,13600,32.89
2010-06-01,34.20,36.52,33.50,35.64,12400,31.34
2010-05-24,32.98,34.05,31.55,33.79,12700,29.71
2010-05-17,38.07,38.65,31.00,33.09,40800,28.88
2010-05-10,36.34,39.41,36.00,38.30,23500,33.43
2010-05-03,38.49,39.48,32.95,35.20,34900,30.73
2010-04-26,36.78,38.69,36.48,38.50,29300,33.61
2010-04-19,34.00,36.73,33.60,36.70,23300,31.79
2010-04-12,34.30,35.27,33.30,34.00,19000,29.45
2010-04-05,32.50,34.42,32.25,34.08,35800,29.52
2010-03-29,31.51,32.50,31.38,32.27,14800,27.95
2010-03-22,29.74,32.58,28.21,31.67,32700,27.21
2010-03-15,34.29,34.29,29.56,29.56,51700,25.40
2010-03-08,33.54,34.48,32.60,34.17,21000,29.36
2010-03-01,33.70,34.00,32.63,33.99,18000,29.20
2010-02-22,34.00,34.00,32.50,33.38,16800,28.68
2010-02-16,33.66,33.99,33.15,33.61,10000,28.70
2010-02-08,30.75,33.50,30.26,33.39,22600,28.51
2010-02-01,32.49,34.16,29.84,30.37,25800,25.94
2010-01-25,34.58,34.58,32.26,32.55,15700,27.80
2010-01-19,34.92,34.95,34.32,34.49,13600,29.26
2010-01-11,34.47,35.00,34.21,34.71,13000,29.44
2010-01-04,33.54,34.84,33.54,34.67,11000,29.41
2009-12-28,34.02,34.49,33.72,33.72,11800,28.60
2009-12-21,34.55,34.87,33.91,34.22,11600,28.88
2009-12-14,34.67,35.98,34.35,34.93,18500,29.48
2009-12-07,34.30,35.15,33.53,34.43,18100,29.05
2009-11-30,34.76,35.19,33.55,33.96,17900,28.66
2009-11-23,35.67,35.88,34.53,34.99,13400,29.53
2009-11-16,35.07,36.20,34.38,35.20,11900,29.54
2009-11-09,34.19,36.16,34.04,34.57,16100,29.01
2009-11-02,32.22,34.28,31.27,34.10,11900,28.62
2009-10-26,35.53,36.36,31.99,32.02,27600,26.87
2009-10-19,33.10,36.37,33.09,35.19,29800,29.34
2009-10-12,30.67,33.10,30.67,33.02,20300,27.53
2009-10-05,28.74,31.12,28.69,30.80,14800,25.68
2009-09-28,29.81,30.95,28.20,28.37,14200,23.66
2009-09-21,28.67,31.45,28.67,30.41,25700,25.20
2009-09-14,26.51,30.48,26.51,30.22,34000,25.04
2009-09-08,24.02,27.87,24.02,26.98,32500,22.35
2009-08-31,25.01,25.86,23.58,24.01,20000,19.89
2009-08-24,26.50,27.75,24.99,25.22,21600,20.90
