Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,4.64,4.78,4.37,4.37,8100,4.37
2012-05-14,4.50,4.88,4.45,4.57,10800,4.57
2012-05-07,4.84,4.90,4.42,4.43,12900,4.43
2012-04-30,4.88,5.01,4.70,4.94,50900,4.94
2012-04-23,4.95,5.01,4.77,4.86,12900,4.86
2012-04-16,4.91,5.00,4.63,4.95,13300,4.95
2012-04-09,4.75,4.93,4.51,4.90,10700,4.90
2012-04-02,4.85,4.99,4.50,4.85,11800,4.85
2012-03-26,4.59,4.94,4.37,4.94,48900,4.94
2012-03-19,4.25,4.78,4.15,4.60,11400,4.60
2012-03-12,4.00,4.23,3.90,4.23,9200,4.23
2012-03-05,3.76,4.00,3.67,3.98,9600,3.98
2012-02-27,3.73,3.90,3.62,3.81,3700,3.81
2012-02-21,3.95,4.01,3.63,3.71,5200,3.71
2012-02-13,3.86,4.09,3.79,3.79,10200,3.79
2012-02-06,3.59,3.98,3.45,3.85,5000,3.85
2012-01-30,3.48,3.79,3.42,3.63,4600,3.63
2012-01-23,3.68,3.68,3.37,3.51,13300,3.51
2012-01-17,3.68,3.68,3.34,3.63,5900,3.63
2012-01-09,3.33,3.80,3.14,3.66,7900,3.66
2012-01-03,3.40,3.42,3.17,3.35,2400,3.35
2011-12-27,3.35,3.55,3.20,3.41,15700,3.41
2011-12-19,3.14,3.39,2.87,3.32,27000,3.32
2011-12-12,3.00,3.30,2.93,3.15,41200,3.15
2011-12-05,2.99,3.10,2.81,3.10,13300,3.10
2011-11-28,3.01,3.09,2.80,2.99,23600,2.99
2011-11-21,2.97,3.04,2.84,3.02,17500,3.02
2011-11-14,2.73,3.09,2.62,3.02,86800,3.02
2011-11-07,3.20,3.32,2.73,2.90,273500,2.90
2011-10-31,3.53,3.78,3.20,3.35,49300,3.35
2011-10-24,3.92,3.92,3.47,3.52,15900,3.52
2011-10-17,3.50,3.66,3.38,3.54,10400,3.54
2011-10-10,3.75,3.99,3.50,3.67,15000,3.67
2011-10-03,3.65,4.02,3.55,3.83,2600,3.83
2011-09-26,3.67,4.04,3.35,3.63,6800,3.63
2011-09-19,3.90,3.91,3.63,3.76,2600,3.76
2011-09-12,3.94,4.11,3.83,4.08,1800,4.08
2011-09-06,3.94,4.15,3.81,3.99,2000,3.99
2011-08-29,3.84,4.19,3.79,3.93,7900,3.93
2011-08-22,4.17,4.21,3.76,3.82,14300,3.82
2011-08-15,4.34,4.45,4.10,4.20,6900,4.20
2011-08-08,4.50,4.78,4.17,4.25,17300,4.25
2011-08-01,5.25,5.42,4.42,4.67,16600,4.67
2011-07-25,5.51,5.51,5.08,5.36,5100,5.36
2011-07-18,5.50,5.59,5.22,5.52,7400,5.52
2011-07-11,5.54,5.79,5.10,5.49,6700,5.49
2011-07-05,5.79,6.00,5.63,5.72,5200,5.72
2011-06-27,5.45,5.75,5.44,5.74,11000,5.74
2011-06-20,5.71,5.73,5.29,5.53,5500,5.53
2011-06-13,4.91,5.75,4.91,5.46,14900,5.46
2011-06-06,5.64,5.66,5.01,5.35,11500,5.35
2011-05-31,5.61,5.67,5.20,5.67,7400,5.67
2011-05-23,5.44,5.77,5.44,5.61,2200,5.61
2011-05-16,5.79,6.00,5.25,5.60,14100,5.60
2011-05-09,6.07,6.44,5.90,6.03,16100,6.03
2011-05-02,6.60,7.00,6.08,6.44,21200,6.44
