Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,7.57,7.69,7.48,7.55,56200,7.55
2012-05-14,7.55,7.85,7.46,7.56,52400,7.56
2012-05-07,7.32,8.00,7.32,7.68,43400,7.68
2012-04-30,8.18,8.28,7.25,7.36,57600,7.36
2012-04-23,7.25,8.25,7.25,8.22,64300,8.22
2012-04-16,7.65,8.10,7.34,7.39,46300,7.39
2012-04-09,8.20,8.38,7.56,7.57,66700,7.57
2012-04-02,8.11,8.38,7.93,8.38,81000,8.38
2012-03-26,7.94,8.28,7.85,8.16,59500,8.16
2012-03-19,7.52,7.90,7.41,7.90,52900,7.90
2012-03-12,7.30,7.85,7.19,7.50,89100,7.50
2012-03-05,6.64,7.41,6.54,7.33,67900,7.32
2012-02-27,7.31,7.41,6.61,6.64,46700,6.63
2012-02-21,7.50,7.50,7.17,7.35,31900,7.34
2012-02-13,7.38,7.55,7.20,7.48,61600,7.47
2012-02-06,7.60,7.65,7.22,7.26,61300,7.25
2012-01-30,7.20,7.72,6.96,7.69,128500,7.68
2012-01-23,7.00,7.30,6.86,7.30,53200,7.29
2012-01-17,6.70,7.06,6.29,7.00,55300,6.99
2012-01-09,6.84,7.00,6.60,6.67,93000,6.66
2012-01-03,6.81,7.16,6.58,6.80,182500,6.79
2011-12-27,6.39,6.75,5.84,6.62,47300,6.61
2011-12-19,5.84,6.63,5.69,6.39,83400,6.38
2011-12-12,5.71,5.92,5.44,5.78,86400,5.77
2011-12-05,5.71,5.87,5.46,5.82,77100,5.80
2011-11-28,5.10,5.69,4.98,5.61,102000,5.59
2011-11-21,5.38,5.47,4.90,4.92,74500,4.90
2011-11-14,5.70,5.70,5.27,5.49,66700,5.47
2011-11-07,5.56,5.76,5.17,5.73,72600,5.71
2011-10-31,5.56,5.86,5.36,5.55,104700,5.53
2011-10-24,5.26,5.80,5.01,5.59,142700,5.57
2011-10-17,5.49,5.58,5.09,5.24,74500,5.22
2011-10-10,5.33,5.71,5.12,5.56,81900,5.54
2011-10-03,5.18,5.75,4.80,5.21,104700,5.19
2011-09-26,5.39,5.90,5.06,5.23,77900,5.21
2011-09-19,5.59,5.59,5.07,5.36,66100,5.34
2011-09-12,5.19,5.84,5.01,5.70,56800,5.68
2011-09-06,5.48,5.90,5.10,5.28,61900,5.25
2011-08-29,5.95,6.28,5.55,5.63,76300,5.60
2011-08-22,5.81,6.03,5.65,5.89,55900,5.86
2011-08-15,5.74,5.90,5.64,5.68,64700,5.65
2011-08-08,6.10,6.67,5.50,5.68,143100,5.65
2011-08-01,6.61,6.88,6.00,6.28,71200,6.25
2011-07-25,6.40,6.57,6.10,6.53,42300,6.50
2011-07-18,6.84,6.90,6.21,6.50,42900,6.47
2011-07-11,6.68,6.92,6.37,6.85,39100,6.82
2011-07-05,6.88,7.00,6.43,6.75,46100,6.72
2011-06-27,6.41,7.05,6.36,6.90,78200,6.87
2011-06-20,6.21,6.55,6.21,6.37,125000,6.34
2011-06-13,6.13,6.57,6.01,6.24,70900,6.21
2011-06-06,6.51,6.62,6.00,6.00,45400,5.96
2011-05-31,6.63,7.04,6.35,6.52,67500,6.48
2011-05-23,5.74,6.71,5.74,6.57,80700,6.53
2011-05-16,5.69,5.95,5.54,5.79,67000,5.75
2011-05-09,5.60,5.94,5.55,5.69,64800,5.65
2011-05-02,6.23,6.30,5.54,5.62,51900,5.58
2011-04-25,6.35,6.50,5.87,6.22,98800,6.18
2011-04-18,6.32,6.45,6.13,6.35,60700,6.31
2011-04-11,6.63,6.69,6.31,6.39,55700,6.35
2011-04-04,7.02,7.02,6.60,6.60,56700,6.56
2011-03-28,7.09,7.15,6.77,7.00,42600,6.95
2011-03-21,7.05,7.20,6.90,7.02,32500,6.97
2011-03-14,6.68,7.14,6.53,7.00,85200,6.95
2011-03-07,7.05,7.09,6.73,6.76,50700,6.72
2011-02-28,7.38,7.38,6.94,7.01,49900,6.95
2011-02-22,7.03,7.36,7.00,7.32,53500,7.26
2011-02-14,7.12,7.28,6.97,7.10,59400,7.04
2011-02-07,7.93,7.93,7.03,7.15,270100,7.09
2011-01-31,7.39,8.05,7.22,7.95,88000,7.89
2011-01-24,7.31,7.93,7.19,7.34,58000,7.28
2011-01-18,8.00,8.10,7.29,7.29,47100,7.23
2011-01-10,7.53,8.23,7.37,8.09,71700,8.02
2011-01-03,8.01,8.18,7.57,7.60,114100,7.54
2010-12-27,8.09,8.25,7.92,7.92,71200,7.86
2010-12-20,7.72,8.19,7.71,8.09,95000,8.02
2010-12-13,7.95,8.00,7.62,7.66,100000,7.60
2010-12-06,7.77,8.11,7.62,7.97,66900,7.90
2010-11-29,6.76,7.83,6.75,7.81,99600,7.74
2010-11-22,6.43,6.90,6.30,6.80,73000,6.74
2010-11-15,7.14,7.16,6.24,6.44,89500,6.38
2010-11-08,7.00,7.31,6.76,7.11,65100,7.04
2010-11-01,7.45,7.57,6.82,7.04,140000,6.97
2010-10-25,8.65,8.79,7.29,7.40,115500,7.33
2010-10-18,9.19,9.49,8.35,8.60,58700,8.52
2010-10-11,9.23,9.83,8.91,9.20,72400,9.11
2010-10-04,8.45,9.35,8.23,9.26,64300,9.17
2010-09-27,8.73,8.94,8.45,8.49,52600,8.41
2010-09-20,8.67,9.13,8.29,8.70,55300,8.62
2010-09-13,8.76,9.00,8.32,8.63,64600,8.55
2010-09-07,9.04,9.23,8.63,8.68,43300,8.59
2010-08-30,8.43,9.16,8.25,9.12,86500,9.02
2010-08-23,8.08,8.69,7.92,8.39,65300,8.30
2010-08-16,8.09,8.34,7.84,7.92,65300,7.84
2010-08-09,8.56,8.82,8.03,8.15,74600,8.06
2010-08-02,8.92,9.02,8.29,8.50,91900,8.41
2010-07-26,8.89,9.28,8.78,8.82,184000,8.73
2010-07-19,9.59,9.71,8.44,8.80,305700,8.71
2010-07-12,9.85,10.00,9.25,9.32,85300,9.22
2010-07-06,9.95,10.14,9.75,9.88,110800,9.78
2010-06-28,10.92,11.00,9.75,9.86,71000,9.76
2010-06-21,11.10,11.12,10.45,11.00,249500,10.88
2010-06-14,11.09,11.25,10.68,11.00,67300,10.88
2010-06-07,10.73,11.30,10.60,11.00,61600,10.88
2010-06-01,11.51,11.66,10.59,10.72,79100,10.60
2010-05-24,11.09,11.68,10.32,11.57,84200,11.44
2010-05-17,11.76,12.00,10.68,11.13,79400,11.00
2010-05-10,12.08,12.19,11.52,11.68,84800,11.55
2010-05-03,12.06,12.09,11.34,11.67,123100,11.54
2010-04-26,12.90,12.90,11.99,12.03,124700,11.89
2010-04-19,12.97,13.86,12.54,13.29,76200,13.14
2010-04-12,12.95,13.25,12.57,13.07,70400,12.92
2010-04-05,12.30,13.00,12.26,12.95,69700,12.80
2010-03-29,12.55,12.73,11.93,12.17,73100,12.03
2010-03-22,12.34,12.98,12.30,12.56,65000,12.42
2010-03-15,11.81,12.51,11.78,12.49,93500,12.35
2010-03-08,11.51,11.90,11.42,11.81,77300,11.68
2010-03-01,10.80,11.51,10.46,11.51,91500,11.37
2010-02-22,10.75,11.24,10.44,10.73,88000,10.60
2010-02-16,10.80,11.04,10.30,10.67,44700,10.54
2010-02-08,10.96,10.96,9.85,10.69,91800,10.56
2010-02-01,11.01,11.11,10.37,11.00,87500,10.87
2010-01-25,11.73,11.74,10.08,11.06,104900,10.92
2010-01-19,11.06,11.75,10.92,11.64,90200,11.50
2010-01-11,10.98,11.50,10.80,11.01,65600,10.88
2010-01-04,10.26,11.25,10.04,10.86,137500,10.73
2009-12-28,10.50,10.50,10.01,10.09,49100,9.97
2009-12-21,10.30,10.92,9.84,10.45,70300,10.32
2009-12-14,9.85,10.40,9.47,10.30,139600,10.17
2009-12-07,9.50,10.22,9.40,9.85,84900,9.73
2009-11-30,7.95,9.71,7.75,9.53,157700,9.40
2009-11-23,8.84,8.97,7.98,7.98,56200,7.87
2009-11-16,8.50,8.80,8.29,8.67,146600,8.56
2009-11-09,7.50,8.73,7.46,8.64,157600,8.53
2009-11-02,7.59,7.72,6.86,7.35,62000,7.25
2009-10-26,7.31,7.72,6.92,7.53,140400,7.43
2009-10-19,7.43,7.93,7.07,7.29,117800,7.19
2009-10-12,7.52,7.76,7.29,7.41,52700,7.31
2009-10-05,7.72,8.23,7.41,7.45,117700,7.35
2009-09-28,7.93,8.07,7.60,7.67,113400,7.57
2009-09-21,7.81,8.28,7.75,7.89,86200,7.79
2009-09-14,8.10,8.10,7.49,7.94,75100,7.83
2009-09-08,7.98,8.25,7.64,8.19,81800,8.08
2009-08-31,8.22,8.58,7.80,7.92,261400,7.81
2009-08-24,8.45,8.89,7.86,8.43,202100,8.31
2009-08-17,8.15,8.38,7.50,8.32,109200,8.20
2009-08-10,8.09,8.45,7.62,8.33,199100,8.21
2009-08-03,6.96,7.88,6.93,7.53,217200,7.42
2009-07-27,8.56,9.13,6.77,6.99,466700,6.89
2009-07-20,8.99,9.39,8.30,9.02,17100,8.89
2009-07-13,7.30,9.39,7.00,8.90,33700,8.77
2009-07-06,7.67,7.80,6.50,7.28,27300,7.17
2009-06-29,7.87,8.32,7.33,7.69,25600,7.58
2009-06-22,8.72,8.72,7.32,7.87,71000,7.76
2009-06-15,9.60,9.60,8.54,8.79,26800,8.66
2009-06-08,9.75,10.21,9.29,9.58,22800,9.44
2009-06-01,9.23,10.22,9.00,9.59,24100,9.44
2009-05-26,9.60,10.20,8.75,9.04,42300,8.90
2009-05-18,10.08,11.41,9.03,9.25,30200,9.11
2009-05-11,12.62,12.62,10.08,10.09,19400,9.93
2009-05-04,11.16,12.06,10.50,11.98,17300,11.79
2009-04-27,11.46,12.50,10.51,10.73,20900,10.56
2009-04-20,12.33,12.58,11.00,11.69,15100,11.51
2009-04-13,11.94,12.94,11.30,12.66,19700,12.46
2009-04-06,11.61,12.30,10.47,12.14,15400,11.95
2009-03-30,11.07,12.63,9.79,12.25,22200,12.06
2009-03-23,10.35,12.85,10.05,11.43,18800,11.25
2009-03-16,10.23,11.15,9.54,10.14,22300,9.98
2009-03-09,7.75,11.56,7.01,10.09,42700,9.93
2009-03-02,11.21,11.68,6.21,7.77,29800,7.61
2009-02-23,12.05,14.57,10.66,11.39,13300,11.16
2009-02-17,13.60,14.10,11.75,11.97,19600,11.73
2009-02-09,15.83,15.83,13.49,14.16,6500,13.87
2009-02-02,13.48,16.37,13.48,15.95,15000,15.63
2009-01-26,13.89,14.96,13.15,13.64,7300,13.36
2009-01-20,14.08,15.27,12.96,13.94,16700,13.66
2009-01-12,14.80,15.08,14.00,14.36,11100,14.07
2009-01-05,17.00,17.15,14.71,14.82,8300,14.52
2008-12-29,16.55,17.00,15.63,16.94,12000,16.60
2008-12-22,16.84,17.00,14.81,16.94,7500,16.60
2008-12-15,15.64,16.98,15.04,16.89,27400,16.55
2008-12-08,15.72,16.30,14.01,15.64,12900,15.32
2008-12-01,16.05,16.30,12.81,15.19,11200,14.84
2008-11-24,15.00,16.73,14.46,16.55,16100,16.17
2008-11-17,15.71,15.71,13.31,15.02,11400,14.68
2008-11-10,16.45,16.99,14.79,15.02,17500,14.68
2008-11-03,17.25,17.35,15.00,16.15,7900,15.78
2008-10-27,14.60,17.50,13.94,17.50,13600,17.10
2008-10-20,17.43,17.80,14.05,14.75,13000,14.41
2008-10-13,16.86,18.00,15.49,17.43,25700,17.03
2008-10-06,16.84,17.50,13.00,16.99,21700,16.60
2008-09-29,17.50,18.00,16.01,16.81,14000,16.43
2008-09-22,17.00,17.50,15.21,17.40,20300,17.00
2008-09-15,15.92,17.50,13.22,17.25,53100,16.86
2008-09-08,14.99,16.71,14.86,15.95,26600,15.59
2008-09-02,14.96,15.00,14.00,14.50,4700,14.13
2008-08-25,14.27,15.12,13.72,14.29,5600,13.93
2008-08-18,15.72,15.95,14.10,14.26,6100,13.90
2008-08-11,14.94,15.95,14.21,15.80,15900,15.40
2008-08-04,13.55,15.00,13.25,15.00,12400,14.62
2008-07-28,13.43,14.13,13.12,14.00,10200,13.65
2008-07-21,12.54,13.80,12.12,13.50,10100,13.16
2008-07-14,11.51,13.00,11.00,12.66,13000,12.34
2008-07-07,11.54,11.99,11.01,11.52,15800,11.23
2008-06-30,12.01,12.06,9.70,11.69,35800,11.40
2008-06-23,12.97,13.63,11.84,11.84,167600,11.54
2008-06-16,13.79,13.80,12.96,13.18,5400,12.85
2008-06-09,13.28,13.80,13.00,13.64,4300,13.30
2008-06-02,13.48,13.78,13.03,13.11,2100,12.74
2008-05-27,13.32,14.20,13.05,14.20,7100,13.80
2008-05-19,13.87,13.90,13.25,13.90,5700,13.51
2008-05-12,13.90,13.98,13.60,13.60,3700,13.22
2008-05-05,14.34,14.34,13.80,13.90,3600,13.51
2008-04-28,13.00,14.33,12.97,13.86,2700,13.47
2008-04-21,13.21,14.07,12.91,13.08,9100,12.71
2008-04-14,13.21,13.80,13.21,13.37,3000,12.99
2008-04-07,13.31,13.80,13.18,13.21,1000,12.84
2008-03-31,13.43,13.79,12.80,13.35,900,12.98
2008-03-24,13.95,13.95,12.77,13.01,3600,12.64
2008-03-17,13.85,14.00,13.40,14.00,2800,13.61
2008-03-10,13.54,15.24,12.52,13.85,5400,13.46
2008-03-03,13.35,13.45,12.87,13.13,2100,12.72
2008-02-25,15.69,15.69,13.13,13.41,3100,13.00
2008-02-19,16.33,16.75,15.40,15.40,1700,14.92
2008-02-11,16.91,17.61,16.41,16.41,6100,15.90
2008-02-04,14.59,17.50,14.59,16.94,7300,16.42
2008-01-28,13.99,15.00,13.35,14.48,12100,14.03
2008-01-22,12.77,14.48,12.25,13.68,8600,13.26
2008-01-14,12.73,13.56,12.27,12.75,8600,12.36
2008-01-07,12.86,13.00,12.12,12.53,6500,12.14
2007-12-31,12.19,13.41,12.10,12.85,6300,12.45
2007-12-24,12.35,12.80,12.07,12.13,5200,11.76
2007-12-17,13.95,13.95,11.96,12.40,15300,12.02
2007-12-10,12.43,14.32,12.43,13.95,7100,13.52
2007-12-03,12.32,12.40,12.05,12.21,9500,11.80
2007-11-26,12.33,12.61,12.26,12.47,3700,12.05
2007-11-19,11.99,12.27,11.75,12.27,19500,11.85
2007-11-12,12.44,12.49,12.00,12.25,15100,11.84
2007-11-05,13.53,13.94,12.10,12.20,28600,11.79
2007-10-29,14.50,14.50,13.51,13.66,7600,13.20
2007-10-22,14.35,15.03,14.04,14.54,4300,14.05
2007-10-15,15.42,15.69,14.65,14.65,13200,14.15
2007-10-08,15.62,15.69,15.31,15.60,4100,15.07
2007-10-01,15.85,16.10,15.45,15.94,12100,15.40
2007-09-24,16.55,16.80,15.55,15.99,6800,15.45
2007-09-17,16.68,17.69,16.25,16.61,5700,16.01
2007-09-10,16.62,17.00,16.40,16.90,4500,16.29
2007-09-04,16.42,16.72,16.31,16.60,3900,16.00
2007-08-27,17.45,17.49,16.45,16.45,7400,15.85
2007-08-20,16.82,17.43,16.55,17.43,7800,16.80
2007-08-13,17.50,17.50,16.51,16.57,8000,15.97
2007-08-06,16.75,17.83,15.36,17.72,13000,17.08
2007-07-30,16.85,17.05,16.50,16.53,9900,15.93
2007-07-23,17.77,17.77,16.71,16.86,10000,16.25
2007-07-16,18.05,18.19,17.55,17.55,9800,16.91
2007-07-09,17.96,18.32,17.70,18.04,11700,17.39
2007-07-02,18.47,18.52,17.64,18.12,6300,17.46
2007-06-25,18.22,19.56,17.66,18.09,21200,17.43
2007-06-18,17.61,18.41,17.11,18.41,181100,17.74
2007-06-11,17.27,17.70,16.60,17.57,39000,16.93
2007-06-04,16.93,17.60,16.37,17.35,22400,16.69
2007-05-29,17.00,17.32,16.45,16.92,12300,16.27
2007-05-21,16.50,17.94,16.35,16.91,20300,16.26
2007-05-14,16.98,17.03,16.24,16.53,36400,15.90
2007-05-07,18.38,18.41,16.90,17.00,25300,16.35
2007-04-30,17.75,18.40,17.48,17.52,19500,16.85
