Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,51.30,53.40,50.80,53.22,336200,53.22
2012-05-14,54.00,55.04,51.23,51.38,328100,51.20
2012-05-07,53.96,55.80,53.29,54.65,243500,54.46
2012-04-30,55.61,56.67,53.84,54.21,410500,54.02
2012-04-23,49.50,56.60,48.82,55.62,811200,55.43
2012-04-16,50.19,51.51,49.45,50.46,258800,50.28
2012-04-09,50.82,51.37,48.68,49.77,213800,49.60
2012-04-02,49.84,52.89,49.73,51.83,292400,51.65
2012-03-26,50.28,50.76,49.44,49.92,193500,49.75
2012-03-19,50.33,51.03,48.29,49.56,151100,49.39
2012-03-12,48.91,51.19,48.52,50.66,345800,50.48
2012-03-05,49.12,49.60,47.17,48.92,230300,48.75
2012-02-27,49.29,50.12,48.51,49.32,244600,49.15
2012-02-21,49.42,50.99,49.06,49.78,281300,49.61
2012-02-13,48.25,49.30,46.69,49.16,260200,48.99
2012-02-06,49.15,49.78,47.48,47.67,218800,47.32
2012-01-30,47.82,50.00,46.90,49.56,446200,49.20
2012-01-23,48.33,49.51,47.57,48.32,236100,47.97
2012-01-17,47.44,49.86,46.62,48.43,339600,48.08
2012-01-09,46.85,48.13,46.15,47.34,260500,47.00
2012-01-03,45.63,47.20,44.97,46.83,280300,46.49
2011-12-27,44.55,45.19,43.60,44.30,125800,43.98
2011-12-19,43.25,44.97,41.89,44.74,153400,44.42
2011-12-12,43.27,44.33,40.88,42.97,357600,42.66
2011-12-05,45.37,45.37,42.32,43.90,350600,43.58
2011-11-28,41.29,45.33,41.26,43.74,439100,43.42
2011-11-21,42.22,42.30,39.61,39.73,196800,39.44
2011-11-14,43.17,44.82,42.30,43.07,333100,42.76
2011-11-07,42.10,43.99,40.92,43.43,384700,43.11
2011-10-31,43.06,43.10,39.70,42.14,281200,41.66
2011-10-24,39.77,44.60,38.00,43.39,408800,42.90
2011-10-17,38.55,39.62,37.12,39.56,234600,39.11
2011-10-10,36.08,39.25,35.97,38.91,323300,38.47
2011-10-03,31.68,36.18,29.88,35.33,368200,34.93
2011-09-26,32.01,34.46,30.81,31.88,381600,31.52
2011-09-19,36.33,36.63,31.08,31.70,361900,31.34
2011-09-12,34.33,38.61,34.22,37.15,250600,36.73
2011-09-06,35.03,36.73,34.56,34.89,384400,34.49
2011-08-29,36.98,39.73,36.16,36.34,312700,35.93
2011-08-22,34.22,36.77,33.08,36.30,350900,35.89
2011-08-15,37.25,38.24,33.18,33.22,442600,32.84
2011-08-08,35.73,36.84,33.55,36.84,782000,36.24
2011-08-01,43.91,44.04,35.73,37.02,679800,36.42
2011-07-25,48.48,48.90,42.65,43.23,743800,42.53
2011-07-18,47.32,49.73,46.49,48.99,259100,48.20
2011-07-11,49.03,49.10,46.66,47.46,263100,46.69
2011-07-05,50.07,50.40,49.12,49.75,246600,48.95
2011-06-27,47.40,50.15,47.31,50.09,324500,49.28
2011-06-20,46.50,49.06,46.29,47.43,385000,46.66
2011-06-13,45.08,46.92,44.82,46.48,247000,45.73
2011-06-06,44.77,46.18,44.13,45.75,327600,45.01
2011-05-31,48.78,48.99,44.78,44.86,387300,44.13
2011-05-23,47.44,48.41,46.37,48.30,226500,47.52
2011-05-16,48.74,49.23,47.21,48.15,193600,47.37
2011-05-09,49.60,50.60,48.70,49.00,331500,48.04
2011-05-02,49.60,50.26,48.30,49.69,488700,48.72
2011-04-25,43.41,49.66,42.54,49.54,589000,48.57
2011-04-18,43.10,43.89,42.01,43.53,188200,42.68
2011-04-11,45.00,45.35,43.41,43.62,158000,42.77
2011-04-04,45.28,46.48,44.79,44.93,188800,44.05
2011-03-28,43.17,45.21,43.01,45.15,211500,44.27
2011-03-21,42.80,43.84,42.34,42.98,214200,42.14
2011-03-14,41.29,42.59,40.00,42.23,219100,41.40
2011-03-07,42.95,43.20,41.18,41.85,187800,41.03
2011-02-28,43.35,43.80,42.01,42.63,241500,41.79
2011-02-22,44.97,45.03,41.33,43.18,411600,42.33
2011-02-14,42.98,45.92,42.84,45.56,502500,44.67
2011-02-07,38.38,43.90,37.96,42.06,704800,41.07
2011-01-31,37.23,38.99,37.23,38.85,323000,37.94
2011-01-24,39.63,40.09,37.08,37.36,344200,36.48
2011-01-18,40.62,41.59,39.56,39.63,296600,38.70
2011-01-10,39.85,41.68,39.70,40.77,193500,39.81
2011-01-03,40.08,41.02,39.66,40.12,238300,39.18
2010-12-27,40.39,41.01,39.67,39.74,143600,38.81
2010-12-20,40.73,41.02,40.41,40.50,207800,39.55
2010-12-13,40.00,41.07,39.58,40.61,360600,39.66
2010-12-06,38.44,39.92,38.44,39.87,283600,38.93
2010-11-29,37.17,38.37,36.27,38.28,301700,37.38
2010-11-22,36.48,37.57,36.11,37.41,237100,36.53
2010-11-15,36.39,36.74,35.17,36.71,302900,35.85
2010-11-08,36.43,37.11,35.20,36.28,467600,35.43
2010-11-01,35.16,36.82,34.57,36.74,437200,35.71
2010-10-25,34.54,35.28,33.68,35.07,648000,34.09
2010-10-18,32.67,34.41,31.96,34.39,496500,33.42
2010-10-11,31.74,32.77,31.20,32.72,593200,31.80
2010-10-04,30.22,32.11,30.00,31.78,627200,30.89
2010-09-27,28.95,30.80,28.39,30.38,440900,29.53
2010-09-20,29.46,29.83,28.19,28.88,411800,28.07
2010-09-13,30.08,30.40,28.83,29.31,381300,28.49
2010-09-07,30.16,30.22,29.06,29.81,247600,28.97
2010-08-30,29.36,30.54,27.97,30.21,453400,29.36
2010-08-23,29.98,30.18,28.73,29.50,401100,28.67
2010-08-16,30.05,31.05,29.44,29.90,427900,29.06
2010-08-09,33.03,33.03,29.37,30.21,795500,29.36
2010-08-02,34.17,34.75,31.61,32.75,541000,31.65
2010-07-26,38.92,39.49,32.91,33.68,952700,32.55
2010-07-19,36.00,38.90,35.33,38.80,244800,37.50
2010-07-12,37.08,37.71,36.04,36.06,292400,34.85
2010-07-06,35.68,37.34,34.91,37.30,358500,36.05
2010-06-28,38.46,38.55,35.03,35.45,397700,34.26
2010-06-21,40.29,40.67,37.66,38.39,488500,37.10
2010-06-14,39.10,40.34,38.67,39.91,271200,38.57
2010-06-07,38.46,38.92,36.76,38.87,408800,37.56
2010-06-01,38.66,40.39,38.22,38.35,460800,37.06
2010-05-24,37.90,39.49,36.73,38.89,529500,37.58
2010-05-17,40.40,41.15,37.01,38.13,715100,36.85
2010-05-10,37.36,40.77,37.36,40.35,490900,38.84
2010-05-03,37.90,39.00,36.05,36.50,535000,35.13
2010-04-26,41.13,41.74,37.71,37.73,773700,36.32
2010-04-19,38.55,41.14,38.25,41.08,237300,39.54
2010-04-12,38.28,39.34,37.76,38.76,271300,37.31
2010-04-05,38.50,39.21,37.87,38.16,275800,36.73
2010-03-29,38.46,38.70,38.08,38.38,252700,36.94
2010-03-22,37.27,39.22,37.03,38.30,365600,36.86
2010-03-15,37.33,38.57,37.03,37.58,273900,36.17
2010-03-08,36.18,37.43,36.16,37.28,358100,35.88
2010-03-01,34.43,36.09,34.19,36.03,295800,34.68
2010-02-22,34.83,34.99,34.07,34.30,292000,33.01
2010-02-16,34.86,35.05,34.23,34.70,213000,33.40
2010-02-08,34.26,34.92,33.49,34.51,306600,33.07
2010-02-01,33.69,36.73,33.65,34.25,707500,32.82
2010-01-25,35.24,35.40,33.43,33.52,297700,32.12
2010-01-19,35.83,36.80,34.82,34.92,214600,33.46
