Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,12.67,13.45,12.67,13.25,12700,13.25
2012-05-14,13.90,14.01,12.59,12.59,7200,12.59
2012-05-07,14.80,14.91,13.41,14.45,15500,14.45
2012-04-30,14.68,15.40,14.00,14.91,6400,14.62
2012-04-23,12.69,15.10,12.43,15.00,13300,14.71
2012-04-16,13.53,13.53,12.65,12.65,1900,12.40
2012-04-09,13.54,14.18,13.15,13.60,8900,13.33
2012-04-02,14.72,14.79,13.66,13.67,4000,13.40
2012-03-26,15.62,15.62,14.53,14.68,4800,14.39
2012-03-19,16.31,16.38,15.14,15.43,2600,15.13
2012-03-12,15.79,16.30,15.48,16.19,6000,15.87
2012-03-05,15.01,15.40,14.26,15.31,6600,15.01
2012-02-27,15.56,16.39,15.20,15.21,6000,14.91
2012-02-21,16.00,16.45,15.35,15.58,15100,15.27
2012-02-13,14.91,15.03,14.23,14.38,42800,14.10
2012-02-06,14.75,15.22,14.54,14.75,7300,14.46
2012-01-30,14.27,15.02,14.22,15.00,30200,14.71
2012-01-23,14.12,14.73,13.81,14.60,27300,14.31
2012-01-17,13.00,14.08,12.27,14.00,17700,13.73
2012-01-09,11.60,12.31,11.49,12.31,33200,12.07
2012-01-03,11.71,11.87,11.40,11.57,15400,11.34
2011-12-27,11.09,12.22,10.82,11.43,65700,11.21
2011-12-19,11.16,11.36,10.94,11.17,29400,10.95
2011-12-12,11.55,11.76,11.09,11.15,43000,10.93
2011-12-05,10.81,10.95,10.24,10.42,22000,10.22
2011-11-28,10.22,10.93,10.14,10.42,41000,10.22
2011-11-21,10.31,10.31,9.35,9.69,22600,9.50
2011-11-14,11.96,11.97,10.72,10.76,33900,10.55
2011-11-07,11.00,12.00,10.70,11.90,60100,11.67
2011-10-31,11.52,11.60,10.80,11.05,101000,10.83
2011-10-24,11.66,12.20,11.16,11.74,42000,11.51
2011-10-17,12.03,12.15,10.90,11.45,15000,11.23
2011-10-10,11.80,12.20,10.62,12.00,28000,11.76
2011-10-03,12.82,13.23,11.21,11.81,18000,11.58
2011-09-26,13.83,14.51,12.95,12.98,18700,12.73
2011-09-19,15.30,15.30,13.34,13.53,32500,13.26
2011-09-12,14.00,17.24,13.90,14.95,17700,14.66
