Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,12.65,12.78,11.51,11.57,118800,11.57
2012-05-14,13.00,13.22,12.02,12.35,70500,12.35
2012-05-07,13.43,13.88,12.35,13.00,218500,13.00
2012-04-30,12.31,13.37,12.25,12.80,154900,12.80
2012-04-23,12.07,12.43,12.06,12.25,44600,12.25
2012-04-16,12.60,12.60,12.05,12.36,103700,12.36
2012-04-09,12.00,12.75,12.00,12.44,78200,12.44
2012-04-02,11.84,12.39,11.60,12.32,62600,12.32
2012-03-26,11.11,12.33,11.00,11.62,212500,11.62
2012-03-22,10.99,11.56,10.70,11.01,2862800,11.01
