Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,4.90,5.03,4.85,4.88,1600,4.88
2012-05-14,4.85,5.05,4.79,5.01,200,5.01
2012-05-07,4.81,5.09,4.49,4.85,7800,4.85
2012-04-30,4.90,5.00,4.70,4.70,800,4.70
2012-04-23,4.88,4.89,4.78,4.85,500,4.85
2012-04-16,4.51,4.88,4.51,4.88,500,4.88
2012-04-09,4.64,4.94,4.64,4.70,1600,4.70
2012-04-02,4.83,4.95,4.49,4.83,4800,4.83
2012-03-26,4.39,5.02,4.35,5.02,6900,5.02
2012-03-19,4.48,4.54,4.45,4.45,2400,4.45
2012-03-12,4.43,4.65,4.42,4.50,800,4.50
2012-03-05,4.63,4.63,4.50,4.50,100,4.50
2012-02-27,4.46,4.77,4.28,4.48,2100,4.48
2012-02-21,4.85,4.99,4.40,4.62,2000,4.62
2012-02-13,4.95,4.99,4.36,4.91,3000,4.91
2012-02-06,4.72,4.88,4.71,4.85,300,4.85
2012-01-30,4.72,5.00,4.06,4.87,1500,4.87
2012-01-23,4.78,4.99,4.78,4.99,100,4.99
2012-01-17,5.00,5.00,4.70,4.78,1700,4.78
2012-01-09,5.05,5.05,4.89,4.97,800,4.97
2012-01-03,4.51,5.15,4.30,5.05,5900,5.05
2011-12-27,4.51,4.67,4.37,4.38,1600,4.38
2011-12-19,4.72,4.78,4.12,4.51,2400,4.51
2011-12-12,5.02,5.72,4.66,4.86,8800,4.86
2011-12-05,5.06,5.38,4.56,5.24,2100,5.24
2011-11-28,4.80,5.25,4.29,5.00,4900,5.00
2011-11-21,4.28,5.11,3.99,4.81,2900,4.81
2011-11-14,4.50,4.55,4.11,4.48,1700,4.48
2011-11-07,4.73,5.45,4.52,4.77,2600,4.77
2011-10-31,4.42,4.73,4.15,4.70,1300,4.70
2011-10-24,4.17,4.59,4.05,4.51,3600,4.51
2011-10-17,4.19,4.33,3.98,4.19,4100,4.19
2011-10-10,4.31,4.31,4.25,4.30,200,4.30
2011-10-03,4.11,4.31,3.80,4.31,1600,4.31
