Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,7.13,7.35,7.11,7.28,556900,7.28
2012-05-14,7.56,7.66,7.09,7.14,560600,7.14
2012-05-07,7.69,7.89,7.54,7.70,304800,7.65
2012-04-30,7.81,8.05,7.68,7.74,464400,7.69
2012-04-23,7.40,7.88,7.34,7.85,356200,7.80
2012-04-16,7.26,7.68,7.19,7.58,533700,7.54
2012-04-09,7.42,7.46,7.07,7.20,526100,7.16
2012-04-02,7.56,7.78,7.52,7.57,489100,7.53
2012-03-26,7.51,7.74,7.42,7.58,416700,7.54
2012-03-19,7.51,7.74,7.31,7.43,478400,7.39
2012-03-12,7.28,7.58,7.22,7.53,502700,7.49
2012-03-05,7.26,7.48,7.16,7.26,608400,7.22
2012-02-27,7.44,7.52,7.25,7.29,486100,7.25
2012-02-21,7.47,7.56,7.16,7.48,545300,7.44
2012-02-13,7.60,7.66,7.33,7.43,454700,7.39
2012-02-06,7.76,7.81,7.44,7.47,460600,7.43
2012-01-30,7.31,7.78,7.14,7.77,643500,7.68
2012-01-23,7.08,7.47,7.00,7.37,625700,7.28
2012-01-17,6.85,7.08,6.78,7.07,574900,6.99
2012-01-09,6.55,6.84,6.43,6.77,863400,6.69
2012-01-03,6.58,6.64,6.37,6.50,625400,6.42
2011-12-27,6.48,6.60,6.39,6.41,381400,6.34
2011-12-19,6.19,6.56,5.87,6.52,1191100,6.44
2011-12-12,6.00,6.18,5.77,6.14,3334000,6.07
2011-12-05,5.96,6.20,5.82,6.05,784800,5.98
2011-11-28,5.61,6.01,5.48,5.88,816700,5.77
2011-11-21,5.99,6.00,5.40,5.40,435800,5.30
2011-11-14,6.47,6.54,6.05,6.08,391800,5.96
2011-11-07,6.66,6.85,6.20,6.52,454200,6.39
2011-10-31,6.60,6.83,6.17,6.67,560300,6.54
2011-10-24,6.17,6.76,6.02,6.70,707300,6.57
2011-10-17,5.78,6.15,5.64,6.15,651700,6.03
2011-10-10,5.55,5.94,5.49,5.86,622700,5.75
2011-10-03,5.81,5.90,5.25,5.41,870300,5.31
2011-09-26,6.09,6.35,5.84,5.85,631200,5.74
2011-09-19,6.50,6.53,5.73,6.00,702800,5.88
2011-09-12,6.23,6.68,6.23,6.65,623000,6.52
2011-09-06,6.36,6.86,6.28,6.38,704400,6.26
2011-08-29,6.71,7.28,6.54,6.54,900200,6.41
2011-08-22,6.90,7.04,6.45,6.66,802000,6.53
2011-08-15,7.19,7.50,6.63,6.72,841100,6.59
2011-08-08,6.79,7.27,6.12,7.13,1394200,6.99
2011-08-01,8.60,8.71,7.10,7.12,798800,6.93
2011-07-25,8.94,9.04,8.33,8.51,441800,8.29
2011-07-18,8.62,9.13,8.45,9.05,536800,8.81
2011-07-11,8.99,9.03,8.54,8.66,560300,8.43
2011-07-05,8.73,9.19,8.66,9.10,616000,8.86
2011-06-27,8.10,8.79,8.10,8.71,429300,8.48
2011-06-20,8.29,8.45,8.06,8.11,514200,7.90
2011-06-13,8.27,8.45,8.15,8.33,679300,8.11
2011-06-06,8.56,8.67,8.25,8.29,856600,8.07
2011-05-31,8.72,8.78,8.52,8.55,939400,8.33
2011-05-23,8.29,8.70,8.19,8.67,356800,8.44
2011-05-16,8.41,8.62,8.35,8.44,372600,8.22
2011-05-09,8.52,9.10,8.44,8.45,570800,8.23
2011-05-02,9.04,9.09,8.50,8.55,683600,8.28
2011-04-25,8.43,9.02,8.35,9.00,738400,8.72
2011-04-18,8.28,8.47,8.15,8.45,354700,8.19
2011-04-11,8.18,8.41,8.09,8.39,691200,8.13
2011-04-04,8.41,8.55,8.18,8.18,541500,7.92
2011-03-28,8.06,8.47,7.80,8.38,421200,8.12
2011-03-21,7.97,8.22,7.87,8.03,418100,7.78
2011-03-14,7.96,8.02,7.71,7.89,631800,7.64
2011-03-07,8.20,8.37,7.94,8.06,495600,7.81
2011-02-28,8.44,8.50,8.12,8.22,622100,7.96
2011-02-22,8.36,8.44,8.04,8.36,824900,8.10
2011-02-14,8.53,8.57,8.37,8.50,316700,8.23
2011-02-07,8.65,8.79,8.39,8.51,581900,8.24
2011-01-31,8.53,8.71,8.49,8.66,685800,8.35
2011-01-24,8.53,8.73,8.42,8.49,459500,8.18
2011-01-18,8.34,8.65,8.26,8.50,723800,8.19
2011-01-10,8.44,8.71,8.08,8.35,1166900,8.05
2011-01-03,8.42,8.62,8.24,8.48,490400,8.17
2010-12-27,8.08,8.44,8.04,8.34,418200,8.04
2010-12-20,7.79,8.20,7.75,8.09,569300,7.80
2010-12-13,7.99,8.03,7.75,7.78,686800,7.50
2010-12-06,7.67,8.00,7.61,7.97,576700,7.68
2010-11-29,7.58,7.73,7.40,7.71,609200,7.43
2010-11-22,7.63,7.84,7.57,7.67,452400,7.39
2010-11-15,7.69,7.82,7.48,7.69,790400,7.41
2010-11-08,7.59,8.04,7.52,7.66,947000,7.38
2010-11-01,7.46,7.67,7.24,7.65,506300,7.37
2010-10-25,7.52,7.58,7.29,7.41,462300,7.14
2010-10-18,7.07,7.50,6.91,7.47,638100,7.17
2010-10-11,7.07,7.25,6.99,7.04,916900,6.76
2010-10-04,7.10,7.26,6.86,7.09,755200,6.81
2010-09-27,7.20,7.28,6.80,7.14,701400,6.85
2010-09-20,7.18,7.35,6.78,7.19,532600,6.90
2010-09-13,7.20,7.20,6.82,7.16,567900,6.87
2010-09-07,6.91,7.20,6.85,7.15,697100,6.86
2010-08-30,6.60,6.98,6.46,6.92,592400,6.64
2010-08-23,6.36,6.72,6.13,6.65,956400,6.38
2010-08-16,6.35,6.65,6.29,6.34,687900,6.09
2010-08-09,7.11,7.21,6.39,6.41,719300,6.15
2010-08-02,6.98,7.37,6.90,7.03,891200,6.75
2010-07-26,6.71,7.20,6.68,6.85,853300,6.57
2010-07-19,6.35,6.83,6.15,6.71,1604300,6.41
2010-07-12,6.28,6.60,6.15,6.24,1526500,5.96
2010-07-06,6.28,6.40,6.00,6.30,1213200,6.02
2010-06-28,7.18,7.23,6.22,6.26,1296000,5.98
2010-06-21,7.71,7.76,6.99,7.14,1176600,6.82
2010-06-14,7.46,7.85,7.36,7.63,819800,7.29
2010-06-07,7.20,7.37,6.68,7.36,717400,7.03
2010-06-01,7.64,7.72,7.14,7.16,1119700,6.84
2010-05-24,7.42,7.78,7.08,7.71,879800,7.37
2010-05-17,8.30,8.52,7.20,7.45,1133700,7.12
2010-05-10,7.81,8.64,7.66,8.28,981800,7.91
2010-05-03,8.11,8.33,6.62,7.56,1037100,7.23
2010-04-26,8.52,8.56,8.03,8.06,844300,7.70
2010-04-19,8.11,8.57,7.94,8.51,613700,8.13
2010-04-12,8.42,8.67,8.06,8.17,759800,7.81
2010-04-05,8.25,8.55,8.15,8.38,862800,8.01
2010-03-29,8.50,8.50,8.08,8.22,822600,7.86
2010-03-22,7.93,8.68,7.89,8.49,974100,8.11
2010-03-15,7.99,8.19,7.70,8.00,952000,7.65
2010-03-08,7.45,8.04,7.40,8.00,597000,7.65
2010-03-01,7.21,7.48,7.17,7.44,727100,7.11
2010-02-22,7.18,7.28,7.09,7.19,649200,6.87
2010-02-16,7.11,7.28,7.00,7.15,775900,6.83
2010-02-08,7.07,7.22,6.70,7.02,1185600,6.71
2010-02-01,7.70,7.72,6.83,7.08,1290500,6.77
2010-01-25,7.81,8.04,7.58,7.66,929300,7.32
